Project,Repetition,Substitution,Dimension,Alpha,Missing NLL
Forager,with_rep,with_sub,N/A,N/A,False
Forager,with_rep,without_sub,N/A,N/A,False
Forager,without_rep,with_sub,N/A,N/A,False
Forager,without_rep,without_sub,N/A,N/A,False
Cochlear Project,with_rep,with_sub,50,alpha_0.0_s2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.0_w2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.1_s2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.1_w2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.2_s2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.2_w2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.3_s2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.3_w2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.4_s2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.4_w2v,False
Cochlear Project,with_rep,with_sub,50,alpha_0.5_s2v,False
Cochlear Project,with_rep,with_sub,50,average,False
Cochlear Project,with_rep,with_sub,50,only_w2v,False
Cochlear Project,with_rep,with_sub,50,only_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.0_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.0_w2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.1_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.1_w2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.2_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.2_w2v,True
Cochlear Project,with_rep,with_sub,100,alpha_0.3_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.3_w2v,True
Cochlear Project,with_rep,with_sub,100,alpha_0.4_s2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.4_w2v,False
Cochlear Project,with_rep,with_sub,100,alpha_0.5_s2v,False
Cochlear Project,with_rep,with_sub,100,average,False
Cochlear Project,with_rep,with_sub,100,only_w2v,False
Cochlear Project,with_rep,with_sub,100,only_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.0_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.0_w2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.1_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.1_w2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.2_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.2_w2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.3_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.3_w2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.4_s2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.4_w2v,False
Cochlear Project,with_rep,with_sub,200,alpha_0.5_s2v,True
Cochlear Project,with_rep,with_sub,200,average,False
Cochlear Project,with_rep,with_sub,200,only_w2v,False
Cochlear Project,with_rep,with_sub,200,only_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.0_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.0_w2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.1_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.1_w2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.2_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.2_w2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.3_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.3_w2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.4_s2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.4_w2v,False
Cochlear Project,with_rep,with_sub,300,alpha_0.5_s2v,False
Cochlear Project,with_rep,with_sub,300,average,False
Cochlear Project,with_rep,with_sub,300,only_w2v,False
Cochlear Project,with_rep,with_sub,300,only_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.0_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.0_w2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.1_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.1_w2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.2_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.2_w2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.3_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.3_w2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.4_s2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.4_w2v,False
Cochlear Project,with_rep,without_sub,50,alpha_0.5_s2v,False
Cochlear Project,with_rep,without_sub,50,average,False
Cochlear Project,with_rep,without_sub,50,only_w2v,False
Cochlear Project,with_rep,without_sub,50,only_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.0_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.0_w2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.1_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.1_w2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.2_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.2_w2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.3_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.3_w2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.4_s2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.4_w2v,False
Cochlear Project,with_rep,without_sub,100,alpha_0.5_s2v,False
Cochlear Project,with_rep,without_sub,100,average,False
Cochlear Project,with_rep,without_sub,100,only_w2v,False
Cochlear Project,with_rep,without_sub,100,only_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.0_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.0_w2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.1_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.1_w2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.2_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.2_w2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.3_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.3_w2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.4_s2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.4_w2v,False
Cochlear Project,with_rep,without_sub,200,alpha_0.5_s2v,True
Cochlear Project,with_rep,without_sub,200,average,False
Cochlear Project,with_rep,without_sub,200,only_w2v,False
Cochlear Project,with_rep,without_sub,200,only_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.0_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.0_w2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.1_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.1_w2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.2_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.2_w2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.3_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.3_w2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.4_s2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.4_w2v,False
Cochlear Project,with_rep,without_sub,300,alpha_0.5_s2v,False
Cochlear Project,with_rep,without_sub,300,average,False
Cochlear Project,with_rep,without_sub,300,only_w2v,False
Cochlear Project,with_rep,without_sub,300,only_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.0_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.0_w2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.1_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.1_w2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.2_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.2_w2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.3_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.3_w2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.4_s2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.4_w2v,False
Cochlear Project,without_rep,with_sub,50,alpha_0.5_s2v,False
Cochlear Project,without_rep,with_sub,50,average,False
Cochlear Project,without_rep,with_sub,50,only_w2v,False
Cochlear Project,without_rep,with_sub,50,only_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.0_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.0_w2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.1_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.1_w2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.2_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.2_w2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.3_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.3_w2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.4_s2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.4_w2v,False
Cochlear Project,without_rep,with_sub,100,alpha_0.5_s2v,False
Cochlear Project,without_rep,with_sub,100,average,False
Cochlear Project,without_rep,with_sub,100,only_w2v,False
Cochlear Project,without_rep,with_sub,100,only_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.0_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.0_w2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.1_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.1_w2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.2_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.2_w2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.3_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.3_w2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.4_s2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.4_w2v,False
Cochlear Project,without_rep,with_sub,200,alpha_0.5_s2v,False
Cochlear Project,without_rep,with_sub,200,average,False
Cochlear Project,without_rep,with_sub,200,only_w2v,False
Cochlear Project,without_rep,with_sub,200,only_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.0_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.0_w2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.1_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.1_w2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.2_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.2_w2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.3_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.3_w2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.4_s2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.4_w2v,False
Cochlear Project,without_rep,with_sub,300,alpha_0.5_s2v,False
Cochlear Project,without_rep,with_sub,300,average,False
Cochlear Project,without_rep,with_sub,300,only_w2v,False
Cochlear Project,without_rep,with_sub,300,only_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.0_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.0_w2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.1_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.1_w2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.2_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.2_w2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.3_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.3_w2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.4_s2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.4_w2v,False
Cochlear Project,without_rep,without_sub,50,alpha_0.5_s2v,False
Cochlear Project,without_rep,without_sub,50,average,False
Cochlear Project,without_rep,without_sub,50,only_w2v,False
Cochlear Project,without_rep,without_sub,50,only_s2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.0_s2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.0_w2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.1_s2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.1_w2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.2_s2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.2_w2v,False
Cochlear Project,without_rep,without_sub,100,alpha_0.3_s2v,False
