Dimension,Alpha,Subject,Group,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
300,only_w2v,CAF-657,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.0,9.163027866035506,10.470412766916889,-2.6846783092318183,138.4439202594436
50,alpha_0.1_s2v,CAJ-663,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,6.563759716293124,27.664836911545883,-2.413513994990117,85.01337229088473
50,alpha_0.0_s2v,CAM-666,NH,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.75,8.878436978145439,6.217704662104562,-0.042046183584461,117.1017479721482
50,alpha_0.3_w2v,CAP-671,NH,forage_phonologicaldynamicswitch_norms_associative,9.352432553775389,5.425071603899389,-0.0507244341617768,79.50958506666485
50,alpha_0.3_w2v,CAQ-672,NH,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,9.220401902697146,7.076313058090478,-0.105081366049524,96.16224264306776
50,average,CAR-673,NH,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,7.767715296920481,9.399694762146735,-0.305207832627245,92.756360208804
50,alpha_0.1_w2v,CAS-674,NH,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,6.691999681023774,6.283352580831162,-2.3050232291724715,90.2972317749162
50,alpha_0.5_s2v,CAV-678,NH,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,5.908681919567261,4.146011636518593,-2.3225759131775128,148.76601206478392
300,average,CAY-681,NH,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=1.0,9.013093346636568,5.416609819903317,-0.4227551598001818,89.56250938096304
100,average,CBD-686,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.5,7.079930361953668,8.994619065338268,-0.28851039691402,86.84198367582559
50,alpha_0.0_s2v,CBF-691,NH,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.0,8.48473048224508,8.052502231107818,-0.1008308299070878,80.22007235946475
100,average,CBH-693,NH,forage_phonologicaldynamicglobal_delta_rise=1.0_fall=0.75,7.396935792665439,4.712909295282261,0.0272092212762212,117.21711484061892
200,alpha_0.3_s2v,CBJ-697,NH,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,7.090896914838408,3.6506288427633553,-2.313949408447201,94.52866582201924
50,alpha_0.5_s2v,CBL-698,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,4.209125606718345,23.031494196256908,-2.813350564430044,84.03452073401807
100,average,CBM-702,NH,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.25,6.986302512907535,6.292331382015719,0.1804990578960579,120.86198353809658
200,alpha_0.2_s2v,CBP-707,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,9.397394874015523,7.522531866409147,-2.3796397624602346,110.78460287892052
50,alpha_0.4_s2v,CBS-711,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,5.887733530454888,5.177178908108153,0.0527241333029835,105.07008911129994
100,alpha_0.4_s2v,CBW-715,NH,forage_phonologicaldynamicswitch_simdrop,8.14669181992909,4.653321022555485,0.7176177920391371,66.76651318726283
100,alpha_0.4_s2v,CCB-720,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,7.678088432447513,21.990965602557704,-2.7305370513818983,48.77522722862085
100,alpha_0.5_s2v,CCC-721,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,12.862248839244655,5.856291735474813,-0.1658376656207675,57.81417957743409
50,only_w2v,CCD-722,NH,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.5,7.493827233928509,6.052446082412499,-0.1101992958211278,146.36306930254807
50,alpha_0.4_w2v,CCF-724,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5,10.219695132133742,10.560856176843949,-0.2827601103803712,69.28197688197169
50,average,CCH-726,NH,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,10.588056250252402,10.797624569721222,-0.2978878405499605,83.996998475917
