ID,Original_Repetitions,Transformed_Repetitions,Difference
CAF-657,0,0,0
CAJ-663,0,0,0
CAM-666,0,0,0
CAP-671,0,0,0
CAQ-672,0,0,0
CAR-673,0,0,0
CAS-674,0,0,0
CAV-678,0,0,0
CAY-681,2,0,-2
CBD-686,0,0,0
CBF-691,0,0,0
CBH-693,1,0,-1
CBJ-697,0,0,0
CBL-698,0,0,0
CBM-702,0,0,0
CBP-707,0,0,0
CBS-711,0,0,0
CBW-715,0,0,0
CCB-720,0,0,0
CCC-721,0,0,0
CCD-722,0,0,0
CCF-724,0,0,0
CCH-726,0,0,0
CCL-730,1,0,-1
CCX-744,0,0,0
CDG-753,1,0,-1
CDH-754,0,0,0
CDM-759,0,0,0
CDR-764,0,0,0
CDU-767,0,0,0
SGO-159,0,0,0
SIU-211,1,0,-1
SIZ-390,0,0,0
SKE-234,0,0,0
SMK-401,1,0,-1
SNI-300,0,0,0
SNR-308,0,0,0
SNT-310,0,0,0
SNV-312,0,0,0
SNY-315,0,0,0
SOE-320,0,0,0
SOQ-329,0,0,0
SOX-335,0,0,0
SPA-338,0,0,0
SPC-340,0,0,0
SPH-344,0,0,0
SPL-436,1,0,-1
SPV-450,0,0,0
SPX-452,0,0,0
SRF-483,0,0,0
SRR-498,0,0,0
SSG-520,1,0,-1
SSZ-539,0,0,0
SUG-544,1,0,-1
SUT-556,0,0,0
SUV-558,0,0,0
SVA-563,1,0,-1
SVH-570,0,0,0
SVY-587,0,0,0
SZA-781,0,0,0
