,vocab
0,aardvark
1,aardwolf
2,abalone
3,abeja
4,addax
5,adder
6,adelgid
7,adelie penguin
8,aedes aegypti
9,affenpinscher
10,afghan hound
11,african dog
12,agama
13,agouti
14,airedale terrier
15,akita
16,albacore
17,albatross
18,albino python
19,alga
20,alligator
21,alligator lizard
22,alligator snapping turtle
23,allosaurus
24,alpaca
25,amberjack
26,amoeba
27,amphibian
28,amphioxus
29,amphipod
30,anaconda
31,anchovy
32,anemone
33,angelfish
34,anglerfish
35,angora goat
36,angora rabbit
37,anhinga
38,ankylosaur
39,annelid
40,anole
41,ant
42,anteater
43,antelope
44,antelope squirrel
45,anthropoid
46,antlion
47,apatosaurus
48,ape
49,aphid
50,aplysia
51,appaloosa
52,apple maggot
53,arachnid
54,arapaima
55,archaea
56,archeopteryx
57,archosaur
58,arctic char
59,arctic fox
60,argali
61,armadillo
62,armyworm
63,arrowhead dogfish
64,arrowhead shark
65,arthropod
66,ascidians
67,asp
68,ass
69,assassin bug
70,auk
71,auklet
72,auroch
73,australopithecine
74,avian
75,avocet
76,axolotl
77,babirusa
78,baboon
79,baby
80,baca
81,bacteria
82,badger
83,bald eagle
84,baleen whale
85,banana slug
86,bandicoot
87,bantam
88,bark beetle
89,barn owl
90,barnacle
91,barnacle goose
92,barracuda
93,barramundi
94,barred owl
95,basenji
96,basilisk
97,basking shark
98,bass
99,basset hound
100,bat
101,batfish
102,bay scallop
103,baya
104,beaded lizard
105,beagle
106,beaked whale
107,bear
108,bear cub
109,bearcat
110,bearded dragon
111,bearded vulture
112,beaver
113,bedbug
114,bee
115,bee eater
116,bee moth
117,beef cattle
118,beefalo
119,beet armyworm
120,beetle
121,bellbird
122,belted kingfisher
123,beluga
124,beluga whale
125,bengal tiger
126,bernese mountain dog
127,bessbug
128,beta fish
129,betta
130,betta fish
131,bettong
132,bichon
133,bigeye
134,bighorn
135,bighorn sheep
136,bilbies
137,bilby
138,billfish
139,billy goat
140,binturong
141,bird
142,bison
143,biting midge
144,bittern
145,bivalve
146,black bear
147,black headed gull
148,black lab
149,black labrador
150,black mamba
151,black panther
152,black squirrel
153,black widow
154,black-capped chickadee
155,blackbird
156,blackbuck
157,blackcap
158,blackfish
159,blackfly
160,blackpoll
161,blacktail
162,blacktail deer
163,blacktip reef shark
164,blacktip shark
165,blenny
166,blister beetle
167,blobfish
168,bloodhound
169,bloodworm
170,blowfish
171,blowfly
172,blubber fish
173,blue catfish
174,blue heron
175,blue jay
176,blue marlin
177,blue shark
178,blue whale
179,bluebill
180,bluebird
181,bluefin
182,bluefin tuna
183,bluefish
184,bluefooted booby
185,bluegill
186,bluetick
187,boa
188,boa constrictor
189,boar
190,bobcat
191,bobolink
192,bobtail
193,bobwhite
194,bobwhite quail
195,boll weevil
196,bollworm
197,bolognese
198,bombardier beetle
199,bonefish
200,bongo
201,bonito
202,bonnethead
203,bonobo
204,bony fish
205,booby
206,border collie
207,borzoi
208,boston terrier
209,botfly
210,boto
211,bottlenose
212,bottlenose dolphin
213,bottlenose whale
214,bovine
215,bowerbird
216,bowfin
217,bowhead
218,bowhead whale
219,box turtle
220,boxelder bug
221,boxer
222,boxfish
223,brachiopod
224,brachiosaurus
225,bream
226,brimfish
227,brine shrimp
228,broadbill
229,broadtail
230,bronc
231,bronco
232,brontosaurus
233,broodmare
234,broody hen
235,brook trout
236,brown bear
237,brown bullhead
238,brown creeper
239,brown hyena
240,brown recluse
241,brown recluse spider
242,brown thrasher
243,brown trout
244,bruin
245,bryozoan
246,buck
247,bucking bronco
248,budgerigar
249,budgie
250,buffalo
251,bufflehead
252,bufo
253,bug
254,bulbul
255,bull
256,bull mastiff
257,bull shark
258,bull snake
259,bull terrier
260,bulldog
261,bullfinch
262,bullfrog
263,bullhead
264,bullhead catfish
265,bullmastiff
266,bullock
267,bullsnake
268,bumblebee
269,bunny
270,bunny rabbit
271,bunting
272,burbot
273,burmese mountain dog
274,burro
275,bush squirrel
276,bushbaby
277,bushbuck
278,bushmaster
279,bustard
280,butterfish
281,butterflies
282,butterfly
283,butterflyfish
284,buzzard
285,cactus wren
286,caddis fly
287,caecilian
288,caiman
289,cairn terrier
290,calf
291,calico cat
292,camel
293,cameo
294,canary
295,canebrake rattlesnake
296,canine
297,canis lupus
298,cankerworm
299,canvasback
300,canvasback duck
301,cape buffalo
302,capelin
303,capercaillie
304,capibara
305,caplin
306,capon
307,capuchin
308,capuchin monkey
309,capybara
310,carabao
311,caracal
312,caracara
313,cardinal
314,caribou
315,carp
316,carpenter ant
317,carpenter bee
318,carpet beetle
319,carrier pigeon
320,carrion crow
321,carthorse
322,cartilaginous fish
323,cassowary
324,cat
325,catamount
326,catbird
327,caterpillar
328,catfish
329,cattle
330,cattle egret
331,cavalier king charles spaniel
332,cavy
333,cayote
334,cedar waxwing
335,centipede
336,cephalopod
337,ceratopsian
338,cervid
339,cetacean
340,chachalaca
341,chaffinch
342,chain pickerel
343,chambered nautilus
344,chameleon
345,chamois
346,channel catfish
347,char
348,charolais
349,cheep
350,cheetah
351,chetah
352,chewbacca
353,chick
354,chickadee
355,chicken
356,chigger
357,chihuahua
358,chimaera
359,chimp
360,chimpanzee
361,chinch bug
362,chinchilla
363,chinook
364,chinook salmon
365,chipmunk
366,chipping sparrow
367,chocolate labrador
368,chough
369,chow chow
370,christmas tree worm
371,chub
372,chum salmon
373,cicada
374,cicada killer
375,cichlid
376,cichlid fish
377,civet
378,civet cat
379,clam
380,cleaner shrimp
381,clown fish
382,clownfish
383,clydesdale
384,coati
385,coatimundi
386,cobia
387,cobra
388,cochineal
389,cock
390,cockatiel
391,cockatoo
392,cocker
393,cocker spaniel
394,cockerel
395,cockle
396,cockroach
397,cockroaches
398,cod
399,codfish
400,codling
401,codling moth
402,coelacanth
403,coho
404,coho salmon
405,collared lizard
406,collared peccary
407,collie
408,colobus
409,colobus monkey
410,colt
411,colugo
412,comb jelly
413,common murre
414,common scoter
415,common yellowthroat
416,conch
417,condor
418,coney
419,conger
420,conger eel
421,constrictor
422,conure
423,coonhound
424,coot
425,cooter
426,copepod
427,copperhead
428,copperhead snake
429,coq
430,coral
431,coral reef snake
432,coral snake
433,corbina
434,corgi
435,cormorant
436,corn borer
437,corn borer moth
438,corn earworm
439,corn snake
440,corncrake
441,cornish game hen
442,cotton bollworm
443,cottonmouth
444,cottonmouth moccasin
445,cottontail
446,cottontail rabbit
447,cougar
448,courser
449,cow
450,cowbird
451,cownose ray
452,cowrie
453,cowry
454,cows
455,coyote
456,coypu
457,crab
458,crane
459,cranefly
460,crappie
461,crawdad
462,crawfish
463,crawler
464,crayfish
465,crevalle jack
466,cricket
467,crinoid
468,croaker
469,croc
470,crocodile
471,crossbill
472,crow
473,crucian carp
474,crustacean
475,cub
476,cuckoo
477,culex pipiens
478,curlew
479,cuscus
480,cusk
481,cuttlefish
482,cutworm
483,cygnet
484,dace
485,dachshund
486,daddy longlegs
487,dairy cattle
488,dairy cow
489,dall sheep
490,dalmatian
491,damsel fish
492,damselfish
493,damselfly
494,daphnia
495,darkling beetle
496,darning needle
497,darter
498,darwin frog
499,daschund
500,dear
501,decapod
502,deer
503,deerhound
504,degu
505,desert tortoise
506,devil
507,diamondback
508,diamondback rattlesnake
509,diamondback terrapin
510,dik-dik
511,dingo
512,dinosaur
513,dinosaurs
514,diplodocus
515,doberman
516,doberman pinscher
517,dodo
518,dodo bird
519,doe
520,dog
521,dogfish
522,doggie
523,doggy
524,dogs
525,dolphin
526,dolphinfish
527,domingo
528,donkey
529,doodlebug
530,dormouse
531,dory
532,dotterel
533,double-crested cormorant
534,dove
535,downy woodpecker
536,dragon
537,dragon lizard
538,dragonfly
539,drake
540,dray horse
541,dromedary
542,drosophila
543,drum fish
544,duck
545,duckbill
546,duckbilled platypus
547,duckling
548,ducks
549,dugong
550,duiker
551,dung beetle
552,dungeness crab
553,dunlin
554,dusky shark
555,dwarf hamster
556,dwarf rabbit
557,dwarf sperm whale
558,eagle
559,eagle ray
560,eaglet
561,eared grebe
562,earthworm
563,earwig
564,eastern cottontail
565,eastern indigo snake
566,eastern kingbird
567,eastern lowland gorilla
568,eastern meadowlark
569,eastern toebiter
570,echidna
571,echinoderm
572,eel
573,eelpout
574,eels
575,egret
576,eider
577,eider duck
578,eland
579,electric eel
580,elephant
581,elephant seal
582,elk
583,elkhound
584,elver
585,emerald shiner
586,emperor penguin
587,emu
588,equine
589,ermine
590,escolar
591,eugarie
592,evening grosbeak
593,ewe
594,fairy shrimp
595,falcon
596,fall armyworm
597,fall webworm
598,fallow deer
599,fawn
600,feline
601,fennec fox
602,ferret
603,fiddler crab
604,filaria
605,filly
606,fin whale
607,finback
608,finback whale
609,finch
610,fire ant
611,firebird
612,firebug
613,firefly
614,fish
615,fish eagle
616,fisher
617,fisher cat
618,flacon
619,flamingo
620,flatfish
621,flathead catfish
622,flatworm
623,flea
624,flea beetle
625,flies
626,flounder
627,fly
628,fly fish
629,flycatcher
630,flying fish
631,flying monkey
632,flying snake
633,flying squirrel
634,foal
635,forest tent caterpillar
636,fossa
637,four eye butterfly fish
638,foureye butterflyfish
639,fowl
640,fox
641,fox squirrel
642,fox terrier
643,foxes
644,foxhound
645,french bulldog
646,fresh water fish
647,freshwater eel
648,freshwater fish
649,freshwater mussel
650,friesian
651,frog
652,frogfish
653,froghopper
654,frogmouth
655,fruit bat
656,fruit fly
657,fulmar
658,fungi
659,fungus gnat
660,gaboon viper
661,gadfly
662,gal
663,gall midge
664,gall wasp
665,gallinule
666,gamecock
667,gander
668,gannet
669,gar
670,garden snake
671,garfish
672,garibaldi
673,garter snake
674,gator
675,gaur
676,gavial
677,gazelle
678,gecko
679,geese
680,gelding
681,gemsbok
682,genet
683,geoduck
684,gerbil
685,gerbils
686,german shepard
687,german shepherd
688,gharial
689,ghost crab
690,giant
691,giant anteater
692,giant panda
693,giant schnauzer
694,giant squid
695,giant tortoise
696,gibbon
697,giraffe
698,glaucus
699,glia monster
700,glider
701,globefish
702,glowworm
703,gnat
704,gnatcatcher
705,gnu
706,goanna
707,goat
708,goatfish
709,goats
710,goby
711,godwit
712,godzilla
713,gold fish
714,golden eagle
715,golden labrador
716,golden marmot
717,golden plover
718,golden retriever
719,golden shiner
720,goldendoodle
721,goldfinch
722,goldfish
723,gooney bird
724,goose
725,gopher
726,gopher snake
727,gopher tortoise
728,gopher turtle
729,gorgonian
730,gorilla
731,goshawk
732,gosling
733,grackle
734,grass snake
735,grasshopper
736,grasshopper mouse
737,gray catbird
738,gray fox
739,gray jay
740,gray mullet
741,gray partridge
742,gray whale
743,gray wolf
744,graywolf
745,great auk
746,great blue heron
747,great crested grebe
748,great dane
749,great horned owl
750,great pyrenees
751,great white shark
752,greater yellowlegs
753,grebe
754,green lacewing
755,green mamba
756,greenfly
757,greenling
758,greenshank
759,grenadier
760,grey squirrel
761,grey whale
762,greyhound
763,greylag goose
764,griffon
765,griffon vulture
766,grizzly
767,grizzly bear
768,grosbeak
769,ground hog
770,ground squirrel
771,groundfish
772,groundhog
773,grouper
774,grouse
775,grub
776,grunt
777,guan
778,guanaco
779,gudgeon
780,guenon
