dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.5_s2v,forage_static,NH,3515.638840212947,2.3889733673659164,8.052728229772663,
50,alpha_0.3_s2v,forage_dynamic_simdrop,NH,3442.3109722271342,3.745246480075893,7.970065711085916,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.0,NH,3525.667071249209,2.343320577907468,7.986189926950875,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.1,NH,3495.1601151040027,3.1430041077314157,7.846890685334247,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.2,NH,3494.3406168320143,3.15114335424979,7.851025320323589,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.30000000000000004,NH,3485.001721449521,3.2988300955766467,7.883950742599456,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.4,NH,3473.603478698133,3.449514486195409,7.895691080442998,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.5,NH,3460.55231016973,3.611750047480247,7.919900064296688,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.6000000000000001,NH,3449.930086285139,3.724738788805885,7.955153349278125,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.7000000000000001,NH,3445.719414250287,3.737513028907432,7.987487399324586,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.8,NH,3442.4707492661128,3.79046517004545,7.975532379036085,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.9,NH,3441.652634393692,3.788595866510702,7.969813549322191,
50,alpha_0.3_s2v,forage_dynamic_multimodal_alpha=1.0,NH,3442.310972227129,3.7452446730916886,7.970066888205518,
50,alpha_0.4_w2v,forage_dynamic_norms_associative,NH,3489.85796886678,4.385637764346618,7.63928567037082,
50,alpha_0.4_w2v,forage_dynamic_norms_categorical,NH,3519.658036465075,3.435363128405541,7.627215789113698,
50,alpha_0.3_w2v,forage_dynamic_delta_rise=0.0_fall=0.0,NH,3428.2105494012026,5.067509307169359,7.742099466319952,
50,alpha_0.4_w2v,forage_dynamic_delta_rise=0.0_fall=0.25,NH,3415.7046854655277,5.018688969216386,7.759457481966264,
50,alpha_0.2_s2v,forage_dynamic_delta_rise=0.0_fall=0.5,NH,3407.0183361648865,4.817166270587495,7.810635097634895,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.0_fall=0.75,NH,3399.5329634462687,4.73664577176232,7.894122401936905,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.0_fall=1.0,NH,3407.544880165761,4.435204671137455,7.954400956353023,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.25_fall=0.0,NH,3421.8404453784524,5.487908457335881,7.684473279838864,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.25_fall=0.25,NH,3406.468080499777,5.453685781905705,7.720216514775742,
50,alpha_0.2_s2v,forage_dynamic_delta_rise=0.25_fall=0.5,NH,3397.863077045993,5.231328840119018,7.807104229534124,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.25_fall=0.75,NH,3386.588224087675,5.1510526572685,7.900781000962854,
