dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.0_s2v,forage_static,NH,3579.2110627461057,2.3096857111260514,8.063684735933075,
50,alpha_0.0_s2v,forage_dynamic_simdrop,NH,3488.038620858469,3.919813777326221,8.013671633641046,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.0,NH,3586.219765460874,2.320576495765208,8.005502206368796,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.1,NH,3544.4007577022476,3.264989588145973,7.88354027642469,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.2,NH,3543.895562515953,3.265662786379926,7.8863062820222,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.30000000000000004,NH,3533.473740131686,3.410556488590738,7.907795295162017,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.4,NH,3516.4619414155172,3.5956166626288524,7.91460012778234,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.5,NH,3503.5667471067427,3.772068499847192,7.940020437218059,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.6000000000000001,NH,3497.8730907656495,3.808915038436315,7.964660640344561,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.7000000000000001,NH,3490.46440827028,3.896799438057429,7.990738624620523,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.8,NH,3486.785411179689,3.940781839950584,8.01027624755347,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=0.9,NH,3488.4593528855166,3.9347044557896425,8.01609147451672,
50,alpha_0.0_s2v,forage_dynamic_multimodal_alpha=1.0,NH,3488.0386208584505,3.9198139213687337,8.013670427435923,
50,alpha_0.0_s2v,forage_dynamic_norms_associative,NH,3549.483662443062,4.462378735780466,7.67488700657784,
50,alpha_0.0_s2v,forage_dynamic_norms_categorical,NH,3582.4644354903294,3.4071855192865237,7.64823976734232,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.0,NH,3470.0639248668913,5.16439349630683,7.726995516466246,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.25,NH,3459.2211706800085,5.1282100081591455,7.77921127347197,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.5,NH,3443.785514032305,5.110285168984006,7.835484700008887,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=0.75,NH,3447.6890289984044,4.780376326316063,7.912553981715877,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.0_fall=1.0,NH,3462.628464608707,4.3339868217890825,7.967817258462849,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.0,NH,3462.7062784619015,5.658651688877198,7.698745189074621,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.25,NH,3454.6443878196797,5.5940749782863985,7.748696388176484,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.5,NH,3430.9421315355307,5.588661192462554,7.824864285081415,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=0.75,NH,3433.499955112627,5.246725475882093,7.904664128905178,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.25_fall=1.0,NH,3449.1653054866006,4.733085647321147,7.990134823602949,
50,alpha_0.0_s2v,forage_dynamic_delta_rise=0.5_fall=0.0,NH,3457.6001736742996,6.634921131543176,7.641780491041437,
