Dimension,Alpha,Subject,Group,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
300,only_w2v,CAF-657,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,8.99958304757472,10.079210243224068,-0.8886485001975803,141.11143755223162
50,alpha_0.5_s2v,CAJ-663,NH,forage_phonologicaldynamicswitch_delta_rise=0.75_fall=0.75,6.7639214943780175,8.900079571454116,0.08737572691804,107.45550396889078
200,alpha_0.0_s2v,CAM-666,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=1.0,9.516457030977902,4.6774198134836,-0.1527938920023167,126.48541347757298
50,average,CAP-671,NH,forage_phonologicaldynamicswitch_norms_associative,9.44809239924002,5.351625934179045,-0.0880068852418045,95.58089516122844
50,alpha_0.4_w2v,CAQ-672,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5,8.25877037107596,6.747297146407933,-0.0777876600964196,119.45224432322954
50,alpha_0.4_s2v,CAR-673,NH,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,8.364760502880321,9.56443565581742,-0.3271076409905705,110.08073535369545
50,alpha_0.1_w2v,CAS-674,NH,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,5.786562385741673,6.547528704318798,-0.2381272151598088,109.59489227147569
50,average,CAV-678,NH,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,5.916927201077704,3.8255967552290886,-2.4053863974967045,155.00433632462662
300,average,CAY-681,NH,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.25,8.260704414167334,4.814640388941204,-0.1460757333262271,115.68929056668604
200,alpha_0.4_w2v,CBD-686,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0,8.654403113999132,6.704190862976135,-0.4407365891272526,101.8133253220282
50,only_w2v,CBF-691,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,7.558878113218972,6.889278694129186,0.0676712238918303,97.65560018704625
50,alpha_0.0_s2v,CBH-693,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5,6.524129253905199,8.019665937516958,0.0844025329149156,119.10527095713908
200,alpha_0.4_s2v,CBJ-697,NH,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.75,6.539054720237702,3.703981998493663,-2.7331252326277307,121.34305173920195
50,only_s2v,CBL-698,NH,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.75,5.266685911821293,7.727553868660762,-0.042034531731719,102.68668658801614
300,only_w2v,CBM-702,NH,forage_phonologicaldynamicswitch_norms_associative,6.32704828983855,3.864177387856743,0.232693884064475,140.7379217873182
200,alpha_0.3_s2v,CBP-707,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,8.73210050157422,6.023438888427115,-2.204981093392316,141.01426828019217
50,only_s2v,CBS-711,NH,forage_phonologicaldynamicglobal_delta_rise=0.75_fall=1.0,6.289381554511522,6.434808055313624,-0.0288269469587281,129.5868924969092
200,average,CBW-715,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,8.043529238797934,7.929796623025206,-0.4859103121341002,91.36620325385157
100,alpha_0.4_s2v,CCB-720,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.0,6.267335364527974,22.30399049467501,-2.790703855179937,67.73140026013523
100,alpha_0.4_s2v,CCC-721,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=1.0,13.249746902894348,6.335291804475904,-0.209559390566007,65.84745888849814
50,average,CCD-722,NH,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.75,7.28283439595405,5.111103494444028,-0.2670734636084867,152.8301658560031
50,alpha_0.3_w2v,CCF-724,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.25,10.520362896529946,11.264267776024374,-0.3244565104452703,82.49343671446061
50,average,CCH-726,NH,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,9.229752046176769,10.43560859054852,-0.2543700604340675,110.69108041404368
50,alpha_0.4_s2v,CCL-730,NH,forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.75,8.985187635346444,8.468035327694247,-0.1573865497099735,117.60476997355217
50,alpha_0.4_w2v,CCX-744,NH,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,11.496141464445092,5.480216702747594,0.065039672002661,84.7282104372602
50,alpha_0.4_s2v,CDG-753,NH,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,6.528457612555839,5.856758962694999,-2.6342989826060625,119.13361278862284
100,average,CDH-754,NH,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,7.549061979176473,6.294831796309824,0.1768725235749489,70.7344595936937
50,average,CDM-759,NH,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.745234961554804,3.831269169572946,-2.581758618429776,99.3088026047876
100,alpha_0.0_s2v,CDR-764,NH,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.75,7.532902936254702,9.02045183779191,-2.5627917850655795,92.98655739971667
100,alpha_0.0_w2v,CDU-767,NH,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,9.782098572311156,10.041192949003689,-0.4123606439491083,92.82744046967888
100,alpha_0.3_w2v,SGO-159,CI,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,8.248107495082385,5.832338306945757,-0.1594118318292196,189.9435915267624
50,only_w2v,SIU-211,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=1.0,8.032533086744582,9.998651605319168,0.1618298558335272,116.178622456377
100,average,SIZ-390,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=0.75,9.184067525391546,6.359747126181331,-0.1483859426451216,82.73068043576501
50,alpha_0.3_s2v,SKE-234,CI,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,7.663403441209563,6.0698797041111385,0.1721060125770167,143.00544553940293
100,alpha_0.3_w2v,SMK-401,CI,forage_phonologicaldynamiclocal_delta_rise=1.0_fall=0.25,8.488429331957441,32.912572618045715,-1.4620668218634436,116.91064642662973
50,alpha_0.4_w2v,SNI-300,CI,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0,7.850075547068454,5.900231008638362,0.0795879403960191,89.59347626137797
50,alpha_0.2_w2v,SNR-308,CI,forage_phonologicaldynamicswitch_delta_rise=1.0_fall=1.0,8.193141149424303,5.095384447048954,0.142325995701102,81.11311676519924
50,alpha_0.3_w2v,SNT-310,CI,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,9.521115380285709,6.461016732955629,0.1588330443702624,129.64605162388827
