ID,Word,Spell Check,"In W2V,S2V",Replacements
CAF-657,lizard,lizard,Yes,lizard
CAF-657,cat,cat,Yes,cat
CAF-657,hawk,hawk,Yes,hawk
CAF-657,dog,dog,Yes,dog
CAF-657,turtle,turtle,Yes,turtle
CAF-657,jellyfish,jellyfish,Yes,jellyfish
CAF-657,bear,bear,Yes,bear
CAF-657,ant,ant,Yes,ant
CAF-657,mosquito,mosquito,Yes,mosquito
CAF-657,frog,frog,Yes,frog
CAF-657,tadpole,tadpole,Yes,tadpole
CAF-657,fish,fish,Yes,fish
CAF-657,shark,shark,Yes,shark
CAF-657,dolphin,dolphin,Yes,dolphin
CAF-657,gorilla,gorilla,Yes,gorilla
CAF-657,monkey,monkey,Yes,monkey
CAF-657,fly,fly,Yes,fly
CAF-657,eagle,eagle,Yes,eagle
CAF-657,toad,toad,Yes,toad
CAF-657,rat,rat,Yes,rat
CAF-657,mouse,mouse,Yes,mouse
CAF-657,gerbil,gerbil,No,rodents
CAF-657,groundhog,groundhog,No,rodents
CAF-657,fox,fox,Yes,fox
CAF-657,raccoon,raccoon,No,american
CAF-657,deer,deer,Yes,deer
CAF-657,squirrel,squirrel,Yes,squirrel
CAF-657,rabbit,rabbit,Yes,rabbit
CAF-657,bluejay,bluejay,No,bird
CAJ-663,peacock,peacock,Yes,peacock
CAJ-663,giraffe,giraffe,No,african
CAJ-663,elephant,elephant,Yes,elephant
CAJ-663,zebra,zebra,Yes,zebra
CAJ-663,horse,horse,Yes,horse
CAJ-663,cat,cat,Yes,cat
CAJ-663,dog,dog,Yes,dog
CAJ-663,iguana,iguana,No,reptile
CAJ-663,turtle,turtle,Yes,turtle
CAJ-663,dolphin,dolphin,Yes,dolphin
CAJ-663,penguin,penguin,Yes,penguin
CAJ-663,buffalo,buffalo,Yes,buffalo
CAJ-663,kangaroo,kangaroo,Yes,kangaroo
CAJ-663,goose,goose,Yes,goose
CAJ-663,duck,duck,Yes,duck
CAJ-663,swan,swan,Yes,swan
CAJ-663,monkey,monkey,Yes,monkey
CAJ-663,chimp,chimpanzee,No,primate
CAJ-663,lion,lion,Yes,lion
CAJ-663,tiger,tiger,Yes,tiger
CAM-666,cat,cat,Yes,cat
CAM-666,dog,dog,Yes,dog
CAM-666,iguana,iguana,No,reptile
CAM-666,wombat,wombat,No,australian
CAM-666,goat,goat,Yes,goat
CAM-666,platypus,platypus,No,water
CAM-666,bear,bear,Yes,bear
CAM-666,firefly,firefly,Yes,firefly
CAM-666,fly,fly,Yes,fly
CAM-666,ant,ant,Yes,ant
CAM-666,bird,bird,Yes,bird
CAM-666,eagle,eagle,Yes,eagle
CAM-666,moose,moose,Yes,moose
CAM-666,deer,deer,Yes,deer
CAM-666,mouse,mouse,Yes,mouse
CAM-666,duck,duck,Yes,duck
CAM-666,crow,crow,Yes,crow
CAM-666,frog,frog,Yes,frog
CAM-666,tadpole,tadpole,Yes,tadpole
CAM-666,caterpillar,caterpillar,Yes,caterpillar
CAM-666,butterfly,butterfly,Yes,butterfly
CAM-666,moth,moth,Yes,moth
CAM-666,gorilla,gorilla,Yes,gorilla
CAM-666,monkey,monkey,Yes,monkey
CAM-666,horse,horse,Yes,horse
CAP-671,giraffe,giraffe,No,african
CAP-671,elephant,elephant,Yes,elephant
CAP-671,lion,lion,Yes,lion
CAP-671,hippo,hippopotamus,Yes,hippopotamus
CAP-671,bat,bat,Yes,bat
CAP-671,fish,fish,Yes,fish
CAP-671,shark,shark,Yes,shark
CAP-671,turtle,turtle,Yes,turtle
CAP-671,snake,snake,Yes,snake
CAP-671,dolphin,dolphin,Yes,dolphin
CAP-671,whale,whale,Yes,whale
CAP-671,chicken,chicken,Yes,chicken
CAP-671,cow,cow,Yes,cow
CAP-671,horse,horse,Yes,horse
CAP-671,butterfly,butterfly,Yes,butterfly
CAP-671,bear,bear,Yes,bear
CAP-671,deer,deer,Yes,deer
CAP-671,tiger,tiger,Yes,tiger
CAP-671,flamingo,flamingo,No,bird
CAQ-672,alligator,alligator,Yes,alligator
CAQ-672,octopus,octopus,No,water
CAQ-672,ostrich,ostrich,Yes,ostrich
CAQ-672,peacock,peacock,Yes,peacock
CAQ-672,bear,bear,Yes,bear
CAQ-672,tiger,tiger,Yes,tiger
CAQ-672,lion,lion,Yes,lion
CAQ-672,gorilla,gorilla,Yes,gorilla
CAQ-672,monkey,monkey,Yes,monkey
CAQ-672,dog,dog,Yes,dog
CAQ-672,cat,cat,Yes,cat
CAQ-672,hyena,hyena,Yes,hyena
CAQ-672,snake,snake,Yes,snake
CAQ-672,fish,fish,Yes,fish
CAQ-672,bird,bird,Yes,bird
CAQ-672,rabbit,rabbit,Yes,rabbit
CAQ-672,dolphin,dolphin,Yes,dolphin
CAQ-672,squirrel,squirrel,Yes,squirrel
CAQ-672,guinea,guinea,Yes,guinea
CAQ-672,mouse,mouse,Yes,mouse
CAQ-672,lizard,lizard,Yes,lizard
CAQ-672,iguana,iguana,No,reptile
CAQ-672,crocodile,crocodile,Yes,crocodile
CAR-673,elephant,elephant,Yes,elephant
CAR-673,giraffe,giraffe,No,african
CAR-673,tiger,tiger,Yes,tiger
CAR-673,lion,lion,Yes,lion
CAR-673,cheetah,cheetah,No,feline
CAR-673,dog,dog,Yes,dog
CAR-673,cat,cat,Yes,cat
CAR-673,mouse,mouse,Yes,mouse
CAR-673,rat,rat,Yes,rat
CAR-673,ostrich,ostrich,Yes,ostrich
CAR-673,parakeet,parakeet,Yes,parakeet
CAR-673,fish,fish,Yes,fish
CAR-673,gerbil,gerbil,No,rodents
CAR-673,hamster,hamster,No,pets
CAR-673,guinea,guinea,Yes,guinea
CAR-673,capybara,capybara,No,rodents
CAR-673,zebra,zebra,Yes,zebra
CAR-673,horse,horse,Yes,horse
CAR-673,tiger,tiger,Yes,tiger
CAR-673,emu,emu,No,bird
CAR-673,elk,elk,Yes,elk
CAR-673,deer,deer,Yes,deer
CAR-673,antelope,antelope,Yes,antelope
CAS-674,cat,cat,Yes,cat
CAS-674,dog,dog,Yes,dog
CAS-674,fish,fish,Yes,fish
CAS-674,shark,shark,Yes,shark
CAS-674,dolphin,dolphin,Yes,dolphin
CAS-674,shrimp,shrimp,Yes,shrimp
CAS-674,crab,crab,Yes,crab
CAS-674,lobster,lobster,Yes,lobster
CAS-674,iguana,iguana,No,reptile
CAS-674,bear,bear,Yes,bear
CAS-674,lion,lion,Yes,lion
CAS-674,tiger,tiger,Yes,tiger
CAS-674,eagle,eagle,Yes,eagle
CAS-674,falcon,falcon,Yes,falcon
CAS-674,raven,raven,Yes,raven
CAS-674,lizard,lizard,Yes,lizard
CAS-674,gecko,gecko,No,reptile
CAS-674,alligator,alligator,Yes,alligator
CAS-674,crocodile,crocodile,Yes,crocodile
CAS-674,mammoth,mammoth,Yes,mammoth
CAS-674,kangaroo,kangaroo,Yes,kangaroo
CAV-678,dog,dog,Yes,dog
CAV-678,cat,cat,Yes,cat
CAV-678,bird,bird,Yes,bird
CAV-678,elephant,elephant,Yes,elephant
CAV-678,kangaroo,kangaroo,Yes,kangaroo
CAV-678,cheetah,cheetah,No,feline
CAV-678,lion,lion,Yes,lion
CAV-678,tiger,tiger,Yes,tiger
CAV-678,bear,bear,Yes,bear
CAV-678,iguana,iguana,No,reptile
CAV-678,kangaroo,kangaroo,Yes,kangaroo
CAV-678,pelican,pelican,Yes,pelican
CAV-678,penguin,penguin,Yes,penguin
CAV-678,polar,polar,Yes,polar
CAV-678,grizzly,grizzly,Yes,grizzly
CAV-678,moose,moose,Yes,moose
CAV-678,turtle,turtle,Yes,turtle
CAV-678,flamingo,flamingo,No,bird
CAV-678,rhino,rhinoceros,Yes,rhinoceros
CAV-678,toucan,toucan,No,bird
CAV-678,parakeet,parakeet,Yes,parakeet
CAV-678,alligator,alligator,Yes,alligator
CAV-678,crocodile,crocodile,Yes,crocodile
CAV-678,zebra,zebra,Yes,zebra
CAV-678,horse,horse,Yes,horse
CAV-678,rooster,rooster,Yes,rooster
CAV-678,chicken,chicken,Yes,chicken
CAV-678,pony,pony,Yes,pony
CAY-681,penguin,penguin,Yes,penguin
CAY-681,snake,snake,Yes,snake
CAY-681,elephant,elephant,Yes,elephant
CAY-681,giraffe,giraffe,No,african
CAY-681,dog,dog,Yes,dog
CAY-681,cat,cat,Yes,cat
CAY-681,gorilla,gorilla,Yes,gorilla
CAY-681,chimp,chimpanzee,No,primate
CAY-681,ape,ape,Yes,ape
CAY-681,insect,insect,Yes,insect
CAY-681,butterfly,butterfly,Yes,butterfly
CAY-681,ladybug,ladybug,Yes,ladybug
CAY-681,beetle,beetle,Yes,beetle
CAY-681,beetle,beetle,Yes,beetle
CAY-681,worm,worm,Yes,worm
CAY-681,ant,ant,Yes,ant
CAY-681,ant,ant,Yes,ant
CAY-681,lizard,lizard,Yes,lizard
CAY-681,anteater,anteater,No,insect
CAY-681,human,human,Yes,human
CAY-681,robin,robin,Yes,robin
CAY-681,cardinal,cardinal,Yes,cardinal
CAY-681,bluejay,bluejay,No,bird
CBD-686,lion,lion,Yes,lion
CBD-686,tiger,tiger,Yes,tiger
CBD-686,monkey,monkey,Yes,monkey
CBD-686,baboon,baboon,Yes,baboon
CBD-686,giraffe,giraffe,No,african
CBD-686,elephant,elephant,Yes,elephant
CBD-686,buffalo,buffalo,Yes,buffalo
CBD-686,polar,polar,Yes,polar
CBD-686,bear,bear,Yes,bear
CBD-686,grizzly,grizzly,Yes,grizzly
CBD-686,duck,duck,Yes,duck
CBD-686,crocodile,crocodile,Yes,crocodile
CBD-686,alligator,alligator,Yes,alligator
CBD-686,crocodile,crocodile,Yes,crocodile
CBD-686,girdle,girdle,Yes,girdle
CBD-686,panda,panda,No,asian
CBD-686,sheep,sheep,Yes,sheep
CBD-686,goat,goat,Yes,goat
CBD-686,cow,cow,Yes,cow
CBD-686,pony,pony,Yes,pony
CBD-686,horse,horse,Yes,horse
CBF-691,dog,dog,Yes,dog
CBF-691,cat,cat,Yes,cat
CBF-691,fish,fish,Yes,fish
CBF-691,elephant,elephant,Yes,elephant
CBF-691,cheetah,cheetah,No,feline
CBF-691,tiger,tiger,Yes,tiger
CBF-691,lion,lion,Yes,lion
CBF-691,polar,polar,Yes,polar
CBF-691,turtle,turtle,Yes,turtle
CBF-691,penguin,penguin,Yes,penguin
CBF-691,giraffe,giraffe,No,african
CBF-691,hamster,hamster,No,pets
CBF-691,gerbil,gerbil,No,rodents
CBF-691,squirrel,squirrel,Yes,squirrel
CBF-691,rabbit,rabbit,Yes,rabbit
CBF-691,coyote,coyote,Yes,coyote
CBF-691,deer,deer,Yes,deer
CBF-691,walrus,walrus,Yes,walrus
CBF-691,eel,eel,Yes,eel
CBH-693,dog,dog,Yes,dog
CBH-693,cat,cat,Yes,cat
CBH-693,fish,fish,Yes,fish
CBH-693,jellyfish,jellyfish,Yes,jellyfish
CBH-693,shark,shark,Yes,shark
CBH-693,kangaroo,kangaroo,Yes,kangaroo
CBH-693,camel,camel,Yes,camel
CBH-693,alligator,alligator,Yes,alligator
CBH-693,leopard,leopard,Yes,leopard
CBH-693,penguin,penguin,Yes,penguin
CBH-693,polar,polar,Yes,polar
CBH-693,bear,bear,Yes,bear
CBH-693,bear,bear,Yes,bear
CBH-693,antelope,antelope,Yes,antelope
CBH-693,anteater,anteater,No,insect
CBH-693,lizard,lizard,Yes,lizard
CBH-693,flamingo,flamingo,No,bird
CBH-693,bird,bird,Yes,bird
CBH-693,peacock,peacock,Yes,peacock
CBH-693,monkey,monkey,Yes,monkey
CBH-693,chimp,chimpanzee,No,primate
CBH-693,lion,lion,Yes,lion
CBH-693,tiger,tiger,Yes,tiger
CBH-693,crocodile,crocodile,Yes,crocodile
CBJ-697,lion,lion,Yes,lion
CBJ-697,tiger,tiger,Yes,tiger
CBJ-697,flamingo,flamingo,No,bird
CBJ-697,monkey,monkey,Yes,monkey
CBJ-697,parrot,parrot,Yes,parrot
CBJ-697,ferret,ferret,Yes,ferret
CBJ-697,cat,cat,Yes,cat
CBJ-697,dog,dog,Yes,dog
CBJ-697,fish,fish,Yes,fish
CBJ-697,chimp,chimpanzee,No,primate
CBJ-697,squirrel,squirrel,Yes,squirrel
CBJ-697,zebra,zebra,Yes,zebra
CBJ-697,elephant,elephant,Yes,elephant
CBJ-697,jaguar,jaguar,Yes,jaguar
CBJ-697,cheetah,cheetah,No,feline
CBJ-697,rhino,rhinoceros,Yes,rhinoceros
CBJ-697,panda,panda,No,asian
CBJ-697,koala,koala,No,australian
CBJ-697,anteater,anteater,No,insect
CBJ-697,beaver,beaver,Yes,beaver
CBJ-697,porcupine,porcupine,Yes,porcupine
CBJ-697,armadillo,armadillo,No,insect
CBJ-697,zebra,zebra,Yes,zebra
CBL-698,chihuahua,chihuahua,No,canine
CBL-698,terrier,terrier,Yes,terrier
CBL-698,cat,cat,Yes,cat
CBL-698,dog,dog,Yes,dog
CBL-698,bird,bird,Yes,bird
CBL-698,parakeet,parakeet,Yes,parakeet
CBL-698,pelican,pelican,Yes,pelican
CBL-698,parrot,parrot,Yes,parrot
CBL-698,pelican,pelican,Yes,pelican
CBL-698,t_rex,tyrannosaurusrex,No,reptile
CBL-698,koala,koala,No,australian
CBL-698,kangaroo,kangaroo,Yes,kangaroo
CBL-698,giraffe,giraffe,No,african
CBL-698,elephant,elephant,Yes,elephant
CBL-698,tiger,tiger,Yes,tiger
CBL-698,zebra,zebra,Yes,zebra
CBL-698,lice,lice,Yes,lice
CBL-698,stickbug,stickbug,No,insects
