Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CBM-702,0.49561355495628195,0.19355782039181235,6.2669650489999995,0.6392147621851951,0.35914285714285715,0.3228167727848242,27.0,delta_rise=0.0_fall=0.0,15,1.8,0.7483314773547882
CBM-702,,,,,,,,delta_rise=0.0_fall=0.25,14,1.9285714285714286,0.9609731462195507
CBM-702,,,,,,,,delta_rise=0.0_fall=0.5,14,1.9285714285714286,0.9609731462195507
CBM-702,,,,,,,,delta_rise=0.0_fall=0.75,13,2.076923076923077,1.268647884805434
CBM-702,,,,,,,,delta_rise=0.0_fall=1.0,10,2.4545454545454546,2.270908363053963
CBM-702,,,,,,,,delta_rise=0.25_fall=0.0,16,1.6875,0.6817945071647321
CBM-702,,,,,,,,delta_rise=0.25_fall=0.25,15,1.8,0.9092121131323904
CBM-702,,,,,,,,delta_rise=0.25_fall=0.5,15,1.8,0.9092121131323904
CBM-702,,,,,,,,delta_rise=0.25_fall=0.75,14,1.9285714285714286,1.2226601977588347
CBM-702,,,,,,,,delta_rise=0.25_fall=1.0,11,2.25,1.963203164898291
CBM-702,,,,,,,,delta_rise=0.5_fall=0.0,18,1.5,0.6009252125773316
CBM-702,,,,,,,,delta_rise=0.5_fall=0.25,18,1.5,0.6009252125773316
CBM-702,,,,,,,,delta_rise=0.5_fall=0.5,18,1.5,0.6009252125773316
CBM-702,,,,,,,,delta_rise=0.5_fall=0.75,17,1.588235294117647,0.973702668073344
CBM-702,,,,,,,,delta_rise=0.5_fall=1.0,14,1.8,1.7204650534085255
CBM-702,,,,,,,,delta_rise=0.75_fall=0.0,21,1.2857142857142858,0.45175395145262565
CBM-702,,,,,,,,delta_rise=0.75_fall=0.25,21,1.2857142857142858,0.45175395145262565
CBM-702,,,,,,,,delta_rise=0.75_fall=0.5,21,1.2857142857142858,0.45175395145262565
CBM-702,,,,,,,,delta_rise=0.75_fall=0.75,21,1.2857142857142858,0.45175395145262565
CBM-702,,,,,,,,delta_rise=0.75_fall=1.0,15,1.6875,1.6851835953390955
CBM-702,,,,,,,,delta_rise=1.0_fall=0.0,23,1.173913043478261,0.3790346907426672
CBM-702,,,,,,,,delta_rise=1.0_fall=0.25,23,1.173913043478261,0.3790346907426672
CBM-702,,,,,,,,delta_rise=1.0_fall=0.5,23,1.173913043478261,0.3790346907426672
CBM-702,,,,,,,,delta_rise=1.0_fall=0.75,23,1.173913043478261,0.3790346907426672
CBM-702,,,,,,,,delta_rise=1.0_fall=1.0,23,1.173913043478261,0.3790346907426672
CBM-702,,,,,,,,multimodal_alpha=0.0,5,4.5,3.253203549323856
CBM-702,,,,,,,,multimodal_alpha=0.1,9,2.7,1.1
CBM-702,,,,,,,,multimodal_alpha=0.2,9,2.7,1.1
CBM-702,,,,,,,,multimodal_alpha=0.30000000000000004,9,2.7,1.1
CBM-702,,,,,,,,multimodal_alpha=0.4,8,3.0,0.9428090415820634
CBM-702,,,,,,,,multimodal_alpha=0.5,8,3.0,0.9428090415820634
CBM-702,,,,,,,,multimodal_alpha=0.6000000000000001,6,3.857142857142857,1.124858267715973
CBM-702,,,,,,,,multimodal_alpha=0.7000000000000001,7,3.375,0.9921567416492215
CBM-702,,,,,,,,multimodal_alpha=0.8,7,3.375,0.9921567416492215
CBM-702,,,,,,,,multimodal_alpha=0.9,7,3.375,0.9921567416492215
CBM-702,,,,,,,,multimodal_alpha=1.0,7,3.375,0.9921567416492215
CBM-702,,,,,,,,norms_associative,14,1.9285714285714286,1.1627728997214073
CBM-702,,,,,,,,norms_categorical,13,2.076923076923077,1.2064913185660093
CBM-702,,,,,,,,simdrop,7,3.375,0.9921567416492215
