Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CBM-702,forage_static,7.199104671578429,2.3055668358977917,,153.6799862717002
CBM-702,forage_dynamic_simdrop,7.175539981306533,3.7166763685348743,,149.7090911785292
CBM-702,forage_dynamic_multimodal_alpha=0.0,6.825610342857212,2.1323801713592867,,155.13321835029183
CBM-702,forage_dynamic_multimodal_alpha=0.1,6.768570259915918,2.904709224675459,,153.2061926505664
CBM-702,forage_dynamic_multimodal_alpha=0.2,6.768564340765493,2.904709538865189,,153.20619265056575
CBM-702,forage_dynamic_multimodal_alpha=0.30000000000000004,6.768571256945427,2.9047074741027124,,153.20619265056655
CBM-702,forage_dynamic_multimodal_alpha=0.4,6.838303062821912,2.9497693719322093,,152.80334241087422
CBM-702,forage_dynamic_multimodal_alpha=0.5,6.838316041697321,2.9497691761841462,,152.80334241086288
CBM-702,forage_dynamic_multimodal_alpha=0.6000000000000001,7.031158497984606,3.047606365332645,,151.8457873674146
CBM-702,forage_dynamic_multimodal_alpha=0.7000000000000001,7.062333544352931,3.3316490776521115,,151.29531953131038
CBM-702,forage_dynamic_multimodal_alpha=0.8,7.029894364099385,3.3987674833745785,,151.1877448489812
CBM-702,forage_dynamic_multimodal_alpha=0.9,7.137241169418617,3.636930970684231,,150.01101409225157
CBM-702,forage_dynamic_multimodal_alpha=1.0,7.1755531938736565,3.71667695800182,,149.7090911785355
CBM-702,forage_dynamic_norms_associative,6.61027562190727,5.376711763755832,,147.29308778780322
CBM-702,forage_dynamic_norms_categorical,6.7767975312963555,4.75006740069158,,149.13982459806974
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.0,6.5205434886522875,4.4632000767762845,,150.7081661420946
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.25,6.586378640425264,4.466178928092367,,150.07414870072245
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.5,6.586385989731266,4.466176704555801,,150.07414870072705
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.75,6.466601733546357,4.1003936434079895,,150.09270713344088
CBM-702,forage_dynamic_delta_rise=0.0_fall=1.0,6.751612658293466,3.0162697215195986,,153.47043276430693
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.0,6.445895781302962,4.948608795571419,,149.31671985906533
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.25,6.509744676089286,4.914206019039405,,148.69102790544954
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.5,6.509734628480764,4.914204070289117,,148.69102790544216
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.75,6.368268795915936,4.452784384702866,,148.883114589769
CBM-702,forage_dynamic_delta_rise=0.25_fall=1.0,6.7215414889297715,3.297631016894186,,152.69202870850893
CBM-702,forage_dynamic_delta_rise=0.5_fall=0.0,6.182354490419006,5.692142220382427,,148.55332315147385
CBM-702,forage_dynamic_delta_rise=0.5_fall=0.25,6.182341268607624,5.692142617285281,,148.55332315150415
CBM-702,forage_dynamic_delta_rise=0.5_fall=0.5,6.18235264116506,5.692138977430383,,148.5533231514741
CBM-702,forage_dynamic_delta_rise=0.5_fall=0.75,6.038782894165835,4.93620349890345,,149.06461905587707
CBM-702,forage_dynamic_delta_rise=0.5_fall=1.0,6.506791271669589,3.4537820523332865,,153.33873932760167
CBM-702,forage_dynamic_delta_rise=0.75_fall=0.0,5.706352799766443,7.835026989068177,,146.90587622223453
CBM-702,forage_dynamic_delta_rise=0.75_fall=0.25,5.706360910424436,7.835030470645352,,146.90587622225115
CBM-702,forage_dynamic_delta_rise=0.75_fall=0.5,5.706349782102504,7.83502197817954,,146.9058762222414
CBM-702,forage_dynamic_delta_rise=0.75_fall=0.75,5.706347053545614,7.8350234826734235,,146.90587622224342
CBM-702,forage_dynamic_delta_rise=0.75_fall=1.0,6.414300219658745,3.437907854614139,,153.61784175723892
CBM-702,forage_dynamic_delta_rise=1.0_fall=0.0,5.329133853072609,10.269830538614176,,147.02119552878182
CBM-702,forage_dynamic_delta_rise=1.0_fall=0.25,5.329144041374068,10.269845807825316,,147.02119552878258
CBM-702,forage_dynamic_delta_rise=1.0_fall=0.5,5.329138003864918,10.269843938508101,,147.0211955287789
CBM-702,forage_dynamic_delta_rise=1.0_fall=0.75,5.329143703289279,10.269828018116835,,147.0211955287738
CBM-702,forage_dynamic_delta_rise=1.0_fall=1.0,5.329141311767084,10.26984221313652,,147.0211955287754
CBM-702,forage_phonologicalstatic,7.150108353694471,2.079133822381843,0.10137136131930918,151.84372609576624
CBM-702,forage_phonologicaldynamicglobal_simdrop,7.088196812502109,3.3309586919970537,0.0882731096043217,148.356283812817
CBM-702,forage_phonologicaldynamiclocal_simdrop,7.161483826688906,3.65004316353742,0.014522886378392115,149.68328184024014
CBM-702,forage_phonologicaldynamicswitch_simdrop,7.144710141032651,3.7155823043300056,0.3276412974338077,145.7106087147872
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,6.806553578244136,1.915414735127687,0.10329576178462278,153.2298291173671
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,6.763370924032069,1.769101328643563,0.17484415322365646,150.82229888087133
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,6.800870969235081,2.1306675214401287,-2.549391735716816,152.91495401525995
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,6.714457192614149,2.5860230868183547,0.09661813016729076,151.5607884097189
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,6.601883796077306,2.2251262773534455,0.22868076828678366,147.78718044737542
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,6.744847628252271,2.9039693130883175,-0.19540988380882313,151.87563010233418
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,6.714463922392225,2.586024977325553,0.09661809399568985,151.56078840972467
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,6.601891887537052,2.2251259016344367,0.2286807775700446,147.78718044737215
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,6.744845954554564,2.903967102183324,-0.1954100461840834,151.87563010233166
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,6.714458132787316,2.586026810201165,0.09661808334932245,151.56078840972404
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,6.601878403054516,2.2251237620594133,0.22868079375698322,147.78718044739338
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,6.7448488325253875,2.903967070742122,-0.19541000907799935,151.8756301023334
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,6.78445285789437,2.627169888576762,0.09553821328657333,151.1944211518151
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,6.670837261685231,2.3100306785878635,0.20551820129174939,148.0211205907984
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,6.805887649737157,2.948728629593792,-0.18744861634571805,151.62530635048503
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,6.784440674694234,2.6271709892601556,0.09553819768734263,151.194421151823
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,6.670830992364431,2.310034370777746,0.20551813810663766,148.0211205907921
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,6.805889735947852,2.948729151088831,-0.18744859238431275,151.62530635048583
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,6.969382580903172,2.726222635729883,0.0950262517836247,150.25143862940956
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,6.858237778869115,2.548484343966906,0.15329460638372763,148.72966189336557
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,6.983277411732795,3.045860580265943,-0.12737470767197356,151.39610933996065
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,7.01812339633968,2.993038185613824,0.09517439590988028,149.69258691225983
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,6.9719286503925995,2.937924378554258,0.11144976688913776,149.6994922785365
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,7.080557942666201,3.3324647600558466,0.05271789830729085,151.1666967590447
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,6.9780386796802345,3.0354091508939876,0.09335958303528123,149.65353922135654
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,6.984242810285128,3.0503514442902273,0.08930763795090302,150.15642168555567
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,7.025450511596361,3.3986013092187797,0.10453603793281159,150.67694498901605
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,7.053845487523953,3.2518361389681614,0.08859292569382622,148.64726909910598
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,7.087602701569737,3.411240844666161,0.05050876675258162,149.6913657428444
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,7.1408682057938915,3.6370611381634252,0.19439066575749733,148.28283056033112
CBM-702,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,7.088199768225045,3.330957542366469,0.08827314418450037,148.35628381281728
CBM-702,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,7.161481984820896,3.650043330107839,0.014522858623243706,149.68328184023764
CBM-702,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,7.144714801827559,3.7155804174874167,0.3276413206300713,145.71060871478568
CBM-702,forage_phonologicaldynamicglobal_norms_associative,6.528927220557036,4.841586363978181,0.07668433507567148,146.30683006005745
CBM-702,forage_phonologicaldynamiclocal_norms_associative,6.768260366082056,6.410308663702308,-0.12789272020701722,146.3760315475644
CBM-702,forage_phonologicaldynamicswitch_norms_associative,6.594327389202415,5.377145811826291,0.23269553797853368,142.7842799555248
CBM-702,forage_phonologicaldynamicglobal_norms_categorical,6.687248202339449,4.247302407726375,0.08582030676120278,147.87314625485737
CBM-702,forage_phonologicaldynamiclocal_norms_categorical,6.852953596717985,5.127020349001431,-0.05832012060866165,148.89092444362274
CBM-702,forage_phonologicaldynamicswitch_norms_categorical,6.794975428911348,4.750103115405227,0.2287914251647267,144.9679701643336
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,6.457117061913069,3.979331676845222,0.08753607488160778,149.40584246555701
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,6.545042329122144,4.617520368518678,-0.02539449929146112,150.66667139952105
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,6.543941764355166,4.463147429745293,0.1652971381548865,148.0096060539719
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,6.5120876063997235,3.982997942168499,0.08525901875305535,148.84386594653975
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,6.570444622187295,4.360349952828456,0.01756701831684405,150.05163039635224
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,6.580729737198481,4.466190722997842,0.14029783224732087,148.2448489946144
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,6.5120895092094,3.982997296922708,0.08525903889246152,148.84386594654003
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,6.570441975895276,4.360354351659653,0.01756690399742778,150.05163039634522
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,6.58073247986043,4.466191186173349,0.14029782424773296,148.2448489946163
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,6.391709863369176,3.652879752680775,0.0840590967367353,148.9010724061588
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,6.4269459927663855,3.8520828600847765,0.044942066007258294,149.92972123022048
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,6.459967726597137,4.100555118379775,0.12165324000679399,148.81724928185412
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,6.712669233144657,2.6709537995755888,0.09923901894930262,151.74855074819757
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,6.695050817644061,2.633692894616415,0.11084783949190048,152.15914268546925
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,6.76080768293875,3.0166765099282395,0.08136525019148595,153.02329217206588
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,6.391344202994675,4.452069221069074,0.08326242708078893,148.15219888733478
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,6.471347516207905,5.112785031465506,-0.02494147252084147,149.2813497250458
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,6.487450541624845,4.947956980485115,0.14316390936316073,147.11919473789214
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,6.443911923281794,4.421831803005747,0.0808006630692839,147.59927055898405
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,6.487576728651103,4.76835458903299,0.02263009984326615,148.65771299811982
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.25,6.522687907161511,4.913994544024615,0.11919605656285527,147.25941377198347
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.5,6.443909717701272,4.421833103778397,0.08080064081931261,147.59927055898152
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,6.487578389655798,4.768353798064484,0.02263012107557869,148.65771299812127
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,6.522681809919498,4.913995228721556,0.11919607110384253,147.25941377198166
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.75,6.301307898907332,4.0003847233858405,0.07988006649020193,147.81894641828796
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,6.317138198977391,4.142150914066974,0.053459805699121565,148.67547240768047
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,6.377255979653197,4.452444224319384,0.10066416841304454,147.93440845682568
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=1.0,6.67803736983979,2.924878002648478,0.09675614328217486,151.06406018517086
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0,6.632853236203849,2.8251939267160795,0.1257604616728636,151.13912246592275
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,6.7363530018089035,3.2980526557184486,0.05967036357772915,152.4307701509521
CBM-702,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.0,6.140971643497695,5.13833778543708,0.0785003715295587,147.52886838565016
CBM-702,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,6.165645142717164,5.537920761008557,0.020668393612560572,148.53470625569682
CBM-702,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.0,6.206745253157539,5.690941769859794,0.09963843453443914,147.34367884595176
