Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.46005652009960585,0.1765742910181811,6.444160556310345,0.6742164081974249,0.23791666666666667,0.24645396336964445,29.0,simdrop,8,3.2222222222222223,1.1331154474650633
CAJ-663,0.4034395698842957,0.1568308319283729,6.3768877516,0.5534749914937721,0.21406,0.0689835117175756,20.0,simdrop,5,3.3333333333333335,1.49071198499986
CAM-666,0.45208505103975444,0.14050165658780647,6.48513155476,0.6996652114355795,0.24007142857142855,0.10038282911410885,25.0,simdrop,7,3.125,1.3635890143294642
CAP-671,0.44393897544771976,0.14281276051982195,6.595618874157895,0.5621615070582914,0.21737499999999998,0.12137964938866105,19.0,simdrop,4,3.8,1.32664991614216
CAQ-672,0.4502554568568699,0.12081412665313328,6.425805833869566,0.719114660792031,0.21225714285714287,0.049361755004688174,23.0,simdrop,7,2.875,0.5994789404140899
CAR-673,0.46934050983707715,0.139661254039966,6.412154535130434,0.6814475184314862,0.21871428571428572,0.0564309438922603,23.0,simdrop,8,2.5555555555555554,0.49690399499995325
CAS-674,0.5096276047675122,0.09959118548101427,6.252170835619047,0.5814287110389367,0.2012,0.06977401617603313,21.0,simdrop,5,3.5,0.5
CAV-678,0.45584952518756033,0.10607876271520003,6.236770977535714,0.7050775914147552,0.21656,0.12998257319092177,28.0,simdrop,7,3.5,1.3228756555322954
CAY-681,0.4602398056553202,0.21079306343398424,6.425839630695651,0.6623917148577366,0.5198333333333334,0.3814716800323016,23.0,simdrop,5,3.8333333333333335,1.0671873729054748
CBD-686,0.4758962267306563,0.1553917540016541,6.419095621952382,0.5718806120634556,0.2311,0.06097971559695664,21.0,simdrop,7,2.625,0.8569568250501305
CBF-691,0.4441566720478446,0.15350260757788284,6.395402671263158,0.565275349963876,0.19446666666666668,0.061258999338872654,19.0,simdrop,5,3.1666666666666665,1.0671873729054748
CBH-693,0.499073064398413,0.2229612429918829,6.389208598583333,0.6423534433802018,0.31529999999999997,0.32317111144520216,24.0,simdrop,7,3.0,1.0
CBJ-697,0.4413304171083477,0.1363893209173472,6.267520979434783,0.5974621880220402,0.28827142857142857,0.2365446660730676,23.0,simdrop,5,3.8333333333333335,0.6871842709362768
CBL-698,0.4702958081654715,0.17769366695646094,6.1542527981,0.6682860804979142,0.391875,0.29460451819830796,20.0,simdrop,4,4.0,2.0976176963403033
CBM-702,0.4908247720582386,0.20245994961766295,6.2669650489999995,0.6392147621851951,0.35914285714285715,0.3228167727848242,27.0,simdrop,7,3.375,1.4947825928876748
CBP-707,0.47897421450555605,0.10360419844517695,6.426971202071429,0.595494114644735,0.22637142857142858,0.10528050966007771,28.0,simdrop,8,3.111111111111111,1.0999438818457405
CBS-711,0.4524332014649926,0.14255790560607154,6.260002499041666,0.6797548562548887,0.18812222222222222,0.05554391905910533,24.0,simdrop,6,3.4285714285714284,1.049781318335648
CBW-715,0.4986576102576611,0.1078697051205262,6.3748033285,0.558242655579542,0.23888333333333334,0.05234005795436862,18.0,simdrop,4,3.6,1.3564659966250536
CCB-720,0.41705160351976234,0.17392868205272513,6.314433697928571,0.580432354570715,0.19721666666666668,0.046582332129968186,14.0,simdrop,4,2.8,0.39999999999999997
CCC-721,0.4880667995173403,0.13644312214911503,6.8124379824,0.5986519320213568,0.210725,0.050991200221214644,15.0,simdrop,4,3.0,0.6324555320336759
CCD-722,0.4264415325764191,0.14724261304224387,6.376748685827586,0.6050713176776548,0.21375000000000002,0.08096223056325572,29.0,simdrop,9,2.9,1.044030650891055
CCF-724,0.45860515441778543,0.14922003556500374,6.692817220888888,0.49048371964421816,0.31224285714285716,0.16316303561308299,18.0,simdrop,3,4.5,1.118033988749895
CCH-726,0.48391904003427294,0.1441213274530815,6.543690395652175,0.7236100657252736,0.184,0.035771616841129394,23.0,simdrop,6,3.2857142857142856,1.2777531299998797
CCL-730,0.4672226787908467,0.16970599414427878,6.519394399,0.6849803448573388,0.37105000000000005,0.3735986014427784,24.0,simdrop,6,3.4285714285714284,1.178030178747903
CCX-744,0.4300135603631237,0.15841699349101912,6.738666615666666,0.571077994658705,0.2361222222222222,0.10239794648548595,18.0,simdrop,5,3.0,1.2909944487358056
CDG-753,0.48316629531475686,0.18898569270070706,6.346388401374999,0.6824393242268838,0.2855875,0.29494671885661944,24.0,simdrop,8,2.6666666666666665,0.816496580927726
CDH-754,0.5115603865384155,0.16911795934665275,6.334237794642857,0.6643653433635454,0.35545714285714286,0.31045819287596443,14.0,simdrop,4,2.8,0.39999999999999997
CDM-759,0.4428765238655171,0.11763447201012368,6.474237478210527,0.6598765142221453,0.2529,0.17838689093412347,19.0,simdrop,6,2.7142857142857144,0.6998542122237652
CDR-764,0.4019488719518281,0.1707308040874381,6.393026524611112,0.5920317418071622,0.210725,0.08500605370599594,18.0,simdrop,5,3.0,0.5773502691896257
CDU-767,0.4096247517753544,0.15649762168658854,6.565930487315789,0.6988614402617767,0.20625,0.0590726953281576,19.0,simdrop,5,3.1666666666666665,1.0671873729054748
SGO-159,0.45519237046064137,0.11955988194796278,6.4016273585,0.6411605462785708,0.20390714285714287,0.06635808992806452,36.0,simdrop,11,3.0,1.1547005383792515
SIU-211,0.4976106263876364,0.1694599278237792,6.432574712958334,0.6245600459970438,0.3042416666666667,0.23426325307743903,24.0,simdrop,5,4.0,1.0
SIZ-390,0.4698552772234439,0.20220246760273808,6.487649293647059,0.7368110846558632,0.22564285714285712,0.07131668475055135,17.0,simdrop,3,4.25,0.4330127018922193
SKE-234,0.4855373408190752,0.13041339876394178,6.367286678035714,0.5901612156050691,0.1805153846153846,0.045238126363976186,28.0,simdrop,10,2.5454545454545454,0.6555547773570889
SMK-401,0.4889797731118688,0.17268307897114818,6.505736243916666,0.6386501812982434,0.3325909090909091,0.27244856562127634,24.0,simdrop,8,2.6666666666666665,1.2472191289246473
SNI-300,0.4768277349014795,0.12568821042677972,6.410085361555556,0.7165080740130801,0.21834000000000003,0.05441415665472033,18.0,simdrop,4,3.6,1.3564659966250536
SNR-308,0.46893135034656813,0.12235596315219298,6.4474940810625,0.50021963577484,0.1896875,0.08066439181660554,16.0,simdrop,4,3.2,0.7483314773547882
SNT-310,0.5019476931141436,0.14514671449791142,6.5527510436666665,0.662045831084206,0.19957272727272726,0.05519219312383031,27.0,simdrop,6,3.857142857142857,1.4568627181693672
SNV-312,0.4928955563543897,0.10440562836420891,6.720283500611111,0.6347825840931732,0.22183333333333333,0.0611524542979811,18.0,simdrop,4,3.6,1.2000000000000002
SNY-315,0.4726457087909511,0.15534980381014193,6.54664250795,0.72035354184348,0.2145875,0.08916800254896053,20.0,simdrop,3,5.0,1.4142135623730951
SOE-320,0.48769111866696085,0.12828033378582848,6.626689191461538,0.5771547370537824,0.1429,,13.0,simdrop,4,2.6,1.019803902718557
SOQ-329,0.4463873387245075,0.13436214524810824,6.499542490043479,0.5674727375287706,0.25614615384615386,0.07901615462870672,23.0,simdrop,6,3.2857142857142856,0.6998542122237652
SOX-335,0.43239574155607186,0.17585230944172545,6.655072126909091,0.6779379246922526,0.23764,0.11406512613415197,11.0,simdrop,2,3.6666666666666665,0.4714045207910317
SPA-338,0.47934073683444606,0.19966960695726158,6.471152199294117,0.9048534114424266,0.31385,0.2851909986557881,17.0,simdrop,6,2.4285714285714284,0.9035079029052513
SPC-340,0.4472492297029078,0.11043953988116892,6.499437326400001,0.651974245789699,0.20794444444444446,0.0467006721341115,20.0,simdrop,6,2.857142857142857,0.989743318610787
SPH-344,0.5229184571733326,0.11774385180513625,6.5737674871,0.7010935793451064,0.19763333333333333,0.053589209112780666,10.0,simdrop,3,2.5,1.118033988749895
SPL-436,0.4627922221989144,0.19289766463985594,6.540703819235294,0.7089803103214902,0.2958375,0.2883785257385557,17.0,simdrop,4,3.4,1.019803902718557
SPV-450,0.5184689174426855,0.11480656941664326,6.504031099368421,0.5597194806775284,0.23215,0.06183421383020892,19.0,simdrop,5,3.1666666666666665,1.4624940645653537
SPX-452,0.5086031632423198,0.11623643028949651,6.453645362363637,0.7176798636230398,0.23689999999999997,0.09275252018139453,22.0,simdrop,6,3.142857142857143,0.8329931278350428
SRF-483,0.4326723462809504,0.12229883711512843,6.615934784625,0.6299980407865635,0.4476,0.214427889977027,16.0,simdrop,5,2.6666666666666665,1.9720265943665387
SRR-498,0.43959989978870406,0.13096419236494594,6.532058767,0.5199468758827097,0.25832499999999997,0.08763455844205144,18.0,simdrop,5,3.0,0.816496580927726
SSG-520,0.5694954869317012,0.20148514523047306,6.751145306375,0.6917239142542806,0.6125,0.4479118216792229,16.0,simdrop,5,2.6666666666666665,0.9428090415820634
SSZ-539,0.4852888351899109,0.09416003765057065,6.485443646769231,0.6588822594537521,0.17425,0.010677312395916868,13.0,simdrop,3,3.25,0.82915619758885
SUG-544,0.508519875072344,0.17919610745306577,6.5358109356,0.555220093690128,0.3258571428571429,0.30226316821131693,15.0,simdrop,4,3.0,0.6324555320336759
SUT-556,0.4312992818439022,0.11969679861825112,6.620866158599999,0.6137537362482876,0.19843333333333332,0.07650629603721078,15.0,simdrop,3,3.75,0.82915619758885
SUV-558,0.47717263795377174,0.09628768627601562,6.316534983736842,0.5978328158694746,0.1702625,0.02652346333235646,19.0,simdrop,5,3.1666666666666665,0.6871842709362768
SVA-563,0.458156909810817,0.25303463566469137,6.37790043747619,0.7261653057321801,0.379475,0.38638999820684505,21.0,simdrop,5,3.5,0.7637626158259734
SVH-570,0.45026239312331834,0.11304044810818734,6.3854671668666665,0.5493864388402436,0.2285857142857143,0.09895302637398934,15.0,simdrop,3,3.75,1.479019945774904
SVY-587,0.5161477259950495,0.0915247003149977,6.385397893421053,0.7304456323812385,0.20001666666666665,0.06995742753036784,19.0,simdrop,5,3.1666666666666665,0.6871842709362768
SZA-781,0.5684833435742145,0.08900857642583475,6.303591460882353,0.5307749355485716,0.2333333333333333,0.08816021400457993,17.0,simdrop,5,2.8333333333333335,0.6871842709362768
