Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.483333333333333,2.8313228160859527,forage_dynamic,8.449385352209637,1.3324503159656294,4.163666743496199,0.9182785673990569,,
delta_rise=0.0_fall=0.0,9.483333333333333,2.8313228160859527,forage_phonologicaldynamicglobal,8.516872259729146,1.4000197538263164,4.376992264667508,1.2001886815252227,-0.028727088340255176,0.08482229712637761
delta_rise=0.0_fall=0.0,9.483333333333333,2.8313228160859527,forage_phonologicaldynamiclocal,8.54397773824741,1.3907736640648378,4.7241630357509194,1.5726373950381953,-0.13845251806858203,0.41258192757304646
delta_rise=0.0_fall=0.0,9.483333333333333,2.8313228160859527,forage_phonologicaldynamicswitch,8.467485974202367,1.3474732547458383,4.1638973035527735,0.9177227532625779,-0.07469609692671213,0.4470709434225323
delta_rise=0.0_fall=0.25,8.766666666666667,2.771080816015457,forage_dynamic,8.516418241914362,1.3292537243295504,4.136003875024653,0.8854205947498466,,
delta_rise=0.0_fall=0.25,8.766666666666667,2.771080816015457,forage_phonologicaldynamicglobal,8.587651913821711,1.3968816786732268,4.362940962305845,1.1925270222360727,-0.03060078624880252,0.08576347497763305
delta_rise=0.0_fall=0.25,8.766666666666667,2.771080816015457,forage_phonologicaldynamiclocal,8.617665824859255,1.3853130806468879,4.678320094128998,1.5086561133092706,-0.1104342131103697,0.32433708803581174
delta_rise=0.0_fall=0.25,8.766666666666667,2.771080816015457,forage_phonologicaldynamicswitch,8.535042014980649,1.3419809625459955,4.136609334863268,0.8846352477632655,-0.07418387633770246,0.4480924711466833
delta_rise=0.0_fall=0.5,7.816666666666666,2.6362325812079295,forage_dynamic,8.591935617461877,1.34463183666956,3.9949639903867156,0.8737289278725416,,
delta_rise=0.0_fall=0.5,7.816666666666666,2.6362325812079295,forage_phonologicaldynamicglobal,8.663874102345453,1.4149690962760246,4.20841597163547,1.1801110239569699,-0.03052987843995804,0.08502450117550131
delta_rise=0.0_fall=0.5,7.816666666666666,2.6362325812079295,forage_phonologicaldynamiclocal,8.685335647063976,1.3881904776849476,4.42670817972866,1.3928180550297724,-0.06449590471587877,0.12190677205224282
delta_rise=0.0_fall=0.5,7.816666666666666,2.6362325812079295,forage_phonologicaldynamicswitch,8.606116852630027,1.3588501047761434,3.9956677174072794,0.87304882697818,-0.10222274688628685,0.5757948487360126
delta_rise=0.0_fall=0.75,6.9,2.399305455057081,forage_dynamic,8.682697906837879,1.3301009015212912,3.8671168465353407,0.8468336066105242,,
delta_rise=0.0_fall=0.75,6.9,2.399305455057081,forage_phonologicaldynamicglobal,8.761037887468522,1.4076447808391965,4.072144366573117,1.1501276421632904,-0.03019084787449146,0.08471114673297479
delta_rise=0.0_fall=0.75,6.9,2.399305455057081,forage_phonologicaldynamiclocal,8.768837949312845,1.3890315893058345,4.212717650126948,1.296069655472528,-0.05209363748392814,0.11636904545831361
delta_rise=0.0_fall=0.75,6.9,2.399305455057081,forage_phonologicaldynamicswitch,8.69678038420712,1.3451693629371624,3.867862189729928,0.8460081223341223,-0.143285677726897,0.5586051455919954
delta_rise=0.0_fall=1.0,5.583333333333333,2.4919314240609074,forage_dynamic,8.809729034106608,1.3150253874081503,3.6255052436061366,0.8658857673069499,,
delta_rise=0.0_fall=1.0,5.583333333333333,2.4919314240609074,forage_phonologicaldynamicglobal,8.89021470190955,1.404346260914111,3.805216176710459,1.1510054139484174,-0.028028060620302195,0.08486615733626283
delta_rise=0.0_fall=1.0,5.583333333333333,2.4919314240609074,forage_phonologicaldynamiclocal,8.891919459682375,1.3804660386710872,3.894696082025929,1.251126622580218,-0.04401509429365004,0.10752899746140408
delta_rise=0.0_fall=1.0,5.583333333333333,2.4919314240609074,forage_phonologicaldynamicswitch,8.830859740774644,1.3369134681392134,3.626331830923205,0.8654331535319776,-0.2411941891142986,0.8278414763753984
delta_rise=0.25_fall=0.0,10.283333333333333,2.9274087897357663,forage_dynamic,8.384964960904517,1.3541378177926477,4.35627608834037,0.9324020762597571,,
delta_rise=0.25_fall=0.0,10.283333333333333,2.9274087897357663,forage_phonologicaldynamicglobal,8.44765186779033,1.4072479285244892,4.601223774512857,1.2816713011332173,-0.029954676233057722,0.08677076620349576
delta_rise=0.25_fall=0.0,10.283333333333333,2.9274087897357663,forage_phonologicaldynamiclocal,8.47959317825687,1.4079244717772181,5.092639467274353,1.843411582599069,-0.18898447578252497,0.5283102195421314
delta_rise=0.25_fall=0.0,10.283333333333333,2.9274087897357663,forage_phonologicaldynamicswitch,8.401153385351352,1.3664566783652365,4.3565760902083355,0.9317333599502975,0.003480246008976404,0.09815025214195124
delta_rise=0.25_fall=0.25,9.583333333333334,2.888434793370893,forage_dynamic,8.45611560857191,1.3446733414223373,4.317149680821373,0.9051095549423663,,
delta_rise=0.25_fall=0.25,9.583333333333334,2.888434793370893,forage_phonologicaldynamicglobal,8.52218383326963,1.39803547865296,4.576027294139032,1.2805590848624908,-0.03177216328008429,0.08772386400600916
delta_rise=0.25_fall=0.25,9.583333333333334,2.888434793370893,forage_phonologicaldynamiclocal,8.556391439267893,1.3925538943429545,4.99845499179079,1.7148890454221675,-0.15394053906762162,0.4429695223097817
delta_rise=0.25_fall=0.25,9.583333333333334,2.888434793370893,forage_phonologicaldynamicswitch,8.473425133795363,1.3547216196478757,4.317779232887096,0.9040649538125156,0.002508587981240351,0.10694461745154028
delta_rise=0.25_fall=0.5,8.6,2.7580186124583475,forage_dynamic,8.540136770909388,1.3920044223334092,4.176705276125338,0.8990524581396334,,
delta_rise=0.25_fall=0.5,8.6,2.7580186124583475,forage_phonologicaldynamicglobal,8.609195510284318,1.4505434546150373,4.428600037462749,1.2850287153743218,-0.03214063807735851,0.08695724012660386
delta_rise=0.25_fall=0.5,8.6,2.7580186124583475,forage_phonologicaldynamiclocal,8.642488703825775,1.4349797805447588,4.78928954843356,1.665005343183332,-0.15040848291162648,0.4512916724003466
delta_rise=0.25_fall=0.5,8.6,2.7580186124583475,forage_phonologicaldynamicswitch,8.552428092802352,1.4000211286573523,4.177315042960786,0.8982834487183973,0.002742930942857544,0.10034902729282041
delta_rise=0.25_fall=0.75,7.55,2.5782746168707473,forage_dynamic,8.640505757501503,1.3657602967292775,4.010147198044031,0.8572910494589057,,
delta_rise=0.25_fall=0.75,7.55,2.5782746168707473,forage_phonologicaldynamicglobal,8.71648291505818,1.4294198678341254,4.242101165095216,1.1984030377819006,-0.031248023282120816,0.08534185962894877
delta_rise=0.25_fall=0.75,7.55,2.5782746168707473,forage_phonologicaldynamiclocal,8.737918437765574,1.4231388727496643,4.501996363057177,1.49420856133189,-0.12754621465691537,0.4091163400662313
delta_rise=0.25_fall=0.75,7.55,2.5782746168707473,forage_phonologicaldynamicswitch,8.650476221235037,1.3745970546038504,4.010820595171949,0.8563709252881536,-0.07046827384047741,0.4208370709780599
delta_rise=0.25_fall=1.0,6.15,2.6884010117540127,forage_dynamic,8.781915740450943,1.348627488735828,3.753065743618184,0.8775361235591482,,
delta_rise=0.25_fall=1.0,6.15,2.6884010117540127,forage_phonologicaldynamicglobal,8.860195528686306,1.421615153224397,3.9600688987375205,1.2078152231822838,-0.02911328409949304,0.08552777998064956
delta_rise=0.25_fall=1.0,6.15,2.6884010117540127,forage_phonologicaldynamiclocal,8.869249378988098,1.4127278342407856,4.143266985806845,1.484002692176136,-0.12241768650653233,0.44894523872138664
delta_rise=0.25_fall=1.0,6.15,2.6884010117540127,forage_phonologicaldynamicswitch,8.799625412997933,1.3644673035133283,3.7537984342745645,0.8769530441795602,-0.18417427483262497,0.7742699990699582
delta_rise=0.5_fall=0.0,11.383333333333333,3.4404053378764674,forage_dynamic,8.29086011409644,1.3870757904783289,4.637276593675878,0.9526374492919731,,
delta_rise=0.5_fall=0.0,11.383333333333333,3.4404053378764674,forage_phonologicaldynamicglobal,8.351682221493304,1.432861568883821,4.883417086068743,1.2423540804204223,-0.030294963590413674,0.08662912223725655
delta_rise=0.5_fall=0.0,11.383333333333333,3.4404053378764674,forage_phonologicaldynamiclocal,8.380793778810082,1.4227984665904436,5.555370147325385,2.1009424998512256,-0.24633414057299963,0.6070028594585786
delta_rise=0.5_fall=0.0,11.383333333333333,3.4404053378764674,forage_phonologicaldynamicswitch,8.303387813674078,1.394316122342495,4.6368056202017,0.9523701965451237,0.0004036523162074049,0.08645592880602421
delta_rise=0.5_fall=0.25,10.7,3.3481338085566414,forage_dynamic,8.356053602701122,1.3758490906860257,4.59283313216441,0.9383565341794398,,
delta_rise=0.5_fall=0.25,10.7,3.3481338085566414,forage_phonologicaldynamicglobal,8.423189854433675,1.421897239815524,4.853398489455281,1.2416176916549035,-0.03250806921562018,0.0877420391624064
delta_rise=0.5_fall=0.25,10.7,3.3481338085566414,forage_phonologicaldynamiclocal,8.456706076925213,1.4101372183154859,5.48239142381859,2.0525006506099386,-0.19846830808606114,0.5315792908960991
delta_rise=0.5_fall=0.25,10.7,3.3481338085566414,forage_phonologicaldynamicswitch,8.367941721397784,1.3826392425783696,4.592563302022741,0.9379530000554922,0.004140416017874837,0.08912660191194685
delta_rise=0.5_fall=0.5,9.6,3.261901286060018,forage_dynamic,8.4665470015982,1.4165562068422293,4.443469803943767,0.8871021183266434,,
delta_rise=0.5_fall=0.5,9.6,3.261901286060018,forage_phonologicaldynamicglobal,8.538649901861602,1.46841458261716,4.70064217221417,1.2238306124738387,-0.03331945529260263,0.08710166090246117
delta_rise=0.5_fall=0.5,9.6,3.261901286060018,forage_phonologicaldynamiclocal,8.569305128079234,1.447645645166584,5.194904162132079,1.8898554705475414,-0.18795726146759492,0.5231620218014654
delta_rise=0.5_fall=0.5,9.6,3.261901286060018,forage_phonologicaldynamicswitch,8.477794830741106,1.4232689209157554,4.443325879651735,0.8866258059280876,0.004233088253178126,0.08816631592323276
delta_rise=0.5_fall=0.75,8.566666666666666,3.046126866840725,forage_dynamic,8.572383487245892,1.3918151085944939,4.2740555394963184,0.8533908733749258,,
delta_rise=0.5_fall=0.75,8.566666666666666,3.046126866840725,forage_phonologicaldynamicglobal,8.651595319909363,1.4495936864277559,4.516768703845677,1.1588557904220997,-0.03294078123950473,0.08553864417880455
delta_rise=0.5_fall=0.75,8.566666666666666,3.046126866840725,forage_phonologicaldynamiclocal,8.669335545921738,1.4443341570610186,4.8179658622116515,1.5008468288544083,-0.1347958890855233,0.4240335325915551
delta_rise=0.5_fall=0.75,8.566666666666666,3.046126866840725,forage_phonologicaldynamicswitch,8.585552123554129,1.397245594867133,4.274186992004555,0.852648152768292,-0.034842190095452946,0.2861571554270858
delta_rise=0.5_fall=1.0,7.05,3.1645168140913182,forage_dynamic,8.73752231536275,1.3686262121729547,3.9886404510334184,0.8731488364746617,,
delta_rise=0.5_fall=1.0,7.05,3.1645168140913182,forage_phonologicaldynamicglobal,8.82002551042549,1.4370592149366785,4.204575532282545,1.165173396424081,-0.0308807446188088,0.08537404014156887
delta_rise=0.5_fall=1.0,7.05,3.1645168140913182,forage_phonologicaldynamiclocal,8.826808130572005,1.4378104541115377,4.407893211522902,1.4587858098940045,-0.12723555806146067,0.4630639244477045
delta_rise=0.5_fall=1.0,7.05,3.1645168140913182,forage_phonologicaldynamicswitch,8.757477003603732,1.3775835351556946,3.9890717714576445,0.872598779831076,-0.11612081923252902,0.6538245472021966
delta_rise=0.75_fall=0.0,12.666666666666666,3.86724133660618,forage_dynamic,8.149004982190554,1.449760222819162,4.858727698709421,1.0989531893802822,,
