Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.333333333333334,2.7848798098940564,forage_dynamic,8.177320945731255,1.3376470375955138,3.0834656461249477,0.591167598806567,,
delta_rise=0.0_fall=0.0,9.333333333333334,2.7848798098940564,forage_phonologicaldynamicglobal,8.25534849790649,1.4040593974457085,3.298326667637435,0.8379012666022899,-0.039194033817088615,0.09488172226265505
delta_rise=0.0_fall=0.0,9.333333333333334,2.7848798098940564,forage_phonologicaldynamiclocal,8.29243993027916,1.3892399363680186,3.65105329342482,1.2431472701291673,-0.15077126526156928,0.3861436927979506
delta_rise=0.0_fall=0.0,9.333333333333334,2.7848798098940564,forage_phonologicaldynamicswitch,8.194373403984397,1.3559866894196106,3.0834650728174755,0.5910930783675715,-0.0397265998561072,0.3308869071480201
delta_rise=0.0_fall=0.25,8.416666666666666,2.770629691764832,forage_dynamic,8.253376833543951,1.3309703125036658,3.0146876113390224,0.5802282733345204,,
delta_rise=0.0_fall=0.25,8.416666666666666,2.770629691764832,forage_phonologicaldynamicglobal,8.339747268128045,1.3984004752804617,3.2295532100850326,0.8316067633819996,-0.040397552714429706,0.09463783642988718
delta_rise=0.0_fall=0.25,8.416666666666666,2.770629691764832,forage_phonologicaldynamiclocal,8.358246749852718,1.3880377844780973,3.490656097504901,1.1334389108118266,-0.13962003374040138,0.3870012597825562
delta_rise=0.0_fall=0.25,8.416666666666666,2.770629691764832,forage_phonologicaldynamicswitch,8.271848456188572,1.34502812144507,3.0147208966018497,0.5799124028437177,-0.08295700186629869,0.4439381651483066
delta_rise=0.0_fall=0.5,7.266666666666667,2.3865363092891663,forage_dynamic,8.339949472948778,1.3319180276176459,2.928854291988342,0.5514745127972501,,
delta_rise=0.0_fall=0.5,7.266666666666667,2.3865363092891663,forage_phonologicaldynamicglobal,8.433055343803792,1.4050089832478394,3.1359201842196147,0.7865348389495863,-0.040876566585066096,0.09297033545279454
delta_rise=0.0_fall=0.5,7.266666666666667,2.3865363092891663,forage_phonologicaldynamiclocal,8.438489362429449,1.3921343981028733,3.283382694248759,0.9809934432210201,-0.09722327576544323,0.308595019378493
delta_rise=0.0_fall=0.5,7.266666666666667,2.3865363092891663,forage_phonologicaldynamicswitch,8.355270264601971,1.3440103523279812,2.9289652219484825,0.5512989294726519,-0.1276434222708102,0.5338896057807897
delta_rise=0.0_fall=0.75,6.366666666666666,2.2133433734712042,forage_dynamic,8.412479589609196,1.3333611987535035,2.859975024147038,0.5611977454195902,,
delta_rise=0.0_fall=0.75,6.366666666666666,2.2133433734712042,forage_phonologicaldynamicglobal,8.50681618719606,1.4071456388735772,3.0512389006186824,0.7427334099185281,-0.039948967708124596,0.08773935974998917
delta_rise=0.0_fall=0.75,6.366666666666666,2.2133433734712042,forage_phonologicaldynamiclocal,8.519029630114286,1.4067119242801827,3.186807853062062,0.8891478425796158,-0.09917123622500003,0.31612090678281923
delta_rise=0.0_fall=0.75,6.366666666666666,2.2133433734712042,forage_phonologicaldynamicswitch,8.418312315647109,1.3359543060388461,2.860251049983845,0.5610888922253314,-0.1859423732360267,0.6394324792155871
delta_rise=0.0_fall=1.0,5.166666666666667,1.9593082679580793,forage_dynamic,8.483278409397672,1.3276809185354865,2.6566047918237614,0.5665809699877289,,
delta_rise=0.0_fall=1.0,5.166666666666667,1.9593082679580793,forage_phonologicaldynamicglobal,8.574119986107403,1.400777513678276,2.8317968126642774,0.7858893300325985,-0.03691327832637898,0.08870456357704135
delta_rise=0.0_fall=1.0,5.166666666666667,1.9593082679580793,forage_phonologicaldynamiclocal,8.579431940608982,1.3980801052117715,2.9025894727788053,0.8650724808625975,-0.05182210210208782,0.115507874312037
delta_rise=0.0_fall=1.0,5.166666666666667,1.9593082679580793,forage_phonologicaldynamicswitch,8.486710299273309,1.3309337643540322,2.6568379228821923,0.5665408070471925,-0.2766660054668292,0.8736454038399738
delta_rise=0.25_fall=0.0,10.266666666666667,3.1510139461590594,forage_dynamic,8.150945830256017,1.3760373996155044,3.3142864014527103,0.6258859572307498,,
delta_rise=0.25_fall=0.0,10.266666666666667,3.1510139461590594,forage_phonologicaldynamicglobal,8.227941733740042,1.4384072001218973,3.542790422049411,0.8306068013933092,-0.04109684223147491,0.09436814982762451
delta_rise=0.25_fall=0.0,10.266666666666667,3.1510139461590594,forage_phonologicaldynamiclocal,8.269913642911755,1.4273829526590405,3.944225299266454,1.2403975868620385,-0.1670987865570948,0.4277367256134887
delta_rise=0.25_fall=0.0,10.266666666666667,3.1510139461590594,forage_phonologicaldynamicswitch,8.16882824369476,1.3934470980711011,3.314188124048779,0.6259292299937705,-0.03693189418211114,0.3158409146115702
delta_rise=0.25_fall=0.25,9.316666666666666,3.090262484356664,forage_dynamic,8.237406398027925,1.3662158867697463,3.2362374577047976,0.6155923495566,,
delta_rise=0.25_fall=0.25,9.316666666666666,3.090262484356664,forage_phonologicaldynamicglobal,8.326454933094105,1.4339375845933062,3.4679280918816793,0.8217377710914027,-0.042760673761636656,0.09475223315076904
delta_rise=0.25_fall=0.25,9.316666666666666,3.090262484356664,forage_phonologicaldynamiclocal,8.348520206883908,1.4223511014423391,3.7452229800362256,1.0981329242373123,-0.15234018190446705,0.43028815636694234
delta_rise=0.25_fall=0.25,9.316666666666666,3.090262484356664,forage_phonologicaldynamicswitch,8.260516950398703,1.3836176094468369,3.2361028597564636,0.6155075620060582,-0.09582437393141989,0.5329353991875327
delta_rise=0.25_fall=0.5,8.133333333333333,2.7535835237417845,forage_dynamic,8.32421067021242,1.3695482920079933,3.129886017804951,0.5645230643094169,,
delta_rise=0.25_fall=0.5,8.133333333333333,2.7535835237417845,forage_phonologicaldynamicglobal,8.420022133787992,1.4425959726913378,3.355224311883697,0.7691158613786391,-0.043470509358792396,0.09295820043825213
delta_rise=0.25_fall=0.5,8.133333333333333,2.7535835237417845,forage_phonologicaldynamiclocal,8.430331560095162,1.4286363527715633,3.5194235677919616,0.9629972204753275,-0.10162128220107146,0.3066439413911547
delta_rise=0.25_fall=0.5,8.133333333333333,2.7535835237417845,forage_phonologicaldynamicswitch,8.343417632540783,1.3845010730881722,3.1298131530441213,0.5645358457619039,-0.12166651251442458,0.5155371267523365
delta_rise=0.25_fall=0.75,7.25,2.48746859276655,forage_dynamic,8.398050051702972,1.3699942138012562,3.0513140115547333,0.5543311300884863,,
delta_rise=0.25_fall=0.75,7.25,2.48746859276655,forage_phonologicaldynamicglobal,8.49576134772773,1.4436963199437283,3.258440992429375,0.7054429294277099,-0.042561555485928285,0.08737507382464911
delta_rise=0.25_fall=0.75,7.25,2.48746859276655,forage_phonologicaldynamiclocal,8.514095888721823,1.4426936710756997,3.413866705620011,0.8565787175282711,-0.10507683454509748,0.3214349296298525
delta_rise=0.25_fall=0.75,7.25,2.48746859276655,forage_phonologicaldynamicswitch,8.407971044866171,1.37474304072148,3.0513348060695886,0.5543345457007962,-0.1480695849108983,0.5706614604946608
delta_rise=0.25_fall=1.0,6.033333333333333,2.2801072099550255,forage_dynamic,8.476710627636022,1.3616380347948807,2.827113800593926,0.5570478311712914,,
delta_rise=0.25_fall=1.0,6.033333333333333,2.2801072099550255,forage_phonologicaldynamicglobal,8.571271999719636,1.4349934354384664,3.0175198550319258,0.7609555167587744,-0.03941210648963293,0.08864851577536857
delta_rise=0.25_fall=1.0,6.033333333333333,2.2801072099550255,forage_phonologicaldynamiclocal,8.579761940724802,1.4344270301689128,3.0995856698000868,0.8531963737133997,-0.05575923127970181,0.11957666641372466
delta_rise=0.25_fall=1.0,6.033333333333333,2.2801072099550255,forage_phonologicaldynamicswitch,8.484960104012597,1.3694885535414083,2.827146852415035,0.5570371050351828,-0.19228779088796408,0.814291932100029
delta_rise=0.5_fall=0.0,11.416666666666666,3.620735038941986,forage_dynamic,8.078263455405445,1.3968124228627583,3.511972759785969,0.7376705956076846,,
delta_rise=0.5_fall=0.0,11.416666666666666,3.620735038941986,forage_phonologicaldynamicglobal,8.146179458262017,1.4485361916849753,3.7304906251057814,0.8639285615333856,-0.03963643743748212,0.08958273376124762
delta_rise=0.5_fall=0.0,11.416666666666666,3.620735038941986,forage_phonologicaldynamiclocal,8.210673017694047,1.4425848917603252,4.371568684442053,1.4935239659662254,-0.22605486594749225,0.4937459161906963
delta_rise=0.5_fall=0.0,11.416666666666666,3.620735038941986,forage_phonologicaldynamicswitch,8.093743388398327,1.4046614002195081,3.5116459296550024,0.7377615768934118,-0.0379601129351235,0.3354632441684444
delta_rise=0.5_fall=0.25,10.45,3.5656930135201863,forage_dynamic,8.173156175416292,1.3872830331321013,3.4322382166304246,0.7044281315143637,,
delta_rise=0.5_fall=0.25,10.45,3.5656930135201863,forage_phonologicaldynamicglobal,8.252330008232963,1.4429066302844527,3.658911620619292,0.8449201663803321,-0.04176112350919978,0.0901750243187912
delta_rise=0.5_fall=0.25,10.45,3.5656930135201863,forage_phonologicaldynamiclocal,8.299516466654444,1.4411751785954892,4.132949278855309,1.3260813750027607,-0.17745933802639077,0.4182293030733879
delta_rise=0.5_fall=0.25,10.45,3.5656930135201863,forage_phonologicaldynamicswitch,8.19090241519607,1.394398208443696,3.431928097878354,0.7043984696704492,-0.04792166968594481,0.36700006695828835
delta_rise=0.5_fall=0.5,9.216666666666667,3.261347710516143,forage_dynamic,8.26367597078409,1.3871384466545913,3.311906768677214,0.6420929926354558,,
