Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.433333333333334,2.697941602201369,forage_dynamic,8.514400787792901,1.5094761443670406,3.0340249235357377,0.5973311249616147,,
delta_rise=0.0_fall=0.0,9.433333333333334,2.697941602201369,forage_phonologicaldynamicglobal,8.597894631152602,1.5803053274740113,3.2279369612944193,0.8452776378823832,-0.03414111482296588,0.08932920733602308
delta_rise=0.0_fall=0.0,9.433333333333334,2.697941602201369,forage_phonologicaldynamiclocal,8.664687729057126,1.570648535356975,3.4841125361675083,1.0956925590331612,-0.0787186914327786,0.14712034513912292
delta_rise=0.0_fall=0.0,9.433333333333334,2.697941602201369,forage_phonologicaldynamicswitch,8.530112560261875,1.5221771930169978,3.0341703116523333,0.5970566173858137,-0.08196821263610828,0.4546253202178128
delta_rise=0.0_fall=0.25,8.566666666666666,2.4519833242137317,forage_dynamic,8.616982085100382,1.4778257576231542,3.0054790545789363,0.5973311675919726,,
delta_rise=0.0_fall=0.25,8.566666666666666,2.4519833242137317,forage_phonologicaldynamicglobal,8.709821831194363,1.5584686371577072,3.2157048325816175,0.8869424419500267,-0.036766349122941196,0.09421103896055714
delta_rise=0.0_fall=0.25,8.566666666666666,2.4519833242137317,forage_phonologicaldynamiclocal,8.776790301943521,1.541433618470234,3.473409590749566,1.1269303803338733,-0.08372929604798521,0.1443579219816702
delta_rise=0.0_fall=0.25,8.566666666666666,2.4519833242137317,forage_phonologicaldynamicswitch,8.634017584416508,1.4906286785709515,3.0056166583541577,0.5971136071058673,-0.10904017198694918,0.5384908143707676
delta_rise=0.0_fall=0.5,7.65,2.3581419239166532,forage_dynamic,8.72217102410758,1.4529991846775352,2.901850222117765,0.6069017703546968,,
delta_rise=0.0_fall=0.5,7.65,2.3581419239166532,forage_phonologicaldynamicglobal,8.82062549167375,1.5303476323392582,3.1140057284958655,0.9170996120619591,-0.03688006068425808,0.09509590042794877
delta_rise=0.0_fall=0.5,7.65,2.3581419239166532,forage_phonologicaldynamiclocal,8.876187322409477,1.5171649516376144,3.318234183608172,1.0830056186216332,-0.07688609794387417,0.13461896303994317
delta_rise=0.0_fall=0.5,7.65,2.3581419239166532,forage_phonologicaldynamicswitch,8.735148728141194,1.465900041154156,2.901970722233806,0.6065623879994918,-0.14180656538853478,0.5945770660826712
delta_rise=0.0_fall=0.75,6.383333333333334,2.3100625292162307,forage_dynamic,8.837932635100184,1.454874693707688,2.8020373808926977,0.5693481970621271,,
delta_rise=0.0_fall=0.75,6.383333333333334,2.3100625292162307,forage_phonologicaldynamicglobal,8.953754967297629,1.550784352525233,3.0118297154256135,0.8663687453635827,-0.03821708386993625,0.09526495474674117
delta_rise=0.0_fall=0.75,6.383333333333334,2.3100625292162307,forage_phonologicaldynamiclocal,8.99432904338063,1.5303122600078074,3.157129784340444,1.0062445129859146,-0.06687277244006957,0.12386181936868089
delta_rise=0.0_fall=0.75,6.383333333333334,2.3100625292162307,forage_phonologicaldynamicswitch,8.849353482545775,1.4625506779180188,2.8021345309730257,0.569013195500654,-0.21181467374827756,0.7161678665549127
delta_rise=0.0_fall=1.0,5.35,2.3081377775167584,forage_dynamic,8.940218486452476,1.4656206192376156,2.6812115491422874,0.5329701787271705,,
delta_rise=0.0_fall=1.0,5.35,2.3081377775167584,forage_phonologicaldynamicglobal,9.062071811940374,1.5726645706164093,2.8695316212991715,0.7825660839282309,-0.036160941794897226,0.0906527241672725
delta_rise=0.0_fall=1.0,5.35,2.3081377775167584,forage_phonologicaldynamiclocal,9.091718547234457,1.563516658710976,2.971450588425577,0.8763516872735434,-0.05659274385959922,0.11223734738543395
delta_rise=0.0_fall=1.0,5.35,2.3081377775167584,forage_phonologicaldynamicswitch,8.950845390192168,1.4768826552534224,2.6814792103640235,0.5327757270342641,-0.33845101833603786,0.863625493878398
delta_rise=0.25_fall=0.0,10.316666666666666,2.9182852651666678,forage_dynamic,8.451401099253875,1.5165752753135988,3.223423222854872,0.6545106367593883,,
