Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
SUG-544,forage_static,9.992002773481962,2.4901497789313796,,77.90053388676185
SUG-544,forage_dynamic_simdrop,9.580111000680569,3.2716864244689323,,76.39287246765196
SUG-544,forage_dynamic_multimodal_alpha=0.0,9.80102077345243,2.4153674935870537,,78.44144460968566
SUG-544,forage_dynamic_multimodal_alpha=0.1,9.60955241706845,2.4769374735452616,,78.95157987362754
SUG-544,forage_dynamic_multimodal_alpha=0.2,9.609549661576978,2.4769373730548025,,78.9515798736234
SUG-544,forage_dynamic_multimodal_alpha=0.30000000000000004,9.609543718649,2.4769375615210443,,78.95157987362026
SUG-544,forage_dynamic_multimodal_alpha=0.4,9.609540789501626,2.476936841420149,,78.95157987362185
SUG-544,forage_dynamic_multimodal_alpha=0.5,9.609536924076904,2.476937623510119,,78.95157987362639
SUG-544,forage_dynamic_multimodal_alpha=0.6000000000000001,9.742504047643495,2.883583972064031,,77.58602821238436
SUG-544,forage_dynamic_multimodal_alpha=0.7000000000000001,9.74250435114086,2.88358497454493,,77.58602821238404
SUG-544,forage_dynamic_multimodal_alpha=0.8,9.580119182451156,3.271688204286983,,76.39287246771336
SUG-544,forage_dynamic_multimodal_alpha=0.9,9.580091933275169,3.271681316457328,,76.39287246758772
SUG-544,forage_dynamic_multimodal_alpha=1.0,9.580086052706944,3.2716845028301336,,76.39287246757317
SUG-544,forage_dynamic_norms_associative,9.249295576376843,4.193917929073489,,76.21515916003679
SUG-544,forage_dynamic_norms_categorical,8.951599511159776,3.6672900946894718,,76.21760989983228
SUG-544,forage_dynamic_delta_rise=0.0_fall=0.0,8.877291303910033,3.8250303594179167,,76.84251150566503
SUG-544,forage_dynamic_delta_rise=0.0_fall=0.25,9.362827312558624,3.491060907196737,,75.85125653095015
SUG-544,forage_dynamic_delta_rise=0.0_fall=0.5,9.362833876671479,3.491061768641883,,75.85125653094696
SUG-544,forage_dynamic_delta_rise=0.0_fall=0.75,9.39383792082578,2.8730131688712004,,77.73922104356362
