Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.620233639246834,1.3969131010419107,,162.11526129144366
CAF-657,forage_dynamic_simdrop,8.382938108758083,2.70518423309562,,154.74768557109093
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.508749423903687,1.2746386069035542,,162.89632388610676
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.448942217983173,1.9791888431774074,,160.32306654679286
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.448941549883576,1.9791884375946285,,160.32306654679533
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.517625698818444,2.3597276309568023,,158.02668280357753
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.517628053716155,2.3597257603078434,,158.02668280358742
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.37943857159458,2.6205583005497006,,155.5324335739517
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.379430545654433,2.620560492595499,,155.53243357394922
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.483064786471727,2.639571221830875,,155.1129517435595
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.382959229213702,2.7051845211251444,,154.7476855711808
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.382932615467203,2.7051848249289514,,154.74768557109996
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.382953990179297,2.705185547676296,,154.74768557114527
CAF-657,forage_dynamic_norms_associative,8.445040959710209,3.539768821312852,,156.58013466914306
CAF-657,forage_dynamic_norms_categorical,8.044211685712666,2.652552273610341,,158.9174667837624
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,7.97527912364651,3.0189625340004884,,153.79645274635826
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,7.975270344813958,3.0189630144270603,,153.7964527463425
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,7.975258801922774,3.018962311653968,,153.796452746369
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.287481586571023,2.7609823910150335,,154.123877510756
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.37725863391977,2.6787679836828233,,154.36311307981634
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.204207977891693,3.7925415403089984,,151.24473627571558
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.204214182484499,3.7925428479386705,,151.244736275711
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.204209098105224,3.7925431160373773,,151.24473627571084
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.55861337604656,3.563968800600978,,151.348013647601
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.641303515853181,3.415730467865245,,151.8421209357486
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.0723410506251,3.80272192175936,,151.96407509893885
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.072329810111373,3.802721517929964,,151.96407509894252
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.072337311426644,3.802723094970135,,151.96407509893442
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.558612101553429,3.5639690998155515,,151.34801364759966
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.641289198418676,3.4157296317248798,,151.84212093570176
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,8.072339481747584,3.802721210752029,,151.96407509893723
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,8.072330466385004,3.802722830650632,,151.96407509893973
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,8.072342945773718,3.8027232887128024,,151.96407509894487
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,8.558601740793623,3.563967530085916,,151.34801364761617
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.641283334925356,3.4157283675191428,,151.8421209357085
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.8778327015036185,4.508303056991188,,157.24988056430573
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,7.877824994179509,4.50830605847057,,157.24988056428373
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,7.877831970392432,4.508304880021894,,157.24988056430286
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,7.972963813403706,4.180343604232024,,157.34374231068372
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.171987022779934,3.895701171901438,,155.7399704156517
CAF-657,forage_phonologicalstatic,8.576826034182488,1.3613134721487676,0.019612183526265724,162.04480166850163
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.394335237340941,2.7255409987771455,-0.005693366042256245,154.74207140306044
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.454422365409162,2.8545711567769754,-0.04087484781652858,154.5497614232207
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.359149880831499,2.705416205830339,0.07263381516335027,154.45891430046805
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.465388706490511,1.239068173698325,0.022587943546617823,162.80263398109975
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.43649055681717,1.215176764521185,0.03766655080783176,162.65181539344275
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.500121829361932,1.274027516707285,-2.0612876677901975,162.18860649627186
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.422463879050765,1.9423177383906478,0.01572622693255502,160.2782311773656
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.335561063816172,1.812728716398451,0.07251067359094816,159.62331674553502
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.451064027247543,1.979247724144445,-0.1811402390294478,159.2568391495977
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.422468896891868,1.9423191672422089,0.01572626128370422,160.27823117735738
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.33555727508035,1.8127318607141512,0.07251060445378564,159.62331674553957
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.45105328611197,1.9792473072277776,-0.1811405461548685,159.25683914957025
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.502350450104517,2.336261301439517,0.008238380462989017,158.0145465182872
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.463964128025424,2.259942210904137,0.03553527173910946,157.86251819828647
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.53526455993223,2.3600357147385855,-0.0678427587304156,157.82248138351224
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.502354263240543,2.3362609327494015,0.008238437962040114,158.0145465182838
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.463957084178077,2.2599425858473228,0.03553524419531501,157.86251819828152
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.53527037724831,2.3600379049764144,-0.06784273391880614,157.8224813835048
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.385102338469943,2.630809092083637,-0.002956340759577648,155.5309131003005
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.393335481866085,2.6487823958041803,-0.00811092568879129,155.52431034336388
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.377386249114105,2.62057442419743,0.00961009857589605,155.52772047283682
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.38509556456228,2.6308091981320993,-0.0029563364503166776,155.53091310029208
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.393328504745288,2.648781872412247,-0.008110832952476745,155.52431034336936
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.377375829325757,2.6205742181704306,0.009610050822795377,155.52772047284307
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.492583413364253,2.65554389309883,-0.0045905290122586935,155.109297438374
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.531696169561963,2.7268243178558835,-0.024771560190212816,155.03443315580853
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,8.474545621726437,2.6395933997675405,0.05173384052695989,154.98697164912457
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,8.394340098145852,2.7255415363056636,-0.0056934627425258184,154.74207140305566
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,8.454423197063267,2.8545730060589096,-0.04087491353844715,154.54976142322386
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,8.359147618207466,2.705416742151609,0.07263368111737922,154.4589143004652
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,8.394336188258007,2.7255416838489523,-0.005693408808268901,154.74207140305714
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,8.454431344371145,2.854570994102327,-0.04087487297741599,154.54976142321985
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,8.359139584450162,2.705415558098284,0.07263405244684583,154.45891430048087
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,8.394340682625977,2.725541694520449,-0.005693394852698625,154.74207140305506
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,8.454430620670978,2.854570483678185,-0.04087488010048505,154.5497614232193
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,8.359137145235964,2.705416946170909,0.0726337068002302,154.4589143004821
CAF-657,forage_phonologicaldynamicglobal_norms_associative,8.440670389689767,3.528407980284074,0.002359798948824074,156.57915620129967
CAF-657,forage_phonologicaldynamiclocal_norms_associative,8.492921085068918,3.7100977192628517,-0.034413238228268826,156.49259624349045
CAF-657,forage_phonologicaldynamicswitch_norms_associative,8.432236862646885,3.53953912781631,0.0294406603383472,156.49174826067852
CAF-657,forage_phonologicaldynamicglobal_norms_categorical,8.02900912443375,2.617349489925461,0.01106732236384235,158.89574503975234
CAF-657,forage_phonologicaldynamiclocal_norms_categorical,8.043853942241745,2.651542833693363,0.00031518014708009585,158.91745858715518
CAF-657,forage_phonologicaldynamicswitch_norms_categorical,8.039531853460025,2.6525907866298706,0.02041455386897645,158.87781378264765
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,8.000425854022307,3.0761633553107313,-0.01367502812002688,153.7649506349704
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,8.151371299141111,3.6136214421958224,-0.13176203520963806,152.43909822205575
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,7.912554848175073,3.021189979885459,0.10598804679230597,152.87763509978925
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,8.000424310293798,3.076164713834232,-0.01367508030924065,153.76495063496546
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,8.151380663205137,3.613620791946719,-0.13176202720624108,152.43909822204168
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,7.912544889960521,3.0211900539318424,0.10598806452647702,152.877635099813
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,8.00042012011887,3.0761649473548647,-0.013675065179761319,153.7649506349639
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,8.15137812330064,3.6136203871826447,-0.1317619911037714,152.43909822204202
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,7.912566995751929,3.0211899539039275,0.10598804247465146,152.87763509981792
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,8.312115452181489,2.8084037203554497,-0.012161210241298863,154.0986149298668
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,8.370081432766499,2.949938302998903,-0.04732192800989336,153.86278786328248
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,8.267537202161483,2.7614115046153316,0.06587522508451472,153.88928597270652
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,8.399217527955665,2.7195842766524705,-0.010811841184694191,154.34303344375874
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,8.474172994843318,2.889587025859364,-0.05436559324865623,154.00131077165665
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,8.34915204553273,2.6792653213667106,0.10484270772110531,153.8409765874267
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,8.265570572056326,3.936268916062034,-0.026877000745746022,151.12663286404307
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,8.625978854648524,5.670705109422263,-0.3001968335880482,147.30353325210612
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,8.100540513579135,3.7947860230083146,0.10869942930038624,150.04622134515932
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,8.265577214570007,3.9362666768727865,-0.026876959760279883,151.12663286404822
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,8.62597118254643,5.670704396054087,-0.3001966905018225,147.30353325210436
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.25,8.100543895937033,3.7947868520281975,0.1086994250499718,150.04622134515662
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.5,8.265568529358358,3.9362666660908205,-0.02687692130746989,151.12663286404336
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.5,8.625976348320883,5.670703686173699,-0.3001966535623763,147.303533252102
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.5,8.100534893522791,3.7947859702853446,0.10869941528295311,150.04622134517547
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.75,8.61317563271517,3.6815640601524726,-0.023500301981731267,151.2566903593382
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.75,8.733041972888678,4.114675079166206,-0.10358053696298668,150.4423013249931
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.75,8.51252582650441,3.5642562088455896,0.06507089172430952,151.00980444886395
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=1.0,8.690047351907609,3.517015884377283,-0.02093355170796652,151.76890471109593
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0,8.824285902538191,3.964695281857167,-0.10663804481827999,150.80923103620393
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=1.0,8.579327224247121,3.416057964995098,0.09010232044047413,151.24633476122466
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.5_fall=0.0,8.123629752294969,3.9300781650733474,-0.023814939164864712,151.8708107536339
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.0,8.434520094730942,5.558922548597573,-0.28077433330533835,148.63075847918586
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.5_fall=0.0,7.9900631861303415,3.8055557468032535,0.09044649495594145,151.07560275107983
