Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.233333333333333,2.5190386173212103,forage_dynamic,8.380503602528043,1.327613743407143,3.21902873791522,0.6122252150331947,,
delta_rise=0.0_fall=0.0,9.233333333333333,2.5190386173212103,forage_phonologicaldynamicglobal,8.459556646947053,1.3851195164695054,3.4081040553428616,0.7723712014292886,-0.03443912385249151,0.08311826590973288
delta_rise=0.0_fall=0.0,9.233333333333333,2.5190386173212103,forage_phonologicaldynamiclocal,8.48555203524932,1.3783559525968274,3.621140859757641,0.9719330855973571,-0.07289509513859783,0.13047352629287778
delta_rise=0.0_fall=0.0,9.233333333333333,2.5190386173212103,forage_phonologicaldynamicswitch,8.40518313100086,1.338518469558796,3.219131423845735,0.6116046667800128,-0.03343220348596201,0.2783790627139199
delta_rise=0.0_fall=0.25,8.583333333333334,2.3964673074247345,forage_dynamic,8.440782154580594,1.3352366177287596,3.1559504315233786,0.6222321539080663,,
delta_rise=0.0_fall=0.25,8.583333333333334,2.3964673074247345,forage_phonologicaldynamicglobal,8.524199573592542,1.3958338958234902,3.342467250548619,0.772114696536005,-0.03492470003934294,0.08312495253259239
delta_rise=0.0_fall=0.25,8.583333333333334,2.3964673074247345,forage_phonologicaldynamiclocal,8.547707040003969,1.3834666114666472,3.523507852871568,0.9624271616817385,-0.0684097664946761,0.12224231554879297
delta_rise=0.0_fall=0.25,8.583333333333334,2.3964673074247345,forage_phonologicaldynamicswitch,8.467696576273676,1.345213430610202,3.156143490335358,0.6216379330615457,-0.04316226001660396,0.3296847270996465
delta_rise=0.0_fall=0.5,7.383333333333334,2.058248986126044,forage_dynamic,8.547452159869762,1.3445595747862988,3.064024120210161,0.6328384789660911,,
delta_rise=0.0_fall=0.5,7.383333333333334,2.058248986126044,forage_phonologicaldynamicglobal,8.640901141487884,1.4195640226505446,3.25058015129851,0.789909322835085,-0.03582200772009413,0.084272569513434
delta_rise=0.0_fall=0.5,7.383333333333334,2.058248986126044,forage_phonologicaldynamiclocal,8.651990630406914,1.3965320663988636,3.3849998935159666,0.9243705163951862,-0.0641178375915257,0.11416579914100583
delta_rise=0.0_fall=0.5,7.383333333333334,2.058248986126044,forage_phonologicaldynamicswitch,8.578047717754261,1.3591580949608753,3.064316696542604,0.6323410083260557,-0.15063278672375563,0.5915818186311642
delta_rise=0.0_fall=0.75,6.433333333333334,1.7546762917669143,forage_dynamic,8.631993046568263,1.3223497523318697,2.9930043181342056,0.6001872096472445,,
delta_rise=0.0_fall=0.75,6.433333333333334,1.7546762917669143,forage_phonologicaldynamicglobal,8.73495888283085,1.406928557241808,3.1874439592079407,0.7929507506716045,-0.036989810634241185,0.08730249668549359
delta_rise=0.0_fall=0.75,6.433333333333334,1.7546762917669143,forage_phonologicaldynamiclocal,8.734801649815209,1.3857153154684787,3.283934680312689,0.9234131335517319,-0.05589159982161043,0.11737444546548269
delta_rise=0.0_fall=0.75,6.433333333333334,1.7546762917669143,forage_phonologicaldynamicswitch,8.661536558711896,1.336854115787219,2.993228460962541,0.5998344515960086,-0.21909509346614445,0.6820473521147259
delta_rise=0.0_fall=1.0,5.483333333333333,1.774745678181024,forage_dynamic,8.692165456010093,1.3223882282791144,2.806884173129076,0.708769534785527,,
delta_rise=0.0_fall=1.0,5.483333333333333,1.774745678181024,forage_phonologicaldynamicglobal,8.795560381626881,1.417342125100072,2.98562353746128,0.8962277294487895,-0.034434339742905336,0.08689635747155067
delta_rise=0.0_fall=1.0,5.483333333333333,1.774745678181024,forage_phonologicaldynamiclocal,8.781914581864948,1.3905291710879046,3.031717321077687,0.9901472170354786,-0.04157642681793725,0.11353277943744713
