Subject,Fluency_Item,Switch_Value,Switch_Method
CAF-657,lizard,2,simdrop
CAF-657,cat,0,simdrop
CAF-657,hawk,0,simdrop
CAF-657,dog,0,simdrop
CAF-657,turtle,1,simdrop
CAF-657,jellyfish,0,simdrop
CAF-657,bear,1,simdrop
CAF-657,ant,0,simdrop
CAF-657,mosquito,0,simdrop
CAF-657,frog,0,simdrop
CAF-657,tadpole,0,simdrop
CAF-657,fish,1,simdrop
CAF-657,shark,0,simdrop
CAF-657,dolphin,0,simdrop
CAF-657,gorilla,1,simdrop
CAF-657,monkey,0,simdrop
CAF-657,fly,1,simdrop
CAF-657,eagle,0,simdrop
CAF-657,toad,1,simdrop
CAF-657,rat,0,simdrop
CAF-657,mouse,0,simdrop
CAF-657,rodents,0,simdrop
CAF-657,fox,0,simdrop
CAF-657,american,1,simdrop
CAF-657,deer,0,simdrop
CAF-657,squirrel,0,simdrop
CAF-657,rabbit,0,simdrop
CAF-657,bird,2,simdrop
CAF-657,lizard,2,multimodal_alpha=0.0
CAF-657,cat,0,multimodal_alpha=0.0
CAF-657,hawk,0,multimodal_alpha=0.0
CAF-657,dog,0,multimodal_alpha=0.0
CAF-657,turtle,0,multimodal_alpha=0.0
CAF-657,jellyfish,0,multimodal_alpha=0.0
CAF-657,bear,0,multimodal_alpha=0.0
CAF-657,ant,1,multimodal_alpha=0.0
CAF-657,mosquito,0,multimodal_alpha=0.0
CAF-657,frog,0,multimodal_alpha=0.0
CAF-657,tadpole,0,multimodal_alpha=0.0
CAF-657,fish,0,multimodal_alpha=0.0
CAF-657,shark,0,multimodal_alpha=0.0
CAF-657,dolphin,0,multimodal_alpha=0.0
CAF-657,gorilla,0,multimodal_alpha=0.0
CAF-657,monkey,0,multimodal_alpha=0.0
CAF-657,fly,0,multimodal_alpha=0.0
CAF-657,eagle,0,multimodal_alpha=0.0
CAF-657,toad,0,multimodal_alpha=0.0
CAF-657,rat,0,multimodal_alpha=0.0
CAF-657,mouse,0,multimodal_alpha=0.0
CAF-657,rodents,0,multimodal_alpha=0.0
CAF-657,fox,0,multimodal_alpha=0.0
CAF-657,american,0,multimodal_alpha=0.0
CAF-657,deer,0,multimodal_alpha=0.0
CAF-657,squirrel,1,multimodal_alpha=0.0
CAF-657,rabbit,0,multimodal_alpha=0.0
CAF-657,bird,2,multimodal_alpha=0.0
CAF-657,lizard,2,multimodal_alpha=0.1
CAF-657,cat,0,multimodal_alpha=0.1
CAF-657,hawk,1,multimodal_alpha=0.1
CAF-657,dog,0,multimodal_alpha=0.1
CAF-657,turtle,1,multimodal_alpha=0.1
CAF-657,jellyfish,0,multimodal_alpha=0.1
CAF-657,bear,0,multimodal_alpha=0.1
CAF-657,ant,1,multimodal_alpha=0.1
CAF-657,mosquito,0,multimodal_alpha=0.1
CAF-657,frog,1,multimodal_alpha=0.1
CAF-657,tadpole,0,multimodal_alpha=0.1
CAF-657,fish,1,multimodal_alpha=0.1
CAF-657,shark,0,multimodal_alpha=0.1
CAF-657,dolphin,0,multimodal_alpha=0.1
CAF-657,gorilla,0,multimodal_alpha=0.1
CAF-657,monkey,0,multimodal_alpha=0.1
CAF-657,fly,1,multimodal_alpha=0.1
CAF-657,eagle,0,multimodal_alpha=0.1
CAF-657,toad,1,multimodal_alpha=0.1
CAF-657,rat,0,multimodal_alpha=0.1
CAF-657,mouse,0,multimodal_alpha=0.1
CAF-657,rodents,0,multimodal_alpha=0.1
CAF-657,fox,0,multimodal_alpha=0.1
CAF-657,american,1,multimodal_alpha=0.1
CAF-657,deer,0,multimodal_alpha=0.1
CAF-657,squirrel,1,multimodal_alpha=0.1
CAF-657,rabbit,0,multimodal_alpha=0.1
CAF-657,bird,2,multimodal_alpha=0.1
CAF-657,lizard,2,multimodal_alpha=0.2
CAF-657,cat,0,multimodal_alpha=0.2
CAF-657,hawk,1,multimodal_alpha=0.2
CAF-657,dog,0,multimodal_alpha=0.2
CAF-657,turtle,1,multimodal_alpha=0.2
CAF-657,jellyfish,0,multimodal_alpha=0.2
CAF-657,bear,0,multimodal_alpha=0.2
CAF-657,ant,1,multimodal_alpha=0.2
CAF-657,mosquito,0,multimodal_alpha=0.2
CAF-657,frog,1,multimodal_alpha=0.2
CAF-657,tadpole,0,multimodal_alpha=0.2
CAF-657,fish,1,multimodal_alpha=0.2
CAF-657,shark,0,multimodal_alpha=0.2
CAF-657,dolphin,0,multimodal_alpha=0.2
CAF-657,gorilla,0,multimodal_alpha=0.2
CAF-657,monkey,0,multimodal_alpha=0.2
CAF-657,fly,1,multimodal_alpha=0.2
CAF-657,eagle,0,multimodal_alpha=0.2
