Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.343431480586379,0.175405117652944,6.444160556310345,0.6742164081974249,0.23791666666666667,0.24645396336964445,29.0,simdrop,9,2.9,0.9433981132056604
CAJ-663,0.3030320988259416,0.09613912156966828,6.3768877516,0.5534749914937721,0.21406,0.0689835117175756,20.0,simdrop,5,3.3333333333333335,1.3743685418725538
CAM-666,0.33512618228727115,0.1093784615831082,6.48513155476,0.6996652114355795,0.24007142857142855,0.10038282911410885,25.0,simdrop,6,3.5714285714285716,1.498298354528788
CAP-671,0.3062879570020459,0.10443652289839217,6.595618874157895,0.5621615070582914,0.21737499999999998,0.12137964938866105,19.0,simdrop,5,3.1666666666666665,0.6871842709362768
CAQ-672,0.32853244066052645,0.0898939141087414,6.425805833869566,0.719114660792031,0.21225714285714287,0.049361755004688174,23.0,simdrop,7,2.875,0.9270248108869579
CAR-673,0.3701210183495014,0.11177479732660633,6.412154535130434,0.6814475184314862,0.21871428571428572,0.0564309438922603,23.0,simdrop,7,2.875,0.7806247497997998
CAS-674,0.40393236071491073,0.10702813223081185,6.252170835619047,0.5814287110389366,0.2012,0.06977401617603313,21.0,simdrop,5,3.5,0.7637626158259734
CAV-678,0.3608325338128048,0.10440463176738636,6.236770977535714,0.7050775914147552,0.21656,0.12998257319092177,28.0,simdrop,8,3.111111111111111,0.8748897637790901
CAY-681,0.3773930965676412,0.2201721957495789,6.425839630695651,0.6623917148577366,0.5198333333333334,0.3814716800323016,23.0,simdrop,7,2.875,1.2686114456365274
CBD-686,0.36768175260551794,0.11487995255259421,6.419095621952382,0.5718806120634556,0.2311,0.06097971559695664,21.0,simdrop,5,3.5,2.217355782608345
CBF-691,0.34989683361100965,0.09899862893311517,6.395402671263158,0.565275349963876,0.19446666666666668,0.061258999338872654,19.0,simdrop,6,2.7142857142857144,0.6998542122237652
CBH-693,0.37776218347500207,0.2195601327618877,6.389208598583333,0.6423534433802018,0.31529999999999997,0.32317111144520216,24.0,simdrop,8,2.6666666666666665,0.6666666666666666
CBJ-697,0.35446683987345623,0.11934119704618319,6.267520979434783,0.5974621880220403,0.28827142857142857,0.23654466607306762,23.0,simdrop,5,3.8333333333333335,1.0671873729054748
CBL-698,0.4245268765341395,0.19146487661863174,6.1542527981,0.6682860804979142,0.391875,0.29460451819830796,20.0,simdrop,5,3.3333333333333335,1.5986105077709065
CBM-702,0.3873484195765076,0.20556724677410107,6.2669650489999995,0.6392147621851951,0.35914285714285715,0.3228167727848242,27.0,simdrop,8,3.0,0.816496580927726
CBP-707,0.3455542595085151,0.09220322424664798,6.426971202071429,0.595494114644735,0.22637142857142858,0.10528050966007771,28.0,simdrop,9,2.8,0.7483314773547882
CBS-711,0.3605615569920205,0.12604364279940164,6.260002499041666,0.6797548562548887,0.18812222222222222,0.05554391905910532,24.0,simdrop,6,3.4285714285714284,1.049781318335648
CBW-715,0.36376722596499284,0.09364462493223441,6.3748033285,0.558242655579542,0.23888333333333334,0.05234005795436862,18.0,simdrop,3,4.5,2.0615528128088303
CCB-720,0.29323472122843347,0.12940146483681794,6.314433697928571,0.580432354570715,0.19721666666666668,0.04658233212996819,14.0,simdrop,4,2.8,0.7483314773547882
CCC-721,0.3181618902740336,0.09516440663867191,6.8124379824,0.5986519320213568,0.210725,0.050991200221214644,15.0,simdrop,5,2.5,0.7637626158259734
CCD-722,0.3122625560016542,0.10918578093560735,6.376748685827586,0.6050713176776548,0.21375000000000002,0.08096223056325572,29.0,simdrop,8,3.2222222222222223,0.7856742013183862
CCF-724,0.3116754840334685,0.11138519069905527,6.692817220888888,0.4904837196442181,0.31224285714285716,0.16316303561308299,18.0,simdrop,3,4.5,1.118033988749895
CCH-726,0.35045410657787496,0.11537327405649551,6.543690395652175,0.7236100657252736,0.184,0.035771616841129394,23.0,simdrop,6,3.2857142857142856,1.2777531299998797
CCL-730,0.35260690201726286,0.16852730982146605,6.519394399,0.6849803448573388,0.37105000000000005,0.3735986014427784,24.0,simdrop,7,3.0,1.118033988749895
CCX-744,0.27564214603629406,0.1298497260867174,6.738666615666666,0.571077994658705,0.2361222222222222,0.10239794648548593,18.0,simdrop,4,3.6,1.3564659966250538
CDG-753,0.39432922815725957,0.17103953544080353,6.346388401374999,0.6824393242268838,0.2855875,0.29494671885661944,24.0,simdrop,5,4.0,1.9148542155126762
CDH-754,0.3690729474188061,0.19887416669008087,6.334237794642857,0.6643653433635454,0.35545714285714286,0.31045819287596443,14.0,simdrop,3,3.5,1.5
CDM-759,0.3021599864495722,0.06854333350669994,6.474237478210527,0.6598765142221453,0.2529,0.17838689093412347,19.0,simdrop,6,2.7142857142857144,1.0301575072754257
CDR-764,0.29444134267559885,0.13148896431006316,6.393026524611112,0.5920317418071622,0.210725,0.08500605370599594,18.0,simdrop,5,3.0,0.5773502691896257
CDU-767,0.3100586418649691,0.15264931243679106,6.565930487315789,0.6988614402617769,0.20625,0.0590726953281576,19.0,simdrop,5,3.1666666666666665,1.0671873729054748
SGO-159,0.33648321702376144,0.08392073822562982,6.4016273585,0.6411605462785708,0.20390714285714287,0.06635808992806452,36.0,simdrop,11,3.0,1.0801234497346435
SIU-211,0.35626318956801806,0.179588743278567,6.432574712958334,0.6245600459970438,0.3042416666666667,0.23426325307743903,24.0,simdrop,6,3.4285714285714284,1.498298354528788
SIZ-390,0.3239432249248015,0.14161920746157822,6.487649293647059,0.7368110846558632,0.22564285714285712,0.07131668475055135,17.0,simdrop,3,4.25,0.4330127018922193
SKE-234,0.36649803603240155,0.1058358877629816,6.367286678035714,0.5901612156050691,0.1805153846153846,0.04523812636397618,28.0,simdrop,8,3.111111111111111,1.1967032904743342
SMK-401,0.36311297620830113,0.1774013868660271,6.505736243916666,0.6386501812982434,0.3325909090909091,0.27244856562127634,24.0,simdrop,6,3.4285714285714284,1.2936264483053452
SNI-300,0.39176612823781526,0.10862726953750534,6.410085361555556,0.7165080740130801,0.21834000000000003,0.054414156654720325,18.0,simdrop,5,3.0,0.5773502691896257
