Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.29894322246396765,7.013143358,0.0001
CAF-657,hawk,0.27063306046830904,6.384581525,0.0001
CAF-657,dog,0.2608692568732067,7.256114028,0.3333
CAF-657,turtle,0.21809991016066588,6.229758099,0.0001
CAF-657,jellyfish,0.33940863598788495,5.224579675,0.0001
CAF-657,bear,0.19725279113744643,7.366226929,0.1429
CAF-657,ant,0.24713591400928547,6.426146105,0.0001
CAF-657,mosquito,0.3869156530826505,6.026549198,0.1429
CAF-657,frog,0.36140884263529327,6.319346573,0.0001
CAF-657,tadpole,0.5214940543587702,5.208922147,0.0001
CAF-657,fish,0.3459383526312254,7.344814258,0.0001
CAF-657,shark,0.4758510737976642,6.054603863,0.0001
CAF-657,dolphin,0.5044402432961951,5.864843201,0.1667
CAF-657,gorilla,0.3588766536110959,5.657093158,0.1667
CAF-657,monkey,0.3837193819820639,6.401926546,0.0001
CAF-657,fly,0.10862712148415954,7.029176525,0.0001
CAF-657,eagle,0.3315547722581198,6.640854253,0.0001
CAF-657,toad,0.31757298077343377,5.885895277,0.0001
CAF-657,rat,0.4501367914865738,6.766463413,0.0001
CAF-657,mouse,0.4571258685994932,6.776846046,0.0001
CAF-657,rodents,0.23837225967028552,5.818422536,0.1429
CAF-657,rodents,1.0,5.818422536,1.0
CAF-657,fox,0.2500141675943346,6.849727181,0.1429
CAF-657,american,0.08244017760169242,8.145126466,0.125
CAF-657,deer,0.06460437303217648,6.706983738,0.125
CAF-657,squirrel,0.37969686759234444,6.080840335,0.0001
CAF-657,rabbit,0.45202145927634085,6.568628649,0.1667
CAF-657,bird,0.31292757055393383,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.22941845663485783,7.284544989,0.1429
CAJ-663,elephant,0.3265655320679959,6.363660295,0.2857
CAJ-663,zebra,0.47020702482107735,5.561689192,0.1429
CAJ-663,horse,0.3703213758260413,7.396710537,0.2
CAJ-663,cat,0.1711663690168197,7.013143358,0.0001
CAJ-663,dog,0.4305070683486725,7.256114028,0.0001
CAJ-663,reptile,0.2984206703339858,5.656324398,0.0001
CAJ-663,turtle,0.29507691154228444,6.229758099,0.3333
CAJ-663,dolphin,0.3326255400660114,5.864843201,0.1667
CAJ-663,penguin,0.39797595620446835,6.25042049,0.2857
CAJ-663,buffalo,0.2618949593164823,6.710471006,0.0001
CAJ-663,kangaroo,0.34021436254071813,5.566218227,0.0001
CAJ-663,goose,0.2788742704283096,6.301955793,0.1667
CAJ-663,duck,0.3426579091306381,6.439638803,0.0001
CAJ-663,swan,0.2905961757716746,6.23145965,0.0001
CAJ-663,monkey,0.2716691082037096,6.401926546,0.0001
CAJ-663,primate,0.08981405688550959,5.892763902,0.0001
CAJ-663,lion,0.1545026634052551,6.723957079,0.1667
CAJ-663,tiger,0.40510146714838,6.38952206,0.25
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.4305070683486725,7.256114028,0.0001
CAM-666,reptile,0.2984206703339858,5.656324398,0.0001
CAM-666,australian,0.1727140590734224,6.530851419,0.1111
CAM-666,goat,0.21281181105850344,6.365838461,0.1111
CAM-666,water,0.22307303647036514,8.128616304,0.25
CAM-666,bear,0.1766561076426516,7.366226929,0.0001
CAM-666,firefly,0.19048295442738716,5.169268746,0.0001
CAM-666,fly,0.3154222183269213,7.029176525,0.3333
CAM-666,ant,0.2484198066880452,6.426146105,0.0001
CAM-666,bird,0.28343115158048504,7.119400245,0.0001
CAM-666,eagle,0.5050860258943801,6.640854253,0.0001
CAM-666,moose,0.3078922956304313,5.977754233,0.0001
CAM-666,deer,0.46982308649104154,6.706983738,0.0001
CAM-666,mouse,0.323864351743131,6.776846046,0.0001
CAM-666,duck,0.3816404159502288,6.439638803,0.0001
