Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.3382381433537433,0.18164043855591153,6.444160556310345,0.6742164081974249,0.23791666666666667,0.24645396336964445,29.0,simdrop,8,3.2222222222222223,1.1331154474650633
CAJ-663,0.2892931299176458,0.12327184844436177,6.3768877516,0.5534749914937721,0.21406,0.0689835117175756,20.0,simdrop,6,2.857142857142857,1.456862718169367
CAM-666,0.3405509572630257,0.11711626680723355,6.48513155476,0.6996652114355795,0.24007142857142855,0.10038282911410885,25.0,simdrop,6,3.5714285714285716,1.3997084244475304
CAP-671,0.3097245538487141,0.10150384456587173,6.595618874157895,0.5621615070582914,0.21737499999999998,0.12137964938866105,19.0,simdrop,5,3.1666666666666665,0.6871842709362768
CAQ-672,0.3392600665585257,0.08896882129492417,6.425805833869566,0.719114660792031,0.21225714285714287,0.049361755004688174,23.0,simdrop,6,3.2857142857142856,1.2777531299998797
CAR-673,0.34879719575069507,0.10712813265698397,6.412154535130434,0.6814475184314862,0.21871428571428572,0.0564309438922603,23.0,simdrop,7,2.875,0.5994789404140899
CAS-674,0.38283730035059205,0.09423754928341325,6.252170835619047,0.5814287110389367,0.2012,0.06977401617603313,21.0,simdrop,6,3.0,0.5345224838248488
CAV-678,0.353706692921303,0.09374128246053991,6.236770977535714,0.7050775914147552,0.21656,0.12998257319092177,28.0,simdrop,8,3.111111111111111,0.5665577237325317
CAY-681,0.380976748471315,0.22540385845643165,6.425839630695651,0.6623917148577366,0.5198333333333334,0.3814716800323016,23.0,simdrop,5,3.8333333333333335,1.7716909687891083
CBD-686,0.35954169217169946,0.12077020011903691,6.419095621952382,0.5718806120634556,0.2311,0.06097971559695664,21.0,simdrop,7,2.625,0.8569568250501305
CBF-691,0.3248773476197166,0.122364247219125,6.395402671263158,0.565275349963876,0.19446666666666668,0.061258999338872654,19.0,simdrop,6,2.7142857142857144,1.2777531299998799
CBH-693,0.3889871524832094,0.23220717990794204,6.389208598583333,0.6423534433802018,0.31529999999999997,0.32317111144520216,24.0,simdrop,7,3.0,1.0
