Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,8.05,2.6672395218027694,forage_dynamic,8.746073852790262,1.3236645692643887,2.53018321956787,0.5660730575935783,,
delta_rise=0.0_fall=0.0,8.05,2.6672395218027694,forage_phonologicaldynamicglobal,8.831356697676087,1.4091563721468345,2.68165130245689,0.807301978351843,-0.03137103572494189,0.09986394539269826
delta_rise=0.0_fall=0.0,8.05,2.6672395218027694,forage_phonologicaldynamiclocal,8.905231479318298,1.425225035893251,2.9626701181955135,1.2337300106438187,-0.17155057938637633,0.515955357641189
delta_rise=0.0_fall=0.0,8.05,2.6672395218027694,forage_phonologicaldynamicswitch,8.762583708838113,1.3363868741283507,2.5307631099191337,0.5656801927662892,-0.09266903875051219,0.528000385537776
delta_rise=0.0_fall=0.25,7.466666666666667,2.4594488994262287,forage_dynamic,8.815575853634902,1.3094561605189263,2.5203747734084176,0.5580701094293381,,
delta_rise=0.0_fall=0.25,7.466666666666667,2.4594488994262287,forage_phonologicaldynamicglobal,8.912740227870987,1.4132262817169352,2.6833834429424273,0.8218494488927366,-0.03382445544731464,0.10337252115228256
delta_rise=0.0_fall=0.25,7.466666666666667,2.4594488994262287,forage_phonologicaldynamiclocal,8.986585445546085,1.4227464286839482,2.9539357574711684,1.2320450207956246,-0.14292353971568705,0.4431167413310531
delta_rise=0.0_fall=0.25,7.466666666666667,2.4594488994262287,forage_phonologicaldynamicswitch,8.836796165950178,1.3248190461349867,2.5213629818475023,0.5570788205893776,-0.11200750085824412,0.5614002366541082
delta_rise=0.0_fall=0.5,6.666666666666667,2.342837785440744,forage_dynamic,8.9293926008222,1.2791352191425531,2.4780140679582225,0.5767020666334771,,
delta_rise=0.0_fall=0.5,6.666666666666667,2.342837785440744,forage_phonologicaldynamicglobal,9.032860257174958,1.390199295359932,2.6416868897578527,0.8270495513144609,-0.034155349333493804,0.10170318377759548
delta_rise=0.0_fall=0.5,6.666666666666667,2.342837785440744,forage_phonologicaldynamiclocal,9.099491429451485,1.3936826491369154,2.892978255925309,1.238739355731723,-0.1391403660886196,0.44469904875136185
delta_rise=0.0_fall=0.5,6.666666666666667,2.342837785440744,forage_phonologicaldynamicswitch,8.945422333108011,1.2962932546707744,2.4788360965218805,0.5765371074617917,-0.15654391303244164,0.6492622850968306
delta_rise=0.0_fall=0.75,5.916666666666667,2.437838295612643,forage_dynamic,9.012453263321111,1.276567080534141,2.4174306189686092,0.5445144362470745,,
delta_rise=0.0_fall=0.75,5.916666666666667,2.437838295612643,forage_phonologicaldynamicglobal,9.120975030109332,1.3909341657416423,2.5805265728145446,0.8135793271141587,-0.03436043053225631,0.10179956283241423
delta_rise=0.0_fall=0.75,5.916666666666667,2.437838295612643,forage_phonologicaldynamiclocal,9.1698799098034,1.4025671747393298,2.7358778150636214,1.0325927513845337,-0.09573565537985812,0.32915641113829625
