Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.583333333333334,2.7220804951768454,forage_dynamic,8.18682747535355,1.3317995756669696,2.7658797815166154,0.5458638767367212,,
delta_rise=0.0_fall=0.0,9.583333333333334,2.7220804951768454,forage_phonologicaldynamicglobal,8.261842969774042,1.3958281700029416,2.9578112873094486,0.7339817260530624,-0.03984335657915229,0.09281184089615445
delta_rise=0.0_fall=0.0,9.583333333333334,2.7220804951768454,forage_phonologicaldynamiclocal,8.307246096159627,1.373510215222208,3.2524692497400562,1.0200287552255103,-0.12635802747206026,0.31508100745850925
delta_rise=0.0_fall=0.0,9.583333333333334,2.7220804951768454,forage_phonologicaldynamicswitch,8.199837490429836,1.3414600497778706,2.7660690119343827,0.5458731315567608,-0.06969242304272719,0.43334089808081044
delta_rise=0.0_fall=0.25,8.833333333333334,2.6278423764669667,forage_dynamic,8.252125926346448,1.3483971975483948,2.746035531999943,0.5310804513467816,,
delta_rise=0.0_fall=0.25,8.833333333333334,2.6278423764669667,forage_phonologicaldynamicglobal,8.337183186723205,1.4216293690258497,2.952164800962452,0.7473635832634521,-0.04259198840928665,0.09464833196169425
delta_rise=0.0_fall=0.25,8.833333333333334,2.6278423764669667,forage_phonologicaldynamiclocal,8.37172731586615,1.3948024637072685,3.1762104532979114,0.9133765380197065,-0.08755170650121508,0.13744884265536453
delta_rise=0.0_fall=0.25,8.833333333333334,2.6278423764669667,forage_phonologicaldynamicswitch,8.264377428505833,1.3650499629819264,2.7462654885201343,0.5311989623841101,-0.07264181576458409,0.42062974824827326
delta_rise=0.0_fall=0.5,7.7,2.485290056847825,forage_dynamic,8.34521381551199,1.3233990892076044,2.6564878442605293,0.5029897054654143,,
delta_rise=0.0_fall=0.5,7.7,2.485290056847825,forage_phonologicaldynamicglobal,8.436509147666195,1.396204284359915,2.8640375361616277,0.7507587981420834,-0.04356668909594003,0.09428527424170755
delta_rise=0.0_fall=0.5,7.7,2.485290056847825,forage_phonologicaldynamiclocal,8.468412756844087,1.373218829700959,3.037398355239141,0.8961970516122895,-0.07914423446160887,0.13221233199991034
delta_rise=0.0_fall=0.5,7.7,2.485290056847825,forage_phonologicaldynamicswitch,8.358040832943685,1.3416334753691046,2.6566977990618637,0.5031297786348737,-0.1181431552223622,0.5781952635386157
delta_rise=0.0_fall=0.75,6.5,2.4866309202077685,forage_dynamic,8.413426109947393,1.3106532019201782,2.5010237589902915,0.5328557728379013,,
delta_rise=0.0_fall=0.75,6.5,2.4866309202077685,forage_phonologicaldynamicglobal,8.506223077821039,1.3799884302321284,2.696006896226693,0.7893986804144868,-0.042078653013150155,0.09594152845739069
delta_rise=0.0_fall=0.75,6.5,2.4866309202077685,forage_phonologicaldynamiclocal,8.526786911062498,1.3606161427440338,2.828550670430132,0.9326018371390113,-0.06933980663065929,0.13144654647799892
delta_rise=0.0_fall=0.75,6.5,2.4866309202077685,forage_phonologicaldynamicswitch,8.42052830336258,1.3289979402159935,2.501322618765635,0.5328990661947083,-0.1687077954536747,0.6151946236415771
delta_rise=0.0_fall=1.0,5.416666666666667,2.1314444763013545,forage_dynamic,8.470708014443423,1.2865536064068357,2.4123066616076394,0.4825339932946235,,
delta_rise=0.0_fall=1.0,5.416666666666667,2.1314444763013545,forage_phonologicaldynamicglobal,8.570575924282782,1.3661745959023333,2.606646650212304,0.7651344190094889,-0.04264827710821604,0.09868144917807013
delta_rise=0.0_fall=1.0,5.416666666666667,2.1314444763013545,forage_phonologicaldynamiclocal,8.579783780394731,1.342978313046084,2.6978746326981553,0.8803345128325741,-0.061992048821450894,0.12854897147391178
delta_rise=0.0_fall=1.0,5.416666666666667,2.1314444763013545,forage_phonologicaldynamicswitch,8.476287064449966,1.3065538784558068,2.4124581525600495,0.482512210152015,-0.2817926087629251,0.8008169797441598
delta_rise=0.25_fall=0.0,10.433333333333334,3.067934520523902,forage_dynamic,8.153164969587657,1.3493166322847518,2.9097590022076636,0.5797930809756635,,
delta_rise=0.25_fall=0.0,10.433333333333334,3.067934520523902,forage_phonologicaldynamicglobal,8.228269425380455,1.415048065344348,3.1109366998912633,0.7423970172142089,-0.040006157738878174,0.09267323689580426
delta_rise=0.25_fall=0.0,10.433333333333334,3.067934520523902,forage_phonologicaldynamiclocal,8.283443194441666,1.406025672247668,3.6399649587345233,1.722906063184154,-0.185534135580288,0.45134170253474404
delta_rise=0.25_fall=0.0,10.433333333333334,3.067934520523902,forage_phonologicaldynamicswitch,8.167720672309716,1.358849254589873,2.909762148946602,0.5798150412678125,-0.03757254205831385,0.31561317826997054
delta_rise=0.25_fall=0.25,9.6,2.922327839240492,forage_dynamic,8.226957818982212,1.3611168668757199,2.8651153493251242,0.5335244644418822,,
delta_rise=0.25_fall=0.25,9.6,2.922327839240492,forage_phonologicaldynamicglobal,8.3137409924397,1.4394893539987235,3.083759607907276,0.7367634770239021,-0.043493444688623525,0.09514940782811407
delta_rise=0.25_fall=0.25,9.6,2.922327839240492,forage_phonologicaldynamiclocal,8.35459037261828,1.4189849046327176,3.3858760226876568,0.9984138247989732,-0.13035576253114542,0.3408384067536816
delta_rise=0.25_fall=0.25,9.6,2.922327839240492,forage_phonologicaldynamicswitch,8.237328709610352,1.3754882966051538,2.865285663576302,0.5337205833797399,-0.0743024580883156,0.4183591649132192
delta_rise=0.25_fall=0.5,8.5,2.6236107434856515,forage_dynamic,8.31471804843719,1.3325802330917127,2.7673299295039198,0.45877125854386586,,
delta_rise=0.25_fall=0.5,8.5,2.6236107434856515,forage_phonologicaldynamicglobal,8.408232269032192,1.4109243938949092,2.987290899813545,0.7023804705479721,-0.04459986058730918,0.09451581221156839
delta_rise=0.25_fall=0.5,8.5,2.6236107434856515,forage_phonologicaldynamiclocal,8.448025785213161,1.3885721199878254,3.23435213202193,0.9464700674192987,-0.11958598480071875,0.32079605487878354
delta_rise=0.25_fall=0.5,8.5,2.6236107434856515,forage_phonologicaldynamicswitch,8.3282350107586,1.3493198257384047,2.7674936655626805,0.4589813369499619,-0.07251618049681062,0.4119393324897443
delta_rise=0.25_fall=0.75,7.283333333333333,2.7085769121235765,forage_dynamic,8.368927276776187,1.3213165797587916,2.598345259132512,0.5053505433602481,,
delta_rise=0.25_fall=0.75,7.283333333333333,2.7085769121235765,forage_phonologicaldynamicglobal,8.463311584647805,1.39707797643267,2.804084188075492,0.75648231934815,-0.043039654076971634,0.09601783826282144
delta_rise=0.25_fall=0.75,7.283333333333333,2.7085769121235765,forage_phonologicaldynamiclocal,8.492311935734111,1.3800770107106457,2.982953938456325,0.9445871125987576,-0.10812127973687688,0.323324543316476
delta_rise=0.25_fall=0.75,7.283333333333333,2.7085769121235765,forage_phonologicaldynamicswitch,8.377830988052471,1.3385047354177562,2.598547858391486,0.5053638976314853,-0.14124697708404974,0.5539691119485067
delta_rise=0.25_fall=1.0,6.083333333333333,2.4034119265928777,forage_dynamic,8.453515580916324,1.2853898702914517,2.4933539147054073,0.44833835519735976,,
delta_rise=0.25_fall=1.0,6.083333333333333,2.4034119265928777,forage_phonologicaldynamicglobal,8.556056190688725,1.3703022060310601,2.6976431801178284,0.7333529948303428,-0.04352135178840707,0.09903682588023491
delta_rise=0.25_fall=1.0,6.083333333333333,2.4034119265928777,forage_phonologicaldynamiclocal,8.574676921681155,1.3507048922509628,2.8348688212814332,0.9105023464381857,-0.10285454926428081,0.33502070384780813
delta_rise=0.25_fall=1.0,6.083333333333333,2.4034119265928777,forage_phonologicaldynamicswitch,8.45980089838152,1.3050569031429962,2.493383980773338,0.4482354498144893,-0.2993540843889774,0.8349496080789767
delta_rise=0.5_fall=0.0,11.666666666666666,3.3747427885527648,forage_dynamic,8.058849639243311,1.367596024391426,3.067390235567002,0.6098563464234512,,
delta_rise=0.5_fall=0.0,11.666666666666666,3.3747427885527648,forage_phonologicaldynamicglobal,8.127000006364225,1.424721070594553,3.2618053725475744,0.7266219852032479,-0.03798449086950161,0.08891540842821068
delta_rise=0.5_fall=0.0,11.666666666666666,3.3747427885527648,forage_phonologicaldynamiclocal,8.220381918476132,1.4234418529797157,4.091732719522636,2.1825115962096895,-0.2848789268421163,0.6727633080463694
delta_rise=0.5_fall=0.0,11.666666666666666,3.3747427885527648,forage_phonologicaldynamicswitch,8.071104013503978,1.3738827709474906,3.0672922503492996,0.6096803482331488,-0.0005791861457457553,0.08968404590423083
delta_rise=0.5_fall=0.25,10.85,3.2548681488912368,forage_dynamic,8.125150747925696,1.3845036548236505,3.011733488954023,0.5631540811406854,,
delta_rise=0.5_fall=0.25,10.85,3.2548681488912368,forage_phonologicaldynamicglobal,8.200257751458642,1.443923481919403,3.2252116255943752,0.7147246216695445,-0.04158030873121231,0.09036880059661494
delta_rise=0.5_fall=0.25,10.85,3.2548681488912368,forage_phonologicaldynamiclocal,8.282172671014404,1.4355214963370388,3.800245589571512,1.6122324718006287,-0.21755625843708606,0.5689989615366821
delta_rise=0.5_fall=0.25,10.85,3.2548681488912368,forage_phonologicaldynamicswitch,8.134034969965457,1.3965344612854176,3.011793781739325,0.5630642131515261,-0.03959971638779789,0.3156307414158341
delta_rise=0.5_fall=0.5,9.783333333333333,3.168026024023302,forage_dynamic,8.21066491721697,1.3593519995909789,2.909006285575114,0.47427057815684515,,
delta_rise=0.5_fall=0.5,9.783333333333333,3.168026024023302,forage_phonologicaldynamicglobal,8.292099359790681,1.4173947710816057,3.1275979182265576,0.6774630630452863,-0.04326901710731132,0.09021472717014328
delta_rise=0.5_fall=0.5,9.783333333333333,3.168026024023302,forage_phonologicaldynamiclocal,8.365476113472,1.404894968046018,3.5938270109262844,1.4539109473826723,-0.20756603719523647,0.5680062191106633
delta_rise=0.5_fall=0.5,9.783333333333333,3.168026024023302,forage_phonologicaldynamicswitch,8.220491751424987,1.3740308713064657,2.909112415199829,0.4741746712034851,-0.0362764991669757,0.2776472240894554
delta_rise=0.5_fall=0.75,8.45,3.3586951831527276,forage_dynamic,8.299478240497288,1.3616232887010655,2.731269502453975,0.5323989650740204,,
delta_rise=0.5_fall=0.75,8.45,3.3586951831527276,forage_phonologicaldynamicglobal,8.3877611792837,1.4236423191314103,2.9408505007962327,0.7434446376105927,-0.0427097794155453,0.09265046611611792
delta_rise=0.5_fall=0.75,8.45,3.3586951831527276,forage_phonologicaldynamiclocal,8.44466163341973,1.4085778954767347,3.3317724667175606,1.476636261768811,-0.196661771051875,0.5728758407614739
delta_rise=0.5_fall=0.75,8.45,3.3586951831527276,forage_phonologicaldynamicswitch,8.314128828786764,1.3802282223028606,2.7313706675403275,0.5323058349893969,-0.0806223046773478,0.4167119063214806
delta_rise=0.5_fall=1.0,7.016666666666667,2.872232967957548,forage_dynamic,8.399612850733762,1.3403295025628583,2.624698288798773,0.4843102658388583,,
delta_rise=0.5_fall=1.0,7.016666666666667,2.872232967957548,forage_phonologicaldynamicglobal,8.50146512521044,1.422867152743439,2.839920235841704,0.7409253216923088,-0.04485972918249427,0.09940118752149753
delta_rise=0.5_fall=1.0,7.016666666666667,2.872232967957548,forage_phonologicaldynamiclocal,8.521099901563657,1.3958955739660337,3.0139777577740707,0.9589514083818839,-0.10775002039500602,0.32973604092832554
delta_rise=0.5_fall=1.0,7.016666666666667,2.872232967957548,forage_phonologicaldynamicswitch,8.413323030520338,1.3640048602635109,2.6246649246473064,0.4841126663493267,-0.22456870020241404,0.7126245828341281
delta_rise=0.75_fall=0.0,13.0,3.7682887362833544,forage_dynamic,7.974256975450686,1.3826690324083672,3.371330157030563,0.8135117904470881,,
delta_rise=0.75_fall=0.0,13.0,3.7682887362833544,forage_phonologicaldynamicglobal,8.033825428333198,1.4262052036208135,3.5524299419382626,0.8372284800810226,-0.03493534742564316,0.08238053179148118
delta_rise=0.75_fall=0.0,13.0,3.7682887362833544,forage_phonologicaldynamiclocal,8.109546212437552,1.4029566363764119,4.794596568410958,2.8934065215086835,-0.3389576212562162,0.7108426613106725
delta_rise=0.75_fall=0.0,13.0,3.7682887362833544,forage_phonologicaldynamicswitch,7.993797408165515,1.394792973280205,3.370871517840292,0.8130935861848632,-0.005523347290113726,0.08970445164224636
delta_rise=0.75_fall=0.25,12.366666666666667,3.807740654100393,forage_dynamic,8.01928979321389,1.4047333367642403,3.325049857770797,0.8035438587219462,,
delta_rise=0.75_fall=0.25,12.366666666666667,3.807740654100393,forage_phonologicaldynamicglobal,8.084517260335959,1.4478716637586277,3.5219307735076293,0.83763688701781,-0.03805223313960569,0.08264077723115514
delta_rise=0.75_fall=0.25,12.366666666666667,3.807740654100393,forage_phonologicaldynamiclocal,8.151981485433263,1.4235041358303573,4.448975577773414,2.305914423816409,-0.27948478970945784,0.6288443565116761
delta_rise=0.75_fall=0.25,12.366666666666667,3.807740654100393,forage_phonologicaldynamicswitch,8.036020912505329,1.4219200074181853,3.3247947960019104,0.8031668429241978,-0.007636982067361024,0.09111470554509578
delta_rise=0.75_fall=0.5,11.333333333333334,3.78006466728929,forage_dynamic,8.106761684027806,1.3890182111852958,3.235195564238485,0.7838769032469963,,
delta_rise=0.75_fall=0.5,11.333333333333334,3.78006466728929,forage_phonologicaldynamicglobal,8.18001422210435,1.4298651444900843,3.4431637417688323,0.8392369662907047,-0.040773039176743346,0.08310198512829342
delta_rise=0.75_fall=0.5,11.333333333333334,3.78006466728929,forage_phonologicaldynamiclocal,8.238240225390486,1.3987213687367868,4.258532150951144,2.271589548831865,-0.24589052653950969,0.5824337808097397
