Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.26927391333591,1.4678261889943465,,162.80983089314645
CAF-657,forage_dynamic_simdrop,8.52878816434289,3.503063990828343,,157.08556261536773
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.145277854230558,1.2572874100804328,,163.5925587500014
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.00679695257329,1.254315289293998,,163.8796270154591
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.006794406713933,1.254311305553373,,163.87962701546334
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.400705037477742,2.7302906681714756,,160.45209392381588
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.424424835737653,2.837058611058882,,159.7480327093782
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.47733733285346,3.336845226646854,,157.82534715586374
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.430543984427414,3.528866100322992,,157.23508636217568
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.430559153473062,3.5288698374794722,,157.23508636215837
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.430547220243307,3.5288678137761624,,157.23508636216042
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.430551383765348,3.5288727252640846,,157.23508636215684
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.528782954015558,3.5030708475759056,,157.08556261535463
CAF-657,forage_dynamic_norms_associative,8.177334008708334,4.361990993003173,,158.8404341348152
CAF-657,forage_dynamic_norms_categorical,7.929585464568054,2.343879388702314,,162.2332453992235
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.016558210617212,5.852262193279327,,151.128194025282
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.016567594286883,5.852265863602649,,151.1281940252607
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.11200446479534,5.768248456216738,,150.65091600522828
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.256105438647447,5.473827844866078,,150.43682235133437
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.535348949076239,4.578203962771223,,152.24020019431293
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.016567223646978,5.852263366590278,,151.12819402526625
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.016572422468428,5.852266172174696,,151.1281940252699
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.11202640429549,5.76826104099867,,150.6509160053109
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.256084829788142,5.473822467242004,,150.43682235132178
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.535360301954016,4.578201481541876,,152.2402001942853
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,7.955995266648435,6.003390135384542,,152.3596019889338
