Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.5493468897943917,7.013143358,0.0001
CAF-657,hawk,0.6102282185096869,6.384581525,0.0001
CAF-657,dog,0.6570933676807629,7.256114028,0.3333
CAF-657,turtle,0.4847677860008912,6.229758099,0.0001
CAF-657,jellyfish,0.4700388031292122,5.224579675,0.0001
CAF-657,bear,0.252527751070317,7.366226929,0.1429
CAF-657,ant,0.5356985431635146,6.426146105,0.0001
CAF-657,mosquito,0.5627674755945665,6.026549198,0.1429
CAF-657,frog,0.5721542822253763,6.319346573,0.0001
CAF-657,tadpole,0.6643164593506544,5.208922147,0.0001
CAF-657,fish,0.5215914029093887,7.344814258,0.0001
CAF-657,shark,0.7749463057896572,6.054603863,0.0001
CAF-657,dolphin,0.6779008983639557,5.864843201,0.1667
CAF-657,gorilla,0.45726277994850695,5.657093158,0.1667
CAF-657,monkey,0.5699973144483218,6.401926546,0.0001
CAF-657,fly,0.45224413023261345,7.029176525,0.0001
CAF-657,eagle,0.6781399617951556,6.640854253,0.0001
CAF-657,toad,0.5263240875714639,5.885895277,0.0001
CAF-657,rat,0.6373171508162443,6.766463413,0.0001
CAF-657,mouse,0.6775631422591651,6.776846046,0.0001
CAF-657,rodents,0.2573763042294728,5.818422536,0.1429
CAF-657,rodents,1.0,5.818422536,1.0
CAF-657,fox,0.3246086118959757,6.849727181,0.1429
CAF-657,american,0.1987553853426618,8.145126466,0.125
CAF-657,deer,0.14713363237358612,6.706983738,0.125
CAF-657,squirrel,0.6219478527615563,6.080840335,0.0001
CAF-657,rabbit,0.7145882945951142,6.568628649,0.1667
CAF-657,bird,0.6383842470452497,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.3926949390914478,7.284544989,0.1429
CAJ-663,elephant,0.4946944170052885,6.363660295,0.2857
CAJ-663,zebra,0.6754388002039613,5.561689192,0.1429
CAJ-663,horse,0.52887978605273,7.396710537,0.2
CAJ-663,cat,0.3512223875373188,7.013143358,0.0001
CAJ-663,dog,0.8634297066936644,7.256114028,0.0001
CAJ-663,reptile,0.6744390001841949,5.656324398,0.0001
CAJ-663,turtle,0.47736399616096703,6.229758099,0.3333
CAJ-663,dolphin,0.47372244511504524,5.864843201,0.1667
CAJ-663,penguin,0.4750094347439472,6.25042049,0.2857
CAJ-663,buffalo,0.3925761103264941,6.710471006,0.0001
CAJ-663,kangaroo,0.5113228805291631,5.566218227,0.0001
CAJ-663,goose,0.5495273671163892,6.301955793,0.1667
CAJ-663,duck,0.710451160170716,6.439638803,0.0001
CAJ-663,swan,0.5023269688994885,6.23145965,0.0001
CAJ-663,monkey,0.46208928803506466,6.401926546,0.0001
CAJ-663,primate,0.1240383855177688,5.892763902,0.0001
CAJ-663,lion,0.2868159261917689,6.723957079,0.1667
CAJ-663,tiger,0.772222776029251,6.38952206,0.25
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.8634297066936644,7.256114028,0.0001
CAM-666,reptile,0.6744390001841949,5.656324398,0.0001
CAM-666,australian,0.24788780394679444,6.530851419,0.1111
CAM-666,goat,0.31539733778586265,6.365838461,0.1111
CAM-666,water,0.4524678841635552,8.128616304,0.25
CAM-666,bear,0.29775672718152324,7.366226929,0.0001
CAM-666,firefly,0.36561766863601364,5.169268746,0.0001
CAM-666,fly,0.5801634580771305,7.029176525,0.3333
CAM-666,ant,0.4457238208205857,6.426146105,0.0001
CAM-666,bird,0.47403970149041763,7.119400245,0.0001
CAM-666,eagle,0.7655786165924093,6.640854253,0.0001
CAM-666,moose,0.5878417521330899,5.977754233,0.0001
CAM-666,deer,0.6206865731694301,6.706983738,0.0001
CAM-666,mouse,0.5208581402715671,6.776846046,0.0001
CAM-666,duck,0.7011649547159489,6.439638803,0.0001
CAM-666,crow,0.6450985570542037,6.398037974,0.0001
CAM-666,frog,0.7047391321636592,6.319346573,0.25
CAM-666,tadpole,0.6643164593506544,5.208922147,0.0001
CAM-666,caterpillar,0.7325463302294711,5.827004623,0.375
CAM-666,butterfly,0.5295947905140166,6.225709011,0.25
CAM-666,moth,0.49862582612025097,6.090354709,0.0001
CAM-666,gorilla,0.3416130678872704,5.657093158,0.0001
CAM-666,monkey,0.5699973144483218,6.401926546,0.0001
CAM-666,horse,0.3805185975767488,7.396710537,0.0001
CAP-671,african,0.0001,7.284544989,0.0001
CAP-671,elephant,0.4946944170052885,6.363660295,0.2857
CAP-671,lion,0.7061688695950962,6.723957079,0.4286
CAP-671,hippopotamus,0.6835872370678876,5.258390618,0.0909
CAP-671,bat,0.4082197949830205,6.527307346,0.0909
CAP-671,fish,0.32519263228431194,7.344814258,0.0001
CAP-671,shark,0.7749463057896572,6.054603863,0.0001
CAP-671,turtle,0.6045821716901608,6.229758099,0.0001
CAP-671,snake,0.6549682057277675,6.615078486,0.0001
CAP-671,dolphin,0.5892926397160491,5.864843201,0.0001
CAP-671,whale,0.5859164962061977,6.338615042,0.1667
CAP-671,chicken,0.4502255870219526,6.827585591,0.0001
CAP-671,cow,0.6224872935189835,6.679047222,0.2
CAP-671,horse,0.7149023031815266,7.396710537,0.0001
CAP-671,butterfly,0.24280534606869986,6.225709011,0.0001
CAP-671,bear,0.388012811008583,7.366226929,0.1429
CAP-671,deer,0.35908456306152814,6.706983738,0.3333
CAP-671,tiger,0.5475669434998095,6.38952206,0.0001
CAP-671,bird,0.6357811155913646,7.119400245,0.0001
CAQ-672,alligator,0.0001,5.714162885,0.0001
CAQ-672,water,0.5471921029995641,8.128616304,0.2857
CAQ-672,ostrich,0.3856568899175916,5.653586811,0.1667
CAQ-672,peacock,0.6151788404658547,6.002633379,0.0001
CAQ-672,bear,0.29278221720898223,7.366226929,0.0001
CAQ-672,tiger,0.3155574739396466,6.38952206,0.0001
CAQ-672,lion,0.772222776029251,6.723957079,0.25
CAQ-672,gorilla,0.5010658064051512,5.657093158,0.0001
CAQ-672,monkey,0.5699973144483218,6.401926546,0.0001
CAQ-672,dog,0.6907332568465283,7.256114028,0.0001
CAQ-672,cat,0.8634297066936644,7.013143358,0.0001
CAQ-672,hyena,0.5469798446183687,5.284998893,0.0001
CAQ-672,snake,0.6410848271041413,6.615078486,0.0001
CAQ-672,fish,0.6385972961343023,7.344814258,0.0001
CAQ-672,bird,0.6097318778399793,7.119400245,0.0001
CAQ-672,rabbit,0.6383842470452497,6.568628649,0.2
CAQ-672,dolphin,0.5028055553164408,5.864843201,0.1667
CAQ-672,squirrel,0.5851012474388915,6.080840335,0.1667
CAQ-672,guinea,0.5562754290889139,6.538172807,0.0001
CAQ-672,mouse,0.437276235425045,6.776846046,0.0001
CAQ-672,lizard,0.5928616954508034,5.89522027,0.0001
CAQ-672,reptile,0.5350304792527885,5.656324398,0.0001
CAQ-672,crocodile,0.6649895877680646,5.741384054,0.25
CAR-673,elephant,0.0001,6.363660295,0.0001
CAR-673,african,0.4946944170052885,7.284544989,0.2857
CAR-673,tiger,0.4001093390681483,6.38952206,0.0001
CAR-673,lion,0.772222776029251,6.723957079,0.25
CAR-673,feline,0.46074954789817957,5.559176205,0.2
CAR-673,dog,0.6201242643284357,7.256114028,0.0001
CAR-673,cat,0.8634297066936644,7.013143358,0.0001
CAR-673,mouse,0.7232118811109115,6.776846046,0.0001
CAR-673,rat,0.6775631422591651,6.766463413,0.0001
CAR-673,ostrich,0.3561554519893857,5.653586811,0.1667
CAR-673,parakeet,0.5044519072976226,4.868873573,0.0001
CAR-673,fish,0.5112627164667362,7.344814258,0.0001
CAR-673,rodents,0.5190535329397221,5.818422536,0.0001
CAR-673,pets,0.47738755619675777,6.144792078,0.2857
CAR-673,guinea,0.5759327614844797,6.538172807,0.0001
CAR-673,rodents,0.407756922196823,5.818422536,0.1429
CAR-673,zebra,0.6979585054690688,5.561689192,0.0001
CAR-673,horse,0.52887978605273,7.396710537,0.2
CAR-673,tiger,0.3475253981570755,6.38952206,0.0001
CAR-673,bird,0.6357811155913646,7.119400245,0.0001
CAR-673,elk,0.49315320941355734,6.139565841,0.0001
CAR-673,deer,0.7532858197014868,6.706983738,0.0001
CAR-673,antelope,0.7598968825969353,5.845170623,0.0001
CAS-674,cat,0.0001,7.013143358,0.0001
CAS-674,dog,0.8634297066936644,7.256114028,0.0001
CAS-674,fish,0.5235948936574889,7.344814258,0.0001
CAS-674,shark,0.7749463057896572,6.054603863,0.0001
CAS-674,dolphin,0.6779008983639557,5.864843201,0.1667
CAS-674,shrimp,0.5566723515698715,6.17749985,0.0001
CAS-674,crab,0.7016224801732759,6.158116322,0.2
CAS-674,lobster,0.7104531240784057,5.989108389,0.0001
CAS-674,reptile,0.3562735447887547,5.656324398,0.0001
CAS-674,bear,0.5289558273277161,7.366226929,0.1667
CAS-674,lion,0.4710879123017323,6.723957079,0.0001
CAS-674,tiger,0.772222776029251,6.38952206,0.25
CAS-674,eagle,0.6056925403930403,6.640854253,0.0001
CAS-674,falcon,0.6552757290592581,5.93662582,0.1667
CAS-674,raven,0.6638723979265505,6.2387933,0.3333
CAS-674,lizard,0.5603793384214606,5.89522027,0.0001
CAS-674,reptile,0.5350304792527885,5.656324398,0.0001
CAS-674,alligator,0.545138819923388,5.714162885,0.0001
CAS-674,crocodile,0.7377682365002051,5.741384054,0.0001
CAS-674,mammoth,0.5098279783268225,5.911730606,0.125
CAS-674,kangaroo,0.43514854605371756,5.566218227,0.0001
CAV-678,dog,0.0001,7.256114028,0.0001
CAV-678,cat,0.8634297066936644,7.013143358,0.0001
CAV-678,bird,0.6771464143346835,7.119400245,0.0001
CAV-678,elephant,0.5563617091506967,6.363660295,0.0001
CAV-678,kangaroo,0.46642106554392826,5.566218227,0.0001
CAV-678,feline,0.45098489921421403,5.559176205,0.0001
CAV-678,lion,0.46074954789817957,6.723957079,0.2
CAV-678,tiger,0.772222776029251,6.38952206,0.25
CAV-678,bear,0.3155574739396466,7.366226929,0.0001
CAV-678,reptile,0.5289558273277161,5.656324398,0.1667
CAV-678,kangaroo,0.5440674948192161,5.566218227,0.0001
CAV-678,pelican,0.4880146027705141,5.581928051,0.0001
CAV-678,penguin,0.5635195319115878,6.25042049,0.5714
CAV-678,polar,0.5634395664821881,6.534516632,0.1429
CAV-678,grizzly,0.43432029374666425,5.735626042,0.1667
CAV-678,moose,0.6515526904376969,5.977754233,0.0001
CAV-678,turtle,0.5335403657126175,6.229758099,0.0001
CAV-678,bird,0.5970033057991582,7.119400245,0.2
CAV-678,rhinoceros,0.6005594202062029,5.506841784,0.0001
CAV-678,bird,0.6005594202062029,7.119400245,0.0001
CAV-678,parakeet,0.5456452686463446,4.868873573,0.0001
CAV-678,alligator,0.6031441505456333,5.714162885,0.1429
CAV-678,crocodile,0.7377682365002051,5.741384054,0.0001
CAV-678,zebra,0.5876090600472357,5.561689192,0.125
CAV-678,horse,0.52887978605273,7.396710537,0.2
CAV-678,rooster,0.4764924823806995,5.703855165,0.0001
CAV-678,chicken,0.5716984503054835,6.827585591,0.0001
CAV-678,pony,0.3058819319703431,6.179719502,0.0001
CAY-681,penguin,0.0001,6.25042049,0.0001
CAY-681,snake,0.4175160640229898,6.615078486,0.0001
CAY-681,elephant,0.6324674876611814,6.363660295,0.0001
CAY-681,african,0.4946944170052885,7.284544989,0.2857
CAY-681,dog,0.48655685261886883,7.256114028,0.0001
CAY-681,cat,0.8634297066936644,7.013143358,0.0001
CAY-681,gorilla,0.569267169863273,5.657093158,0.0001
CAY-681,primate,0.42486533803827653,5.892763902,0.0001
CAY-681,ape,0.36578835391819664,6.012398914,0.0001
CAY-681,insect,0.5526445745796672,6.519563532,0.0001
CAY-681,butterfly,0.5373076336872478,6.225709011,0.0001
CAY-681,ladybug,0.5756962903135949,4.670032365,0.0001
CAY-681,beetle,0.6496099839728491,6.021866684,0.0001
CAY-681,beetle,0.9999999999999998,6.021866684,1.0
CAY-681,worm,0.5840535454380033,6.383063674,0.0001
CAY-681,ant,0.5703924043951165,6.426146105,0.0001
CAY-681,ant,0.9999999999999998,6.426146105,1.0
CAY-681,lizard,0.5245031279155851,5.89522027,0.0001
CAY-681,insect,0.46453660089532,6.519563532,0.0001
CAY-681,human,0.5524661461973372,7.989650076,0.0001
CAY-681,robin,0.06943896008906003,6.526197074,0.3333
CAY-681,cardinal,0.4320540766054992,6.704668529,0.375
CAY-681,bird,0.4779551905817756,7.119400245,0.125
CBD-686,lion,0.0001,6.723957079,0.0001
CBD-686,tiger,0.772222776029251,6.38952206,0.25
CBD-686,monkey,0.7018819713183367,6.401926546,0.0001
CBD-686,baboon,0.5802791607206395,5.366632115,0.0001
CBD-686,african,0.4619257335753987,7.284544989,0.2857
CBD-686,elephant,0.4946944170052885,6.363660295,0.2857
CBD-686,buffalo,0.514865131117251,6.710471006,0.2857
CBD-686,polar,0.4579806652055112,6.534516632,0.1667
CBD-686,bear,0.2983926610559382,7.366226929,0.0001
CBD-686,grizzly,0.5329961303698464,5.735626042,0.0001
CBD-686,duck,0.5299018422433728,6.439638803,0.0001
CBD-686,crocodile,0.6951629438344722,5.741384054,0.125
CBD-686,alligator,0.7377682365002051,5.714162885,0.0001
CBD-686,crocodile,0.7377682365002051,5.741384054,0.0001
CBD-686,girdle,0.2519588558350614,5.943410914,0.25
CBD-686,asian,0.38381514637193626,6.798455065,0.2
CBD-686,sheep,0.36745767763404014,6.924172871,0.0001
CBD-686,goat,0.6495173825463507,6.365838461,0.0001
CBD-686,cow,0.729275389564973,6.679047222,0.0001
CBD-686,pony,0.5803641637693279,6.179719502,0.0001
CBD-686,horse,0.7822019871003125,7.396710537,0.0001
CBF-691,dog,0.0001,7.256114028,0.0001
CBF-691,cat,0.8634297066936644,7.013143358,0.0001
CBF-691,fish,0.6300517542588759,7.344814258,0.0001
CBF-691,elephant,0.44179247228399643,6.363660295,0.1429
CBF-691,feline,0.5382538142297566,5.559176205,0.1429
CBF-691,tiger,0.4431840880000041,6.38952206,0.0001
CBF-691,lion,0.772222776029251,6.723957079,0.25
CBF-691,polar,0.2782826128122542,6.534516632,0.0001
CBF-691,turtle,0.31673291853599495,6.229758099,0.0001
CBF-691,penguin,0.38502999618442235,6.25042049,0.1429
CBF-691,african,0.5865647239488445,7.284544989,0.2857
CBF-691,pets,0.34814687346156503,6.144792078,0.0001
CBF-691,rodents,0.47738755619675777,5.818422536,0.2857
CBF-691,squirrel,0.4595715126322266,6.080840335,0.0001
CBF-691,rabbit,0.7145882945951142,6.568628649,0.1667
CBF-691,coyote,0.6476479514429144,6.007340169,0.0001
CBF-691,deer,0.59626580452251,6.706983738,0.0001
CBF-691,walrus,0.6175374054592341,5.417803723,0.1667
CBF-691,eel,0.5676961168462068,5.818212033,0.1667
CBH-693,dog,0.0001,7.256114028,0.0001
CBH-693,cat,0.8634297066936644,7.013143358,0.0001
