Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.7169052280848262,7.013143358,0.0001
CAF-657,hawk,0.6768035816442061,6.384581525,0.0001
CAF-657,dog,0.7665117637340956,7.256114028,0.3333
CAF-657,turtle,0.5880299485547834,6.229758099,0.0001
CAF-657,jellyfish,0.6249568762818699,5.224579675,0.0001
CAF-657,bear,0.2390619776227444,7.366226929,0.1429
CAF-657,ant,0.47208351004916027,6.426146105,0.0001
CAF-657,mosquito,0.5061695299374048,6.026549198,0.1429
CAF-657,frog,0.6006954711584623,6.319346573,0.0001
CAF-657,tadpole,0.7331188115017792,5.208922147,0.0001
CAF-657,fish,0.5468751420946426,7.344814258,0.0001
CAF-657,shark,0.7203743154481062,6.054603863,0.0001
CAF-657,dolphin,0.5555401140082517,5.864843201,0.1667
CAF-657,gorilla,0.5266231317466765,5.657093158,0.1667
CAF-657,monkey,0.4904088025591721,6.401926546,0.0001
CAF-657,fly,0.4656066314094107,7.029176525,0.0001
CAF-657,eagle,0.7122933353919887,6.640854253,0.0001
CAF-657,toad,0.5048748563722094,5.885895277,0.0001
CAF-657,rat,0.7332598110788595,6.766463413,0.0001
CAF-657,mouse,0.7533538320479485,6.776846046,0.0001
CAF-657,rodents,0.2418290067572908,5.818422536,0.1429
CAF-657,rodents,1.0,5.818422536,1.0
CAF-657,fox,0.29796610836255844,6.849727181,0.1429
CAF-657,american,0.24412216350364535,8.145126466,0.125
CAF-657,deer,0.26156290095037393,6.706983738,0.125
CAF-657,squirrel,0.7007783976439714,6.080840335,0.0001
CAF-657,rabbit,0.7885666528478571,6.568628649,0.1667
CAF-657,bird,0.678858722285689,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.44270634163964484,7.284544989,0.1429
CAJ-663,elephant,0.49857276633358194,6.363660295,0.2857
CAJ-663,zebra,0.6148514945555231,5.561689192,0.1429
CAJ-663,horse,0.4267417594679165,7.396710537,0.2
CAJ-663,cat,0.4571426320615857,7.013143358,0.0001
CAJ-663,dog,0.872404996666197,7.256114028,0.0001
CAJ-663,reptile,0.5757109724030754,5.656324398,0.0001
CAJ-663,turtle,0.5147261738942109,6.229758099,0.3333
CAJ-663,dolphin,0.4312204915292712,5.864843201,0.1667
CAJ-663,penguin,0.49626101725608285,6.25042049,0.2857
CAJ-663,buffalo,0.4915656605694205,6.710471006,0.0001
CAJ-663,kangaroo,0.5013286359489841,5.566218227,0.0001
CAJ-663,goose,0.5226507867405832,6.301955793,0.1667
CAJ-663,duck,0.747551276489714,6.439638803,0.0001
