Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.440344440654679,2.256175700537181,,160.0509429520458
CAF-657,forage_dynamic_simdrop,8.159894797540597,4.45973738703858,,152.18123632267728
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.37408125039277,2.128435251932282,,160.93429209252858
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.203819054254637,2.8704439197954628,,159.5450040222451
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.20382122201437,2.870445913879173,,159.54500402222567
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.234455051995546,3.770076253541816,,156.08181953379534
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.06407058348523,4.454516844807732,,152.5724689866922
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.064075614250996,4.454516937306303,,152.57246898668643
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.064084207288758,4.454517000977627,,152.57246898670016
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.15987796335098,4.459744077128364,,152.1812363226383
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.1599004880245,4.4597376402368045,,152.18123632270263
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.159879353014007,4.459742679691221,,152.1812363226374
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.159889373856226,4.459743537173709,,152.18123632263226
CAF-657,forage_dynamic_norms_associative,8.204615098299312,4.893342864537916,,157.69793352572466
CAF-657,forage_dynamic_norms_categorical,7.906537559654882,3.221180612622456,,160.18726741115918
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,7.694868022371505,5.100594054395279,,152.26215145427057
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,7.691890135017951,5.09946257446126,,151.58738649728957
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,7.691879024422975,5.099463270670579,,151.58738649728002
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,7.765325670385108,5.093397714989975,,150.9378496032448
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.184791187982137,4.467623601412645,,151.1815667878633
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,7.860219503852751,6.8409897903125065,,147.8970529536997
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,7.835412590086597,6.732633636203215,,147.2939031209819
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,7.835410684481879,6.732625266259897,,147.29390312097757
