Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAF-657,0.5422091045321912,0.18482903273336343,6.444160556310345,0.6742164081974249,0.23791666666666667,0.24645396336964445,29.0,delta_rise=0.0_fall=0.0,14,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.0_fall=0.25,14,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.0_fall=0.5,13,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.0_fall=0.75,11,2.4166666666666665,1.2555432644432802
CAF-657,,,,,,,,delta_rise=0.0_fall=1.0,7,3.625,2.54644359843292
CAF-657,,,,,,,,delta_rise=0.25_fall=0.0,14,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.25_fall=0.25,14,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.25_fall=0.5,13,2.0714285714285716,1.0996288798814753
CAF-657,,,,,,,,delta_rise=0.25_fall=0.75,11,2.4166666666666665,1.2555432644432802
CAF-657,,,,,,,,delta_rise=0.25_fall=1.0,7,3.625,2.54644359843292
CAF-657,,,,,,,,delta_rise=0.5_fall=0.0,16,1.8125,1.0734727523323542
CAF-657,,,,,,,,delta_rise=0.5_fall=0.25,16,1.8125,1.0734727523323542
CAF-657,,,,,,,,delta_rise=0.5_fall=0.5,15,1.8125,1.0734727523323542
CAF-657,,,,,,,,delta_rise=0.5_fall=0.75,13,2.0714285714285716,1.279748061940637
CAF-657,,,,,,,,delta_rise=0.5_fall=1.0,11,2.4166666666666665,2.3614378858841256
CAF-657,,,,,,,,delta_rise=0.75_fall=0.0,19,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=0.75_fall=0.25,19,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=0.75_fall=0.5,18,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=0.75_fall=0.75,17,1.6111111111111112,1.0613873985857112
CAF-657,,,,,,,,delta_rise=0.75_fall=1.0,13,2.0714285714285716,1.980774946266007
CAF-657,,,,,,,,delta_rise=1.0_fall=0.0,19,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=1.0_fall=0.25,19,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=1.0_fall=0.5,18,1.5263157894736843,0.9930506454796426
CAF-657,,,,,,,,delta_rise=1.0_fall=0.75,17,1.6111111111111112,1.0613873985857112
CAF-657,,,,,,,,delta_rise=1.0_fall=1.0,13,2.0714285714285716,1.980774946266007
CAF-657,,,,,,,,multimodal_alpha=0.0,2,9.666666666666666,7.039570693980959
CAF-657,,,,,,,,multimodal_alpha=0.1,7,3.625,2.2325713874364688
CAF-657,,,,,,,,multimodal_alpha=0.2,7,3.625,2.2325713874364688
CAF-657,,,,,,,,multimodal_alpha=0.30000000000000004,8,3.2222222222222223,1.3966450099973928
CAF-657,,,,,,,,multimodal_alpha=0.4,7,3.625,1.3169567191065923
CAF-657,,,,,,,,multimodal_alpha=0.5,7,3.625,1.5761900266148114
CAF-657,,,,,,,,multimodal_alpha=0.6000000000000001,8,3.2222222222222223,1.4740554623801778
CAF-657,,,,,,,,multimodal_alpha=0.7000000000000001,8,3.2222222222222223,1.4740554623801778
CAF-657,,,,,,,,multimodal_alpha=0.8,8,3.2222222222222223,1.4740554623801778
CAF-657,,,,,,,,multimodal_alpha=0.9,8,3.2222222222222223,1.4740554623801778
CAF-657,,,,,,,,multimodal_alpha=1.0,7,3.625,1.5761900266148114
CAF-657,,,,,,,,norms_associative,16,1.8125,1.184205957593526
CAF-657,,,,,,,,norms_categorical,15,1.9333333333333333,1.2892719737209144
CAF-657,,,,,,,,simdrop,7,3.625,1.5761900266148114
CAJ-663,0.5114843658634186,0.1748825892458418,6.3768877516,0.5534749914937721,0.21406,0.0689835117175756,20.0,delta_rise=0.0_fall=0.0,10,1.8181818181818181,0.9359663764533636
CAJ-663,,,,,,,,delta_rise=0.0_fall=0.25,9,2.0,1.0
