Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.666666666666666,2.5473297566057065,forage_dynamic,8.017551935609728,1.4065586411002766,5.43268807058889,1.4993239426470018,,
delta_rise=0.0_fall=0.0,9.666666666666666,2.5473297566057065,forage_phonologicaldynamicglobal,8.05531266383982,1.4536377357677877,5.652953354901426,1.9025060350153318,-0.024968086941413135,0.08716140075818223
delta_rise=0.0_fall=0.0,9.666666666666666,2.5473297566057065,forage_phonologicaldynamiclocal,8.059059290214615,1.4592581948721348,5.860858877587716,2.1431284727772564,-0.16176438122062867,0.5915005948216829
delta_rise=0.0_fall=0.0,9.666666666666666,2.5473297566057065,forage_phonologicaldynamicswitch,8.02995546602303,1.4132020481980871,5.432230093350213,1.499704645382419,-0.04558246185031141,0.321243418329375
delta_rise=0.0_fall=0.25,8.933333333333334,2.4073960113690385,forage_dynamic,8.069200277882118,1.405198213913579,5.377574043280896,1.4443623975181252,,
delta_rise=0.0_fall=0.25,8.933333333333334,2.4073960113690385,forage_phonologicaldynamicglobal,8.109586891668018,1.4538668335599099,5.599865795573657,1.8531248139237244,-0.025849973777943926,0.08640048304052476
delta_rise=0.0_fall=0.25,8.933333333333334,2.4073960113690385,forage_phonologicaldynamiclocal,8.114284274973263,1.4601005640998994,5.814443912497511,2.096868731354008,-0.1511674924663176,0.5195443651984663
delta_rise=0.0_fall=0.25,8.933333333333334,2.4073960113690385,forage_phonologicaldynamicswitch,8.080081975711327,1.4143664925121135,5.377241082423988,1.4447448730091195,-0.03969022066827077,0.312464978860184
delta_rise=0.0_fall=0.5,8.183333333333334,2.3057295784390868,forage_dynamic,8.122527261181904,1.4214383487973468,5.324978824075685,1.4313367629545655,,
delta_rise=0.0_fall=0.5,8.183333333333334,2.3057295784390868,forage_phonologicaldynamicglobal,8.162493220785626,1.4710632489788218,5.554043065805563,1.8510375196392561,-0.027138082148445132,0.08658770044804166
delta_rise=0.0_fall=0.5,8.183333333333334,2.3057295784390868,forage_phonologicaldynamiclocal,8.163925949607016,1.477597438557025,5.760375532769266,2.099322225990299,-0.15250322961177215,0.5207153778869511
delta_rise=0.0_fall=0.5,8.183333333333334,2.3057295784390868,forage_phonologicaldynamicswitch,8.134849217569407,1.4338137094938086,5.324853910636214,1.4312968517571676,-0.04314615784080602,0.31842025303965377
delta_rise=0.0_fall=0.75,7.083333333333333,1.9940884857219574,forage_dynamic,8.205493665697654,1.4210136581819302,5.113379777434559,1.3878748036400987,,
delta_rise=0.0_fall=0.75,7.083333333333333,1.9940884857219574,forage_phonologicaldynamicglobal,8.24592205758412,1.4707677184182415,5.325283473990819,1.7845291443143696,-0.026574934192290338,0.08560973446985247
delta_rise=0.0_fall=0.75,7.083333333333333,1.9940884857219574,forage_phonologicaldynamiclocal,8.244350396385038,1.4774511947480162,5.515141033155316,2.0642692236174454,-0.15622409552225552,0.5556505171806725
delta_rise=0.0_fall=0.75,7.083333333333333,1.9940884857219574,forage_phonologicaldynamicswitch,8.217043085488047,1.435109977334406,5.11325654408679,1.387839610588445,-0.11844705654720852,0.5405314084815372
delta_rise=0.0_fall=1.0,5.7,1.5737428845483834,forage_dynamic,8.301961968373389,1.4307633531608184,4.74468304501715,1.3392968156010647,,
delta_rise=0.0_fall=1.0,5.7,1.5737428845483834,forage_phonologicaldynamicglobal,8.340630272598663,1.483353094414886,4.934320887458795,1.7463722465892104,-0.02463734115429038,0.08468809127970531
delta_rise=0.0_fall=1.0,5.7,1.5737428845483834,forage_phonologicaldynamiclocal,8.334958932433521,1.4936364875428687,5.0561882623473196,1.956021054537872,-0.1038114487594811,0.4253084306427299
delta_rise=0.0_fall=1.0,5.7,1.5737428845483834,forage_phonologicaldynamicswitch,8.304170031959067,1.437854992608065,4.74447504730293,1.3395280339450413,-0.21377394599127778,0.7433588876147114
delta_rise=0.25_fall=0.0,10.616666666666667,2.938773364669159,forage_dynamic,8.011284271678187,1.4134955852744335,5.848256144522815,1.588463707596383,,
delta_rise=0.25_fall=0.0,10.616666666666667,2.938773364669159,forage_phonologicaldynamicglobal,8.046158050457326,1.4512885323715945,6.0706169399336325,1.9356831682778322,-0.025071402580949333,0.08477433735320071
delta_rise=0.25_fall=0.0,10.616666666666667,2.938773364669159,forage_phonologicaldynamiclocal,8.046588461538436,1.4631673241333016,6.5172377260050895,2.569210755024476,-0.19823007879220395,0.5878642320425099
delta_rise=0.25_fall=0.0,10.616666666666667,2.938773364669159,forage_phonologicaldynamicswitch,8.020763932729162,1.4178838151092943,5.847628817115257,1.5887628976342494,-0.038057276880117424,0.30215786410674306
delta_rise=0.25_fall=0.25,9.95,2.825036872915703,forage_dynamic,8.065130528474011,1.4094502212856934,5.790111130875905,1.5384260263701046,,
delta_rise=0.25_fall=0.25,9.95,2.825036872915703,forage_phonologicaldynamicglobal,8.104778236398474,1.4505113815551292,6.021488203632725,1.9081293526065075,-0.02630987274263921,0.08625141663571417
delta_rise=0.25_fall=0.25,9.95,2.825036872915703,forage_phonologicaldynamiclocal,8.104828164416695,1.4604532102854075,6.475001859410107,2.5231398071158533,-0.21007246909930227,0.6120145587683484
delta_rise=0.25_fall=0.25,9.95,2.825036872915703,forage_phonologicaldynamicswitch,8.071678803230848,1.4180943628892355,5.789671449098494,1.5386518420688249,-0.03683247292625379,0.3265631214294025
delta_rise=0.25_fall=0.5,9.116666666666667,2.5825805354765263,forage_dynamic,8.12447940368415,1.4396238318221244,5.734940006906238,1.5155116442388283,,
delta_rise=0.25_fall=0.5,9.116666666666667,2.5825805354765263,forage_phonologicaldynamicglobal,8.16267548937249,1.4807229979496157,5.97387687150513,1.892744727657711,-0.027871357564755967,0.08605523233224972
delta_rise=0.25_fall=0.5,9.116666666666667,2.5825805354765263,forage_phonologicaldynamiclocal,8.158771253073429,1.4891436945755063,6.405566466488375,2.494670942368025,-0.21322980234161193,0.6216096429841991
delta_rise=0.25_fall=0.5,9.116666666666667,2.5825805354765263,forage_phonologicaldynamicswitch,8.133033421994694,1.4523411962490116,5.7345800480678655,1.5155286538100239,-0.03766439973420817,0.31307347530383056
delta_rise=0.25_fall=0.75,7.933333333333334,2.372527953236566,forage_dynamic,8.208945813223044,1.4335376797452317,5.488770541372773,1.5141578427323708,,
delta_rise=0.25_fall=0.75,7.933333333333334,2.372527953236566,forage_phonologicaldynamicglobal,8.247208090881864,1.474490861967805,5.710562700771737,1.8651817853892119,-0.027403592013382088,0.08507871142390223
delta_rise=0.25_fall=0.75,7.933333333333334,2.372527953236566,forage_phonologicaldynamiclocal,8.236241288978897,1.4862877731433737,6.084611687362143,2.461374446538381,-0.19946886889376333,0.598960514619834
delta_rise=0.25_fall=0.75,7.933333333333334,2.372527953236566,forage_phonologicaldynamicswitch,8.218120332454651,1.4471837847271103,5.488302283169543,1.5140131101691272,-0.10597598886651413,0.5128907039832316
delta_rise=0.25_fall=1.0,6.3,1.8823743871327334,forage_dynamic,8.31594045764026,1.4387781601091623,5.050661222040673,1.4647732299709433,,
delta_rise=0.25_fall=1.0,6.3,1.8823743871327334,forage_phonologicaldynamicglobal,8.355542472582746,1.4877070518481745,5.249891102939409,1.831587413146617,-0.025741007232344307,0.08403855617257726
delta_rise=0.25_fall=1.0,6.3,1.8823743871327334,forage_phonologicaldynamiclocal,8.33858492914704,1.4980933228796003,5.481347244845078,2.31028465451973,-0.11648132703874475,0.45119643133153753
delta_rise=0.25_fall=1.0,6.3,1.8823743871327334,forage_phonologicaldynamicswitch,8.320296611910234,1.446726446164801,5.050380598636219,1.4649630004621494,-0.20855680776334656,0.7379113949320932
delta_rise=0.5_fall=0.0,11.716666666666667,3.2511109212424945,forage_dynamic,7.948652511986382,1.4450720240911026,6.646326423178752,1.8076645294638471,,
delta_rise=0.5_fall=0.0,11.716666666666667,3.2511109212424945,forage_phonologicaldynamicglobal,7.986222474493333,1.4799135030971193,6.888700739411471,2.02856374208543,-0.026398713015812907,0.08355696807873672
delta_rise=0.5_fall=0.0,11.716666666666667,3.2511109212424945,forage_phonologicaldynamiclocal,7.994601560112429,1.4831533113684914,7.5737589082368375,2.953890058804175,-0.22570842926721285,0.618967585832253
delta_rise=0.5_fall=0.0,11.716666666666667,3.2511109212424945,forage_phonologicaldynamicswitch,7.959041247234626,1.4508319114983455,6.645908156199064,1.8081215933099555,-0.030437228334075018,0.2680202165307401
delta_rise=0.5_fall=0.25,11.1,3.2336769576855797,forage_dynamic,7.994583662627723,1.4469721305088417,6.5650129327084334,1.77986322123635,,
delta_rise=0.5_fall=0.25,11.1,3.2336769576855797,forage_phonologicaldynamicglobal,8.03744891207346,1.4855078883437214,6.823551303983597,2.0368503484472975,-0.02783770821241942,0.08525353539978589
delta_rise=0.5_fall=0.25,11.1,3.2336769576855797,forage_phonologicaldynamiclocal,8.0450805074133,1.4863686381814887,7.5235711329905905,2.979352274861014,-0.2276885659454569,0.6110242997998746
delta_rise=0.5_fall=0.25,11.1,3.2336769576855797,forage_phonologicaldynamicswitch,8.002239311079926,1.4555595178055203,6.564772785747059,1.7802531759710087,-0.03171952609299546,0.31246972359905967
delta_rise=0.5_fall=0.5,10.2,3.032051011004487,forage_dynamic,8.066600126772169,1.5060412537972527,6.4858799559312965,1.8009658356982052,,
delta_rise=0.5_fall=0.5,10.2,3.032051011004487,forage_phonologicaldynamicglobal,8.105223000842544,1.5471508374397471,6.755700367984176,2.064037264352063,-0.0298831049768965,0.08534829339623107
delta_rise=0.5_fall=0.5,10.2,3.032051011004487,forage_phonologicaldynamiclocal,8.105132002130258,1.5519599878461545,7.452776869684033,3.0351104021866635,-0.24222510800124153,0.6482594190617832
delta_rise=0.5_fall=0.5,10.2,3.032051011004487,forage_phonologicaldynamicswitch,8.075956139455375,1.5167358764029013,6.485789194966993,1.8014201209478586,-0.031257318901812714,0.3071701476758259
delta_rise=0.5_fall=0.75,9.033333333333333,2.8980836580210876,forage_dynamic,8.163014540679544,1.502787206666361,6.127502214657459,1.6949191172449867,,
delta_rise=0.5_fall=0.75,9.033333333333333,2.8980836580210876,forage_phonologicaldynamicglobal,8.201551801699168,1.5434277332735369,6.376419820296751,1.9952511426794142,-0.028833832861918266,0.08471120166366676
delta_rise=0.5_fall=0.75,9.033333333333333,2.8980836580210876,forage_phonologicaldynamiclocal,8.19258558915235,1.5515007821185764,6.942826161173267,2.94375389644113,-0.22826516686729653,0.6528591683385125
delta_rise=0.5_fall=0.75,9.033333333333333,2.8980836580210876,forage_phonologicaldynamicswitch,8.172930815854146,1.5148510017998422,6.127375825864609,1.6953430679946928,-0.07001272990554828,0.437524140213047
delta_rise=0.5_fall=1.0,7.2,2.3508863576673944,forage_dynamic,8.284714673145078,1.4810747025416675,5.44788667253013,1.452545135270015,,
delta_rise=0.5_fall=1.0,7.2,2.3508863576673944,forage_phonologicaldynamicglobal,8.323348559717374,1.5247291585575937,5.656805559149388,1.8263481108806068,-0.026341272719289287,0.08380413078916929
delta_rise=0.5_fall=1.0,7.2,2.3508863576673944,forage_phonologicaldynamiclocal,8.308976684022154,1.53707520959699,5.931374870170255,2.3356346141173887,-0.12440029087473338,0.4602854670500595
delta_rise=0.5_fall=1.0,7.2,2.3508863576673944,forage_phonologicaldynamicswitch,8.288242539982058,1.4882923910307717,5.447762951103586,1.4524812945023327,-0.13205220914918456,0.5770508691305635
delta_rise=0.75_fall=0.0,12.733333333333333,3.5817438335102763,forage_dynamic,7.875578220690747,1.480470129895407,7.316527653840634,1.9629625435239904,,
delta_rise=0.75_fall=0.0,12.733333333333333,3.5817438335102763,forage_phonologicaldynamicglobal,7.9147498904589035,1.5162820462508566,7.587771398275149,2.1597814597818896,-0.027279579736798246,0.08422960332682171
delta_rise=0.75_fall=0.0,12.733333333333333,3.5817438335102763,forage_phonologicaldynamiclocal,7.910454318985143,1.5140106931363049,8.744938609005168,3.5079043779135,-0.3135085032818257,0.7230058423928823
delta_rise=0.75_fall=0.0,12.733333333333333,3.5817438335102763,forage_phonologicaldynamicswitch,7.886980931792848,1.4895516184891313,7.316049201713082,1.963217185031297,0.002003000321122922,0.08044731713224525
delta_rise=0.75_fall=0.25,12.15,3.4920147002363353,forage_dynamic,7.9090846306814075,1.4705126701207707,7.23095977798616,1.9643196240782503,,
delta_rise=0.75_fall=0.25,12.15,3.4920147002363353,forage_phonologicaldynamicglobal,7.951507618532134,1.5103149580713882,7.537274729501344,2.233638318258029,-0.02948214080806514,0.08664917753761668
delta_rise=0.75_fall=0.25,12.15,3.4920147002363353,forage_phonologicaldynamiclocal,7.942089971451586,1.508802051398833,8.749080404847462,3.674095394514384,-0.3149597195408799,0.7049117158765633
delta_rise=0.75_fall=0.25,12.15,3.4920147002363353,forage_phonologicaldynamicswitch,7.917694398757477,1.4813783198269261,7.230637907727131,1.9645475440617084,0.005747322137902953,0.08114381767257987
