Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.054415473015982,2.061819371124134,,161.0309209162919
CAF-657,forage_dynamic_simdrop,8.142685562672131,5.258113045137405,,152.26746898994003
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.001043110426615,1.8769949815829023,,161.89743942064587
CAF-657,forage_dynamic_multimodal_alpha=0.1,7.8588098740631125,1.6534183857430693,,163.18109063393933
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.04486202197907,2.879041619771504,,160.91692994059454
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.091172555013815,4.766306470199715,,155.18951365465708
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.049459719888066,4.667552056188101,,154.85882800750508
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.06275954753195,5.104629531905854,,152.81335937684025
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.062769811605659,5.104614997408497,,152.8133593767748
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.062759265335965,5.104614100451581,,152.81335937677045
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.06275979499173,5.104626566874751,,152.81335937681098
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.149007899421347,5.0766618029064245,,152.47692095379472
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.142688306812936,5.2581116282352625,,152.2674689899365
CAF-657,forage_dynamic_norms_associative,7.906333758106238,3.7076375441522353,,160.85930742266055
CAF-657,forage_dynamic_norms_categorical,7.761810996249134,2.4242753816116256,,162.43970390961613
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,7.834544568417177,5.886592910273411,,155.09236310457055
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,7.86762965819168,5.61740816892764,,153.5838681163496
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.168465572448085,5.623992663308042,,150.43222917934207
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,7.909826490906736,4.330307230391398,,154.0352413560119
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,7.933944814681804,3.9567962158044754,,155.13144494589187
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,7.736437946789431,5.986402173138419,,155.38616884603255
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,7.867648263034476,5.617413375336924,,153.58386811630663
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.168433002422677,5.6239838805390345,,150.43222917918058
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,7.909832794423438,4.330298250269312,,154.03524135602768
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,7.933947313603484,3.9568016261134336,,155.13144494588659
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,7.575373540503864,7.364299032238032,,151.5047078789919
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,7.739148197408654,6.6493888753932815,,150.0764437964326
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.101870721914958,6.445914883580228,,146.99513633334828
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.101866728889291,6.445915389619937,,146.99513633335462
