Word,semantic_similarity,phonological_similarity
tiger,0.3360934657103438,0.0
dolphin,0.4261570147458532,0.0
lion,0.2590282827447272,0.0
penguin,0.35983347169562085,0.2857
bird,0.3223814780090253,0.0
pigeon,0.44009904155131085,0.2
woodpecker,0.48511634919775815,0.1429
reptile,0.3870328188678436,0.3333
snake,0.3475797127571718,0.0
snail,0.46247097518802116,0.0
goldfish,0.41384595753588327,0.0
fish,0.3813519281382368,0.0
dog,0.45331476481628985,0.0
cat,0.47128110312665283,0.25
rodents,0.48921280167417547,0.2857
snake,0.3475797127571718,0.0
pets,1.0,1.0
rabbit,0.5188150662564441,0.0
reptile,0.3870328188678436,0.3333
polar,0.27519223230570544,0.25
grizzly,0.4803464490775611,0.0
bear,0.34041607315050326,0.25
hedgehog,0.5116765690044865,0.1667
porcupine,0.34390056412819636,0.1111
reptile,0.3870328188678436,0.3333
