Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,14.0,0.0,forage_dynamic,6.623411956157819,,4.560350278873225,,,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamicglobal,6.545560659368751,,4.0918274719875845,,0.08296963441877575,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamiclocal,6.620407539693726,,4.540952742037666,,0.003200762307564509,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamicswitch,6.611786625822316,,4.560346311449425,,0.14669235437571534,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_dynamic,6.686372468564762,,4.5706341258625365,,,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamicglobal,6.598863449004786,,4.104943678812487,,0.08032838521681125,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamiclocal,6.652379379290921,,4.334924368111403,,0.039112774901409054,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamicswitch,6.6539176744660375,,4.5706596883868675,,0.11885676206869256,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_dynamic,6.686372091503924,,4.5706348960520575,,,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamicglobal,6.598876808291381,,4.10494524845575,,0.08032834408017175,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamiclocal,6.6523652930628225,,4.334922207091445,,0.03911285332758663,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamicswitch,6.653919820169391,,4.570659920800567,,0.11885677826444091,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_dynamic,6.703287953438307,,3.4706205954289993,,,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_phonologicaldynamicglobal,6.636744698042657,,3.0744788846198556,,0.09157428045652266,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_phonologicaldynamiclocal,6.646132695899577,,2.989471672136995,,0.1135589025456018,
