Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,14.0,0.0,forage_dynamic,6.594794115801616,,5.0262351183432825,,,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamicglobal,6.498712120329204,,4.467767774442613,,0.09138830159243709,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamiclocal,6.580758055647393,,4.93989293253273,,0.013109646539615907,
delta_rise=0.0_fall=0.0,14.0,0.0,forage_phonologicaldynamicswitch,6.583179505105856,,5.026399711728162,,0.14669013518340135,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_dynamic,6.657685453464599,,5.001973443156434,,,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamicglobal,6.549889134822456,,4.449450923472375,,0.08848067284972214,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamiclocal,6.60584232366184,,4.665195496138076,,0.051957167095864745,
delta_rise=0.0_fall=0.25,13.0,0.0,forage_phonologicaldynamicswitch,6.624292116006003,,5.002493859016102,,0.11886794406521595,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_dynamic,6.657689019318441,,5.001974840240494,,,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamicglobal,6.549889843867518,,4.449450368967659,,0.08848067812503423,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamiclocal,6.605838069558648,,4.665196550452625,,0.051957105207802785,
delta_rise=0.0_fall=0.5,13.0,0.0,forage_phonologicaldynamicswitch,6.624296972792249,,5.0024940979195085,,0.11886791499991659,
delta_rise=0.0_fall=0.75,12.0,0.0,forage_dynamic,6.487830295081906,,4.548738281586698,,,
delta_rise=0.0_fall=0.75,12.0,0.0,forage_phonologicaldynamicglobal,6.383213985437537,,4.040673116362225,,0.0877156608717355,
delta_rise=0.0_fall=0.75,12.0,0.0,forage_phonologicaldynamiclocal,6.415180939569806,,4.09060782326174,,0.07817400654033341,
delta_rise=0.0_fall=0.75,12.0,0.0,forage_phonologicaldynamicswitch,6.459926708316242,,4.549771750875249,,0.09712145384386213,
delta_rise=0.0_fall=1.0,9.0,0.0,forage_dynamic,6.876007628721658,,3.535531354612613,,,
