Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,8.75,2.8203132213757156,forage_dynamic,8.35308439183753,1.4134294957904048,4.213495197131622,0.9946706295780989,,
delta_rise=0.0_fall=0.0,8.75,2.8203132213757156,forage_phonologicaldynamicglobal,8.405192450749205,1.4607802714484879,4.464612234898728,1.3583177799629387,-0.033080547987505114,0.09584154842160976
delta_rise=0.0_fall=0.0,8.75,2.8203132213757156,forage_phonologicaldynamiclocal,8.42408175165226,1.4446023023758576,4.8746236050170815,1.8848183520540829,-0.1779869446243287,0.4995604429882767
delta_rise=0.0_fall=0.0,8.75,2.8203132213757156,forage_phonologicaldynamicswitch,8.366108905773714,1.4192042362380308,4.213432407970141,0.9945193764498418,-0.07254373145123887,0.4632599663718355
delta_rise=0.0_fall=0.25,8.016666666666667,2.6801223023503153,forage_dynamic,8.427037124029955,1.4048798794932653,4.1972138049768555,0.9892021795571725,,
delta_rise=0.0_fall=0.25,8.016666666666667,2.6801223023503153,forage_phonologicaldynamicglobal,8.479422262263112,1.450834164400105,4.452260235246617,1.3507645247216877,-0.034659209898056015,0.09524731252873704
delta_rise=0.0_fall=0.25,8.016666666666667,2.6801223023503153,forage_phonologicaldynamiclocal,8.495740947139298,1.442809820847271,4.816224376419481,1.8489425585875534,-0.1756330029347496,0.5063571254747435
delta_rise=0.0_fall=0.25,8.016666666666667,2.6801223023503153,forage_phonologicaldynamicswitch,8.438452081738754,1.405541862095711,4.197166329794812,0.988954335953238,-0.06285418002376504,0.42350778854606874
delta_rise=0.0_fall=0.5,7.433333333333334,2.3619671650742498,forage_dynamic,8.464118275744681,1.4062764963494614,4.141576064196071,0.9846074423890792,,
delta_rise=0.0_fall=0.5,7.433333333333334,2.3619671650742498,forage_phonologicaldynamicglobal,8.51972149776021,1.455873759642435,4.398644819229214,1.3474591452531968,-0.03562690400130997,0.09521962444280355
delta_rise=0.0_fall=0.5,7.433333333333334,2.3619671650742498,forage_phonologicaldynamiclocal,8.534181557422606,1.4423500725579628,4.704732899861957,1.7016689247366403,-0.1733464791062628,0.5063595687164135
delta_rise=0.0_fall=0.5,7.433333333333334,2.3619671650742498,forage_phonologicaldynamicswitch,8.475216642749578,1.4098774204858244,4.141719580617195,0.9844365437024984,-0.06706332562042147,0.45037538134939925
delta_rise=0.0_fall=0.75,6.266666666666667,2.0154955277107964,forage_dynamic,8.573759607955083,1.4102781101545712,3.9995891420920615,0.9816124143312595,,
delta_rise=0.0_fall=0.75,6.266666666666667,2.0154955277107964,forage_phonologicaldynamicglobal,8.631275432278755,1.474578964590549,4.235956338203655,1.3160562746851174,-0.035556776864515506,0.09180892526242268
delta_rise=0.0_fall=0.75,6.266666666666667,2.0154955277107964,forage_phonologicaldynamiclocal,8.639488467714159,1.4648881363048136,4.482857480667675,1.6821374315601476,-0.12812571455515182,0.4012849823220904
delta_rise=0.0_fall=0.75,6.266666666666667,2.0154955277107964,forage_phonologicaldynamicswitch,8.584388766924976,1.412419344563777,4.00001691142351,0.9815689420957564,-0.19924938723098903,0.6988515875996653
delta_rise=0.0_fall=1.0,5.483333333333333,2.133007787660941,forage_dynamic,8.664073191411996,1.3842196492135637,3.871722651572477,0.9678593875059915,,
delta_rise=0.0_fall=1.0,5.483333333333333,2.133007787660941,forage_phonologicaldynamicglobal,8.721658675558157,1.446603194868718,4.098726111664488,1.3123722511146076,-0.035044927170549724,0.09161012028911
delta_rise=0.0_fall=1.0,5.483333333333333,2.133007787660941,forage_phonologicaldynamiclocal,8.728970888654688,1.4447452813603114,4.279799794423653,1.5636939101944671,-0.08913981715552187,0.2776124600440908
delta_rise=0.0_fall=1.0,5.483333333333333,2.133007787660941,forage_phonologicaldynamicswitch,8.675783451617498,1.3845194091773736,3.8720647772467416,0.9678439070652683,-0.2643315738080157,0.7820866858027202
delta_rise=0.25_fall=0.0,9.35,2.8155816450602176,forage_dynamic,8.334044776785241,1.4438838434257164,4.458705343554113,1.029122704766609,,
delta_rise=0.25_fall=0.0,9.35,2.8155816450602176,forage_phonologicaldynamicglobal,8.387302224393204,1.4918581212703352,4.72386529714772,1.368437058154344,-0.03399187985864263,0.09551369552981245
delta_rise=0.25_fall=0.0,9.35,2.8155816450602176,forage_phonologicaldynamiclocal,8.414523217916381,1.4731222781125037,5.2609665378078905,1.998937712751275,-0.21671021285147013,0.5478344864243679
delta_rise=0.25_fall=0.0,9.35,2.8155816450602176,forage_phonologicaldynamicswitch,8.342583098375368,1.4462836155575467,4.458708207687506,1.0290227237393579,-0.049982799294227345,0.37826476647659396
delta_rise=0.25_fall=0.25,8.55,2.698301935168363,forage_dynamic,8.42234619853457,1.420335421348017,4.424638900578384,1.0101649318058774,,
delta_rise=0.25_fall=0.25,8.55,2.698301935168363,forage_phonologicaldynamicglobal,8.476193364323338,1.4667397474957033,4.692919705673107,1.3508336156610565,-0.03556484602652472,0.09482376583197069
delta_rise=0.25_fall=0.25,8.55,2.698301935168363,forage_phonologicaldynamiclocal,8.502707484130221,1.4586163155043181,5.1695209368194845,1.9221579206044137,-0.1835716844072831,0.4732340004832491
delta_rise=0.25_fall=0.25,8.55,2.698301935168363,forage_phonologicaldynamicswitch,8.428847406592295,1.4203742043350107,4.424620546572364,1.0100718871198975,-0.07146307653589265,0.5116103227010339
