Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.3003251913274696,7.013143358,0.0001
CAF-657,hawk,0.2708430673605775,6.384581525,0.0001
CAF-657,dog,0.260817866624969,7.256114028,0.3333
CAF-657,turtle,0.21784588037456265,6.229758099,0.0001
CAF-657,jellyfish,0.3410238359815504,5.224579675,0.0001
CAF-657,bear,0.19620324263561706,7.366226929,0.1429
CAF-657,ant,0.24652598868661502,6.426146105,0.0001
CAF-657,mosquito,0.3848143526584664,6.026549198,0.1429
CAF-657,frog,0.3621371208684294,6.319346573,0.0001
CAF-657,tadpole,0.5209876015720437,5.208922147,0.0001
CAF-657,fish,0.34551612307090596,7.344814258,0.0001
CAF-657,shark,0.4747502739724585,6.054603863,0.0001
CAF-657,dolphin,0.5010874051087114,5.864843201,0.1667
CAF-657,gorilla,0.35452859989127716,5.657093158,0.1667
CAF-657,monkey,0.3817272730876362,6.401926546,0.0001
CAF-657,fly,0.10856170312392466,7.029176525,0.0001
CAF-657,eagle,0.33270353136291164,6.640854253,0.0001
CAF-657,toad,0.3167407320338187,5.885895277,0.0001
CAF-657,rat,0.44914308028546945,6.766463413,0.0001
CAF-657,mouse,0.457531078526769,6.776846046,0.0001
CAF-657,rodents,0.23593171349349118,5.818422536,0.1429
CAF-657,fox,0.2472093462725079,6.849727181,0.1429
CAF-657,american,0.08276670257894725,8.145126466,0.125
CAF-657,deer,0.06534547844569982,6.706983738,0.125
CAF-657,squirrel,0.3801744659783173,6.080840335,0.0001
CAF-657,rabbit,0.45131473172060155,6.568628649,0.1667
CAF-657,bird,0.31296806749091277,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.22871264453731321,7.284544989,0.1429
CAJ-663,elephant,0.3266990607456256,6.363660295,0.2857
CAJ-663,zebra,0.4683704144115062,5.561689192,0.1429
CAJ-663,horse,0.3679659331186207,7.396710537,0.2
CAJ-663,cat,0.17061404764061572,7.013143358,0.0001
CAJ-663,dog,0.4305846352806384,7.256114028,0.0001
CAJ-663,reptile,0.2973590639496605,5.656324398,0.0001
CAJ-663,turtle,0.29529347015840113,6.229758099,0.3333
CAJ-663,dolphin,0.3308899949275741,5.864843201,0.1667
CAJ-663,penguin,0.3955697906523803,6.25042049,0.2857
CAJ-663,buffalo,0.26149299372768864,6.710471006,0.0001
CAJ-663,kangaroo,0.3406037631566867,5.566218227,0.0001
CAJ-663,goose,0.27920914603456315,6.301955793,0.1667
CAJ-663,duck,0.34326426302942004,6.439638803,0.0001
CAJ-663,swan,0.29018156250616056,6.23145965,0.0001
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.4305846352806384,7.256114028,0.0001
CAM-666,reptile,0.2973590639496605,5.656324398,0.0001
CAM-666,australian,0.1733986408988255,6.530851419,0.1111
CAM-666,goat,0.21251042643057216,6.365838461,0.1111
CAM-666,water,0.22375384020829314,8.128616304,0.25
CAM-666,bear,0.17659689740342666,7.366226929,0.0001
CAM-666,firefly,0.18944323068880964,5.169268746,0.0001
CAM-666,fly,0.3171713198111994,7.029176525,0.3333
CAM-666,ant,0.24798014553872083,6.426146105,0.0001
CAM-666,bird,0.2817944457311785,7.119400245,0.0001
CAM-666,eagle,0.5051669748917865,6.640854253,0.0001
CAM-666,moose,0.3082220364707555,5.977754233,0.0001
CAM-666,deer,0.4686302603427631,6.706983738,0.0001
CAM-666,mouse,0.3243427545643174,6.776846046,0.0001
CAM-666,duck,0.3817861486659737,6.439638803,0.0001
CAM-666,crow,0.3969688022304779,6.398037974,0.0001
CAM-666,frog,0.4383421266097832,6.319346573,0.25
CAM-666,tadpole,0.5209876015720437,5.208922147,0.0001
CAM-666,caterpillar,0.5432524792270622,5.827004623,0.375
CAM-666,butterfly,0.36027150612270264,6.225709011,0.25
CAM-666,moth,0.27079808929038574,6.090354709,0.0001
CAM-666,gorilla,0.29120497970757364,5.657093158,0.0001
CAP-671,african,0.0001,7.284544989,0.0001
CAP-671,elephant,0.3266990607456256,6.363660295,0.2857
CAP-671,lion,0.3129888662471316,6.723957079,0.4286
CAP-671,hippopotamus,0.3843857196636893,5.258390618,0.0909
CAP-671,bat,0.28615785491835677,6.527307346,0.0909
CAP-671,fish,0.1571473141602291,7.344814258,0.0001
CAP-671,shark,0.4747502739724585,6.054603863,0.0001
CAP-671,turtle,0.43105076776124485,6.229758099,0.0001
CAP-671,snake,0.3476153405306679,6.615078486,0.0001
CAP-671,dolphin,0.32441320875006285,5.864843201,0.0001
CAP-671,whale,0.3753837237739748,6.338615042,0.1667
CAP-671,chicken,0.29715732508617254,6.827585591,0.0001
CAP-671,cow,0.36669979471847325,6.679047222,0.2
CAP-671,horse,0.3905069968029441,7.396710537,0.0001
CAP-671,butterfly,0.11411832623831941,6.225709011,0.0001
CAP-671,bear,0.09065533124393532,7.366226929,0.1429
CAQ-672,alligator,0.0001,5.714162885,0.0001
CAQ-672,water,0.3553566095114329,8.128616304,0.2857
CAQ-672,ostrich,0.2461641093585054,5.653586811,0.1667
CAQ-672,peacock,0.4143140133382438,6.002633379,0.0001
CAQ-672,bear,0.19828099075670114,7.366226929,0.0001
CAQ-672,tiger,0.09705162897468744,6.38952206,0.0001
CAQ-672,lion,0.4064574722802312,6.723957079,0.25
CAQ-672,gorilla,0.2747934251045079,5.657093158,0.0001
CAQ-672,monkey,0.3817272730876362,6.401926546,0.0001
CAQ-672,dog,0.29861236048506634,7.256114028,0.0001
CAQ-672,cat,0.4305846352806384,7.013143358,0.0001
CAQ-672,hyena,0.33418038727632626,5.284998893,0.0001
CAQ-672,snake,0.38453231651438213,6.615078486,0.0001
CAQ-672,fish,0.28985389116673377,7.344814258,0.0001
CAQ-672,bird,0.24791828617029354,7.119400245,0.0001
CAQ-672,rabbit,0.31296806749091277,6.568628649,0.2
CAQ-672,dolphin,0.3462140010606142,5.864843201,0.1667
CAQ-672,squirrel,0.37342228088727636,6.080840335,0.1667
CAQ-672,guinea,0.3687651403693665,6.538172807,0.0001
CAR-673,elephant,0.0001,6.363660295,0.0001
CAR-673,african,0.3266990607456256,7.284544989,0.2857
CAR-673,tiger,0.230415991784655,6.38952206,0.0001
CAR-673,lion,0.4064574722802312,6.723957079,0.25
CAR-673,feline,0.2910241111958607,5.559176205,0.2
CAR-673,dog,0.29156629504532117,7.256114028,0.0001
CAR-673,cat,0.4305846352806384,7.013143358,0.0001
CAR-673,mouse,0.42478587775533927,6.776846046,0.0001
CAR-673,rat,0.457531078526769,6.766463413,0.0001
CAR-673,ostrich,0.27631391912848935,5.653586811,0.1667
CAR-673,parakeet,0.41069234689988177,4.868873573,0.0001
CAR-673,fish,0.2623750062004502,7.344814258,0.0001
CAR-673,rodents,0.3492434010236669,5.818422536,0.0001
CAR-673,pets,0.410600438148748,6.144792078,0.2857
CAR-673,guinea,0.3789379266184425,6.538172807,0.0001
CAR-673,rodents,0.28084834634775824,5.818422536,0.1429
CAR-673,zebra,0.6247634051323195,5.561689192,0.0001
CAR-673,horse,0.3679659331186207,7.396710537,0.2
CAR-673,tiger,0.19940861525440257,6.38952206,0.0001
CAS-674,cat,0.0001,7.013143358,0.0001
CAS-674,dog,0.4305846352806384,7.256114028,0.0001
CAS-674,fish,0.1893570737585073,7.344814258,0.0001
CAS-674,shark,0.4747502739724585,6.054603863,0.0001
CAS-674,dolphin,0.5010874051087114,5.864843201,0.1667
CAS-674,shrimp,0.46209736845513927,6.17749985,0.0001
CAS-674,crab,0.5514054865141682,6.158116322,0.2
CAS-674,lobster,0.5219710257893124,5.989108389,0.0001
CAS-674,reptile,0.2342215847491138,5.656324398,0.0001
CAS-674,bear,0.2737897722862541,7.366226929,0.1667
CAS-674,lion,0.276911000381598,6.723957079,0.0001
CAS-674,tiger,0.4064574722802312,6.38952206,0.25
CAS-674,eagle,0.38506903866320596,6.640854253,0.0001
CAS-674,falcon,0.43798249517750265,5.93662582,0.1667
CAS-674,raven,0.45975571456925657,6.2387933,0.3333
CAS-674,lizard,0.3632387466259266,5.89522027,0.0001
CAS-674,reptile,0.40920351165665503,5.656324398,0.0001
CAS-674,alligator,0.41063401646910913,5.714162885,0.0001
CAV-678,dog,0.0001,7.256114028,0.0001
CAV-678,cat,0.4305846352806384,7.013143358,0.0001
CAV-678,bird,0.24282097071788034,7.119400245,0.0001
CAV-678,elephant,0.2689229604181067,6.363660295,0.0001
CAV-678,kangaroo,0.30950514378874594,5.566218227,0.0001
CAV-678,feline,0.316906126802599,5.559176205,0.0001
CAV-678,lion,0.2910241111958607,6.723957079,0.2
CAV-678,tiger,0.4064574722802312,6.38952206,0.25
CAV-678,bear,0.09705162897468744,7.366226929,0.0001
CAV-678,reptile,0.2737897722862541,5.656324398,0.1667
CAV-678,kangaroo,0.3891882882379658,5.566218227,0.0001
CAV-678,pelican,0.3388279631635467,5.581928051,0.0001
CAV-678,penguin,0.5260287390022328,6.25042049,0.5714
CAV-678,polar,0.39055919496113134,6.534516632,0.1429
CAV-678,grizzly,0.34642775800233305,5.735626042,0.1667
CAV-678,moose,0.48115477004319285,5.977754233,0.0001
CAV-678,turtle,0.3737324730237336,6.229758099,0.0001
CAV-678,bird,0.3350919729150883,7.119400245,0.2
CAV-678,rhinoceros,0.3697630726335528,5.506841784,0.0001
CAV-678,bird,0.3697630726335528,7.119400245,0.0001
CAV-678,parakeet,0.36501410018810154,4.868873573,0.0001
CAV-678,alligator,0.4897256751234935,5.714162885,0.1429
CAV-678,crocodile,0.587090120869065,5.741384054,0.0001
CAV-678,zebra,0.45704804892913153,5.561689192,0.125
CAV-678,horse,0.3679659331186207,7.396710537,0.2
