Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.35344968052989767,7.013143358,0.0001
CAF-657,hawk,0.2990403840023723,6.384581525,0.0001
CAF-657,dog,0.26581975321191553,7.256114028,0.3333
CAF-657,turtle,0.24468405189475417,6.229758099,0.0001
CAF-657,jellyfish,0.41160869319092774,5.224579675,0.0001
CAF-657,bear,0.18462690081903976,7.366226929,0.1429
CAF-657,ant,0.22216317706046684,6.426146105,0.0001
CAF-657,mosquito,0.37857656948905216,6.026549198,0.1429
CAF-657,frog,0.4365385054495369,6.319346573,0.0001
CAF-657,tadpole,0.5298812543315874,5.208922147,0.0001
CAF-657,fish,0.30127369909563917,7.344814258,0.0001
CAF-657,shark,0.40613190415112177,6.054603863,0.0001
CAF-657,dolphin,0.44568860397277155,5.864843201,0.1667
CAF-657,gorilla,0.27728138932992463,5.657093158,0.1667
CAF-657,monkey,0.3434681094228308,6.401926546,0.0001
CAF-657,fly,0.18915770922982778,7.029176525,0.0001
CAF-657,eagle,0.4312717806120948,6.640854253,0.0001
CAF-657,toad,0.24059938958206994,5.885895277,0.0001
CAF-657,rat,0.4289010943655711,6.766463413,0.0001
CAF-657,mouse,0.48612386166144805,6.776846046,0.0001
CAF-657,rodents,0.1272355254390255,5.818422536,0.1429
CAF-657,fox,0.09583352870698958,6.849727181,0.1429
CAF-657,american,0.08612469675987844,8.145126466,0.125
CAF-657,deer,0.08702195434491533,6.706983738,0.125
CAF-657,squirrel,0.4199922932833662,6.080840335,0.0001
CAF-657,rabbit,0.4699512714355175,6.568628649,0.1667
CAF-657,bird,0.3082222319882406,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.20832460193904612,7.284544989,0.1429
CAJ-663,elephant,0.37057081177192674,6.363660295,0.2857
CAJ-663,zebra,0.4602328586736324,5.561689192,0.1429
CAJ-663,horse,0.2836022426738303,7.396710537,0.2
CAJ-663,cat,0.10470154945490828,7.013143358,0.0001
CAJ-663,dog,0.4657383712886949,7.256114028,0.0001
CAJ-663,reptile,0.2650407018848151,5.656324398,0.0001
CAJ-663,turtle,0.30458900843735925,6.229758099,0.3333
CAJ-663,dolphin,0.27431296508931546,5.864843201,0.1667
CAJ-663,penguin,0.33477121558391887,6.25042049,0.2857
CAJ-663,buffalo,0.21450577369305568,6.710471006,0.0001
CAJ-663,kangaroo,0.38998319798913605,5.566218227,0.0001
CAJ-663,goose,0.3214908550230773,6.301955793,0.1667
