Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,8.683333333333334,2.334464011764204,forage_dynamic,8.265305543969912,1.3977467372159929,5.070689916778628,1.3647350544108485,,
delta_rise=0.0_fall=0.0,8.683333333333334,2.334464011764204,forage_phonologicaldynamicglobal,8.300399114522204,1.4354008820336215,5.315462691455571,1.8291751461070125,-0.02493998203831205,0.09309040220814026
delta_rise=0.0_fall=0.0,8.683333333333334,2.334464011764204,forage_phonologicaldynamiclocal,8.312000411099472,1.4308752383468044,5.755818234311834,2.2929397340877524,-0.2115294065067145,0.5973962378952116
delta_rise=0.0_fall=0.0,8.683333333333334,2.334464011764204,forage_phonologicaldynamicswitch,8.273011702126036,1.4024391601397568,5.070919420002041,1.3637910390746377,-0.02586931114222359,0.31816812871140343
delta_rise=0.0_fall=0.25,8.083333333333334,2.361437885884125,forage_dynamic,8.331922065620228,1.4172893703156233,5.02469376133063,1.348696035799649,,
delta_rise=0.0_fall=0.25,8.083333333333334,2.361437885884125,forage_phonologicaldynamicglobal,8.367014779372361,1.4591443090329017,5.263039496520812,1.7958304091946522,-0.025353636041084128,0.09228211588997325
delta_rise=0.0_fall=0.25,8.083333333333334,2.361437885884125,forage_phonologicaldynamiclocal,8.37453022258222,1.4604171920639129,5.6499339538947,2.1901377563242725,-0.20815045707334975,0.5964276473445528
delta_rise=0.0_fall=0.25,8.083333333333334,2.361437885884125,forage_phonologicaldynamicswitch,8.335444340674876,1.4193101168313358,5.025201109731778,1.3479724353002533,-0.015090478387130065,0.27539537683202153
delta_rise=0.0_fall=0.5,7.15,2.1356107635365893,forage_dynamic,8.421548272660681,1.4478701955023012,4.922372411102673,1.3241089105909614,,
delta_rise=0.0_fall=0.5,7.15,2.1356107635365893,forage_phonologicaldynamicglobal,8.45669310319349,1.491575243899607,5.163139673851352,1.7858159377895715,-0.026490080330888302,0.09245172913617712
delta_rise=0.0_fall=0.5,7.15,2.1356107635365893,forage_phonologicaldynamiclocal,8.456305733383328,1.4857932699353875,5.448429721438425,2.102980783960952,-0.1624459597557474,0.5136158709853795
delta_rise=0.0_fall=0.5,7.15,2.1356107635365893,forage_phonologicaldynamicswitch,8.426127067593129,1.4495877756069298,4.922708326039289,1.3234787873132017,-0.04700841219675588,0.3641139927217556
delta_rise=0.0_fall=0.75,6.066666666666666,2.1044925490219466,forage_dynamic,8.489694685250374,1.45891621219562,4.7542892255426255,1.3301557594191826,,
delta_rise=0.0_fall=0.75,6.066666666666666,2.1044925490219466,forage_phonologicaldynamicglobal,8.525136862961627,1.5042336405676517,4.989298123387,1.7975089989692221,-0.027667690060456784,0.09206304958516504
delta_rise=0.0_fall=0.75,6.066666666666666,2.1044925490219466,forage_phonologicaldynamiclocal,8.528025232282639,1.5014345443136219,5.208198114772407,2.0446403648347373,-0.13074944143814662,0.46192676081405265
delta_rise=0.0_fall=0.75,6.066666666666666,2.1044925490219466,forage_phonologicaldynamicswitch,8.488062867314513,1.453522013059743,4.754435053902833,1.3295666136820399,-0.11211886286381757,0.5542993260782074
delta_rise=0.0_fall=1.0,5.15,1.9901842460770642,forage_dynamic,8.559138138952937,1.4621631367472403,4.501595666555442,1.3515325056536738,,
delta_rise=0.0_fall=1.0,5.15,1.9901842460770642,forage_phonologicaldynamicglobal,8.595347041983366,1.505680846504288,4.716272372456112,1.7895556647122883,-0.026167981136495162,0.09216237364655912
delta_rise=0.0_fall=1.0,5.15,1.9901842460770642,forage_phonologicaldynamiclocal,8.597833724938727,1.507815706605201,4.890938795277992,2.045288926277613,-0.12089364420385786,0.45675189255125276
delta_rise=0.0_fall=1.0,5.15,1.9901842460770642,forage_phonologicaldynamicswitch,8.560202951665985,1.4565083619249715,4.501594906198877,1.35111948417946,-0.19784352917273224,0.7039441077820852
delta_rise=0.25_fall=0.0,9.35,2.5352514668174435,forage_dynamic,8.232435661051221,1.4173949598577944,5.399676641658446,1.2851801753103305,,
delta_rise=0.25_fall=0.0,9.35,2.5352514668174435,forage_phonologicaldynamicglobal,8.267881006221057,1.4528904497740047,5.663679870828691,1.7798921039664533,-0.026121851943440164,0.09326100448953134
delta_rise=0.25_fall=0.0,9.35,2.5352514668174435,forage_phonologicaldynamiclocal,8.27887514499937,1.4472342863460572,6.17481942998422,2.3228922481119474,-0.2518855395154666,0.6642816040953993
delta_rise=0.25_fall=0.0,9.35,2.5352514668174435,forage_phonologicaldynamicswitch,8.236935983793552,1.4222570145186377,5.39983883053845,1.284502225649316,-0.02769298967713039,0.3203066576246657
delta_rise=0.25_fall=0.25,8.766666666666667,2.492432992524016,forage_dynamic,8.294551730525972,1.42017513456969,5.343878952841311,1.2666778205009377,,
delta_rise=0.25_fall=0.25,8.766666666666667,2.492432992524016,forage_phonologicaldynamicglobal,8.330581995811066,1.4605991596036092,5.602040153219245,1.7440033664541013,-0.02673689086799911,0.09241592612317338
delta_rise=0.25_fall=0.25,8.766666666666667,2.492432992524016,forage_phonologicaldynamiclocal,8.337912368239582,1.456311700403064,6.068897278840952,2.2409069703804443,-0.24379736028767943,0.6436080446342813
