Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity,Dimension,Type
CAF-657,lizard,0.0001,5.89522027,0.0001,50,alpha_0.0_s2v
CAF-657,cat,0.7511121321644623,7.013143358,0.0001,50,alpha_0.0_s2v
CAF-657,hawk,0.6904674498050437,6.384581525,0.0001,50,alpha_0.0_s2v
CAF-657,dog,0.7866447762617235,7.256114028,0.3333,50,alpha_0.0_s2v
CAF-657,turtle,0.6092676788655819,6.229758099,0.0001,50,alpha_0.0_s2v
CAF-657,jellyfish,0.654030163852014,5.224579675,0.0001,50,alpha_0.0_s2v
CAF-657,bear,0.23800927910386172,7.366226929,0.1429,50,alpha_0.0_s2v
CAF-657,ant,0.45795348981495887,6.426146105,0.0001,50,alpha_0.0_s2v
CAF-657,mosquito,0.49700588956117353,6.026549198,0.1429,50,alpha_0.0_s2v
CAF-657,frog,0.6063742677091868,6.319346573,0.0001,50,alpha_0.0_s2v
CAF-657,tadpole,0.7460257102360524,5.208922147,0.0001,50,alpha_0.0_s2v
CAF-657,fish,0.5516387241735774,7.344814258,0.0001,50,alpha_0.0_s2v
CAF-657,shark,0.7093772702257075,6.054603863,0.0001,50,alpha_0.0_s2v
CAF-657,dolphin,0.5310170102931813,5.864843201,0.1667,50,alpha_0.0_s2v
CAF-657,gorilla,0.5395520566054112,5.657093158,0.1667,50,alpha_0.0_s2v
CAF-657,monkey,0.47474762339277077,6.401926546,0.0001,50,alpha_0.0_s2v
CAF-657,fly,0.4683842904930955,7.029176525,0.0001,50,alpha_0.0_s2v
CAF-657,eagle,0.7194081143243247,6.640854253,0.0001,50,alpha_0.0_s2v
CAF-657,toad,0.5003864960477191,5.885895277,0.0001,50,alpha_0.0_s2v
CAF-657,rat,0.7527778608667552,6.766463413,0.0001,50,alpha_0.0_s2v
CAF-657,mouse,0.7683530547413481,6.776846046,0.0001,50,alpha_0.0_s2v
CAF-657,rodents,0.23931397808549137,5.818422536,0.1429,50,alpha_0.0_s2v
CAF-657,fox,0.2935139237048977,6.849727181,0.1429,50,alpha_0.0_s2v
CAF-657,american,0.2531458049840112,8.145126466,0.125,50,alpha_0.0_s2v
CAF-657,deer,0.2855417448848645,6.706983738,0.125,50,alpha_0.0_s2v
CAF-657,squirrel,0.7166918074022759,6.080840335,0.0001,50,alpha_0.0_s2v
CAF-657,rabbit,0.8030029465632129,6.568628649,0.1667,50,alpha_0.0_s2v
CAF-657,bird,0.6869441198052898,7.119400245,0.2,50,alpha_0.0_s2v
CAJ-663,peacock,0.0001,6.002633379,0.0001,50,alpha_0.0_s2v
CAJ-663,african,0.45289577607860054,7.284544989,0.1429,50,alpha_0.0_s2v
CAJ-663,elephant,0.49941653269743447,6.363660295,0.2857,50,alpha_0.0_s2v
CAJ-663,zebra,0.6046264390369215,5.561689192,0.1429,50,alpha_0.0_s2v
CAJ-663,horse,0.409021951583735,7.396710537,0.2,50,alpha_0.0_s2v
CAJ-663,cat,0.47912871121387823,7.013143358,0.0001,50,alpha_0.0_s2v
CAJ-663,dog,0.87457859760686,7.256114028,0.0001,50,alpha_0.0_s2v
CAJ-663,reptile,0.5569361229222302,5.656324398,0.0001,50,alpha_0.0_s2v
CAJ-663,turtle,0.5225395688280877,6.229758099,0.3333,50,alpha_0.0_s2v
CAJ-663,dolphin,0.42304143629827595,5.864843201,0.1667,50,alpha_0.0_s2v
CAJ-663,penguin,0.5000639474678137,6.25042049,0.2857,50,alpha_0.0_s2v
CAJ-663,buffalo,0.5095229242769961,6.710471006,0.0001,50,alpha_0.0_s2v
CAJ-663,kangaroo,0.4995203863402411,5.566218227,0.0001,50,alpha_0.0_s2v
CAJ-663,goose,0.5177206720738231,6.301955793,0.1667,50,alpha_0.0_s2v
CAJ-663,duck,0.7547038907915291,6.439638803,0.0001,50,alpha_0.0_s2v
CAJ-663,swan,0.5789778565343725,6.23145965,0.0001,50,alpha_0.0_s2v
CAM-666,cat,0.0001,7.013143358,0.0001,50,alpha_0.0_s2v
CAM-666,dog,0.87457859760686,7.256114028,0.0001,50,alpha_0.0_s2v
CAM-666,reptile,0.5569361229222302,5.656324398,0.0001,50,alpha_0.0_s2v
CAM-666,australian,0.3610617348057594,6.530851419,0.1111,50,alpha_0.0_s2v
CAM-666,goat,0.29019139009027484,6.365838461,0.1111,50,alpha_0.0_s2v
CAM-666,water,0.5240005907762955,8.128616304,0.25,50,alpha_0.0_s2v
CAM-666,bear,0.2872150198436303,7.366226929,0.0001,50,alpha_0.0_s2v
CAM-666,firefly,0.3436777207524677,5.169268746,0.0001,50,alpha_0.0_s2v
CAM-666,fly,0.571946812045852,7.029176525,0.3333,50,alpha_0.0_s2v
CAM-666,ant,0.4537381822321558,6.426146105,0.0001,50,alpha_0.0_s2v
CAM-666,bird,0.484051923797844,7.119400245,0.0001,50,alpha_0.0_s2v
CAM-666,eagle,0.7894407873342655,6.640854253,0.0001,50,alpha_0.0_s2v
CAM-666,moose,0.6659951137397666,5.977754233,0.0001,50,alpha_0.0_s2v
CAM-666,deer,0.7128431779025394,6.706983738,0.0001,50,alpha_0.0_s2v
CAM-666,mouse,0.6644883959874124,6.776846046,0.0001,50,alpha_0.0_s2v
CAM-666,duck,0.7670680092805389,6.439638803,0.0001,50,alpha_0.0_s2v
CAM-666,crow,0.6994166177882618,6.398037974,0.0001,50,alpha_0.0_s2v
CAM-666,frog,0.7345157144882548,6.319346573,0.25,50,alpha_0.0_s2v
CAM-666,tadpole,0.7460257102360524,5.208922147,0.0001,50,alpha_0.0_s2v
CAM-666,caterpillar,0.7407468997530215,5.827004623,0.375,50,alpha_0.0_s2v
CAM-666,butterfly,0.6525690141132495,6.225709011,0.25,50,alpha_0.0_s2v
CAM-666,moth,0.6198921468488021,6.090354709,0.0001,50,alpha_0.0_s2v
CAM-666,gorilla,0.4752951462786663,5.657093158,0.0001,50,alpha_0.0_s2v
CAP-671,african,0.0001,7.284544989,0.0001,50,alpha_0.0_s2v
CAP-671,elephant,0.49941653269743447,6.363660295,0.2857,50,alpha_0.0_s2v
CAP-671,lion,0.7334882084465412,6.723957079,0.4286,50,alpha_0.0_s2v
CAP-671,hippopotamus,0.7246283784237781,5.258390618,0.0909,50,alpha_0.0_s2v
CAP-671,bat,0.4330591287982549,6.527307346,0.0909,50,alpha_0.0_s2v
CAP-671,fish,0.3721166280938021,7.344814258,0.0001,50,alpha_0.0_s2v
CAP-671,shark,0.7093772702257075,6.054603863,0.0001,50,alpha_0.0_s2v
CAP-671,turtle,0.5561222575511516,6.229758099,0.0001,50,alpha_0.0_s2v
CAP-671,snake,0.61267584270522,6.615078486,0.0001,50,alpha_0.0_s2v
