Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.633333333333333,2.5427456726058066,forage_dynamic,8.104033628310273,1.3602158212037194,4.068521410865226,0.8485719561062784,,
delta_rise=0.0_fall=0.0,9.633333333333333,2.5427456726058066,forage_phonologicaldynamicglobal,8.16840226270693,1.4106464715484857,4.316323596284478,1.1655342575503245,-0.03537913695312599,0.08946805551555742
delta_rise=0.0_fall=0.0,9.633333333333333,2.5427456726058066,forage_phonologicaldynamiclocal,8.171626628849877,1.4048680567344625,4.543050433999834,1.404350205375453,-0.12832950123078374,0.4090702337824354
delta_rise=0.0_fall=0.0,9.633333333333333,2.5427456726058066,forage_phonologicaldynamicswitch,8.121017855473674,1.3742907002251485,4.068303025216619,0.84887883275243,-0.046811833322058835,0.332859645432944
delta_rise=0.0_fall=0.25,9.0,2.32379000772445,forage_dynamic,8.148660353721388,1.3441301582417151,4.030252436400816,0.835730932456084,,
delta_rise=0.0_fall=0.25,9.0,2.32379000772445,forage_phonologicaldynamicglobal,8.213200882437212,1.391726658256637,4.279222694260576,1.16377847992473,-0.03614721245892551,0.0884810288471527
delta_rise=0.0_fall=0.25,9.0,2.32379000772445,forage_phonologicaldynamiclocal,8.214960144019512,1.3879582631352858,4.4617001098929405,1.4022177447504718,-0.12868093687453555,0.4406089396351549
delta_rise=0.0_fall=0.25,9.0,2.32379000772445,forage_phonologicaldynamicswitch,8.161995410913939,1.3573990692402236,4.030340221696631,0.8359791697634835,-0.04763447509415506,0.3015636656685981
delta_rise=0.0_fall=0.5,8.0,2.2211108331943574,forage_dynamic,8.20266908451304,1.3531304699755828,3.9053923899234197,0.8469169531820594,,
delta_rise=0.0_fall=0.5,8.0,2.2211108331943574,forage_phonologicaldynamicglobal,8.269189359702617,1.3990238380051123,4.143170057962065,1.160790638275082,-0.036398479604901154,0.08713632514803463
delta_rise=0.0_fall=0.5,8.0,2.2211108331943574,forage_phonologicaldynamiclocal,8.275429551526146,1.3905592366232893,4.341937604584629,1.3824190497735405,-0.1378691585088813,0.45534285681587233
delta_rise=0.0_fall=0.5,8.0,2.2211108331943574,forage_phonologicaldynamicswitch,8.21407113369521,1.3672150551094286,3.905763326111033,0.8468647976229334,-0.0863890315710469,0.4547127136172654
delta_rise=0.0_fall=0.75,6.833333333333333,2.2815686611530137,forage_dynamic,8.2865724541793,1.3756765990071098,3.696618439698822,0.8252519091500324,,
delta_rise=0.0_fall=0.75,6.833333333333333,2.2815686611530137,forage_phonologicaldynamicglobal,8.357956849119153,1.4309031266769483,3.9014595785688595,1.0565380116678709,-0.03518284604312855,0.0833387858487277
delta_rise=0.0_fall=0.75,6.833333333333333,2.2815686611530137,forage_phonologicaldynamiclocal,8.365111648733473,1.4257727079104312,4.029153176275532,1.182428821174783,-0.1267827981680339,0.4363317374324225
delta_rise=0.0_fall=0.75,6.833333333333333,2.2815686611530137,forage_phonologicaldynamicswitch,8.2934111188112,1.3880585319649998,3.6968973994522893,0.825257159475814,-0.09673260511651721,0.44007935917980034
delta_rise=0.0_fall=1.0,5.583333333333333,1.9688547150282292,forage_dynamic,8.384330066489458,1.3681835781986706,3.496523040308505,0.8700464310083147,,
delta_rise=0.0_fall=1.0,5.583333333333333,1.9688547150282292,forage_phonologicaldynamicglobal,8.455862141620095,1.4250051256864262,3.695084678450113,1.1384864868079219,-0.03427712676745543,0.0856780711973413
delta_rise=0.0_fall=1.0,5.583333333333333,1.9688547150282292,forage_phonologicaldynamiclocal,8.447091685198053,1.4190091280537571,3.7713879674107815,1.207110769293719,-0.0829850397810153,0.32745763385573523
delta_rise=0.0_fall=1.0,5.583333333333333,1.9688547150282292,forage_phonologicaldynamicswitch,8.394100152665876,1.380597615792889,3.4968792120021117,0.8701072409204175,-0.32039047290957706,0.8140870449963807
delta_rise=0.25_fall=0.0,10.383333333333333,2.978207887677122,forage_dynamic,8.074561100782848,1.3835154998121235,4.292414724087753,0.8406982059922068,,
delta_rise=0.25_fall=0.0,10.383333333333333,2.978207887677122,forage_phonologicaldynamicglobal,8.135407857982873,1.4280696598994982,4.56164423546928,1.178343997481266,-0.03636683547800416,0.09062970082440061
delta_rise=0.25_fall=0.0,10.383333333333333,2.978207887677122,forage_phonologicaldynamiclocal,8.145601388583056,1.4258292731983724,4.879020663657675,1.4788170092496045,-0.14581847889739558,0.4374641770091875
