Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.528816614675861,1.8369308102749518,,160.64537934661706
CAF-657,forage_dynamic_simdrop,8.596718899724321,4.134351975314765,,150.55038961000656
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.477670697505337,1.768128602679263,,161.30374673822774
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.328560829452242,2.052386262296619,,160.82047797610838
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.328572654183361,2.052388798063629,,160.82047797606143
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.787265767798791,3.319262251471266,,155.8417169059445
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.787281464658713,3.319263251903263,,155.84171690591978
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.7872799425586,3.319263194926609,,155.84171690591788
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.468744160427555,4.137083634445385,,150.9685072747154
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.468740820294439,4.137084123613305,,150.96850727471107
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.596723734715987,4.134352090121305,,150.55038961001415
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.596707155484523,4.134351781544868,,150.55038961002566
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.596725037359539,4.134353115977029,,150.55038961001867
CAF-657,forage_dynamic_norms_associative,8.308657987612383,3.8539409468895207,,157.88844056730625
CAF-657,forage_dynamic_norms_categorical,7.975295961104522,2.810211194198154,,159.9617936487988
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.385407220400669,4.194334670647951,,151.45698932855873
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.065430036403194,3.471418899650161,,154.20242133083875
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.155892479720913,3.4885239981092466,,153.52611096872863
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.227075561297005,3.221955023153645,,154.82083381044995
