Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,13.0,0.0,forage_dynamic,6.338938014550957,,3.3270626864711907,,,
delta_rise=0.0_fall=0.0,13.0,0.0,forage_phonologicaldynamicglobal,6.289498609017692,,3.076328728176642,,0.06276365248560975,
delta_rise=0.0_fall=0.0,13.0,0.0,forage_phonologicaldynamiclocal,6.439957755840142,,3.9151890809340077,,-0.14423619374628305,
delta_rise=0.0_fall=0.0,13.0,0.0,forage_phonologicaldynamicswitch,6.308319834984842,,3.3258055243682567,,0.22258654004017853,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_dynamic,6.67883199030025,,3.734640937236312,,,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamicglobal,6.611472240582271,,3.4754976014902743,,0.05557600488954174,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamiclocal,6.735760424113097,,4.040624426343674,,-0.06214041328508813,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamicswitch,6.594705817540315,,3.7313486425920885,,0.22449578040391327,
delta_rise=0.0_fall=0.5,10.0,0.0,forage_dynamic,6.678826868153168,,3.734637383290698,,,
delta_rise=0.0_fall=0.5,10.0,0.0,forage_phonologicaldynamicglobal,6.6114697881741105,,3.4754972133117663,,0.0555759900264921,
delta_rise=0.0_fall=0.5,10.0,0.0,forage_phonologicaldynamiclocal,6.7357727548962405,,4.040623745541239,,-0.06214035040921672,
delta_rise=0.0_fall=0.5,10.0,0.0,forage_phonologicaldynamicswitch,6.594692397775906,,3.7313429232024875,,0.22449579801131894,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_dynamic,6.678838871120552,,3.7346461390451693,,,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_phonologicaldynamicglobal,6.611467633620017,,3.475496823619703,,0.05557598057752052,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_phonologicaldynamiclocal,6.735772664731883,,4.0406251669741575,,-0.062140415314738004,
delta_rise=0.0_fall=0.75,10.0,0.0,forage_phonologicaldynamicswitch,6.594705546964074,,3.731346939123371,,0.2244957933512629,
delta_rise=0.0_fall=1.0,8.0,0.0,forage_dynamic,6.698963252684257,,3.402686305137688,,,
delta_rise=0.0_fall=1.0,8.0,0.0,forage_phonologicaldynamicglobal,6.625554597989884,,3.165334775551867,,0.05502889886292503,
delta_rise=0.0_fall=1.0,8.0,0.0,forage_phonologicaldynamiclocal,6.703755489895357,,3.4229389449526013,,-0.004535000447121904,
delta_rise=0.0_fall=1.0,8.0,0.0,forage_phonologicaldynamicswitch,6.645131372538257,,3.401308711814385,,0.1816169272857283,
delta_rise=0.25_fall=0.0,13.0,0.0,forage_dynamic,6.338932214523121,,3.3270527028966463,,,
delta_rise=0.25_fall=0.0,13.0,0.0,forage_phonologicaldynamicglobal,6.289497632019644,,3.0763277272658134,,0.06276367318144066,
delta_rise=0.25_fall=0.0,13.0,0.0,forage_phonologicaldynamiclocal,6.4399560670883575,,3.9151906031532566,,-0.1442363014513102,
delta_rise=0.25_fall=0.0,13.0,0.0,forage_phonologicaldynamicswitch,6.308323105850689,,3.3258086097197412,,0.2225865738164687,
delta_rise=0.25_fall=0.25,10.0,0.0,forage_dynamic,6.678817379496578,,3.7346389718908783,,,
delta_rise=0.25_fall=0.25,10.0,0.0,forage_phonologicaldynamicglobal,6.611469056441776,,3.475497108596591,,0.055575914876785724,
