Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
CAY-681,0.4150326387345406,0.11626177202906403,6.445061843666666,0.6885429415649316,0.27975,0.10942749502143721,21.0,delta_rise=0.0_fall=0.0,10,1.9090909090909092,1.083306844346635
CAY-681,,,,,,,,delta_rise=0.0_fall=0.25,8,2.3333333333333335,1.3333333333333333
CAY-681,,,,,,,,delta_rise=0.0_fall=0.5,8,2.3333333333333335,1.3333333333333333
CAY-681,,,,,,,,delta_rise=0.0_fall=0.75,6,3.0,2.9277002188455996
CAY-681,,,,,,,,delta_rise=0.0_fall=1.0,5,3.5,3.2015621187164243
CAY-681,,,,,,,,delta_rise=0.25_fall=0.0,12,1.6153846153846154,1.0769230769230769
CAY-681,,,,,,,,delta_rise=0.25_fall=0.25,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.25_fall=0.5,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.25_fall=0.75,6,3.0,2.9277002188455996
CAY-681,,,,,,,,delta_rise=0.25_fall=1.0,5,3.5,3.2015621187164243
CAY-681,,,,,,,,delta_rise=0.5_fall=0.0,12,1.6153846153846154,1.0769230769230769
CAY-681,,,,,,,,delta_rise=0.5_fall=0.25,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.5_fall=0.5,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.5_fall=0.75,6,3.0,2.9277002188455996
CAY-681,,,,,,,,delta_rise=0.5_fall=1.0,5,3.5,3.2015621187164243
CAY-681,,,,,,,,delta_rise=0.75_fall=0.0,12,1.6153846153846154,1.0769230769230769
CAY-681,,,,,,,,delta_rise=0.75_fall=0.25,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.75_fall=0.5,11,1.75,1.1636866703140785
CAY-681,,,,,,,,delta_rise=0.75_fall=0.75,6,3.0,2.9277002188455996
CAY-681,,,,,,,,delta_rise=0.75_fall=1.0,5,3.5,3.2015621187164243
CAY-681,,,,,,,,delta_rise=1.0_fall=0.0,16,1.2352941176470589,0.42418250299576343
CAY-681,,,,,,,,delta_rise=1.0_fall=0.25,15,1.3125,0.582961190818051
CAY-681,,,,,,,,delta_rise=1.0_fall=0.5,15,1.3125,0.582961190818051
CAY-681,,,,,,,,delta_rise=1.0_fall=0.75,15,1.3125,0.582961190818051
CAY-681,,,,,,,,delta_rise=1.0_fall=1.0,14,1.4,1.019803902718557
CAY-681,,,,,,,,multimodal_alpha=0.0,0,21.0,0.0
CAY-681,,,,,,,,multimodal_alpha=0.1,4,4.2,1.32664991614216
CAY-681,,,,,,,,multimodal_alpha=0.2,4,4.2,1.32664991614216
CAY-681,,,,,,,,multimodal_alpha=0.30000000000000004,4,4.2,1.32664991614216
CAY-681,,,,,,,,multimodal_alpha=0.4,4,4.2,1.32664991614216
CAY-681,,,,,,,,multimodal_alpha=0.5,4,4.2,1.32664991614216
CAY-681,,,,,,,,multimodal_alpha=0.6000000000000001,5,3.5,1.6072751268321592
CAY-681,,,,,,,,multimodal_alpha=0.7000000000000001,5,3.5,1.6072751268321592
CAY-681,,,,,,,,multimodal_alpha=0.8,5,3.5,1.6072751268321592
CAY-681,,,,,,,,multimodal_alpha=0.9,5,3.5,1.6072751268321592
CAY-681,,,,,,,,multimodal_alpha=1.0,5,3.5,1.6072751268321592
CAY-681,,,,,,,,norms_associative,8,2.3333333333333335,1.632993161855452
CAY-681,,,,,,,,norms_categorical,9,2.1,1.445683229480096
CAY-681,,,,,,,,simdrop,5,3.5,1.6072751268321592
