Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAY-681,penguin,0.0001,6.25042049,0.0001
CAY-681,snake,0.3125486830712383,6.615078486,0.0001
CAY-681,elephant,0.42690177142474417,6.363660295,0.0001
CAY-681,african,0.403208628248365,7.284544989,0.2857
CAY-681,dog,0.3150884318234528,7.256114028,0.0001
CAY-681,cat,0.6955221954926191,7.013143358,0.0001
CAY-681,gorilla,0.39054696095345365,5.657093158,0.0001
CAY-681,primate,0.36541474626331283,5.892763902,0.0001
CAY-681,ape,0.3133436972453322,6.012398914,0.0001
CAY-681,insect,0.42218513669955726,6.519563532,0.0001
CAY-681,butterfly,0.4501638909409801,6.225709011,0.0001
CAY-681,ladybug,0.490788893158671,4.670032365,0.0001
CAY-681,beetle,0.5854218362604653,6.021866684,0.0001
CAY-681,worm,0.5005062282591264,6.383063674,0.0001
CAY-681,ant,0.44387700168127975,6.426146105,0.0001
CAY-681,lizard,0.4470396998002135,5.89522027,0.0001
CAY-681,insect,0.4329051300277966,6.519563532,0.0001
CAY-681,human,0.44929739886313247,7.989650076,0.0001
CAY-681,robin,0.13418704294752026,6.526197074,0.3333
CAY-681,cardinal,0.28175632725206623,6.704668529,0.375
CAY-681,bird,0.4399490742774852,7.119400245,0.125
