Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAY-681,forage_static,8.240351003704982,1.7217973655167635,,116.53570831597621
CAY-681,forage_dynamic_simdrop,8.564232165433419,2.492450208561499,,115.66981088181853
CAY-681,forage_dynamic_multimodal_alpha=0.0,8.240350449130721,1.721796355871253,,116.53570831597722
CAY-681,forage_dynamic_multimodal_alpha=0.1,8.222320765343325,1.7167734433919524,,117.40025607614344
CAY-681,forage_dynamic_multimodal_alpha=0.2,8.222314273300752,1.716771177345287,,117.40025607613981
CAY-681,forage_dynamic_multimodal_alpha=0.30000000000000004,8.222325098638333,1.716772097524514,,117.40025607614928
CAY-681,forage_dynamic_multimodal_alpha=0.4,8.222323303812141,1.7167732906491813,,117.40025607614689
CAY-681,forage_dynamic_multimodal_alpha=0.5,8.222312129923804,1.7167705651616942,,117.40025607614285
CAY-681,forage_dynamic_multimodal_alpha=0.6000000000000001,8.564233602819249,2.492450708956397,,115.66981088181859
CAY-681,forage_dynamic_multimodal_alpha=0.7000000000000001,8.56423321758094,2.492452104386862,,115.66981088181898
CAY-681,forage_dynamic_multimodal_alpha=0.8,8.564237649645916,2.4924523047154556,,115.66981088182368
CAY-681,forage_dynamic_multimodal_alpha=0.9,8.564226322596996,2.4924501678132094,,115.6698108818233
CAY-681,forage_dynamic_multimodal_alpha=1.0,8.564242123155427,2.4924547218365927,,115.66981088184058
CAY-681,forage_dynamic_norms_associative,8.108397301389283,2.5744907042373715,,115.34775867988624
CAY-681,forage_dynamic_norms_categorical,8.171875573836612,2.829343618496795,,115.11851392382466
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.0,8.27248307518135,3.1314660425780705,,114.92651032761137
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.25,8.450829431566747,2.9917767654749996,,114.842392634168
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.5,8.450827581745303,2.991777764223113,,114.8423926341661
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.75,8.670211292042213,2.9794940828464065,,114.27273779630798
CAY-681,forage_dynamic_delta_rise=0.0_fall=1.0,8.560744566232362,2.719668567167952,,114.55958949506591
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.0,8.079743103615165,3.263094304525341,,115.2699862778628
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.25,8.16078754563445,3.121676557372833,,115.35517002095884
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.5,8.160775178711827,3.121675636631877,,115.35517002095172
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.75,8.670208621017535,2.97949347530877,,114.2727377963108
CAY-681,forage_dynamic_delta_rise=0.25_fall=1.0,8.56073991273105,2.7196688610322197,,114.5595894950587
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.0,8.07974155102071,3.2630933930610455,,115.26998627786196
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.25,8.160764775780358,3.121664175313868,,115.35517002104199
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.5,8.160777786826477,3.1216749269925734,,115.35517002094889
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.75,8.670213995925302,2.9794943026927876,,114.27273779630794
