Subject,Fluency_Item,Switch_Value,Switch_Method
CAY-681,penguin,2,simdrop
CAY-681,snake,0,simdrop
CAY-681,elephant,0,simdrop
CAY-681,african,0,simdrop
CAY-681,dog,1,simdrop
CAY-681,cat,0,simdrop
CAY-681,gorilla,0,simdrop
CAY-681,primate,0,simdrop
CAY-681,ape,1,simdrop
CAY-681,insect,0,simdrop
CAY-681,butterfly,0,simdrop
CAY-681,ladybug,0,simdrop
CAY-681,beetle,0,simdrop
CAY-681,worm,0,simdrop
CAY-681,ant,1,simdrop
CAY-681,lizard,0,simdrop
CAY-681,insect,1,simdrop
CAY-681,human,0,simdrop
CAY-681,robin,1,simdrop
CAY-681,cardinal,0,simdrop
CAY-681,bird,2,simdrop
CAY-681,penguin,2,multimodal_alpha=0.0
CAY-681,snake,0,multimodal_alpha=0.0
CAY-681,elephant,0,multimodal_alpha=0.0
CAY-681,african,0,multimodal_alpha=0.0
CAY-681,dog,0,multimodal_alpha=0.0
CAY-681,cat,0,multimodal_alpha=0.0
CAY-681,gorilla,0,multimodal_alpha=0.0
CAY-681,primate,0,multimodal_alpha=0.0
CAY-681,ape,0,multimodal_alpha=0.0
CAY-681,insect,0,multimodal_alpha=0.0
CAY-681,butterfly,0,multimodal_alpha=0.0
CAY-681,ladybug,0,multimodal_alpha=0.0
CAY-681,beetle,0,multimodal_alpha=0.0
CAY-681,worm,0,multimodal_alpha=0.0
CAY-681,ant,0,multimodal_alpha=0.0
CAY-681,lizard,0,multimodal_alpha=0.0
CAY-681,insect,0,multimodal_alpha=0.0
CAY-681,human,0,multimodal_alpha=0.0
CAY-681,robin,0,multimodal_alpha=0.0
CAY-681,cardinal,0,multimodal_alpha=0.0
CAY-681,bird,2,multimodal_alpha=0.0
CAY-681,penguin,2,multimodal_alpha=0.1
CAY-681,snake,0,multimodal_alpha=0.1
CAY-681,elephant,0,multimodal_alpha=0.1
CAY-681,african,0,multimodal_alpha=0.1
CAY-681,dog,1,multimodal_alpha=0.1
CAY-681,cat,0,multimodal_alpha=0.1
CAY-681,gorilla,0,multimodal_alpha=0.1
CAY-681,primate,0,multimodal_alpha=0.1
CAY-681,ape,1,multimodal_alpha=0.1
CAY-681,insect,0,multimodal_alpha=0.1
CAY-681,butterfly,0,multimodal_alpha=0.1
CAY-681,ladybug,0,multimodal_alpha=0.1
CAY-681,beetle,0,multimodal_alpha=0.1
CAY-681,worm,0,multimodal_alpha=0.1
CAY-681,ant,1,multimodal_alpha=0.1
CAY-681,lizard,0,multimodal_alpha=0.1
CAY-681,insect,1,multimodal_alpha=0.1
CAY-681,human,0,multimodal_alpha=0.1
CAY-681,robin,0,multimodal_alpha=0.1
CAY-681,cardinal,0,multimodal_alpha=0.1
CAY-681,bird,2,multimodal_alpha=0.1
CAY-681,penguin,2,multimodal_alpha=0.2
CAY-681,snake,0,multimodal_alpha=0.2
CAY-681,elephant,0,multimodal_alpha=0.2
CAY-681,african,0,multimodal_alpha=0.2
CAY-681,dog,1,multimodal_alpha=0.2
CAY-681,cat,0,multimodal_alpha=0.2
CAY-681,gorilla,0,multimodal_alpha=0.2
CAY-681,primate,0,multimodal_alpha=0.2
CAY-681,ape,1,multimodal_alpha=0.2
CAY-681,insect,0,multimodal_alpha=0.2
CAY-681,butterfly,0,multimodal_alpha=0.2
CAY-681,ladybug,0,multimodal_alpha=0.2
CAY-681,beetle,0,multimodal_alpha=0.2
CAY-681,worm,0,multimodal_alpha=0.2
CAY-681,ant,1,multimodal_alpha=0.2
CAY-681,lizard,0,multimodal_alpha=0.2
CAY-681,insect,1,multimodal_alpha=0.2
CAY-681,human,0,multimodal_alpha=0.2
CAY-681,robin,0,multimodal_alpha=0.2
CAY-681,cardinal,0,multimodal_alpha=0.2
CAY-681,bird,2,multimodal_alpha=0.2
CAY-681,penguin,2,multimodal_alpha=0.30000000000000004
CAY-681,snake,0,multimodal_alpha=0.30000000000000004
CAY-681,elephant,0,multimodal_alpha=0.30000000000000004
CAY-681,african,0,multimodal_alpha=0.30000000000000004
CAY-681,dog,1,multimodal_alpha=0.30000000000000004
CAY-681,cat,0,multimodal_alpha=0.30000000000000004
CAY-681,gorilla,0,multimodal_alpha=0.30000000000000004
CAY-681,primate,0,multimodal_alpha=0.30000000000000004
CAY-681,ape,1,multimodal_alpha=0.30000000000000004
CAY-681,insect,0,multimodal_alpha=0.30000000000000004
CAY-681,butterfly,0,multimodal_alpha=0.30000000000000004
CAY-681,ladybug,0,multimodal_alpha=0.30000000000000004
CAY-681,beetle,0,multimodal_alpha=0.30000000000000004
CAY-681,worm,0,multimodal_alpha=0.30000000000000004
CAY-681,ant,1,multimodal_alpha=0.30000000000000004
CAY-681,lizard,0,multimodal_alpha=0.30000000000000004
CAY-681,insect,1,multimodal_alpha=0.30000000000000004
CAY-681,human,0,multimodal_alpha=0.30000000000000004
CAY-681,robin,0,multimodal_alpha=0.30000000000000004
CAY-681,cardinal,0,multimodal_alpha=0.30000000000000004
CAY-681,bird,2,multimodal_alpha=0.30000000000000004
CAY-681,penguin,2,multimodal_alpha=0.4
CAY-681,snake,0,multimodal_alpha=0.4
CAY-681,elephant,0,multimodal_alpha=0.4
CAY-681,african,0,multimodal_alpha=0.4
CAY-681,dog,1,multimodal_alpha=0.4
CAY-681,cat,0,multimodal_alpha=0.4
CAY-681,gorilla,0,multimodal_alpha=0.4
CAY-681,primate,0,multimodal_alpha=0.4
CAY-681,ape,1,multimodal_alpha=0.4
CAY-681,insect,0,multimodal_alpha=0.4
CAY-681,butterfly,0,multimodal_alpha=0.4
CAY-681,ladybug,0,multimodal_alpha=0.4
CAY-681,beetle,0,multimodal_alpha=0.4
CAY-681,worm,0,multimodal_alpha=0.4
CAY-681,ant,1,multimodal_alpha=0.4
CAY-681,lizard,0,multimodal_alpha=0.4
CAY-681,insect,1,multimodal_alpha=0.4
CAY-681,human,0,multimodal_alpha=0.4
CAY-681,robin,0,multimodal_alpha=0.4
CAY-681,cardinal,0,multimodal_alpha=0.4
CAY-681,bird,2,multimodal_alpha=0.4
CAY-681,penguin,2,multimodal_alpha=0.5
CAY-681,snake,0,multimodal_alpha=0.5
CAY-681,elephant,0,multimodal_alpha=0.5
CAY-681,african,0,multimodal_alpha=0.5
CAY-681,dog,1,multimodal_alpha=0.5
CAY-681,cat,0,multimodal_alpha=0.5
CAY-681,gorilla,0,multimodal_alpha=0.5
CAY-681,primate,0,multimodal_alpha=0.5
CAY-681,ape,1,multimodal_alpha=0.5
CAY-681,insect,0,multimodal_alpha=0.5
CAY-681,butterfly,0,multimodal_alpha=0.5
CAY-681,ladybug,0,multimodal_alpha=0.5
CAY-681,beetle,0,multimodal_alpha=0.5
CAY-681,worm,0,multimodal_alpha=0.5
CAY-681,ant,1,multimodal_alpha=0.5
CAY-681,lizard,0,multimodal_alpha=0.5
CAY-681,insect,1,multimodal_alpha=0.5
CAY-681,human,0,multimodal_alpha=0.5
CAY-681,robin,0,multimodal_alpha=0.5
CAY-681,cardinal,0,multimodal_alpha=0.5
CAY-681,bird,2,multimodal_alpha=0.5
CAY-681,penguin,2,multimodal_alpha=0.6000000000000001
CAY-681,snake,0,multimodal_alpha=0.6000000000000001
CAY-681,elephant,0,multimodal_alpha=0.6000000000000001
CAY-681,african,0,multimodal_alpha=0.6000000000000001
CAY-681,dog,1,multimodal_alpha=0.6000000000000001
CAY-681,cat,0,multimodal_alpha=0.6000000000000001
CAY-681,gorilla,0,multimodal_alpha=0.6000000000000001
CAY-681,primate,0,multimodal_alpha=0.6000000000000001
CAY-681,ape,1,multimodal_alpha=0.6000000000000001
CAY-681,insect,0,multimodal_alpha=0.6000000000000001
CAY-681,butterfly,0,multimodal_alpha=0.6000000000000001
CAY-681,ladybug,0,multimodal_alpha=0.6000000000000001
CAY-681,beetle,0,multimodal_alpha=0.6000000000000001
CAY-681,worm,0,multimodal_alpha=0.6000000000000001
CAY-681,ant,1,multimodal_alpha=0.6000000000000001
CAY-681,lizard,0,multimodal_alpha=0.6000000000000001
CAY-681,insect,1,multimodal_alpha=0.6000000000000001
CAY-681,human,0,multimodal_alpha=0.6000000000000001
CAY-681,robin,1,multimodal_alpha=0.6000000000000001
CAY-681,cardinal,0,multimodal_alpha=0.6000000000000001
CAY-681,bird,2,multimodal_alpha=0.6000000000000001
CAY-681,penguin,2,multimodal_alpha=0.7000000000000001
CAY-681,snake,0,multimodal_alpha=0.7000000000000001
CAY-681,elephant,0,multimodal_alpha=0.7000000000000001
CAY-681,african,0,multimodal_alpha=0.7000000000000001
CAY-681,dog,1,multimodal_alpha=0.7000000000000001
CAY-681,cat,0,multimodal_alpha=0.7000000000000001
CAY-681,gorilla,0,multimodal_alpha=0.7000000000000001
CAY-681,primate,0,multimodal_alpha=0.7000000000000001
CAY-681,ape,1,multimodal_alpha=0.7000000000000001
CAY-681,insect,0,multimodal_alpha=0.7000000000000001
CAY-681,butterfly,0,multimodal_alpha=0.7000000000000001
CAY-681,ladybug,0,multimodal_alpha=0.7000000000000001
CAY-681,beetle,0,multimodal_alpha=0.7000000000000001
CAY-681,worm,0,multimodal_alpha=0.7000000000000001
CAY-681,ant,1,multimodal_alpha=0.7000000000000001
CAY-681,lizard,0,multimodal_alpha=0.7000000000000001
CAY-681,insect,1,multimodal_alpha=0.7000000000000001
CAY-681,human,0,multimodal_alpha=0.7000000000000001
CAY-681,robin,1,multimodal_alpha=0.7000000000000001
CAY-681,cardinal,0,multimodal_alpha=0.7000000000000001
CAY-681,bird,2,multimodal_alpha=0.7000000000000001
CAY-681,penguin,2,multimodal_alpha=0.8
CAY-681,snake,0,multimodal_alpha=0.8
CAY-681,elephant,0,multimodal_alpha=0.8
CAY-681,african,0,multimodal_alpha=0.8
CAY-681,dog,1,multimodal_alpha=0.8
CAY-681,cat,0,multimodal_alpha=0.8
CAY-681,gorilla,0,multimodal_alpha=0.8
CAY-681,primate,0,multimodal_alpha=0.8
CAY-681,ape,1,multimodal_alpha=0.8
CAY-681,insect,0,multimodal_alpha=0.8
CAY-681,butterfly,0,multimodal_alpha=0.8
CAY-681,ladybug,0,multimodal_alpha=0.8
CAY-681,beetle,0,multimodal_alpha=0.8
