Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,11.0,0.0,forage_dynamic,8.22129047418459,,4.27967147070068,,,
delta_rise=0.0_fall=0.0,11.0,0.0,forage_phonologicaldynamicglobal,8.475759696613025,,4.875089562777288,,-0.10588013159900662,
delta_rise=0.0_fall=0.0,11.0,0.0,forage_phonologicaldynamiclocal,8.28005516607874,,4.624099286827102,,-0.06286077426335532,
delta_rise=0.0_fall=0.0,11.0,0.0,forage_phonologicaldynamicswitch,8.417186700645983,,4.279923811263514,,-0.14871192576111497,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_dynamic,8.315272414212828,,4.121294903994402,,,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamicglobal,8.547231024587559,,4.662130993277964,,-0.10154458570535087,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamiclocal,8.332323623705122,,4.217576911398772,,-0.01906389887900711,
delta_rise=0.0_fall=0.25,10.0,0.0,forage_phonologicaldynamicswitch,8.563350448032107,,4.123117721323709,,-0.23692778999269146,
delta_rise=0.0_fall=0.5,9.0,0.0,forage_dynamic,8.180834290083762,,3.7179190476314825,,,
delta_rise=0.0_fall=0.5,9.0,0.0,forage_phonologicaldynamicglobal,8.40044163055219,,4.178690678001909,,-0.10016021804968332,
delta_rise=0.0_fall=0.5,9.0,0.0,forage_phonologicaldynamiclocal,8.235310676085849,,3.929442757670159,,-0.04738490517081104,
delta_rise=0.0_fall=0.5,9.0,0.0,forage_phonologicaldynamicswitch,8.336399652397608,,3.7171654705098343,,-0.1994067499209194,
delta_rise=0.0_fall=0.75,9.0,0.0,forage_dynamic,8.180844892791336,,3.7179189240764647,,,
delta_rise=0.0_fall=0.75,9.0,0.0,forage_phonologicaldynamicglobal,8.400446509026576,,4.178692420094588,,-0.10016029156345253,
delta_rise=0.0_fall=0.75,9.0,0.0,forage_phonologicaldynamiclocal,8.235314598982065,,3.9294438377073613,,-0.04738498439124738,
delta_rise=0.0_fall=0.75,9.0,0.0,forage_phonologicaldynamicswitch,8.33638815618327,,3.7171631460272314,,-0.1994068984020721,
delta_rise=0.0_fall=1.0,9.0,0.0,forage_dynamic,8.18083951734622,,3.717919202589376,,,
delta_rise=0.0_fall=1.0,9.0,0.0,forage_phonologicaldynamicglobal,8.400443690486403,,4.178692597688424,,-0.10016026599175704,
delta_rise=0.0_fall=1.0,9.0,0.0,forage_phonologicaldynamiclocal,8.235310749068843,,3.92944369125098,,-0.04738492907676107,
delta_rise=0.0_fall=1.0,9.0,0.0,forage_phonologicaldynamicswitch,8.3363958072333,,3.7171658476196514,,-0.19940692901993937,
delta_rise=0.25_fall=0.0,12.0,0.0,forage_dynamic,8.114005494620221,,4.411962654023724,,,
delta_rise=0.25_fall=0.0,12.0,0.0,forage_phonologicaldynamicglobal,8.352323392701251,,5.021246364510024,,-0.10631232370407134,
delta_rise=0.25_fall=0.0,12.0,0.0,forage_phonologicaldynamiclocal,8.152185340498058,,4.665111816609025,,-0.04592767209501295,
delta_rise=0.25_fall=0.0,12.0,0.0,forage_phonologicaldynamicswitch,8.309310619026437,,4.411440876149385,,-0.1589582391453575,
delta_rise=0.25_fall=0.25,11.0,0.0,forage_dynamic,8.209294751567047,,4.234924353802635,,,
delta_rise=0.25_fall=0.25,11.0,0.0,forage_phonologicaldynamicglobal,8.425702101833075,,4.786146804168402,,-0.10176144794508124,
delta_rise=0.25_fall=0.25,11.0,0.0,forage_phonologicaldynamiclocal,8.209945627104709,,4.2390581413625785,,-0.000818713730623207,
delta_rise=0.25_fall=0.25,11.0,0.0,forage_phonologicaldynamicswitch,8.44943741916974,,4.235698634490492,,-0.24700366012763877,
delta_rise=0.25_fall=0.5,10.0,0.0,forage_dynamic,8.076344728000908,,3.7969288409397888,,,
delta_rise=0.25_fall=0.5,10.0,0.0,forage_phonologicaldynamicglobal,8.280979464659046,,4.261843624383167,,-0.10004744118508918,
delta_rise=0.25_fall=0.5,10.0,0.0,forage_phonologicaldynamiclocal,8.109884797098605,,3.939920002862022,,-0.03209633160650173,
delta_rise=0.25_fall=0.5,10.0,0.0,forage_phonologicaldynamicswitch,8.227330700783948,,3.7954101083185137,,-0.21244838950496006,
delta_rise=0.25_fall=0.75,10.0,0.0,forage_dynamic,8.076340256010424,,3.7969277700547424,,,
delta_rise=0.25_fall=0.75,10.0,0.0,forage_phonologicaldynamicglobal,8.280969438555621,,4.261842593198619,,-0.10004739571319415,
delta_rise=0.25_fall=0.75,10.0,0.0,forage_phonologicaldynamiclocal,8.109886254795441,,3.93991950894843,,-0.03209634293228923,
