Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAY-681,forage_static,8.263447686162968,2.3995278967444498,,125.04723543356293
CAY-681,forage_dynamic_simdrop,8.71454530807793,3.4341746062120633,,122.86162372749972
CAY-681,forage_dynamic_multimodal_alpha=0.0,8.263445619758459,2.399527021114221,,125.04723543356376
CAY-681,forage_dynamic_multimodal_alpha=0.1,8.291037394413397,2.592947113987008,,125.7619054534301
CAY-681,forage_dynamic_multimodal_alpha=0.2,8.291040715904193,2.592947176973919,,125.76190545342818
CAY-681,forage_dynamic_multimodal_alpha=0.30000000000000004,8.29104353535336,2.5929468519841876,,125.7619054534299
CAY-681,forage_dynamic_multimodal_alpha=0.4,8.291038877387692,2.5929464351497336,,125.76190545342945
CAY-681,forage_dynamic_multimodal_alpha=0.5,8.2910405543379,2.59294701777868,,125.76190545342828
CAY-681,forage_dynamic_multimodal_alpha=0.6000000000000001,8.714544349003472,3.4341710469644258,,122.86162372749185
CAY-681,forage_dynamic_multimodal_alpha=0.7000000000000001,8.714550642895873,3.4341707711098084,,122.86162372748919
CAY-681,forage_dynamic_multimodal_alpha=0.8,8.714553159569586,3.4341713254749324,,122.86162372749125
CAY-681,forage_dynamic_multimodal_alpha=0.9,8.714548281114162,3.434174542996781,,122.86162372749662
CAY-681,forage_dynamic_multimodal_alpha=1.0,8.714547688104405,3.434171841470597,,122.86162372748873
CAY-681,forage_dynamic_norms_associative,8.140529980075323,3.5069970103029835,,122.42843135644422
CAY-681,forage_dynamic_norms_categorical,8.27208556051713,3.8577003199246027,,121.7788554456894
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.0,8.22129047418459,4.27967147070068,,121.2229696533575
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.25,8.315272414212828,4.121294903994402,,121.48376341738705
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.5,8.180834290083762,3.7179190476314825,,122.27052309907421
CAY-681,forage_dynamic_delta_rise=0.0_fall=0.75,8.180844892791336,3.7179189240764647,,122.27052309906732
CAY-681,forage_dynamic_delta_rise=0.0_fall=1.0,8.18083951734622,3.717919202589376,,122.27052309906603
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.0,8.114005494620221,4.411962654023724,,121.26973103685019
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.25,8.209294751567047,4.234924353802635,,121.56141110779257
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.5,8.076344728000908,3.7969288409397888,,122.40168835486838
CAY-681,forage_dynamic_delta_rise=0.25_fall=0.75,8.076340256010424,3.7969277700547424,,122.40168835487319
CAY-681,forage_dynamic_delta_rise=0.25_fall=1.0,8.07635120168609,3.7969284783098516,,122.4016883548736
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.0,8.114008498579013,4.411961445897238,,121.26973103685643
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.25,8.209301570849503,4.234923391185699,,121.56141110779836
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.5,8.076346717876591,3.796927729650004,,122.40168835486877
CAY-681,forage_dynamic_delta_rise=0.5_fall=0.75,8.0763486811661,3.79692959099628,,122.40168835487091
CAY-681,forage_dynamic_delta_rise=0.5_fall=1.0,8.076343824654769,3.7969288265328567,,122.40168835486872
CAY-681,forage_dynamic_delta_rise=0.75_fall=0.0,7.339674402380304,6.756914202865157,,121.10900225067431
CAY-681,forage_dynamic_delta_rise=0.75_fall=0.25,7.3396776319777555,6.756914512989426,,121.10900225068076
CAY-681,forage_dynamic_delta_rise=0.75_fall=0.5,7.339680284154502,6.7569135900031405,,121.10900225069058
CAY-681,forage_dynamic_delta_rise=0.75_fall=0.75,7.33967879073619,6.75691191341964,,121.10900225068912
CAY-681,forage_dynamic_delta_rise=0.75_fall=1.0,7.339672289630278,6.756912139412343,,121.10900225067594
CAY-681,forage_dynamic_delta_rise=1.0_fall=0.0,7.277383874418822,10.321776797593039,,119.69433836265793
CAY-681,forage_dynamic_delta_rise=1.0_fall=0.25,7.277376330732032,10.321791100481867,,119.69433836269543
CAY-681,forage_dynamic_delta_rise=1.0_fall=0.5,7.277380644070803,10.321776048201032,,119.69433836265398
CAY-681,forage_dynamic_delta_rise=1.0_fall=0.75,7.277392579704163,10.321795338624986,,119.69433836274018
CAY-681,forage_dynamic_delta_rise=1.0_fall=1.0,7.27737891930413,10.321780278509365,,119.69433836266225
CAY-681,forage_phonologicalstatic,8.525415560008602,2.649773648475782,-0.08659197791489152,124.1272723492454
CAY-681,forage_phonologicaldynamicglobal_simdrop,8.927554095420307,3.7998396959240166,-0.08786206869474614,121.90329167625192
CAY-681,forage_phonologicaldynamiclocal_simdrop,8.82434189175494,3.7528707248279294,-0.07763717020319398,122.26605404920547
CAY-681,forage_phonologicaldynamicswitch_simdrop,8.831164530048083,3.438540945499204,-0.1254266950212975,122.45998661124645
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.525417434609468,2.649770373105771,-0.08659192619102823,124.1272723492385
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.52541773183461,2.6497730785468967,-0.08659197429634204,124.12727234924196
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.263452872651916,2.3995273781098576,0.9802990600493952,125.04723543356484
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.488781970254887,2.8412282945494325,-0.07935187410655878,124.9733356908606
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.362350089512699,2.715878967822206,-0.04011421792445953,125.58366574500869
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.463994144315802,2.596643548569124,-2.619083702893053,123.65982319274697
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.488781937031174,2.841228501179499,-0.07935188501759008,124.97333569086072
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.362349796546162,2.715879497807332,-0.040114225393326965,125.58366574500882
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.463981363051232,2.5966807684286253,-2.43638325459093,123.65982322610004
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.48878368314921,2.841231691119828,-0.07935193945138032,124.97333569087303
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.362351914634178,2.7158786233750964,-0.04011424782804108,125.5836657450096
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.463970488344211,2.596638728022847,-2.4101424609255546,123.65982323412179
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.488778534677275,2.8412277638956462,-0.07935186698646857,124.9733356908601
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.362347809503117,2.7158797188797843,-0.040114225999685484,125.58366574500994
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.463990224477147,2.596647230987797,-2.026043338899466,123.65982407009858
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.488791838717702,2.8412275643045306,-0.07935187997319283,124.9733356908842
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.362352612405946,2.715878678554372,-0.04011422227753389,125.58366574500997
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.46400319895141,2.5966483666818996,-2.5205444174499703,123.65982320484927
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.927562121411727,3.799841285356503,-0.0878620634499365,121.90329167624823
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.824343123247472,3.752872344168894,-0.07763722076976626,122.26605404920713
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.83116221177729,3.438540678258767,-0.12542687412464704,122.45998661124413
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.927569796093108,3.799841557811889,-0.08786207641667247,121.90329167626453
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.824342481508852,3.752871383264894,-0.07763722683052443,122.26605404920564
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,8.8311564377247,3.4385400597363485,-0.12542656095044386,122.459986611245
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,8.927554535628225,3.799841853148632,-0.08786205012633863,121.903291676252
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,8.824351272954068,3.7528738380886177,-0.07763732082247968,122.26605404921584
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,8.831164795623394,3.43854220800133,-0.12542698195906152,122.45998661125132
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,8.927562510919579,3.7998424639565798,-0.08786211789439513,121.90329167625006
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,8.824344353439368,3.7528686906583144,-0.07763716470955602,122.26605404920515
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,8.831163361204842,3.438540083682823,-0.12542670610449744,122.45998661124425
CAY-681,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,8.927559772395634,3.7998406494878534,-0.08786206473486342,121.9032916762469
CAY-681,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,8.824343939428264,3.752872059722322,-0.07763723672050336,122.26605404920578
CAY-681,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,8.831159442243951,3.4385400175164897,-0.12542669779888121,122.45998661124251
CAY-681,forage_phonologicaldynamicglobal_norms_associative,8.375756655427086,3.8940370305789527,-0.0963029065931643,121.33641198707748
CAY-681,forage_phonologicaldynamiclocal_norms_associative,8.30442949654398,3.789502394656607,-0.07137266464471251,122.0194073158151
CAY-681,forage_phonologicaldynamicswitch_norms_associative,8.15228892064263,3.5070836962609206,-0.1567014815427397,121.59273782916407
CAY-681,forage_phonologicaldynamicglobal_norms_categorical,8.506984794812105,4.292830304057752,-0.09584946580222027,120.67987967096171
CAY-681,forage_phonologicaldynamiclocal_norms_categorical,8.361457563358593,4.05367062005687,-0.044595497913633445,121.62453841747936
CAY-681,forage_phonologicaldynamicswitch_norms_categorical,8.341532913958744,3.8593832123502847,-0.20304282158928127,120.28467316131815
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,8.475759696613025,4.875089562777288,-0.10588013159900662,119.91378734627158
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,8.28005516607874,4.624099286827102,-0.06286077426335532,120.991833246826
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,8.417186700645983,4.279923811263514,-0.14871192576111497,119.9581689219132
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,8.547231024587559,4.662130993277964,-0.10154458570535087,120.26227504969033
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,8.332323623705122,4.217576911398772,-0.01906389887900711,121.45839618943116
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,8.563350448032107,4.123117721323709,-0.23692778999269146,119.21676408206156
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,8.40044163055219,4.178690678001909,-0.10016021804968332,121.09706867837323
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,8.235310676085849,3.929442757670159,-0.04738490517081104,122.10682512662898
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,8.336399652397608,3.7171654705098343,-0.1994067499209194,120.75633955136024
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,8.400446509026576,4.178692420094588,-0.10016029156345253,121.09706867837428
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,8.235314598982065,3.9294438377073613,-0.04738498439124738,122.10682512662923
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,8.33638815618327,3.7171631460272314,-0.1994068984020721,120.75633955136126
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,8.400443690486403,4.178692597688424,-0.10016026599175704,121.09706867837156
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,8.235310749068843,3.92944369125098,-0.04738492907676107,122.10682512662856
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,8.3363958072333,3.7171658476196514,-0.19940692901993937,120.75633955135557
CAY-681,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,8.352323392701251,5.021246364510024,-0.10631232370407134,119.96189993367659
CAY-681,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,8.152185340498058,4.665111816609025,-0.04592767209501295,121.15719969083251
CAY-681,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,8.309310619026437,4.411440876149385,-0.1589582391453575,119.75391374026412
