Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CBM-702,tiger,0.0001,6.38952206,0.0001
CBM-702,dolphin,0.38040077253817817,5.864843201,0.0001
CBM-702,lion,0.5124553894171969,6.723957079,0.5
CBM-702,penguin,0.2527153512751782,6.25042049,0.2857
CBM-702,bird,0.29792819509382495,7.119400245,0.0001
CBM-702,pigeon,0.6145445704330238,6.10484819,0.0001
CBM-702,woodpecker,0.5868826371211158,5.589297111,0.0001
CBM-702,reptile,0.47442810882219155,5.656324398,0.1429
CBM-702,snake,0.5577748611004987,6.615078486,0.0001
CBM-702,snail,0.5535026207567771,5.853805252,0.75
CBM-702,goldfish,0.6220351412386425,5.475262847,0.0001
CBM-702,fish,0.6257304685870392,7.344814258,0.2857
CBM-702,dog,0.3353779216262158,7.256114028,0.0001
CBM-702,cat,0.6955221954926191,7.013143358,0.0001
CBM-702,rodents,0.34177792575464383,5.818422536,0.1429
CBM-702,snake,0.3060377387495292,6.615078486,0.1429
CBM-702,pets,0.3475797127571718,6.144792078,0.0001
CBM-702,rabbit,0.5188150662564442,6.568628649,0.0001
CBM-702,reptile,0.383029457041103,5.656324398,0.1667
CBM-702,polar,0.2621641123195495,6.534516632,0.1667
CBM-702,grizzly,0.3521973074431388,5.735626042,0.1667
CBM-702,bear,0.5004081417236909,7.366226929,0.0001
CBM-702,hedgehog,0.39312480230894153,5.301448888,0.1667
CBM-702,porcupine,0.5561646000781826,5.580630787,0.0001
CBM-702,reptile,0.3901601952380003,5.656324398,0.1111
