Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CBM-702,forage_static,6.620975600035957,1.5564239175648023,,145.28913594943455
CBM-702,forage_dynamic_simdrop,6.689895385673957,2.646130211824751,,143.4038730738673
CBM-702,forage_dynamic_multimodal_alpha=0.0,6.252873189374186,1.112969667925556,,146.52261339998722
CBM-702,forage_dynamic_multimodal_alpha=0.1,6.293691581247532,1.8067345121071137,,145.5604631988219
CBM-702,forage_dynamic_multimodal_alpha=0.2,6.293698657871309,1.8067272232276201,,145.56046319883382
CBM-702,forage_dynamic_multimodal_alpha=0.30000000000000004,6.293697557300855,1.8067346292410498,,145.5604631988243
CBM-702,forage_dynamic_multimodal_alpha=0.4,6.293694364097349,1.806732737866502,,145.56046319881662
CBM-702,forage_dynamic_multimodal_alpha=0.5,6.363990658142308,1.8966360529115436,,145.25847020201866
CBM-702,forage_dynamic_multimodal_alpha=0.6000000000000001,6.5480951973909995,2.0975103078671684,,144.50605175914214
CBM-702,forage_dynamic_multimodal_alpha=0.7000000000000001,6.551010364969154,2.2760483980346997,,144.28551038439156
CBM-702,forage_dynamic_multimodal_alpha=0.8,6.533297341214774,2.3043543538734146,,144.32192286415807
CBM-702,forage_dynamic_multimodal_alpha=0.9,6.651675460582746,2.571922615820323,,143.58304598157372
CBM-702,forage_dynamic_multimodal_alpha=1.0,6.689899816173907,2.6461310362280743,,143.4038730738744
CBM-702,forage_dynamic_norms_associative,6.336072146650284,3.953587247978529,,142.70021253892452
CBM-702,forage_dynamic_norms_categorical,6.3894692011116065,3.260111269678361,,143.75805245745445
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.0,6.4529804065838245,3.5572508035142287,,142.23386083239095
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.25,6.6288321166004245,3.7716126111231083,,140.7195252223868
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.5,6.628832757812413,3.7716111379417807,,140.7195252223895
CBM-702,forage_dynamic_delta_rise=0.0_fall=0.75,6.628834089866975,3.771615222302908,,140.71952522239178
CBM-702,forage_dynamic_delta_rise=0.0_fall=1.0,6.645113511078076,3.4564211230929454,,140.6012141636589
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.0,6.452991173569684,3.5572592281144537,,142.23386083234132
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.25,6.628831612904698,3.7716117789266423,,140.7195252223871
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.5,6.6288306976130515,3.7716127418795313,,140.71952522238558
CBM-702,forage_dynamic_delta_rise=0.25_fall=0.75,6.628835714348765,3.771614227694521,,140.71952522239343
