Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
CAF-657,forage_static,8.611806270472854,1.7297483602496484,,161.47597536661002
CAF-657,forage_dynamic_simdrop,8.784714711339362,3.604075849210308,,154.31075999245328
CAF-657,forage_dynamic_multimodal_alpha=0.0,8.534284670696467,1.661509019533633,,162.06288428740206
CAF-657,forage_dynamic_multimodal_alpha=0.1,8.402777974348622,1.9597793449127041,,161.48818017407012
CAF-657,forage_dynamic_multimodal_alpha=0.2,8.402768115583694,1.95977730113061,,161.48818017407973
CAF-657,forage_dynamic_multimodal_alpha=0.30000000000000004,8.899876673678921,3.2985781869713344,,156.9472941759692
CAF-657,forage_dynamic_multimodal_alpha=0.4,8.899884632444955,3.2985778018363656,,156.94729417598066
CAF-657,forage_dynamic_multimodal_alpha=0.5,8.899882146754262,3.298578820018243,,156.94729417597452
CAF-657,forage_dynamic_multimodal_alpha=0.6000000000000001,8.752474055514869,3.5036380198402726,,155.04021777501728
CAF-657,forage_dynamic_multimodal_alpha=0.7000000000000001,8.653345104286533,3.612268874302351,,154.59461814203956
CAF-657,forage_dynamic_multimodal_alpha=0.8,8.784696755583973,3.6040755830618028,,154.31075999245047
CAF-657,forage_dynamic_multimodal_alpha=0.9,8.784708856729848,3.604074716116238,,154.31075999243828
CAF-657,forage_dynamic_multimodal_alpha=1.0,8.784712075563432,3.604075082959149,,154.31075999244467
CAF-657,forage_dynamic_norms_associative,8.39792755241065,4.3349907311291,,156.62335861872424
CAF-657,forage_dynamic_norms_categorical,8.030663603897185,2.7348194015459857,,160.37156419874782
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.0,8.27575644960264,4.515528174040479,,151.20009422023625
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.25,8.27574512606676,4.515529120634849,,151.20009422025237
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.5,8.27575587379357,4.5155267249287885,,151.20009422023713
CAF-657,forage_dynamic_delta_rise=0.0_fall=0.75,8.475333307061204,4.47689044700504,,149.90756350480905
CAF-657,forage_dynamic_delta_rise=0.0_fall=1.0,8.703693678575167,4.045292665015941,,151.48515991210863
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.0,8.275754572868964,4.515526474184258,,151.2000942202373
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.25,8.27574980161109,4.515527609045844,,151.20009422023946
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.5,8.27575558703017,4.515525657654989,,151.20009422024012
CAF-657,forage_dynamic_delta_rise=0.25_fall=0.75,8.475332892652819,4.476892955882531,,149.90756350480945
CAF-657,forage_dynamic_delta_rise=0.25_fall=1.0,8.703704938071546,4.045292464726028,,151.4851599120667
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.0,8.004181843074498,4.727369412269847,,153.28252505448472
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.25,8.00419214956677,4.727367854086073,,153.28252505450672
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.5,8.004185272435263,4.727371361247477,,153.28252505448734
CAF-657,forage_dynamic_delta_rise=0.5_fall=0.75,8.200183587570237,4.65186329636029,,152.024899914841
CAF-657,forage_dynamic_delta_rise=0.5_fall=1.0,8.54192925271846,4.392090901424822,,152.22508727993636
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.0,7.751058507550953,5.857011137424925,,153.58519513661514
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.25,7.751062438013138,5.8569989344961595,,153.58519513668426
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.5,7.7510543467288855,5.857011125546554,,153.58519513659778
CAF-657,forage_dynamic_delta_rise=0.75_fall=0.75,7.959404890129419,5.544928976914464,,152.51369019021067
CAF-657,forage_dynamic_delta_rise=0.75_fall=1.0,8.239791119933871,5.181651964421668,,152.72987912598424
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.0,7.75105059578451,5.857013899471606,,153.58519513659206
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.25,7.751051238872798,5.857014844335592,,153.58519513659593
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.5,7.751062595631877,5.857020641883761,,153.5851951366811
CAF-657,forage_dynamic_delta_rise=1.0_fall=0.75,7.95941097925272,5.544932387983114,,152.51369019022425
CAF-657,forage_dynamic_delta_rise=1.0_fall=1.0,8.239779785034674,5.1816503096954305,,152.72987912598302
CAF-657,forage_phonologicalstatic,8.574169792124295,1.691944711446711,0.022752190064518434,161.38052646002308
CAF-657,forage_phonologicaldynamicglobal_simdrop,8.779023222200001,3.5911067982421323,0.002859423890742109,154.30927858143744
CAF-657,forage_phonologicaldynamiclocal_simdrop,8.808018664531,3.6816636506358753,-0.01696455849248578,154.27381296443752
CAF-657,forage_phonologicaldynamicswitch_simdrop,8.751104421847538,3.6036294486346745,0.0519474970393259,154.16895561790594
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.0,8.498525408397448,1.6255214516442156,0.024284408796995328,161.95414535667132
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.0,8.476119914677902,1.6028116549419873,0.03940836496160351,161.79395846016826
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.0,8.525736128143942,1.6609166755234133,-2.05686572561042,161.3552607111922
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.1,8.372517657099511,1.9186766716314456,0.02402836936808041,161.3821004743183
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.1,8.303062474261871,1.7990879585651467,0.09443295856007246,160.2146772917315
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.1,8.42395808080943,1.9608070099843715,-2.0329080774042807,158.54055255604612
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.2,8.37251782297655,1.9186756433075147,0.02402839995854696,161.3821004743175
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.2,8.303062434402554,1.799089719222994,0.09443292359961541,160.21467729173034
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.2,8.423962111192251,1.9608063495114665,-2.405915703841606,158.54055164627084
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.30000000000000004,8.875720050219053,3.248667156409373,0.013643187038699427,156.91278675560568
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.30000000000000004,8.843348127159194,3.118354833030251,0.05021092041806714,156.6005517310985
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.30000000000000004,8.952421738937785,3.301416956610052,-0.09612893531474181,156.54917127555964
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.4,8.875715201107928,3.2486663266747238,0.013643174741746015,156.91278675561026
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.4,8.843347321714925,3.118356404149634,0.05021086813873935,156.6005517310978
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.4,8.952426718236937,3.301416378020594,-0.09612893102444696,156.5491712755515
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.5,8.875725085817924,3.2486669248445645,0.013643186151620896,156.91278675560906
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.5,8.843344949276736,3.1183557169416343,0.050210863886672244,156.60055173109282
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.5,8.952428447869904,3.30141791885231,-0.09612897452323994,156.54917127555007
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.6000000000000001,8.74263979501084,3.480587141085373,0.005261400632087373,155.03518738111987
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.6000000000000001,8.735577341306335,3.448924692966615,0.012564186300151731,155.01930402526753
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.6000000000000001,8.759762389865198,3.503758187756441,-0.014281767334806942,155.03019039242994
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.7000000000000001,8.646346859937541,3.5947298932309963,0.003833919058393461,154.59195147837227
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.7000000000000001,8.654420397205863,3.616594170885433,-0.0009446948644221252,154.59450770558834
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.7000000000000001,8.643619847058346,3.6122048904936386,0.014063887836468919,154.58316733419906
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.8,8.779019889647673,3.591104093344604,0.0028594882225755043,154.30927858142795
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.8,8.808011341676838,3.681662629172198,-0.016964445865401676,154.27381296442712
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.8,8.751106656629027,3.6036295236929097,0.05194757796064081,154.16895561790534
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=0.9,8.779017005273706,3.5911040908632836,0.002859489409687424,154.30927858142806
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=0.9,8.808021145744227,3.6816640872216357,-0.016964582540814798,154.27381296444656
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=0.9,8.751109718049246,3.603632190029649,0.05194756223788199,154.1689556179127
CAF-657,forage_phonologicaldynamicglobal_multimodal_alpha=1.0,8.779018980593914,3.591104688685545,0.0028594540031469905,154.309278581428
CAF-657,forage_phonologicaldynamiclocal_multimodal_alpha=1.0,8.808007881231797,3.6816619266105044,-0.01696451529417785,154.27381296442994
CAF-657,forage_phonologicaldynamicswitch_multimodal_alpha=1.0,8.75111065929162,3.6036301349251065,0.0519475514488259,154.16895561791003
CAF-657,forage_phonologicaldynamicglobal_norms_associative,8.383734405581738,4.278121076030083,0.01061460398776373,156.60301970659458
CAF-657,forage_phonologicaldynamiclocal_norms_associative,8.409936904907847,4.408978734589313,-0.013621241266400201,156.6087611717029
CAF-657,forage_phonologicaldynamicswitch_norms_associative,8.385304779336785,4.334714581831247,0.02947877960933918,156.53471243226213
CAF-657,forage_phonologicaldynamicglobal_norms_categorical,8.00892696042983,2.6810581813345165,0.02057464540083555,160.2951037495491
CAF-657,forage_phonologicaldynamiclocal_norms_categorical,8.013384905708806,2.6806332097683123,0.02072732452808973,160.3348164360763
CAF-657,forage_phonologicaldynamicswitch_norms_categorical,8.026064369068052,2.7348511887049436,0.020420926037566615,160.33188294613356
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.0,8.306135218999662,4.616579151207477,-0.016172233782757683,151.1554817413024
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.0,8.448813731690135,5.61760033906486,-0.1610920190221501,149.33679247136143
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.0,8.186536942570543,4.5181890115403105,0.111389705036517,150.1233052503211
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.25,8.306141448313968,4.616580597365716,-0.016172287340449537,151.1554817412969
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.25,8.448810976583685,5.617597291414962,-0.1610918193094475,149.33679247136325
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.25,8.186535480558149,4.5181882768758905,0.11138969764952784,150.12330525031945
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.5,8.30614251279108,4.616579826049106,-0.01617227280313975,151.1554817412969
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.5,8.448811413991875,5.617601670998104,-0.1610920027280634,149.33679247136007
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.5,8.186528202787892,4.51818818347308,0.11138975037018992,150.123305250323
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=0.75,8.50316618296797,4.580369380899081,-0.016993470329041818,149.85820217869585
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=0.75,8.55530444859179,5.017550036036642,-0.0844866431183672,149.22904969197114
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=0.75,8.423810057507108,4.478048126909628,0.07457075962342226,149.50514865263608
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.0_fall=1.0,8.73006624189538,4.111603059534965,-0.012014225661649862,151.45985130661285
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0,8.81371791883994,4.425379148874564,-0.0667167658420763,150.95972910758164
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.0_fall=1.0,8.644227926990313,4.04570682563506,0.11265345380938624,150.8132346991432
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.0,8.306142461779833,4.616580010390482,-0.016172283156133397,151.15548174129697
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.0,8.448817600608155,5.617599107477268,-0.1610919168425799,149.33679247136902
CAF-657,forage_phonologicaldynamicswitch_delta_rise=0.25_fall=0.0,8.186527433505368,4.518189999419884,0.11138969435479876,150.12330525032476
CAF-657,forage_phonologicaldynamicglobal_delta_rise=0.25_fall=0.25,8.306142884727853,4.616579972771606,-0.01617227809432852,151.15548174129725
CAF-657,forage_phonologicaldynamiclocal_delta_rise=0.25_fall=0.25,8.448803569293927,5.6176014409694295,-0.1610919642425381,149.33679247137042
