Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.9,3.0479501308256336,forage_dynamic,8.249104218360776,1.3620094468539847,4.459280157044955,1.0055957312610815,,
delta_rise=0.0_fall=0.0,9.9,3.0479501308256336,forage_phonologicaldynamicglobal,8.304969111127779,1.408716706487907,4.695763608508937,1.3043281134719555,-0.030490267814174455,0.08641024861492123
delta_rise=0.0_fall=0.0,9.9,3.0479501308256336,forage_phonologicaldynamiclocal,8.314062035591586,1.3954854521070024,5.015107756503756,1.621403010893449,-0.1375822859724852,0.4247737518192384
delta_rise=0.0_fall=0.0,9.9,3.0479501308256336,forage_phonologicaldynamicswitch,8.265400482031781,1.3711008937704223,4.4591835122430155,1.0055696095220532,-0.08135060145787662,0.466111857745542
delta_rise=0.0_fall=0.25,9.066666666666666,2.9713446264088734,forage_dynamic,8.322765580047832,1.3574547636584597,4.420630090653944,0.9976188467839698,,
delta_rise=0.0_fall=0.25,9.066666666666666,2.9713446264088734,forage_phonologicaldynamicglobal,8.381248376476968,1.4050381946531445,4.664505288655187,1.3004378009432964,-0.032220714534277856,0.08608216590844021
delta_rise=0.0_fall=0.25,9.066666666666666,2.9713446264088734,forage_phonologicaldynamiclocal,8.384398400857934,1.396361175977403,4.928191746363755,1.5621550393757997,-0.1341245984031668,0.4282238654573023
delta_rise=0.0_fall=0.25,9.066666666666666,2.9713446264088734,forage_phonologicaldynamicswitch,8.33782130686106,1.3632577022414645,4.420629085545575,0.997454954004464,-0.08089372748905214,0.4679211081306088
delta_rise=0.0_fall=0.5,8.366666666666667,2.555821242227676,forage_dynamic,8.379754747001869,1.3509795923993038,4.356041187204213,0.9708483105246066,,
delta_rise=0.0_fall=0.5,8.366666666666667,2.555821242227676,forage_phonologicaldynamicglobal,8.440888796460484,1.4011323258989707,4.601194270965354,1.2907386407162964,-0.03309269570054997,0.08606473166003806
delta_rise=0.0_fall=0.5,8.366666666666667,2.555821242227676,forage_phonologicaldynamiclocal,8.439541144867336,1.3883290124693357,4.809770610306341,1.4812803506784729,-0.12775149664907487,0.4054948637054536
delta_rise=0.0_fall=0.5,8.366666666666667,2.555821242227676,forage_phonologicaldynamicswitch,8.397593324934757,1.358356715482024,4.356273800688725,0.9705775086104468,-0.08931364913741247,0.5055585398132662
delta_rise=0.0_fall=0.75,7.05,2.3124662159694354,forage_dynamic,8.494177498877683,1.3628078888185309,4.151480074416402,0.93275593191916,,
delta_rise=0.0_fall=0.75,7.05,2.3124662159694354,forage_phonologicaldynamicglobal,8.555929047626014,1.424684503962585,4.368168541481272,1.2344585550196554,-0.03225358203416732,0.08148869584863484
delta_rise=0.0_fall=0.75,7.05,2.3124662159694354,forage_phonologicaldynamiclocal,8.550926166128361,1.419315733192704,4.508469038450387,1.418651358204447,-0.12275550806181643,0.4318353591153942
delta_rise=0.0_fall=0.75,7.05,2.3124662159694354,forage_phonologicaldynamicswitch,8.50875472310582,1.3662621290170598,4.151923859649382,0.9327214395452952,-0.18466653801822877,0.6475995161448599
delta_rise=0.0_fall=1.0,5.966666666666667,2.3235509223791264,forage_dynamic,8.594690463399537,1.3899599853788445,3.945775179121798,0.9441034883161195,,
delta_rise=0.0_fall=1.0,5.966666666666667,2.3235509223791264,forage_phonologicaldynamicglobal,8.665427880579058,1.46384704428235,4.141924219332969,1.1879946866962183,-0.031014981012987074,0.08052661775049037
delta_rise=0.0_fall=1.0,5.966666666666667,2.3235509223791264,forage_phonologicaldynamiclocal,8.654313632457855,1.4616934564476123,4.250902595808237,1.4292668692875645,-0.07375982858633907,0.2844177502434858
delta_rise=0.0_fall=1.0,5.966666666666667,2.3235509223791264,forage_phonologicaldynamicswitch,8.609534644890068,1.3949794653942404,3.9461347032806713,0.9438306437398815,-0.29566783892008935,0.8017886104887781
delta_rise=0.25_fall=0.0,10.616666666666667,3.0934967629241545,forage_dynamic,8.214602115692573,1.398269406841346,4.791635653317471,1.1354894380834235,,
delta_rise=0.25_fall=0.0,10.616666666666667,3.0934967629241545,forage_phonologicaldynamicglobal,8.273126546516556,1.4449734139297539,5.0420275932917615,1.355351021465114,-0.032234210667431464,0.08534660611104436
delta_rise=0.25_fall=0.0,10.616666666666667,3.0934967629241545,forage_phonologicaldynamiclocal,8.28882577576875,1.4324381892679103,5.517392817628456,1.8680213941856991,-0.18816684782092807,0.5301295422141933
delta_rise=0.25_fall=0.0,10.616666666666667,3.0934967629241545,forage_phonologicaldynamicswitch,8.226285395509036,1.4040054589791455,4.791500233842091,1.1355341683663054,-0.06916541974267675,0.41596433876324873
delta_rise=0.25_fall=0.25,9.7,3.045762083069961,forage_dynamic,8.302061236238805,1.381677954880486,4.733599408810024,1.103433170476318,,
delta_rise=0.25_fall=0.25,9.7,3.045762083069961,forage_phonologicaldynamicglobal,8.363474923269193,1.4290010728570766,4.9910864554553465,1.3317806691180387,-0.034020347454725444,0.08490900606882118
