Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
SUG-544,0.36953013675484747,0.09444173712278889,6.583737202357143,0.5430268625324385,0.2135,0.05994127125779032,14.0,delta_rise=0.0_fall=0.0,7,2.0,1.0690449676496976
SUG-544,,,,,,,,delta_rise=0.0_fall=0.25,6,2.3333333333333335,1.3743685418725535
SUG-544,,,,,,,,delta_rise=0.0_fall=0.5,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.0_fall=0.75,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.0_fall=1.0,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.25_fall=0.0,7,2.0,1.0690449676496976
SUG-544,,,,,,,,delta_rise=0.25_fall=0.25,6,2.3333333333333335,1.3743685418725535
SUG-544,,,,,,,,delta_rise=0.25_fall=0.5,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.25_fall=0.75,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.25_fall=1.0,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.5_fall=0.0,7,2.0,1.0690449676496976
SUG-544,,,,,,,,delta_rise=0.5_fall=0.25,6,2.3333333333333335,1.3743685418725535
SUG-544,,,,,,,,delta_rise=0.5_fall=0.5,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.5_fall=0.75,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.5_fall=1.0,4,3.5,0.8660254037844386
SUG-544,,,,,,,,delta_rise=0.75_fall=0.0,8,1.75,1.0897247358851685
SUG-544,,,,,,,,delta_rise=0.75_fall=0.25,7,2.0,1.4142135623730951
SUG-544,,,,,,,,delta_rise=0.75_fall=0.5,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,delta_rise=0.75_fall=0.75,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,delta_rise=0.75_fall=1.0,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,delta_rise=1.0_fall=0.0,8,1.75,1.0897247358851685
SUG-544,,,,,,,,delta_rise=1.0_fall=0.25,7,2.0,1.4142135623730951
SUG-544,,,,,,,,delta_rise=1.0_fall=0.5,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,delta_rise=1.0_fall=0.75,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,delta_rise=1.0_fall=1.0,6,2.3333333333333335,1.4907119849998598
SUG-544,,,,,,,,multimodal_alpha=0.0,1,7.0,4.0
SUG-544,,,,,,,,multimodal_alpha=0.1,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.2,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.30000000000000004,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.4,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.5,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.6000000000000001,3,3.5,1.5
SUG-544,,,,,,,,multimodal_alpha=0.7000000000000001,3,3.5,1.5
SUG-544,,,,,,,,multimodal_alpha=0.8,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=0.9,3,3.5,0.8660254037844386
SUG-544,,,,,,,,multimodal_alpha=1.0,3,3.5,0.8660254037844386
SUG-544,,,,,,,,norms_associative,8,1.75,0.82915619758885
SUG-544,,,,,,,,norms_categorical,7,2.0,0.7559289460184544
SUG-544,,,,,,,,simdrop,3,3.5,0.8660254037844386
