Subject,Fluency_Item,Switch_Value,Switch_Method
SUG-544,dog,2,simdrop
SUG-544,cat,0,simdrop
SUG-544,pig,1,simdrop
SUG-544,cow,0,simdrop
SUG-544,chicken,0,simdrop
SUG-544,elephant,1,simdrop
SUG-544,monkey,0,simdrop
SUG-544,fish,0,simdrop
SUG-544,african,1,simdrop
SUG-544,dolphin,0,simdrop
SUG-544,zebra,0,simdrop
SUG-544,shark,0,simdrop
SUG-544,turtle,0,simdrop
SUG-544,cow,2,simdrop
SUG-544,dog,2,multimodal_alpha=0.0
SUG-544,cat,0,multimodal_alpha=0.0
SUG-544,pig,0,multimodal_alpha=0.0
SUG-544,cow,0,multimodal_alpha=0.0
SUG-544,chicken,0,multimodal_alpha=0.0
SUG-544,elephant,0,multimodal_alpha=0.0
SUG-544,monkey,0,multimodal_alpha=0.0
SUG-544,fish,0,multimodal_alpha=0.0
SUG-544,african,0,multimodal_alpha=0.0
SUG-544,dolphin,0,multimodal_alpha=0.0
SUG-544,zebra,1,multimodal_alpha=0.0
SUG-544,shark,0,multimodal_alpha=0.0
SUG-544,turtle,0,multimodal_alpha=0.0
SUG-544,cow,2,multimodal_alpha=0.0
SUG-544,dog,2,multimodal_alpha=0.1
SUG-544,cat,0,multimodal_alpha=0.1
SUG-544,pig,1,multimodal_alpha=0.1
SUG-544,cow,0,multimodal_alpha=0.1
SUG-544,chicken,0,multimodal_alpha=0.1
SUG-544,elephant,0,multimodal_alpha=0.1
SUG-544,monkey,0,multimodal_alpha=0.1
SUG-544,fish,1,multimodal_alpha=0.1
SUG-544,african,0,multimodal_alpha=0.1
SUG-544,dolphin,0,multimodal_alpha=0.1
SUG-544,zebra,1,multimodal_alpha=0.1
SUG-544,shark,0,multimodal_alpha=0.1
SUG-544,turtle,0,multimodal_alpha=0.1
SUG-544,cow,2,multimodal_alpha=0.1
SUG-544,dog,2,multimodal_alpha=0.2
SUG-544,cat,0,multimodal_alpha=0.2
SUG-544,pig,1,multimodal_alpha=0.2
SUG-544,cow,0,multimodal_alpha=0.2
SUG-544,chicken,0,multimodal_alpha=0.2
SUG-544,elephant,0,multimodal_alpha=0.2
SUG-544,monkey,0,multimodal_alpha=0.2
SUG-544,fish,1,multimodal_alpha=0.2
SUG-544,african,0,multimodal_alpha=0.2
