Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,8.0,0.0,forage_dynamic,8.877291303910033,,3.8250303594179167,,,
delta_rise=0.0_fall=0.0,8.0,0.0,forage_phonologicaldynamicglobal,8.83953605101438,,3.745481476073212,,0.016792174100384163,
delta_rise=0.0_fall=0.0,8.0,0.0,forage_phonologicaldynamiclocal,8.966785156672708,,4.180365134239571,,-0.06898123725949816,
delta_rise=0.0_fall=0.0,8.0,0.0,forage_phonologicaldynamicswitch,8.816655878794233,,3.8267171032894183,,0.06381231990143227,
delta_rise=0.0_fall=0.25,5.0,0.0,forage_dynamic,9.362827312558624,,3.491060907196737,,,
delta_rise=0.0_fall=0.25,5.0,0.0,forage_phonologicaldynamicglobal,9.353120525675402,,3.472917892623726,,0.00373662916846496,
delta_rise=0.0_fall=0.25,5.0,0.0,forage_phonologicaldynamiclocal,9.441759914808676,,3.775439857416315,,-0.05577080558313587,
delta_rise=0.0_fall=0.25,5.0,0.0,forage_phonologicaldynamicswitch,9.260970390464674,,3.4920080913484925,,0.08760048747942133,
delta_rise=0.0_fall=0.5,5.0,0.0,forage_dynamic,9.362833876671479,,3.491061768641883,,,
delta_rise=0.0_fall=0.5,5.0,0.0,forage_phonologicaldynamicglobal,9.353113146958968,,3.4729136936835068,,0.0037368267042179482,
delta_rise=0.0_fall=0.5,5.0,0.0,forage_phonologicaldynamiclocal,9.44175840348997,,3.7754406193749577,,-0.05577082176093454,
delta_rise=0.0_fall=0.5,5.0,0.0,forage_phonologicaldynamicswitch,9.260967938148916,,3.4920056781377387,,0.08760058795040443,
delta_rise=0.0_fall=0.75,4.0,0.0,forage_dynamic,9.39383792082578,,2.8730131688712004,,,
delta_rise=0.0_fall=0.75,4.0,0.0,forage_phonologicaldynamicglobal,9.34915212772725,,2.810731931196177,,0.0142499226485771,
delta_rise=0.0_fall=0.75,4.0,0.0,forage_phonologicaldynamiclocal,9.355832103845549,,2.7815681101379734,,0.02092858613398749,
delta_rise=0.0_fall=0.75,4.0,0.0,forage_phonologicaldynamicswitch,9.393101799687843,,2.8730248347868064,,0.0005673763380528479,
delta_rise=0.0_fall=1.0,2.0,0.0,forage_dynamic,9.632675010561291,,2.688683332140682,,,
delta_rise=0.0_fall=1.0,2.0,0.0,forage_phonologicaldynamicglobal,9.57711042021022,,2.621387995315557,,0.01699423426411048,
delta_rise=0.0_fall=1.0,2.0,0.0,forage_phonologicaldynamiclocal,9.694514898110185,,2.793786805986318,,-0.0257992452594691,
delta_rise=0.0_fall=1.0,2.0,0.0,forage_phonologicaldynamicswitch,9.387931327983667,,2.6902452648259803,,0.49189935111496186,
delta_rise=0.25_fall=0.0,9.0,0.0,forage_dynamic,8.668359432499551,,3.7788467401655255,,,
delta_rise=0.25_fall=0.0,9.0,0.0,forage_phonologicaldynamicglobal,8.627525962267482,,3.6848717391664443,,0.01975019675348558,
delta_rise=0.25_fall=0.0,9.0,0.0,forage_phonologicaldynamiclocal,8.878335892907106,,4.943430421470456,,-0.2022919565614409,
delta_rise=0.25_fall=0.0,9.0,0.0,forage_phonologicaldynamicswitch,8.570327316730213,,3.78342522167094,,0.09771796096672816,
delta_rise=0.25_fall=0.25,7.0,0.0,forage_dynamic,8.967979378088542,,3.4132097776826167,,,
delta_rise=0.25_fall=0.25,7.0,0.0,forage_phonologicaldynamicglobal,8.941222712224082,,3.3600960266424766,,0.010851998083612117,
delta_rise=0.25_fall=0.25,7.0,0.0,forage_phonologicaldynamiclocal,9.10211936259112,,3.9304974031846243,,-0.09671333355639726,
delta_rise=0.25_fall=0.25,7.0,0.0,forage_phonologicaldynamicswitch,8.86926631276967,,3.4161533117718976,,0.08855293666484376,
delta_rise=0.25_fall=0.5,7.0,0.0,forage_dynamic,8.967981624736975,,3.4132097195908577,,,
delta_rise=0.25_fall=0.5,7.0,0.0,forage_phonologicaldynamicglobal,8.941231314405451,,3.3600975816805705,,0.010851922596119959,
delta_rise=0.25_fall=0.5,7.0,0.0,forage_phonologicaldynamiclocal,9.102112376087714,,3.9304977596377144,,-0.09671332580891646,
delta_rise=0.25_fall=0.5,7.0,0.0,forage_phonologicaldynamicswitch,8.869257267109944,,3.416152638740674,,0.08855299317243229,
delta_rise=0.25_fall=0.75,6.0,0.0,forage_dynamic,9.084001285912976,,2.7359468175688586,,,
delta_rise=0.25_fall=0.75,6.0,0.0,forage_phonologicaldynamicglobal,9.020686090547892,,2.6410508690057366,,0.021681052969920147,
delta_rise=0.25_fall=0.75,6.0,0.0,forage_phonologicaldynamiclocal,9.061492207690963,,2.6766436972761305,,0.013366105272354604,
delta_rise=0.25_fall=0.75,6.0,0.0,forage_phonologicaldynamicswitch,9.045975622840409,,2.7370522450353043,,0.030286394008894008,
delta_rise=0.25_fall=1.0,5.0,0.0,forage_dynamic,9.127710782781737,,2.7108865682977723,,,
delta_rise=0.25_fall=1.0,5.0,0.0,forage_phonologicaldynamicglobal,9.074985036993047,,2.634050375589847,,0.01805119885549806,
delta_rise=0.25_fall=1.0,5.0,0.0,forage_phonologicaldynamiclocal,9.176033191639782,,2.8276523588677716,,-0.026420171602213376,
delta_rise=0.25_fall=1.0,5.0,0.0,forage_phonologicaldynamicswitch,9.0348276806951,,2.7137434409155414,,0.08347363873653953,
delta_rise=0.5_fall=0.0,10.0,0.0,forage_dynamic,8.483744574853056,,3.8440169573674927,,,
delta_rise=0.5_fall=0.0,10.0,0.0,forage_phonologicaldynamicglobal,8.435938685001894,,3.719903702710391,,0.02794993207126342,
delta_rise=0.5_fall=0.0,10.0,0.0,forage_phonologicaldynamiclocal,8.612703399824369,,4.641835473775684,,-0.14983559277599162,
delta_rise=0.5_fall=0.0,10.0,0.0,forage_phonologicaldynamicswitch,8.422272751344131,,3.847341689164453,,0.07539156947836743,
delta_rise=0.5_fall=0.25,9.0,0.0,forage_dynamic,8.704892214943657,,3.4799827456566668,,,
delta_rise=0.5_fall=0.25,9.0,0.0,forage_phonologicaldynamicglobal,8.650983372661885,,3.3581360821112924,,0.02754624601655713,
delta_rise=0.5_fall=0.25,9.0,0.0,forage_phonologicaldynamiclocal,8.902683260476504,,4.338358436925935,,-0.16418643867993388,
delta_rise=0.5_fall=0.25,9.0,0.0,forage_phonologicaldynamicswitch,8.632120796271584,,3.482843465627372,,0.10302970601104693,
delta_rise=0.5_fall=0.5,9.0,0.0,forage_dynamic,8.704890217755985,,3.47998323857908,,,
delta_rise=0.5_fall=0.5,9.0,0.0,forage_phonologicaldynamicglobal,8.65098877744883,,3.358135048483045,,0.0275462870465682,
delta_rise=0.5_fall=0.5,9.0,0.0,forage_phonologicaldynamiclocal,8.902683270935356,,4.338358041468605,,-0.16418651983180943,
delta_rise=0.5_fall=0.5,9.0,0.0,forage_phonologicaldynamicswitch,8.632116625407575,,3.4828425156317175,,0.10302975125139646,
delta_rise=0.5_fall=0.75,8.0,0.0,forage_dynamic,8.860275361178719,,2.6256388059529208,,,
delta_rise=0.5_fall=0.75,8.0,0.0,forage_phonologicaldynamicglobal,8.770797355728426,,2.4829635710354006,,0.03578855099442709,
delta_rise=0.5_fall=0.75,8.0,0.0,forage_phonologicaldynamiclocal,8.867166457629716,,2.642833778917544,,-0.004164753749616096,
