Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.316666666666666,2.789812817297167,forage_dynamic,8.174770732959944,1.3416293970580242,3.0887755456276005,0.592884639820815,,
delta_rise=0.0_fall=0.0,9.316666666666666,2.789812817297167,forage_phonologicaldynamicglobal,8.25278563767039,1.4068965128792175,3.3052579973317426,0.8399459056509121,-0.039498749357058376,0.09482479243064114
delta_rise=0.0_fall=0.0,9.316666666666666,2.789812817297167,forage_phonologicaldynamiclocal,8.289662803226316,1.391164319798925,3.658330166059775,1.2379652708263493,-0.1596462973783971,0.42468710176311414
delta_rise=0.0_fall=0.0,9.316666666666666,2.789812817297167,forage_phonologicaldynamicswitch,8.192371763777876,1.359419146330241,3.088754343721598,0.5927797449778858,-0.039485973821020405,0.32587084150091133
delta_rise=0.0_fall=0.25,8.466666666666667,2.8015868519267593,forage_dynamic,8.244105721047827,1.3366798362688488,3.019557137801573,0.5835291394464187,,
delta_rise=0.0_fall=0.25,8.466666666666667,2.8015868519267593,forage_phonologicaldynamicglobal,8.330079097731115,1.4033406122811225,3.2349769087627314,0.8338361886956428,-0.04048806082932634,0.09460129096681666
delta_rise=0.0_fall=0.25,8.466666666666667,2.8015868519267593,forage_phonologicaldynamiclocal,8.347972524584314,1.3927440885611104,3.4944464441675502,1.1254125443105591,-0.1453764171790685,0.4149259642465052
delta_rise=0.0_fall=0.25,8.466666666666667,2.8015868519267593,forage_phonologicaldynamicswitch,8.262326877619847,1.350479275427159,3.0195861938661563,0.5831911892419421,-0.08169681565789269,0.434708054387667
delta_rise=0.0_fall=0.5,7.3,2.424183711410228,forage_dynamic,8.33072007751738,1.3379917116471314,2.9339638106786743,0.5538039776361082,,
delta_rise=0.0_fall=0.5,7.3,2.424183711410228,forage_phonologicaldynamicglobal,8.42386436670548,1.4097455577291573,3.1426700907223872,0.7898300976666583,-0.04111636995276703,0.09299378243335542
delta_rise=0.0_fall=0.5,7.3,2.424183711410228,forage_phonologicaldynamiclocal,8.428738500327896,1.3964394343736581,3.2937961404832268,0.9962264217380011,-0.09742634095879295,0.3069516090129974
delta_rise=0.0_fall=0.5,7.3,2.424183711410228,forage_phonologicaldynamicswitch,8.346259867955352,1.349911914066471,2.9340703049339774,0.5536264232470922,-0.12829388615680795,0.5322908043037978
delta_rise=0.0_fall=0.75,6.383333333333334,2.2142844342034187,forage_dynamic,8.40430046946035,1.3395359056564005,2.862374418971652,0.5641219053912125,,
delta_rise=0.0_fall=0.75,6.383333333333334,2.2142844342034187,forage_phonologicaldynamicglobal,8.498731735769432,1.4119833573773475,3.0545809261389985,0.7456196278730126,-0.04012462242852246,0.08773360892310443
delta_rise=0.0_fall=0.75,6.383333333333334,2.2142844342034187,forage_phonologicaldynamiclocal,8.510404467721512,1.4115489336664724,3.1901198723182236,0.8915157218513823,-0.10031875719452943,0.3234362317998927
delta_rise=0.0_fall=0.75,6.383333333333334,2.2142844342034187,forage_phonologicaldynamicswitch,8.410307215329395,1.3419371459942844,2.862644325537545,0.5640069457711497,-0.1952517579291521,0.6730951107684263
delta_rise=0.0_fall=1.0,5.25,1.980109424585756,forage_dynamic,8.466566864731456,1.338094425920571,2.6657210253278762,0.5831343804267193,,
delta_rise=0.0_fall=1.0,5.25,1.980109424585756,forage_phonologicaldynamicglobal,8.557783804369935,1.4105986667716057,2.841296012172451,0.7934068879055776,-0.03718433771461756,0.08849295768689985
delta_rise=0.0_fall=1.0,5.25,1.980109424585756,forage_phonologicaldynamiclocal,8.562289314281943,1.4089700341636113,2.9107768844731194,0.8702449197914064,-0.05188141641592718,0.11543799944578897
delta_rise=0.0_fall=1.0,5.25,1.980109424585756,forage_phonologicaldynamicswitch,8.469947641263978,1.3413225874547878,2.665953586144697,0.5830939738432781,-0.2428330510570596,0.8383948265865281
delta_rise=0.25_fall=0.0,10.3,3.153305144341939,forage_dynamic,8.149324453807264,1.374067485378861,3.317176795575504,0.6180469438593083,,
delta_rise=0.25_fall=0.0,10.3,3.153305144341939,forage_phonologicaldynamicglobal,8.225901060562803,1.4363912962008194,3.544957368308127,0.8230708093557042,-0.041063265601273616,0.09426749248922286
delta_rise=0.25_fall=0.0,10.3,3.153305144341939,forage_phonologicaldynamiclocal,8.268899807740139,1.4243447755413017,3.9534579899773865,1.2257701730626227,-0.16985437089397212,0.42809337527668795
delta_rise=0.25_fall=0.0,10.3,3.153305144341939,forage_phonologicaldynamicswitch,8.166002023598987,1.390957588828512,3.3171023816366505,0.6180611801213759,-0.042150085052207194,0.35813839728368213
delta_rise=0.25_fall=0.25,9.416666666666666,3.1213868000546743,forage_dynamic,8.22889131913699,1.3661153236136523,3.2396132715779675,0.6107117594035976,,
delta_rise=0.25_fall=0.25,9.416666666666666,3.1213868000546743,forage_phonologicaldynamicglobal,8.317125539306513,1.43419592527627,3.469466149802727,0.8149091295387192,-0.042518722952637436,0.0946753224092283
delta_rise=0.25_fall=0.25,9.416666666666666,3.1213868000546743,forage_phonologicaldynamiclocal,8.340186821834621,1.4219779510703323,3.753544268139806,1.0848048202488567,-0.15334205167591278,0.4278988224912534
delta_rise=0.25_fall=0.25,9.416666666666666,3.1213868000546743,forage_phonologicaldynamicswitch,8.250061366690078,1.3832867180647714,3.2395143851436523,0.6106111479210438,-0.08208528532304711,0.4467399999953536
delta_rise=0.25_fall=0.5,8.233333333333333,2.836468853267308,forage_dynamic,8.31444148732403,1.3697429595687316,3.137135373659469,0.5589527000088875,,
delta_rise=0.25_fall=0.5,8.233333333333333,2.836468853267308,forage_phonologicaldynamicglobal,8.409751639119968,1.443106684890306,3.3617940659184544,0.7625468903106654,-0.04339426002857971,0.09292254727334809
delta_rise=0.25_fall=0.5,8.233333333333333,2.836468853267308,forage_phonologicaldynamiclocal,8.420359958342367,1.4285253741955848,3.533486112380588,0.9664789553419229,-0.10380552422963649,0.31514305341494364
delta_rise=0.25_fall=0.5,8.233333333333333,2.836468853267308,forage_phonologicaldynamicswitch,8.331868787215805,1.3845115422843897,3.1370987202245857,0.5589478510793711,-0.13526736275514123,0.5794997269228327
delta_rise=0.25_fall=0.75,7.333333333333333,2.560381915956203,forage_dynamic,8.38968410982523,1.3700901113785282,3.0551356194934054,0.5505113599932153,,
delta_rise=0.25_fall=0.75,7.333333333333333,2.560381915956203,forage_phonologicaldynamicglobal,8.486901349016097,1.444130954448377,3.2607633804854004,0.6987850255753515,-0.04240688242769213,0.08730606432780987
delta_rise=0.25_fall=0.75,7.333333333333333,2.560381915956203,forage_phonologicaldynamiclocal,8.505640234828542,1.4429588154582185,3.419544887076825,0.8481561014005216,-0.10532579226635325,0.31900220724448997
delta_rise=0.25_fall=0.75,7.333333333333333,2.560381915956203,forage_phonologicaldynamicswitch,8.398098699327305,1.3747589893707084,3.055186849222827,0.5505092348437448,-0.15198042850124,0.5869268374744187
delta_rise=0.25_fall=1.0,6.2,2.420743687382041,forage_dynamic,8.456905757502845,1.3692626916340396,2.840652814144157,0.5742540054701993,,
delta_rise=0.25_fall=1.0,6.2,2.420743687382041,forage_phonologicaldynamicglobal,8.551382369842068,1.4435504455883204,3.0296941985487797,0.7646479161772098,-0.039470823783489394,0.08832335571810129
delta_rise=0.25_fall=1.0,6.2,2.420743687382041,forage_phonologicaldynamiclocal,8.560995003927838,1.4429629072288837,3.1148123572779625,0.8520314743909426,-0.056720277136043704,0.11834160440123342
delta_rise=0.25_fall=1.0,6.2,2.420743687382041,forage_phonologicaldynamicswitch,8.464064748998515,1.3768984799219328,2.8407242744317838,0.5742573731047811,-0.15201731506304444,0.7562004170500827
delta_rise=0.5_fall=0.0,11.383333333333333,3.6059749798848513,forage_dynamic,8.080730342690664,1.396265282839216,3.5131897947807236,0.7373164490145999,,
delta_rise=0.5_fall=0.0,11.383333333333333,3.6059749798848513,forage_phonologicaldynamicglobal,8.148496089543109,1.4475656177423302,3.731829039845281,0.861411913965963,-0.03973688030163787,0.08939465955635871
delta_rise=0.5_fall=0.0,11.383333333333333,3.6059749798848513,forage_phonologicaldynamiclocal,8.211047074897747,1.4419521694170367,4.362783171689575,1.4884817311144318,-0.2330035423332493,0.5277895909286074
delta_rise=0.5_fall=0.0,11.383333333333333,3.6059749798848513,forage_phonologicaldynamicswitch,8.096235857971783,1.404259521322851,3.512862172769729,0.7374150031789445,-0.039188337707831485,0.3383990400878049
delta_rise=0.5_fall=0.25,10.466666666666667,3.5424410918022176,forage_dynamic,8.170182705930262,1.3867368668910647,3.4312355045826295,0.7056760427246993,,
delta_rise=0.5_fall=0.25,10.466666666666667,3.5424410918022176,forage_phonologicaldynamicglobal,8.248602304943491,1.4423324814766638,3.6570517601509183,0.8445354002062558,-0.0416566554037037,0.09002105564329665
delta_rise=0.5_fall=0.25,10.466666666666667,3.5424410918022176,forage_phonologicaldynamiclocal,8.293823947183407,1.439909074410359,4.12874925405203,1.3203171886496259,-0.1743632973741474,0.4060370261127941
delta_rise=0.5_fall=0.25,10.466666666666667,3.5424410918022176,forage_phonologicaldynamicswitch,8.187581908590706,1.3940337715689317,3.4309262951655866,0.7056534814054778,-0.0411882208370865,0.31266448949977876
delta_rise=0.5_fall=0.5,9.216666666666667,3.266454074714999,forage_dynamic,8.261459877391621,1.3870733117110476,3.3124841394520437,0.6423892321841214,,
delta_rise=0.5_fall=0.5,9.216666666666667,3.266454074714999,forage_phonologicaldynamicglobal,8.348151587125939,1.447947326305066,3.549926734517469,0.8301418937724412,-0.04431563606134102,0.0929425578017764
delta_rise=0.5_fall=0.5,9.216666666666667,3.266454074714999,forage_phonologicaldynamiclocal,8.3825736383648,1.441592066537156,3.8589700348190603,1.1807986458433062,-0.12546055994797134,0.3199049315403824
delta_rise=0.5_fall=0.5,9.216666666666667,3.266454074714999,forage_phonologicaldynamicswitch,8.274695236418314,1.3919526586323536,3.3122307576636847,0.6423648876809782,-0.0774662102309412,0.42511105750465183
delta_rise=0.5_fall=0.75,8.35,3.08666486681013,forage_dynamic,8.333186215847133,1.3948629228440261,3.228155170146462,0.6271173973803731,,
delta_rise=0.5_fall=0.75,8.35,3.08666486681013,forage_phonologicaldynamicglobal,8.422020188293017,1.458144177759272,3.4486115954843743,0.7706608550784148,-0.043600836484860905,0.08746475477541847
delta_rise=0.5_fall=0.75,8.35,3.08666486681013,forage_phonologicaldynamiclocal,8.462920275532275,1.4628358116515987,3.7275501146971237,1.1031797342897742,-0.1324463577173591,0.3857019897018518
delta_rise=0.5_fall=0.75,8.35,3.08666486681013,forage_phonologicaldynamicswitch,8.336972263099733,1.3913490644353594,3.227978288558479,0.6270446593197129,-0.10393401336514861,0.4897171878437306
delta_rise=0.5_fall=1.0,7.25,2.9643717715563276,forage_dynamic,8.392296182332302,1.3975516318053314,3.0139350536211227,0.6532544544864615,,
delta_rise=0.5_fall=1.0,7.25,2.9643717715563276,forage_phonologicaldynamicglobal,8.480498583569618,1.4616645830509392,3.218861601341634,0.8264487566765913,-0.04141211578535512,0.08802529211637601
delta_rise=0.5_fall=1.0,7.25,2.9643717715563276,forage_phonologicaldynamiclocal,8.499898437277619,1.466754507595722,3.3723572616892836,1.050992508131911,-0.06768771277378673,0.1295792854131499
delta_rise=0.5_fall=1.0,7.25,2.9643717715563276,forage_phonologicaldynamicswitch,8.396035188498923,1.3985466015188657,3.013812724711635,0.6531054691480273,-0.16047542972929685,0.6353460106697348
delta_rise=0.75_fall=0.0,12.483333333333333,3.9390847780783913,forage_dynamic,8.020197771717958,1.4471308881820686,3.8278876115365015,0.8448738020047845,,
delta_rise=0.75_fall=0.0,12.483333333333333,3.9390847780783913,forage_phonologicaldynamicglobal,8.085807596951785,1.497524581893088,4.0536095177136815,0.9054582931863537,-0.03855035636684882,0.08712575046595668
delta_rise=0.75_fall=0.0,12.483333333333333,3.9390847780783913,forage_phonologicaldynamiclocal,8.14252442783689,1.4930583700255295,8.68885895832633,29.555651722037243,-0.5900494527837138,2.219290456389535
delta_rise=0.75_fall=0.0,12.483333333333333,3.9390847780783913,forage_phonologicaldynamicswitch,8.03891911789162,1.4602362692984072,3.8274052041399123,0.8445873240295863,-0.0016517712753239336,0.08470774564759248
delta_rise=0.75_fall=0.25,11.783333333333333,4.017012433250474,forage_dynamic,8.082774507204755,1.4670946697242722,3.7828709520703048,0.835803676225381,,
delta_rise=0.75_fall=0.25,11.783333333333333,4.017012433250474,forage_phonologicaldynamicglobal,8.154526105897554,1.5165934174343074,4.015904025295839,0.8836987985040194,-0.040674442804585896,0.08681715808836635
delta_rise=0.75_fall=0.25,11.783333333333333,4.017012433250474,forage_phonologicaldynamiclocal,8.200824259697677,1.5152296102701628,9.490433543366121,37.046836141488974,-0.6271855824874153,2.7205693961842328
delta_rise=0.75_fall=0.25,11.783333333333333,4.017012433250474,forage_phonologicaldynamicswitch,8.100645284068595,1.4777424961297392,3.78244644758913,0.8355331443030953,-0.0033474742014306122,0.08457269792740152
delta_rise=0.75_fall=0.5,10.75,3.9269368894003547,forage_dynamic,8.168494775058114,1.4853127141819633,3.6882518614435154,0.8034629993168327,,
delta_rise=0.75_fall=0.5,10.75,3.9269368894003547,forage_phonologicaldynamicglobal,8.247769615308203,1.5390756669493348,3.9273618649792286,0.846580269806009,-0.043165190478751975,0.08881650695059985
delta_rise=0.75_fall=0.5,10.75,3.9269368894003547,forage_phonologicaldynamiclocal,8.292832407083095,1.538235400953852,9.36068259736609,38.07236369184902,-0.6016181762854743,2.808800903627225
delta_rise=0.75_fall=0.5,10.75,3.9269368894003547,forage_phonologicaldynamicswitch,8.18296851602674,1.4953630148478998,3.6879449318852706,0.803190333695398,-0.037904939678687105,0.30632105721977587
delta_rise=0.75_fall=0.75,9.933333333333334,3.9066894197289628,forage_dynamic,8.242995291023309,1.4945649596618409,3.6046332467309417,0.8142878509170255,,
delta_rise=0.75_fall=0.75,9.933333333333334,3.9066894197289628,forage_phonologicaldynamicglobal,8.325881061894721,1.5448859126985144,3.8452882087489235,0.8708199426203588,-0.04459012247690855,0.08934401549491248
delta_rise=0.75_fall=0.75,9.933333333333334,3.9066894197289628,forage_phonologicaldynamiclocal,8.373444876945264,1.5445658430813847,9.021528511973152,36.42432363709726,-0.5987391769307416,2.6946001639092874
delta_rise=0.75_fall=0.75,9.933333333333334,3.9066894197289628,forage_phonologicaldynamicswitch,8.252472471570634,1.499061984832185,3.60429828232106,0.8138821568275653,-0.037970593669595466,0.34905758688920835
delta_rise=0.75_fall=1.0,8.933333333333334,4.011926663780827,forage_dynamic,8.297404537878297,1.4979832625348597,3.383144653597321,0.8228138616546676,,
delta_rise=0.75_fall=1.0,8.933333333333334,4.011926663780827,forage_phonologicaldynamicglobal,8.38156866471517,1.549299907325251,3.614416543713069,0.918064077367769,-0.04325124609031415,0.08967962842393422
delta_rise=0.75_fall=1.0,8.933333333333334,4.011926663780827,forage_phonologicaldynamiclocal,8.409368286048487,1.5496338373915548,4.022085282662066,1.4615526976287996,-0.17025686323874847,0.46434561439072325
delta_rise=0.75_fall=1.0,8.933333333333334,4.011926663780827,forage_phonologicaldynamicswitch,8.305384448819643,1.506617744236701,3.3831459229565843,0.8224646824473697,-0.0800817590436531,0.4633770187098578
delta_rise=1.0_fall=0.0,13.966666666666667,4.086427399194667,forage_dynamic,7.925293184991203,1.4335743791863234,4.141293264768811,1.04998540685773,,
delta_rise=1.0_fall=0.0,13.966666666666667,4.086427399194667,forage_phonologicaldynamicglobal,7.979115014429477,1.477891884914746,4.355514202357169,1.0967569389194531,-0.03443088806600429,0.08715515717130945
delta_rise=1.0_fall=0.0,13.966666666666667,4.086427399194667,forage_phonologicaldynamiclocal,8.033476242024582,1.477182657056856,10.372717245689232,34.806672211955565,-0.6816371315446724,2.5964958838039585
delta_rise=1.0_fall=0.0,13.966666666666667,4.086427399194667,forage_phonologicaldynamicswitch,7.939885374665857,1.4402640269736027,4.140976023161229,1.0496510936481844,0.0002138145343817515,0.08459068839745804
delta_rise=1.0_fall=0.25,13.5,4.121083999790994,forage_dynamic,7.955021909008715,1.4421896864820771,4.120701954142346,1.0536960074776571,,
delta_rise=1.0_fall=0.25,13.5,4.121083999790994,forage_phonologicaldynamicglobal,8.012276258728342,1.4856706395097554,4.344637672274305,1.0967556387024497,-0.03633812203949757,0.08730540535207008
delta_rise=1.0_fall=0.25,13.5,4.121083999790994,forage_phonologicaldynamiclocal,8.058725753383222,1.4855151216010225,12.490267302492956,51.62088319809888,-0.825365122380876,3.7656216108546547
delta_rise=1.0_fall=0.25,13.5,4.121083999790994,forage_phonologicaldynamicswitch,7.967739055875736,1.4482199393984017,4.120431092829382,1.0533519399066988,-0.0009451736953814131,0.08540789704393563
delta_rise=1.0_fall=0.5,12.716666666666667,4.058290554189315,forage_dynamic,8.011764936765447,1.4419431552239572,4.056074733224676,1.0384978845407267,,
delta_rise=1.0_fall=0.5,12.716666666666667,4.058290554189315,forage_phonologicaldynamicglobal,8.075255130253932,1.4890668968937084,4.301583345668917,1.1162082622057732,-0.03930620447860407,0.09062774704709012
delta_rise=1.0_fall=0.5,12.716666666666667,4.058290554189315,forage_phonologicaldynamiclocal,8.124179607809047,1.4958884882307837,9.618296987271567,30.749064175762843,-0.6066672546943982,2.3056605448936005
delta_rise=1.0_fall=0.5,12.716666666666667,4.058290554189315,forage_phonologicaldynamicswitch,8.019908843285851,1.446273533301378,4.055805078407507,1.037992476222235,0.002066405136232838,0.08655755233918058
delta_rise=1.0_fall=0.75,11.966666666666667,4.214920587099543,forage_dynamic,8.072735668830024,1.4550353025230303,3.967565657157505,1.0415844408326818,,
delta_rise=1.0_fall=0.75,11.966666666666667,4.214920587099543,forage_phonologicaldynamicglobal,8.139772298981145,1.4994824827111601,4.217848923490534,1.138312628760467,-0.041213191780841256,0.09084905354249757
delta_rise=1.0_fall=0.75,11.966666666666667,4.214920587099543,forage_phonologicaldynamiclocal,8.18721029601114,1.5047419395667567,9.478236223685391,32.30672791486175,-0.6114158338386724,2.4252387858880646
delta_rise=1.0_fall=0.75,11.966666666666667,4.214920587099543,forage_phonologicaldynamicswitch,8.075989093855116,1.453672408686703,3.9672961040934265,1.041033583963442,0.005719967653741317,0.0906291534627086
delta_rise=1.0_fall=1.0,11.1,4.418521623046936,forage_dynamic,8.134838358796575,1.470109679302615,3.8110363594182672,1.0691802091558709,,
delta_rise=1.0_fall=1.0,11.1,4.418521623046936,forage_phonologicaldynamicglobal,8.205767007755592,1.5147038252649576,4.054360968139206,1.1718809654619533,-0.04082116980943231,0.090360035227486
delta_rise=1.0_fall=1.0,11.1,4.418521623046936,forage_phonologicaldynamiclocal,8.235192411362144,1.517638423094506,5.024153251640984,3.149485574945997,-0.20854709761184564,0.4656506038261789
delta_rise=1.0_fall=1.0,11.1,4.418521623046936,forage_phonologicaldynamicswitch,8.137704102602846,1.4734579583608949,3.810990894278514,1.0686979393961102,0.006779709277323285,0.08755007449446504
multimodal_alpha=0.0,1.3666666666666667,1.1685698761972068,forage_dynamic,8.567956028750709,1.3896818140159342,1.8218478554812756,0.7004255437865731,,
multimodal_alpha=0.0,1.3666666666666667,1.1685698761972068,forage_phonologicaldynamicglobal,8.630443804781736,1.4615672879806232,1.8882283599182657,0.8093316572669447,-0.018605598906607925,0.07991592219992856
multimodal_alpha=0.0,1.3666666666666667,1.1685698761972068,forage_phonologicaldynamiclocal,8.61062623262156,1.4650111666686076,1.8540125271927839,0.8030521543335205,-0.005633182669020221,0.08925146262487299
multimodal_alpha=0.0,1.3666666666666667,1.1685698761972068,forage_phonologicaldynamicswitch,8.582520838036997,1.3933406938677346,1.8221202862970083,0.7010920512604663,-0.9746710708017614,1.306287763260184
multimodal_alpha=0.1,5.533333333333333,1.8208667044996885,forage_dynamic,8.426781950767092,1.3255049293635215,2.331050636428128,0.669472498029756,,
multimodal_alpha=0.1,5.533333333333333,1.8208667044996885,forage_phonologicaldynamicglobal,8.49407870006368,1.394347069558662,2.4666309375862814,0.9150406808417235,-0.026506024848816454,0.09049754689536096
multimodal_alpha=0.1,5.533333333333333,1.8208667044996885,forage_phonologicaldynamiclocal,8.392996800160136,1.3645455878698014,2.2632817032674755,0.8720493532183201,0.03686486473349585,0.10210560772091355
multimodal_alpha=0.1,5.533333333333333,1.8208667044996885,forage_phonologicaldynamicswitch,8.483214158639974,1.3657573023575273,2.332040570516307,0.6695560390156121,-1.5818737375849792,1.0768786839955715
multimodal_alpha=0.2,5.5,1.8119970566569177,forage_dynamic,8.4282107474508,1.323270242045696,2.3317310817618315,0.670564936711783,,
multimodal_alpha=0.2,5.5,1.8119970566569177,forage_phonologicaldynamicglobal,8.495532449759352,1.3918308628188092,2.467377142832745,0.916079615847588,-0.026558498604463684,0.09048642111417447
multimodal_alpha=0.2,5.5,1.8119970566569177,forage_phonologicaldynamiclocal,8.393373341347955,1.3623272767865295,2.2624285528539563,0.8742299574432493,0.037641632423122996,0.10142721450173108
multimodal_alpha=0.2,5.5,1.8119970566569177,forage_phonologicaldynamicswitch,8.485130718964738,1.3651837818904666,2.3327643650761183,0.6705500951926893,-1.6422708271071416,1.0455807584212162
multimodal_alpha=0.30000000000000004,5.5,1.8211717839530315,forage_dynamic,8.43274907178301,1.3213811770315051,2.3865125167673344,0.623116128249527,,
multimodal_alpha=0.30000000000000004,5.5,1.8211717839530315,forage_phonologicaldynamicglobal,8.502702008502354,1.388571687975202,2.525377376492411,0.873617481094664,-0.027813351471946395,0.09018695834713189
multimodal_alpha=0.30000000000000004,5.5,1.8211717839530315,forage_phonologicaldynamiclocal,8.401912660357096,1.3580238126442792,2.3180840992146323,0.8372908228514403,0.03552515671453779,0.1013239578109149
multimodal_alpha=0.30000000000000004,5.5,1.8211717839530315,forage_phonologicaldynamicswitch,8.491641084716585,1.3614813730422122,2.387624450664684,0.6227274348434633,-1.525302715388161,1.0680050456854668
multimodal_alpha=0.4,5.483333333333333,1.8662946057778649,forage_dynamic,8.455825265548535,1.3254125297704138,2.436449193079334,0.5968279238504517,,
multimodal_alpha=0.4,5.483333333333333,1.8662946057778649,forage_phonologicaldynamicglobal,8.527052863725745,1.3920365856210644,2.5779727749609327,0.8489954770239364,-0.028663467011281696,0.08993606315600775
