Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.35,2.488808282424877,forage_dynamic,8.11460218878397,1.4054983624838675,3.8259351576524705,0.8829647975662702,,
delta_rise=0.0_fall=0.0,9.35,2.488808282424877,forage_phonologicaldynamicglobal,8.184084447488178,1.45565558150779,4.097813197663346,1.216605322248602,-0.04142207825562502,0.09321210754014204
delta_rise=0.0_fall=0.0,9.35,2.488808282424877,forage_phonologicaldynamiclocal,8.193906686032063,1.4502327100415542,4.373039045188866,1.5289081467811532,-0.179661607541151,0.5238141521415697
delta_rise=0.0_fall=0.0,9.35,2.488808282424877,forage_phonologicaldynamicswitch,8.129885066279867,1.4182669285693412,3.8256787510797583,0.8831073071632705,-0.04634899792415099,0.33394467937829037
delta_rise=0.0_fall=0.25,8.75,2.342541355024496,forage_dynamic,8.159974976544175,1.390064091688483,3.8030175509888884,0.8808091048928763,,
delta_rise=0.0_fall=0.25,8.75,2.342541355024496,forage_phonologicaldynamicglobal,8.23013504430284,1.4376962437786345,4.075470243982329,1.2149510929321683,-0.04237134393568068,0.09210838106856421
delta_rise=0.0_fall=0.25,8.75,2.342541355024496,forage_phonologicaldynamiclocal,8.23815901581832,1.4369991236434034,4.307851391329435,1.5220291062111404,-0.17644134799431102,0.5308698836384553
delta_rise=0.0_fall=0.25,8.75,2.342541355024496,forage_phonologicaldynamicswitch,8.173080937453781,1.4012663807364878,3.803102289216694,0.8810067626765495,-0.04601291988633473,0.31490250929200314
delta_rise=0.0_fall=0.5,7.8,2.2568414506414345,forage_dynamic,8.213332282366464,1.394738705079404,3.714940849879516,0.865704086618937,,
delta_rise=0.0_fall=0.5,7.8,2.2568414506414345,forage_phonologicaldynamicglobal,8.285805707760606,1.44091052876471,3.9782727724825806,1.190292842868186,-0.04274164151950166,0.09126045497253794
delta_rise=0.0_fall=0.5,7.8,2.2568414506414345,forage_phonologicaldynamiclocal,8.294189013277263,1.4337610475811338,4.19931629128797,1.4815102090287098,-0.18023138395001884,0.5447270650904523
delta_rise=0.0_fall=0.5,7.8,2.2568414506414345,forage_phonologicaldynamicswitch,8.228599393087807,1.4096786295649983,3.7152744544063423,0.8656214211042909,-0.08098943101478179,0.42173076651120006
delta_rise=0.0_fall=0.75,6.716666666666667,2.214284434203419,forage_dynamic,8.274854820893294,1.3950150272226807,3.5464115042338085,0.8712641917551712,,
delta_rise=0.0_fall=0.75,6.716666666666667,2.214284434203419,forage_phonologicaldynamicglobal,8.350865436892455,1.4428538661374668,3.7889147650604613,1.1519764874112277,-0.04260127438352274,0.08819122450159389
delta_rise=0.0_fall=0.75,6.716666666666667,2.214284434203419,forage_phonologicaldynamiclocal,8.363596268464478,1.4381176905816242,3.955306277461084,1.3498330611089067,-0.16830552667354853,0.5077016402895771
delta_rise=0.0_fall=0.75,6.716666666666667,2.214284434203419,forage_phonologicaldynamicswitch,8.284637565781841,1.4041652920487124,3.5466454735384985,0.8711655574868467,-0.0820309406452117,0.4266790431333871
delta_rise=0.0_fall=1.0,5.533333333333333,1.9533447098644816,forage_dynamic,8.356753547154957,1.3876240023722741,3.4146215004062648,0.8894697188876238,,
delta_rise=0.0_fall=1.0,5.533333333333333,1.9533447098644816,forage_phonologicaldynamicglobal,8.436295972061584,1.4378207546949433,3.6513009618652155,1.1912826158785443,-0.04284508390260182,0.08953342233388362
delta_rise=0.0_fall=1.0,5.533333333333333,1.9533447098644816,forage_phonologicaldynamiclocal,8.43655692805445,1.4441022658927076,3.7658372697472116,1.333213877380679,-0.12155125397851656,0.39994432380009426
delta_rise=0.0_fall=1.0,5.533333333333333,1.9533447098644816,forage_phonologicaldynamicswitch,8.370495897060833,1.39790819108518,3.4149104308793414,0.889473063015006,-0.19454820677824128,0.6737581872261665
delta_rise=0.25_fall=0.0,10.033333333333333,2.8980836580210876,forage_dynamic,8.099853313201367,1.4175342329741067,4.02392584428056,0.8074341057884135,,
delta_rise=0.25_fall=0.0,10.033333333333333,2.8980836580210876,forage_phonologicaldynamicglobal,8.165330881836535,1.4646485890739533,4.307314277068169,1.1379464338527132,-0.04163268960781526,0.09338484460218446
delta_rise=0.25_fall=0.0,10.033333333333333,2.8980836580210876,forage_phonologicaldynamiclocal,8.179375540372593,1.4597991406877218,4.647489984978611,1.5024570142111078,-0.18994128205874902,0.5344853621726886
delta_rise=0.25_fall=0.0,10.033333333333333,2.8980836580210876,forage_phonologicaldynamicswitch,8.11342906041113,1.4282344271982592,4.023503477429745,0.8074796845144724,-0.03947986303466677,0.3013780968766286
delta_rise=0.25_fall=0.25,9.45,2.771431639664477,forage_dynamic,8.14127999374892,1.3965205445450701,3.9938431260026923,0.820205347099389,,
delta_rise=0.25_fall=0.25,9.45,2.771431639664477,forage_phonologicaldynamicglobal,8.209029760654648,1.442009123971334,4.285651330289794,1.1675655389685249,-0.04301859542811955,0.09363351880357657
delta_rise=0.25_fall=0.25,9.45,2.771431639664477,forage_phonologicaldynamiclocal,8.21829921194358,1.4386823555650232,4.575620428687255,1.5146311368661545,-0.17565273530017433,0.4965503406989903
delta_rise=0.25_fall=0.25,9.45,2.771431639664477,forage_phonologicaldynamicswitch,8.154702047491405,1.4075723961472089,3.9935446939898616,0.8201887489487462,-0.04432638646877422,0.32609536347944273
delta_rise=0.25_fall=0.5,8.466666666666667,2.623398982660133,forage_dynamic,8.199050861369168,1.4042668153836098,3.8769594036118025,0.8231835740054111,,
delta_rise=0.25_fall=0.5,8.466666666666667,2.623398982660133,forage_phonologicaldynamicglobal,8.268111415913223,1.4472010163863587,4.15310576009879,1.1520099801961055,-0.043225959433817025,0.09257645059393795
delta_rise=0.25_fall=0.5,8.466666666666667,2.623398982660133,forage_phonologicaldynamiclocal,8.279030759776592,1.4386843173531882,4.429929532482847,1.4875146630829472,-0.1829355547730166,0.5230250510461327
delta_rise=0.25_fall=0.5,8.466666666666667,2.623398982660133,forage_phonologicaldynamicswitch,8.213497641828402,1.4175604406693405,3.8769234208101633,0.8230885404158425,-0.07397860275389122,0.4039927318208
delta_rise=0.25_fall=0.75,7.35,2.663487688476646,forage_dynamic,8.269893069023656,1.4023461380537559,3.719429678980665,0.8348507366633376,,
delta_rise=0.25_fall=0.75,7.35,2.663487688476646,forage_phonologicaldynamicglobal,8.3431211592414,1.4465311633177778,3.975012249722078,1.103898647223384,-0.043573433217671605,0.08794409787046502
delta_rise=0.25_fall=0.75,7.35,2.663487688476646,forage_phonologicaldynamiclocal,8.356074480900137,1.437877731490434,4.194285754643794,1.3716401653187114,-0.17791154810741286,0.513741033624551
delta_rise=0.25_fall=0.75,7.35,2.663487688476646,forage_phonologicaldynamicswitch,8.278782688855697,1.4118842903868365,3.719483741917934,0.8347621965899988,-0.0748963317042506,0.4118625871047203
delta_rise=0.25_fall=1.0,6.183333333333334,2.4798633474895793,forage_dynamic,8.352412165374394,1.398993417428018,3.574338131478397,0.8429594356101504,,
delta_rise=0.25_fall=1.0,6.183333333333334,2.4798633474895793,forage_phonologicaldynamicglobal,8.430309046140097,1.4454896210203414,3.823940828718045,1.140717127594569,-0.043850335590717084,0.08942844864842008
delta_rise=0.25_fall=1.0,6.183333333333334,2.4798633474895793,forage_phonologicaldynamiclocal,8.42966651195586,1.4473527314523496,3.9872857391934384,1.366938310873065,-0.133963685699981,0.42797542596199645
delta_rise=0.25_fall=1.0,6.183333333333334,2.4798633474895793,forage_phonologicaldynamicswitch,8.364313576768847,1.4096325879426816,3.574530271867893,0.842867287678252,-0.18083086421300967,0.6419009694224775
delta_rise=0.5_fall=0.0,10.883333333333333,2.9837988463627294,forage_dynamic,8.07197138578189,1.4496027981157213,4.296645865412206,0.8412969063371089,,
delta_rise=0.5_fall=0.0,10.883333333333333,2.9837988463627294,forage_phonologicaldynamicglobal,8.133762090494177,1.4978977912602884,4.607686515381616,1.1940776862801894,-0.04141242373154398,0.09347290627225069
delta_rise=0.5_fall=0.0,10.883333333333333,2.9837988463627294,forage_phonologicaldynamiclocal,8.165145065855404,1.5028059278622694,5.423599566280531,2.5488511346332494,-0.28357227612963265,0.6818048654030152
delta_rise=0.5_fall=0.0,10.883333333333333,2.9837988463627294,forage_phonologicaldynamicswitch,8.087347239643284,1.4549071017639772,4.29595886680997,0.8411779671468052,-0.0017297414866557133,0.09186064125974447
delta_rise=0.5_fall=0.25,10.3,2.9512709126747416,forage_dynamic,8.117932821566637,1.444208532158114,4.257383431489654,0.8314438538407608,,
delta_rise=0.5_fall=0.25,10.3,2.9512709126747416,forage_phonologicaldynamicglobal,8.18229254870349,1.491129408652937,4.574184298741411,1.1945677134774721,-0.042746100511146724,0.09346686015132888
delta_rise=0.5_fall=0.25,10.3,2.9512709126747416,forage_phonologicaldynamiclocal,8.210707625817095,1.498328627521296,5.304970453175531,2.428720537814509,-0.27175778782330345,0.6602181084747196
delta_rise=0.5_fall=0.25,10.3,2.9512709126747416,forage_phonologicaldynamicswitch,8.132403770616543,1.448666148159914,4.256833325795435,0.8313145510339971,-0.002443699821996276,0.08849895001307266
delta_rise=0.5_fall=0.5,9.216666666666667,2.9782078876771214,forage_dynamic,8.179889603713253,1.4381111885028728,4.079019809903778,0.8466688896496704,,
delta_rise=0.5_fall=0.5,9.216666666666667,2.9782078876771214,forage_phonologicaldynamicglobal,8.245444721185212,1.4810459774318532,4.373371829054786,1.1808820520479053,-0.04314156120685823,0.09271650926564624
delta_rise=0.5_fall=0.5,9.216666666666667,2.9782078876771214,forage_phonologicaldynamiclocal,8.272265857800202,1.480242394709064,5.012361520051793,2.3622096368457703,-0.23298302816690555,0.595590489450193
delta_rise=0.5_fall=0.5,9.216666666666667,2.9782078876771214,forage_phonologicaldynamicswitch,8.194669698504836,1.4451266474979592,4.07879966190224,0.8463981304962008,-0.03925968199203372,0.31968707159918935
delta_rise=0.5_fall=0.75,8.283333333333333,3.0336538292223714,forage_dynamic,8.241830320139579,1.436595513859223,3.9902900153795424,0.8145632536949814,,
delta_rise=0.5_fall=0.75,8.283333333333333,3.0336538292223714,forage_phonologicaldynamicglobal,8.30997661235966,1.4766265564226584,4.292027372629328,1.1712064081283684,-0.04522247543684256,0.09233013172592826
delta_rise=0.5_fall=0.75,8.283333333333333,3.0336538292223714,forage_phonologicaldynamiclocal,8.32901993428818,1.478615177458499,4.870059336991401,2.278822502930458,-0.22788552501126488,0.5867904420180302
delta_rise=0.5_fall=0.75,8.283333333333333,3.0336538292223714,forage_phonologicaldynamicswitch,8.252459484102678,1.440272874121968,3.9900500405802877,0.8141680646156073,-0.03813459980735037,0.3236470398611676
delta_rise=0.5_fall=1.0,7.033333333333333,2.909562777386932,forage_dynamic,8.33034600191027,1.4313609551247524,3.808771347247078,0.8097676691453315,,
delta_rise=0.5_fall=1.0,7.033333333333333,2.909562777386932,forage_phonologicaldynamicglobal,8.40357049247417,1.47302237384372,4.102266246548458,1.1947688625388324,-0.04582484984442995,0.09425981852259578
delta_rise=0.5_fall=1.0,7.033333333333333,2.909562777386932,forage_phonologicaldynamiclocal,8.407968398762206,1.4868320271566347,4.502225857427008,2.078175592379965,-0.17903500401379763,0.5199526080238331
delta_rise=0.5_fall=1.0,7.033333333333333,2.909562777386932,forage_phonologicaldynamicswitch,8.343177686679955,1.4369170711079815,3.8087072844190715,0.8092248293510129,-0.15587252079126432,0.6351008253136663
delta_rise=0.75_fall=0.0,11.883333333333333,3.430702875829124,forage_dynamic,7.999834515070199,1.4611352015917396,4.47954047392582,0.8664132210718887,,
delta_rise=0.75_fall=0.0,11.883333333333333,3.430702875829124,forage_phonologicaldynamicglobal,8.056591297702292,1.505265856090468,4.773787990022196,1.1345156116252357,-0.03900099136159366,0.09014081833391202
delta_rise=0.75_fall=0.0,11.883333333333333,3.430702875829124,forage_phonologicaldynamiclocal,8.08986840064339,1.4897932784325345,5.870116578267985,2.6869055702166884,-0.33761639053114995,0.7334012619554919
delta_rise=0.75_fall=0.0,11.883333333333333,3.430702875829124,forage_phonologicaldynamicswitch,8.014852311475542,1.4662399981786804,4.478667379887908,0.8663361622939536,-0.0014382087255879932,0.09510966386800249
delta_rise=0.75_fall=0.25,11.333333333333334,3.39934634239519,forage_dynamic,8.050270237825654,1.455175335947378,4.4529053130915175,0.8639485217592259,,
delta_rise=0.75_fall=0.25,11.333333333333334,3.39934634239519,forage_phonologicaldynamicglobal,8.109736519532202,1.4978605869959176,4.755889553933142,1.1388003084114955,-0.04057523532084618,0.09004437846877957
delta_rise=0.75_fall=0.25,11.333333333333334,3.39934634239519,forage_phonologicaldynamiclocal,8.139006867007845,1.4895090345003328,5.667993136543663,2.4743965320749908,-0.2813238168846247,0.6403408042238736
delta_rise=0.75_fall=0.25,11.333333333333334,3.39934634239519,forage_phonologicaldynamicswitch,8.063349685934453,1.4594466549467924,4.45217143568352,0.8639543881693669,-0.0017493735257444788,0.09175442257678398
delta_rise=0.75_fall=0.5,10.266666666666667,3.36584148303049,forage_dynamic,8.125884412601808,1.4561093044964064,4.2742794072316395,0.8604802077047193,,
delta_rise=0.75_fall=0.5,10.266666666666667,3.36584148303049,forage_phonologicaldynamicglobal,8.188760307873794,1.4964290228265003,4.565676052914282,1.1418082359449229,-0.041514608021193174,0.08923173018824392
delta_rise=0.75_fall=0.5,10.266666666666667,3.36584148303049,forage_phonologicaldynamiclocal,8.219523305412189,1.487012075608731,5.36984112800339,2.4487547475741223,-0.25158658748072144,0.6072329294800236
delta_rise=0.75_fall=0.5,10.266666666666667,3.36584148303049,forage_phonologicaldynamicswitch,8.138043799023237,1.4601672519392066,4.27379899601597,0.8605060585915256,0.0030521794765639345,0.08796729915946488
delta_rise=0.75_fall=0.75,9.35,3.340783341273919,forage_dynamic,8.194733378673329,1.4540236590144033,4.176620585227044,0.870525986662401,,
delta_rise=0.75_fall=0.75,9.35,3.340783341273919,forage_phonologicaldynamicglobal,8.25976089776503,1.4929471616144752,4.484826083602153,1.1893268964123556,-0.0440951668499626,0.08913800355603752
delta_rise=0.75_fall=0.75,9.35,3.340783341273919,forage_phonologicaldynamiclocal,8.286145832753029,1.489700139464578,5.2557902150573605,2.440716752038118,-0.2442989723882454,0.5789774041854737
delta_rise=0.75_fall=0.75,9.35,3.340783341273919,forage_phonologicaldynamicswitch,8.200518973705773,1.4518217214298577,4.176071058309516,0.8704167194351492,0.0077545716905464464,0.09341157515957078
delta_rise=0.75_fall=1.0,8.0,3.265986323710904,forage_dynamic,8.295240060640772,1.4326475561717944,4.023988818681037,0.8368684577647234,,
delta_rise=0.75_fall=1.0,8.0,3.265986323710904,forage_phonologicaldynamicglobal,8.365725691631045,1.4734074475285897,4.3262157345766985,1.175083980575372,-0.04544055968386564,0.09054515162141813
delta_rise=0.75_fall=1.0,8.0,3.265986323710904,forage_phonologicaldynamiclocal,8.377636057443999,1.483815552772585,4.869362362088015,2.178213781472722,-0.19537050691935473,0.5253802199761561
delta_rise=0.75_fall=1.0,8.0,3.265986323710904,forage_phonologicaldynamicswitch,8.299578413972645,1.4317164214146005,4.023480000485971,0.8366355093101631,-0.07902181340605455,0.5071352467967353
delta_rise=1.0_fall=0.0,13.433333333333334,3.6026225015797713,forage_dynamic,7.919441393526146,1.4601677848102856,4.850370405834919,0.9284435551514454,,
delta_rise=1.0_fall=0.0,13.433333333333334,3.6026225015797713,forage_phonologicaldynamicglobal,7.967770010134738,1.4916666375882628,5.128471837165303,1.1001707876970646,-0.03598526901548111,0.0900101887064291
delta_rise=1.0_fall=0.0,13.433333333333334,3.6026225015797713,forage_phonologicaldynamiclocal,8.008497374944834,1.4850349338539803,6.677582013066798,2.774551972037356,-0.5033317702570301,0.8869650966842145
delta_rise=1.0_fall=0.0,13.433333333333334,3.6026225015797713,forage_phonologicaldynamicswitch,7.933735115768817,1.4633271417020715,4.849607562568119,0.9291426011814795,-3.011704289184597e-05,0.0855215866392745
delta_rise=1.0_fall=0.25,12.983333333333333,3.5331367869862547,forage_dynamic,7.948761686485984,1.4412905080893361,4.819716875917817,0.9479011561299244,,
delta_rise=1.0_fall=0.25,12.983333333333333,3.5331367869862547,forage_phonologicaldynamicglobal,7.998126904561364,1.4719943918824177,5.104940911596497,1.1218278956322327,-0.03718159932802874,0.0896505813036268
delta_rise=1.0_fall=0.25,12.983333333333333,3.5331367869862547,forage_phonologicaldynamiclocal,8.035385652493897,1.4677570496938481,6.360552365156511,2.441127177757474,-0.40768770600175797,0.7782777560793579
