Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.36034195972229277,7.013143358,0.0001
CAF-657,hawk,0.3476270326270954,6.384581525,0.0001
CAF-657,dog,0.3781808583041044,7.256114028,0.3333
CAF-657,turtle,0.2434810682419346,6.229758099,0.0001
CAF-657,jellyfish,0.5156246311088758,5.224579675,0.0001
CAF-657,bear,0.1382705229058473,7.366226929,0.1429
CAF-657,ant,0.3750577504648127,6.426146105,0.0001
CAF-657,mosquito,0.33890563192138656,6.026549198,0.1429
CAF-657,frog,0.44823012807527907,6.319346573,0.0001
CAF-657,tadpole,0.5470249918514977,5.208922147,0.0001
CAF-657,fish,0.3481192534410087,7.344814258,0.0001
CAF-657,shark,0.5077979259108559,6.054603863,0.0001
CAF-657,dolphin,0.32293442527138727,5.864843201,0.1667
CAF-657,gorilla,0.2088076739716771,5.657093158,0.1667
CAF-657,monkey,0.3039219936920763,6.401926546,0.0001
CAF-657,fly,0.14614938890708706,7.029176525,0.0001
CAF-657,eagle,0.4733018639408464,6.640854253,0.0001
CAF-657,toad,0.34499851145179883,5.885895277,0.0001
CAF-657,rat,0.5100439948215144,6.766463413,0.0001
CAF-657,mouse,0.5743296299374783,6.776846046,0.0001
CAF-657,rodents,0.09587937607035535,5.818422536,0.1429
CAF-657,fox,0.11687043043414491,6.849727181,0.1429
CAF-657,american,0.11450348438808255,8.145126466,0.125
CAF-657,deer,0.1839255226965374,6.706983738,0.125
CAF-657,squirrel,0.459633470889492,6.080840335,0.0001
CAF-657,rabbit,0.4885625919556764,6.568628649,0.1667
CAF-657,bird,0.4014180160782833,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.22108288023717892,7.284544989,0.1429
CAJ-663,elephant,0.33836875087206053,6.363660295,0.2857
CAJ-663,zebra,0.44819280812757245,5.561689192,0.1429
CAJ-663,horse,0.32956427192257953,7.396710537,0.2
CAJ-663,cat,0.1806182481322388,7.013143358,0.0001
CAJ-663,dog,0.5466775428978135,7.256114028,0.0001
CAJ-663,reptile,0.2898934185866777,5.656324398,0.0001
CAJ-663,turtle,0.39594300430614804,6.229758099,0.3333
CAJ-663,dolphin,0.2877950471109163,5.864843201,0.1667
CAJ-663,penguin,0.28721656839545795,6.25042049,0.2857
CAJ-663,buffalo,0.2153199714239854,6.710471006,0.0001
CAJ-663,kangaroo,0.3629394554536285,5.566218227,0.0001
CAJ-663,goose,0.32485881201402267,6.301955793,0.1667
CAJ-663,duck,0.4535635204762629,6.439638803,0.0001
CAJ-663,swan,0.35084445946469,6.23145965,0.0001
CAJ-663,monkey,0.25552508950896113,6.401926546,0.0001
CAJ-663,primate,0.039660009760267734,5.892763902,0.0001
CAJ-663,lion,0.13820263317681103,6.723957079,0.1667
CAJ-663,tiger,0.5575501138887028,6.38952206,0.25
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.5466775428978135,7.256114028,0.0001
CAM-666,reptile,0.2898934185866777,5.656324398,0.0001
CAM-666,australian,0.19735093263283343,6.530851419,0.1111
CAM-666,goat,0.2476780968234613,6.365838461,0.1111
CAM-666,water,0.2467764224302217,8.128616304,0.25
CAM-666,bear,0.21667823763442873,7.366226929,0.0001
CAM-666,firefly,0.20834034541955926,5.169268746,0.0001
CAM-666,fly,0.48347379544517155,7.029176525,0.3333
CAM-666,ant,0.3270974634632109,6.426146105,0.0001
CAM-666,bird,0.28182703623961314,7.119400245,0.0001
CAM-666,eagle,0.5505517303514997,6.640854253,0.0001
CAM-666,moose,0.3766623306049319,5.977754233,0.0001
CAM-666,deer,0.487174002524271,6.706983738,0.0001
CAM-666,mouse,0.39271326470739576,6.776846046,0.0001
CAM-666,duck,0.47832690213842777,6.439638803,0.0001
CAM-666,crow,0.38906434187978745,6.398037974,0.0001
CAM-666,frog,0.4800804688346676,6.319346573,0.25
CAM-666,tadpole,0.5470249918514977,5.208922147,0.0001
CAM-666,caterpillar,0.5184298631396663,5.827004623,0.375
CAM-666,butterfly,0.4580236869376396,6.225709011,0.25
CAM-666,moth,0.43591443074255065,6.090354709,0.0001
CAM-666,gorilla,0.2253351043873466,5.657093158,0.0001
CAM-666,monkey,0.3039219936920763,6.401926546,0.0001
CAM-666,horse,0.34489966144453565,7.396710537,0.0001
CAP-671,african,0.0001,7.284544989,0.0001
CAP-671,elephant,0.33836875087206053,6.363660295,0.2857
CAP-671,lion,0.43369210522623813,6.723957079,0.4286
CAP-671,hippopotamus,0.4846510176567733,5.258390618,0.0909
CAP-671,bat,0.2712043886776708,6.527307346,0.0909
CAP-671,fish,0.20465938093777547,7.344814258,0.0001
CAP-671,shark,0.5077979259108559,6.054603863,0.0001
CAP-671,turtle,0.4385857006699103,6.229758099,0.0001
CAP-671,snake,0.4049614221542789,6.615078486,0.0001
CAP-671,dolphin,0.2586323700812416,5.864843201,0.0001
CAP-671,whale,0.3738392180397845,6.338615042,0.1667
CAP-671,chicken,0.36502084063796736,6.827585591,0.0001
CAP-671,cow,0.44056136288687253,6.679047222,0.2
CAP-671,horse,0.48186107619694973,7.396710537,0.0001
CAP-671,butterfly,0.0900782410390939,6.225709011,0.0001
CAP-671,bear,0.14717231012454313,7.366226929,0.1429
CAP-671,deer,0.3043307927258114,6.706983738,0.3333
CAP-671,tiger,0.4391238648164957,6.38952206,0.0001
CAP-671,bird,0.27407190259051206,7.119400245,0.0001
CAQ-672,alligator,0.0001,5.714162885,0.0001
CAQ-672,water,0.37609303509457814,8.128616304,0.2857
CAQ-672,ostrich,0.3147761735164807,5.653586811,0.1667
CAQ-672,peacock,0.414879426738886,6.002633379,0.0001
CAQ-672,bear,0.14254664392216698,7.366226929,0.0001
CAQ-672,tiger,0.1853740142400485,6.38952206,0.0001
CAQ-672,lion,0.5575501138887028,6.723957079,0.25
CAQ-672,gorilla,0.21537165534854652,5.657093158,0.0001
CAQ-672,monkey,0.3039219936920763,6.401926546,0.0001
CAQ-672,dog,0.35629974460854275,7.256114028,0.0001
CAQ-672,cat,0.5466775428978135,7.013143358,0.0001
CAQ-672,hyena,0.3963195642919529,5.284998893,0.0001
CAQ-672,snake,0.4863064674488018,6.615078486,0.0001
CAQ-672,fish,0.375345587721724,7.344814258,0.0001
CAQ-672,bird,0.38830999393562105,7.119400245,0.0001
CAQ-672,rabbit,0.4014180160782833,6.568628649,0.2
CAQ-672,dolphin,0.19753071860059368,5.864843201,0.1667
CAQ-672,squirrel,0.30034143391958934,6.080840335,0.1667
CAQ-672,guinea,0.3967962076028242,6.538172807,0.0001
CAQ-672,mouse,0.31355700699059075,6.776846046,0.0001
CAQ-672,lizard,0.36755983901434064,5.89522027,0.0001
CAQ-672,reptile,0.4556293206089199,5.656324398,0.0001
CAQ-672,crocodile,0.5671728307997745,5.741384054,0.25
CAR-673,elephant,0.0001,6.363660295,0.0001
CAR-673,african,0.33836875087206053,7.284544989,0.2857
CAR-673,tiger,0.22059953374874597,6.38952206,0.0001
CAR-673,lion,0.5575501138887028,6.723957079,0.25
CAR-673,feline,0.2600108752767689,5.559176205,0.2
CAR-673,dog,0.3082045893698999,7.256114028,0.0001
CAR-673,cat,0.5466775428978135,7.013143358,0.0001
CAR-673,mouse,0.5388640274373734,6.776846046,0.0001
CAR-673,rat,0.5743296299374783,6.766463413,0.0001
CAR-673,ostrich,0.3382383143138721,5.653586811,0.1667
CAR-673,parakeet,0.4051624121956303,4.868873573,0.0001
CAR-673,fish,0.28382663532199626,7.344814258,0.0001
CAR-673,rodents,0.18081367067998888,5.818422536,0.0001
CAR-673,pets,0.48678477968067835,6.144792078,0.2857
CAR-673,guinea,0.3225929150758734,6.538172807,0.0001
CAR-673,rodents,0.21646821347536171,5.818422536,0.1429
CAR-673,zebra,0.38227336010487367,5.561689192,0.0001
CAR-673,horse,0.32956427192257953,7.396710537,0.2
CAR-673,tiger,0.2177068839863171,6.38952206,0.0001
CAR-673,bird,0.27407190259051206,7.119400245,0.0001
CAR-673,elk,0.24962980042924998,6.139565841,0.0001
CAR-673,deer,0.5531593562099023,6.706983738,0.0001
CAR-673,antelope,0.5148063402465735,5.845170623,0.0001
CAS-674,cat,0.0001,7.013143358,0.0001
CAS-674,dog,0.5466775428978135,7.256114028,0.0001
CAS-674,fish,0.2568850147036066,7.344814258,0.0001
CAS-674,shark,0.5077979259108559,6.054603863,0.0001
CAS-674,dolphin,0.32293442527138727,5.864843201,0.1667
CAS-674,shrimp,0.33131181542431776,6.17749985,0.0001
CAS-674,crab,0.4745514100454835,6.158116322,0.2
CAS-674,lobster,0.5670178053073723,5.989108389,0.0001
CAS-674,reptile,0.28895596217808706,5.656324398,0.0001
CAS-674,bear,0.2902542416814231,7.366226929,0.1667
CAS-674,lion,0.3764899020995405,6.723957079,0.0001
CAS-674,tiger,0.5575501138887028,6.38952206,0.25
CAS-674,eagle,0.42278081773301757,6.640854253,0.0001
CAS-674,falcon,0.49416345676407125,5.93662582,0.1667
CAS-674,raven,0.4348957495088712,6.2387933,0.3333
CAS-674,lizard,0.3850936270214138,5.89522027,0.0001
CAS-674,reptile,0.4556293206089199,5.656324398,0.0001
