Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.30913437129509047,7.013143358,0.0001
CAF-657,hawk,0.367107112509263,6.384581525,0.0001
CAF-657,dog,0.35829015744355286,7.256114028,0.3333
CAF-657,turtle,0.3151117433681594,6.229758099,0.0001
CAF-657,jellyfish,0.38406670922769726,5.224579675,0.0001
CAF-657,bear,0.17459378822383465,7.366226929,0.1429
CAF-657,ant,0.23991629248384216,6.426146105,0.0001
CAF-657,mosquito,0.40637391370643905,6.026549198,0.1429
CAF-657,frog,0.4429668958275119,6.319346573,0.0001
CAF-657,tadpole,0.5607474987256442,5.208922147,0.0001
CAF-657,fish,0.3877405748949725,7.344814258,0.0001
CAF-657,shark,0.5332991775617346,6.054603863,0.0001
CAF-657,dolphin,0.5150112575824988,5.864843201,0.1667
CAF-657,gorilla,0.4072809171786662,5.657093158,0.1667
CAF-657,monkey,0.4287438150979159,6.401926546,0.0001
CAF-657,fly,0.18405401765052765,7.029176525,0.0001
CAF-657,eagle,0.3775099484275293,6.640854253,0.0001
CAF-657,toad,0.24930062653492335,5.885895277,0.0001
CAF-657,rat,0.4250148710552113,6.766463413,0.0001
CAF-657,mouse,0.5006416848270839,6.776846046,0.0001
CAF-657,rodents,0.22738574740162742,5.818422536,0.1429
CAF-657,fox,0.22915509922363753,6.849727181,0.1429
CAF-657,american,0.11196025678622346,8.145126466,0.125
CAF-657,deer,0.12409420269129157,6.706983738,0.125
CAF-657,squirrel,0.4460298623260932,6.080840335,0.0001
CAF-657,rabbit,0.4885718678042533,6.568628649,0.1667
CAF-657,bird,0.33394103572618605,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.19563616463017963,7.284544989,0.1429
CAJ-663,elephant,0.3443391610538511,6.363660295,0.2857
CAJ-663,zebra,0.5029061275525941,5.561689192,0.1429
CAJ-663,horse,0.3691043954576292,7.396710537,0.2
CAJ-663,cat,0.16350002947578757,7.013143358,0.0001
CAJ-663,dog,0.5118666162893848,7.256114028,0.0001
CAJ-663,reptile,0.360967287416766,5.656324398,0.0001
CAJ-663,turtle,0.3836106403031114,6.229758099,0.3333
CAJ-663,dolphin,0.3911647307402908,5.864843201,0.1667
CAJ-663,penguin,0.40137085997795985,6.25042049,0.2857
CAJ-663,buffalo,0.27652307442081325,6.710471006,0.0001
CAJ-663,kangaroo,0.35014085770576375,5.566218227,0.0001
CAJ-663,goose,0.28699498148280256,6.301955793,0.1667
CAJ-663,duck,0.42257855653469756,6.439638803,0.0001
CAJ-663,swan,0.35854610609647475,6.23145965,0.0001
CAJ-663,monkey,0.2882094071550254,6.401926546,0.0001
CAJ-663,primate,0.07939939747917646,5.892763902,0.0001
CAJ-663,lion,0.21398743224065075,6.723957079,0.1667
