Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.2,2.725191124795959,forage_dynamic,8.448649550101994,1.3538674211605526,2.9929839540427934,0.6236957153864596,,
delta_rise=0.0_fall=0.0,9.2,2.725191124795959,forage_phonologicaldynamicglobal,8.54299257536169,1.4284978226836833,3.2138240609440234,0.9167059472551454,-0.0410230917846276,0.09664578538290496
delta_rise=0.0_fall=0.0,9.2,2.725191124795959,forage_phonologicaldynamiclocal,8.589409179189953,1.4175834521780661,3.465237692126906,1.1540768795020102,-0.1195212901088565,0.3162167521590702
delta_rise=0.0_fall=0.0,9.2,2.725191124795959,forage_phonologicaldynamicswitch,8.47609746469417,1.3582241377836684,2.9932031776564156,0.6233330388681355,-0.08145082560746907,0.43987977885265644
delta_rise=0.0_fall=0.25,8.4,2.5179356624028344,forage_dynamic,8.527363274324193,1.3270473819054904,2.9729780582828704,0.6303725685734781,,
delta_rise=0.0_fall=0.25,8.4,2.5179356624028344,forage_phonologicaldynamicglobal,8.632184364705264,1.4141073420608863,3.2098751636574407,0.9643894024442478,-0.043592513931286825,0.101205034848631
delta_rise=0.0_fall=0.25,8.4,2.5179356624028344,forage_phonologicaldynamiclocal,8.68269215970692,1.393920842530065,3.4736089825086873,1.1952589722968343,-0.12973574159039963,0.337169563481856
delta_rise=0.0_fall=0.25,8.4,2.5179356624028344,forage_phonologicaldynamicswitch,8.55376915951096,1.3346430952033124,2.973388580090015,0.6300098946561021,-0.11213099055668388,0.5521817930725007
delta_rise=0.0_fall=0.5,7.533333333333333,2.3907228102721474,forage_dynamic,8.608465165685834,1.3126992081385735,2.8929676260707584,0.6309481340282245,,
delta_rise=0.0_fall=0.5,7.533333333333333,2.3907228102721474,forage_phonologicaldynamicglobal,8.718635283731064,1.399326307158915,3.133372823701097,0.9833764055763786,-0.04415543608728404,0.10175002692199703
delta_rise=0.0_fall=0.5,7.533333333333333,2.3907228102721474,forage_phonologicaldynamiclocal,8.753084466446484,1.3834515217439303,3.3372715296273885,1.143249606024256,-0.12441245652829624,0.35598176955073396
delta_rise=0.0_fall=0.5,7.533333333333333,2.3907228102721474,forage_phonologicaldynamicswitch,8.627665674375196,1.3242323567382968,2.893361457621975,0.6304937437385818,-0.1353520682580132,0.5648164336507776
delta_rise=0.0_fall=0.75,6.4,2.3323807579381204,forage_dynamic,8.7103051442804,1.3231584843642918,2.8118188697163222,0.6119053430298341,,
delta_rise=0.0_fall=0.75,6.4,2.3323807579381204,forage_phonologicaldynamicglobal,8.837346780927335,1.4290107849531275,3.0495433020978173,0.9532689070201521,-0.045188900386012865,0.1024603074589964
delta_rise=0.0_fall=0.75,6.4,2.3323807579381204,forage_phonologicaldynamiclocal,8.867934827103051,1.4069973509933318,3.20210108807896,1.085657517494632,-0.07676546626292462,0.12424538213805221
delta_rise=0.0_fall=0.75,6.4,2.3323807579381204,forage_phonologicaldynamicswitch,8.725093002747602,1.3314222123685078,2.8121800250040914,0.6115874288262224,-0.19099366683831034,0.687866572814566
delta_rise=0.0_fall=1.0,5.5,2.0453198608856593,forage_dynamic,8.781475191767258,1.3139579886740687,2.7225642992428116,0.5937871186714816,,
delta_rise=0.0_fall=1.0,5.5,2.0453198608856593,forage_phonologicaldynamicglobal,8.912998674062383,1.4215731661712718,2.9442268233099496,0.8914477775125852,-0.044055365949025975,0.09847429138223565
delta_rise=0.0_fall=1.0,5.5,2.0453198608856593,forage_phonologicaldynamiclocal,8.93636464576962,1.4088258933288316,3.056862898057221,0.9915792272480148,-0.06756049763398636,0.11603438288452682
delta_rise=0.0_fall=1.0,5.5,2.0453198608856593,forage_phonologicaldynamicswitch,8.793345532890816,1.3237102078940723,2.7229315061788903,0.5935268864107305,-0.27348282377235744,0.766568150992909
delta_rise=0.25_fall=0.0,9.983333333333333,2.991608634534641,forage_dynamic,8.408120096431933,1.3555609231211747,3.157760920746987,0.5919656752436222,,
delta_rise=0.25_fall=0.0,9.983333333333333,2.991608634534641,forage_phonologicaldynamicglobal,8.503663073507916,1.4325127755675275,3.397913917805883,0.9123519677176062,-0.04237472241390824,0.10014791462204602
delta_rise=0.25_fall=0.0,9.983333333333333,2.991608634534641,forage_phonologicaldynamiclocal,8.56571833719286,1.4393708273342163,3.7987919183524768,1.3987412135039694,-0.16347100904257272,0.41365107615931124
