Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,9.016666666666667,2.6235578048816754,forage_dynamic,8.552053737688556,1.3322528025099403,2.9404982413882883,0.6663605859587501,,
delta_rise=0.0_fall=0.0,9.016666666666667,2.6235578048816754,forage_phonologicaldynamicglobal,8.649127829851677,1.4155642620712792,3.1401767751262892,0.939408738963815,-0.037080463496752494,0.09348994564588664
delta_rise=0.0_fall=0.0,9.016666666666667,2.6235578048816754,forage_phonologicaldynamiclocal,8.702709213851124,1.402764348457457,3.3765168038018367,1.129169236099465,-0.11437733954030803,0.29068616884184867
delta_rise=0.0_fall=0.0,9.016666666666667,2.6235578048816754,forage_phonologicaldynamicswitch,8.581552500239548,1.3372745798865684,2.9413525612380855,0.6655853594290758,-0.11352684617691189,0.5591934481985286
delta_rise=0.0_fall=0.25,8.316666666666666,2.5132427039362693,forage_dynamic,8.636957478619802,1.3126227474646068,2.9215665265560062,0.6726918625602577,,
delta_rise=0.0_fall=0.25,8.316666666666666,2.5132427039362693,forage_phonologicaldynamicglobal,8.745310423380944,1.4099339878371882,3.136314216534632,0.9801258222896886,-0.03926103589844761,0.09752488049867818
delta_rise=0.0_fall=0.25,8.316666666666666,2.5132427039362693,forage_phonologicaldynamiclocal,8.794479350973758,1.3940355204183068,3.353806692324551,1.1618145597026261,-0.11685755325913726,0.3185708846942565
delta_rise=0.0_fall=0.25,8.316666666666666,2.5132427039362693,forage_phonologicaldynamicswitch,8.66780104560113,1.3204910157760013,2.9223533294248116,0.6719218666646009,-0.15928777009674763,0.6782914268251087
delta_rise=0.0_fall=0.5,7.35,2.3932195887548637,forage_dynamic,8.736094790939534,1.2954086020766755,2.839091460263096,0.6820899494979872,,
delta_rise=0.0_fall=0.5,7.35,2.3932195887548637,forage_phonologicaldynamicglobal,8.847339781141788,1.3943901792758178,3.0544234073908703,1.0013099908707748,-0.03949583700189818,0.09744312927517886
delta_rise=0.0_fall=0.5,7.35,2.3932195887548637,forage_phonologicaldynamiclocal,8.894298710441237,1.3790247003323493,3.2523401300385855,1.1715518399507874,-0.08140551099296083,0.1323784258380814
delta_rise=0.0_fall=0.5,7.35,2.3932195887548637,forage_phonologicaldynamicswitch,8.75817342139597,1.3050036735469928,2.8399620869269095,0.6814804913940435,-0.14316153693891692,0.6257021756183103
delta_rise=0.0_fall=0.75,6.416666666666667,2.511916046013923,forage_dynamic,8.811920844802716,1.3133759841482089,2.7599448173881695,0.6465976943709556,,
delta_rise=0.0_fall=0.75,6.416666666666667,2.511916046013923,forage_phonologicaldynamicglobal,8.939483758153626,1.4306999503220335,2.9760344775662713,0.9646882517090669,-0.040582241169655406,0.09926032021772671
delta_rise=0.0_fall=0.75,6.416666666666667,2.511916046013923,forage_phonologicaldynamiclocal,8.972374070246788,1.4112201617562028,3.1125359215946857,1.0752159371971575,-0.07181683726711084,0.12221061948625608
delta_rise=0.0_fall=0.75,6.416666666666667,2.511916046013923,forage_phonologicaldynamicswitch,8.82932075145607,1.3227074732175856,2.7604509150712473,0.6461951632814802,-0.1768058594822225,0.6696968946894849
delta_rise=0.0_fall=1.0,5.483333333333333,2.187019788560578,forage_dynamic,8.872728757274034,1.3097641089420984,2.6617451056795676,0.6203432199638252,,
delta_rise=0.0_fall=1.0,5.483333333333333,2.187019788560578,forage_phonologicaldynamicglobal,9.004814097298032,1.4242593308585942,2.8709450830866476,0.9483681174471617,-0.0399492958584153,0.09915480920013368
