Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
CAF-657,lizard,0.0001,5.89522027,0.0001
CAF-657,cat,0.36350053146489714,7.013143358,0.0001
CAF-657,hawk,0.3465161976273863,6.384581525,0.0001
CAF-657,dog,0.37937117139282894,7.256114028,0.3333
CAF-657,turtle,0.23899396069228174,6.229758099,0.0001
CAF-657,jellyfish,0.5229765833788276,5.224579675,0.0001
CAF-657,bear,0.13657136910271073,7.366226929,0.1429
CAF-657,ant,0.38290290601717003,6.426146105,0.0001
CAF-657,mosquito,0.33575799001022255,6.026549198,0.1429
CAF-657,frog,0.448896201156891,6.319346573,0.0001
CAF-657,tadpole,0.5466494511952906,5.208922147,0.0001
CAF-657,fish,0.3461659298016744,7.344814258,0.0001
CAF-657,shark,0.506051531877888,6.054603863,0.0001
CAF-657,dolphin,0.31214828941751827,5.864843201,0.1667
CAF-657,gorilla,0.1994023375799805,5.657093158,0.1667
CAF-657,monkey,0.29712688228794737,6.401926546,0.0001
CAF-657,fly,0.14386502533540124,7.029176525,0.0001
CAF-657,eagle,0.4798900169088901,6.640854253,0.0001
CAF-657,toad,0.3523315092469319,5.885895277,0.0001
CAF-657,rat,0.5161387285763994,6.766463413,0.0001
CAF-657,mouse,0.5797644947809951,6.776846046,0.0001
CAF-657,rodents,0.08869411538860639,5.818422536,0.1429
CAF-657,fox,0.11141422266719991,6.849727181,0.1429
CAF-657,american,0.11470460395062543,8.145126466,0.125
CAF-657,deer,0.18804563592160806,6.706983738,0.125
CAF-657,squirrel,0.46049934750918275,6.080840335,0.0001
CAF-657,rabbit,0.4886367153310517,6.568628649,0.1667
CAF-657,bird,0.40600805701123777,7.119400245,0.2
CAJ-663,peacock,0.0001,6.002633379,0.0001
CAJ-663,african,0.22259834012444457,7.284544989,0.1429
CAJ-663,elephant,0.3380108122321803,6.363660295,0.2857
CAJ-663,zebra,0.4462155205573197,5.561689192,0.1429
CAJ-663,horse,0.3283292914812205,7.396710537,0.2
CAJ-663,cat,0.18177032869996812,7.013143358,0.0001
CAJ-663,dog,0.5489281691066429,7.256114028,0.0001
CAJ-663,reptile,0.28583104610607957,5.656324398,0.0001
CAJ-663,turtle,0.3967445508529259,6.229758099,0.3333
CAJ-663,dolphin,0.2822056203298222,5.864843201,0.1667
CAJ-663,penguin,0.2818094446185282,6.25042049,0.2857
CAJ-663,buffalo,0.21212729255771323,6.710471006,0.0001
CAJ-663,kangaroo,0.3637404018567112,5.566218227,0.0001
CAJ-663,goose,0.327590968848509,6.301955793,0.1667
CAJ-663,duck,0.45585878352503606,6.439638803,0.0001
CAJ-663,swan,0.3504025302140805,6.23145965,0.0001
CAJ-663,monkey,0.2534807719722675,6.401926546,0.0001
CAJ-663,primate,0.037663698092663456,5.892763902,0.0001
CAJ-663,lion,0.13472981873930912,6.723957079,0.1667
CAJ-663,tiger,0.5577349873697354,6.38952206,0.25
CAM-666,cat,0.0001,7.013143358,0.0001
CAM-666,dog,0.5489281691066429,7.256114028,0.0001
