SID,entry,evaluation
CAF-657,lizard,FOUND
CAF-657,cat,FOUND
CAF-657,hawk,FOUND
CAF-657,dog,FOUND
CAF-657,turtle,FOUND
CAF-657,jellyfish,FOUND
CAF-657,bear,FOUND
CAF-657,ant,FOUND
CAF-657,mosquito,FOUND
CAF-657,frog,FOUND
CAF-657,tadpole,FOUND
CAF-657,fish,FOUND
CAF-657,shark,FOUND
CAF-657,dolphin,FOUND
CAF-657,gorilla,FOUND
CAF-657,monkey,FOUND
CAF-657,fly,FOUND
CAF-657,eagle,FOUND
CAF-657,toad,FOUND
CAF-657,rat,FOUND
CAF-657,mouse,FOUND
CAF-657,rodents,FOUND
CAF-657,fox,FOUND
CAF-657,american,FOUND
CAF-657,deer,FOUND
CAF-657,squirrel,FOUND
CAF-657,rabbit,FOUND
CAF-657,bird,FOUND
CAJ-663,peacock,FOUND
CAJ-663,african,FOUND
CAJ-663,elephant,FOUND
CAJ-663,zebra,FOUND
CAJ-663,horse,FOUND
CAJ-663,cat,FOUND
CAJ-663,dog,FOUND
CAJ-663,reptile,FOUND
CAJ-663,turtle,FOUND
CAJ-663,dolphin,FOUND
CAJ-663,penguin,FOUND
CAJ-663,buffalo,FOUND
CAJ-663,kangaroo,FOUND
CAJ-663,goose,FOUND
CAJ-663,duck,FOUND
CAJ-663,swan,FOUND
CAJ-663,monkey,FOUND
CAJ-663,primate,FOUND
CAJ-663,lion,FOUND
CAJ-663,tiger,FOUND
CAM-666,cat,FOUND
CAM-666,dog,FOUND
CAM-666,reptile,FOUND
CAM-666,australian,FOUND
CAM-666,goat,FOUND
CAM-666,water,FOUND
CAM-666,bear,FOUND
CAM-666,firefly,FOUND
CAM-666,fly,FOUND
CAM-666,ant,FOUND
CAM-666,bird,FOUND
CAM-666,eagle,FOUND
CAM-666,moose,FOUND
CAM-666,deer,FOUND
CAM-666,mouse,FOUND
CAM-666,duck,FOUND
CAM-666,crow,FOUND
CAM-666,frog,FOUND
CAM-666,tadpole,FOUND
CAM-666,caterpillar,FOUND
CAM-666,butterfly,FOUND
CAM-666,moth,FOUND
CAM-666,gorilla,FOUND
CAM-666,monkey,FOUND
CAM-666,horse,FOUND
CAP-671,african,FOUND
CAP-671,elephant,FOUND
CAP-671,lion,FOUND
CAP-671,hippopotamus,FOUND
CAP-671,bat,FOUND
CAP-671,fish,FOUND
CAP-671,shark,FOUND
CAP-671,turtle,FOUND
CAP-671,snake,FOUND
CAP-671,dolphin,FOUND
CAP-671,whale,FOUND
CAP-671,chicken,FOUND
CAP-671,cow,FOUND
CAP-671,horse,FOUND
CAP-671,butterfly,FOUND
CAP-671,bear,FOUND
CAP-671,deer,FOUND
CAP-671,tiger,FOUND
CAP-671,bird,FOUND
CAQ-672,alligator,FOUND
CAQ-672,water,FOUND
CAQ-672,ostrich,FOUND
CAQ-672,peacock,FOUND
CAQ-672,bear,FOUND
CAQ-672,tiger,FOUND
CAQ-672,lion,FOUND
CAQ-672,gorilla,FOUND
CAQ-672,monkey,FOUND
CAQ-672,dog,FOUND
CAQ-672,cat,FOUND
CAQ-672,hyena,FOUND
CAQ-672,snake,FOUND
CAQ-672,fish,FOUND
CAQ-672,bird,FOUND
CAQ-672,rabbit,FOUND
CAQ-672,dolphin,FOUND
CAQ-672,squirrel,FOUND
CAQ-672,guinea,FOUND
CAQ-672,mouse,FOUND
CAQ-672,lizard,FOUND
CAQ-672,reptile,FOUND
CAQ-672,crocodile,FOUND
CAR-673,elephant,FOUND
CAR-673,african,FOUND
CAR-673,tiger,FOUND
CAR-673,lion,FOUND
CAR-673,feline,FOUND
CAR-673,dog,FOUND
CAR-673,cat,FOUND
CAR-673,mouse,FOUND
CAR-673,rat,FOUND
CAR-673,ostrich,FOUND
CAR-673,parakeet,FOUND
CAR-673,fish,FOUND
CAR-673,rodents,FOUND
CAR-673,pets,FOUND
CAR-673,guinea,FOUND
CAR-673,rodents,FOUND
CAR-673,zebra,FOUND
CAR-673,horse,FOUND
CAR-673,tiger,FOUND
CAR-673,bird,FOUND
CAR-673,elk,FOUND
CAR-673,deer,FOUND
CAR-673,antelope,FOUND
CAS-674,cat,FOUND
CAS-674,dog,FOUND
CAS-674,fish,FOUND
CAS-674,shark,FOUND
CAS-674,dolphin,FOUND
CAS-674,shrimp,FOUND
CAS-674,crab,FOUND
CAS-674,lobster,FOUND
CAS-674,reptile,FOUND
CAS-674,bear,FOUND
CAS-674,lion,FOUND
CAS-674,tiger,FOUND
CAS-674,eagle,FOUND
CAS-674,falcon,FOUND
CAS-674,raven,FOUND
CAS-674,lizard,FOUND
CAS-674,reptile,FOUND
CAS-674,alligator,FOUND
CAS-674,crocodile,FOUND
CAS-674,mammoth,FOUND
CAS-674,kangaroo,FOUND
CAV-678,dog,FOUND
CAV-678,cat,FOUND
CAV-678,bird,FOUND
CAV-678,elephant,FOUND
CAV-678,kangaroo,FOUND
CAV-678,feline,FOUND
CAV-678,lion,FOUND
CAV-678,tiger,FOUND
CAV-678,bear,FOUND
CAV-678,reptile,FOUND
CAV-678,kangaroo,FOUND
CAV-678,pelican,FOUND
CAV-678,penguin,FOUND
CAV-678,polar,FOUND
CAV-678,grizzly,FOUND
CAV-678,moose,FOUND
CAV-678,turtle,FOUND
CAV-678,bird,FOUND
CAV-678,rhinoceros,FOUND
CAV-678,bird,FOUND
CAV-678,parakeet,FOUND
CAV-678,alligator,FOUND
CAV-678,crocodile,FOUND
CAV-678,zebra,FOUND
CAV-678,horse,FOUND
CAV-678,rooster,FOUND
CAV-678,chicken,FOUND
CAV-678,pony,FOUND
CAY-681,penguin,FOUND
CAY-681,snake,FOUND
CAY-681,elephant,FOUND
CAY-681,african,FOUND
CAY-681,dog,FOUND
CAY-681,cat,FOUND
CAY-681,gorilla,FOUND
CAY-681,primate,FOUND
CAY-681,ape,FOUND
CAY-681,insect,FOUND
CAY-681,butterfly,FOUND
CAY-681,ladybug,FOUND
CAY-681,beetle,FOUND
CAY-681,worm,FOUND
CAY-681,ant,FOUND
CAY-681,lizard,FOUND
CAY-681,insect,FOUND
CAY-681,human,FOUND
CAY-681,robin,FOUND
CAY-681,cardinal,FOUND
CAY-681,bird,FOUND
CBD-686,lion,FOUND
CBD-686,tiger,FOUND
CBD-686,monkey,FOUND
CBD-686,baboon,FOUND
CBD-686,african,FOUND
CBD-686,elephant,FOUND
CBD-686,buffalo,FOUND
CBD-686,polar,FOUND
CBD-686,bear,FOUND
CBD-686,grizzly,FOUND
CBD-686,duck,FOUND
CBD-686,crocodile,FOUND
CBD-686,alligator,FOUND
CBD-686,crocodile,FOUND
CBD-686,girdle,FOUND
CBD-686,asian,FOUND
CBD-686,sheep,FOUND
CBD-686,goat,FOUND
CBD-686,cow,FOUND
CBD-686,pony,FOUND
CBD-686,horse,FOUND
CBF-691,dog,FOUND
CBF-691,cat,FOUND
CBF-691,fish,FOUND
CBF-691,elephant,FOUND
CBF-691,feline,FOUND
CBF-691,tiger,FOUND
CBF-691,lion,FOUND
CBF-691,polar,FOUND
CBF-691,turtle,FOUND
CBF-691,penguin,FOUND
CBF-691,african,FOUND
CBF-691,pets,FOUND
CBF-691,rodents,FOUND
CBF-691,squirrel,FOUND
CBF-691,rabbit,FOUND
CBF-691,coyote,FOUND
CBF-691,deer,FOUND
CBF-691,walrus,FOUND
CBF-691,eel,FOUND
CBH-693,dog,FOUND
CBH-693,cat,FOUND
CBH-693,fish,FOUND
CBH-693,jellyfish,FOUND
CBH-693,shark,FOUND
CBH-693,kangaroo,FOUND
CBH-693,camel,FOUND
CBH-693,alligator,FOUND
CBH-693,leopard,FOUND
CBH-693,penguin,FOUND
CBH-693,polar,FOUND
CBH-693,bear,FOUND
CBH-693,antelope,FOUND
CBH-693,insect,FOUND
CBH-693,lizard,FOUND
CBH-693,bird,FOUND
CBH-693,peacock,FOUND
CBH-693,monkey,FOUND
CBH-693,primate,FOUND
CBH-693,lion,FOUND
CBH-693,tiger,FOUND
CBH-693,crocodile,FOUND
CBJ-697,lion,FOUND
CBJ-697,tiger,FOUND
CBJ-697,bird,FOUND
CBJ-697,monkey,FOUND
CBJ-697,parrot,FOUND
CBJ-697,ferret,FOUND
CBJ-697,cat,FOUND
CBJ-697,dog,FOUND
CBJ-697,fish,FOUND
CBJ-697,primate,FOUND
CBJ-697,squirrel,FOUND
CBJ-697,zebra,FOUND
CBJ-697,elephant,FOUND
CBJ-697,jaguar,FOUND
CBJ-697,feline,FOUND
CBJ-697,rhinoceros,FOUND
CBJ-697,asian,FOUND
CBJ-697,australian,FOUND
CBJ-697,insect,FOUND
CBJ-697,beaver,FOUND
CBJ-697,porcupine,FOUND
CBJ-697,insect,FOUND
CBJ-697,zebra,FOUND
CBL-698,canine,FOUND
CBL-698,terrier,FOUND
CBL-698,cat,FOUND
CBL-698,dog,FOUND
CBL-698,bird,FOUND
CBL-698,parakeet,FOUND
CBL-698,pelican,FOUND
CBL-698,parrot,FOUND
CBL-698,pelican,FOUND
CBL-698,reptile,FOUND
CBL-698,australian,FOUND
CBL-698,kangaroo,FOUND
CBL-698,african,FOUND
CBL-698,elephant,FOUND
CBL-698,tiger,FOUND
CBL-698,zebra,FOUND
CBL-698,lice,FOUND
CBL-698,insect,FOUND
CBL-698,beetle,FOUND
CBM-702,tiger,FOUND
CBM-702,dolphin,FOUND
CBM-702,lion,FOUND
CBM-702,penguin,FOUND
CBM-702,bird,FOUND
CBM-702,pigeon,FOUND
CBM-702,woodpecker,FOUND
CBM-702,reptile,FOUND
CBM-702,snake,FOUND
CBM-702,snail,FOUND
CBM-702,goldfish,FOUND
CBM-702,fish,FOUND
CBM-702,dog,FOUND
CBM-702,cat,FOUND
CBM-702,rodents,FOUND
CBM-702,snake,FOUND
CBM-702,pets,FOUND
CBM-702,rabbit,FOUND
CBM-702,reptile,FOUND
CBM-702,polar,FOUND
CBM-702,grizzly,FOUND
CBM-702,bear,FOUND
CBM-702,hedgehog,FOUND
CBM-702,porcupine,FOUND
CBM-702,reptile,FOUND
CBP-707,cow,FOUND
CBP-707,pig,FOUND
CBP-707,dog,FOUND
CBP-707,cat,FOUND
CBP-707,fish,FOUND
CBP-707,bird,FOUND
CBP-707,horse,FOUND
CBP-707,elephant,FOUND
CBP-707,tiger,FOUND
CBP-707,feline,FOUND
CBP-707,penguin,FOUND
CBP-707,fish,FOUND
CBP-707,shark,FOUND
CBP-707,dolphin,FOUND
CBP-707,whale,FOUND
CBP-707,ant,FOUND
CBP-707,centipede,FOUND
CBP-707,insect,FOUND
CBP-707,lizard,FOUND
CBP-707,reptile,FOUND
CBP-707,snake,FOUND
CBP-707,mouse,FOUND
CBP-707,rat,FOUND
CBP-707,parrot,FOUND
CBP-707,worm,FOUND
CBP-707,elephant,FOUND
CBP-707,monkey,FOUND
CBP-707,gorilla,FOUND
CBS-711,bear,FOUND
CBS-711,tiger,FOUND
CBS-711,rabbit,FOUND
CBS-711,pets,FOUND
CBS-711,rodents,FOUND
CBS-711,bird,FOUND
CBS-711,tiger,FOUND
CBS-711,dolphin,FOUND
CBS-711,seal,FOUND
CBS-711,horse,FOUND
CBS-711,kangaroo,FOUND
CBS-711,feline,FOUND
CBS-711,zebra,FOUND
CBS-711,ostrich,FOUND
CBS-711,rhinoceros,FOUND
CBS-711,hippopotamus,FOUND
CBS-711,whale,FOUND
CBS-711,jaguar,FOUND
CBS-711,dog,FOUND
CBS-711,cat,FOUND
CBS-711,monkey,FOUND
CBS-711,alligator,FOUND
CBS-711,crocodile,FOUND
CBS-711,bird,FOUND
CBW-715,horse,FOUND
CBW-715,puppy,FOUND
CBW-715,dog,FOUND
CBW-715,pig,FOUND
CBW-715,donkey,FOUND
CBW-715,mule,FOUND
CBW-715,goose,FOUND
CBW-715,duck,FOUND
CBW-715,fish,FOUND
CBW-715,feline,FOUND
CBW-715,lion,FOUND
CBW-715,leopard,FOUND
CBW-715,jaguar,FOUND
CBW-715,monkey,FOUND
CBW-715,gorilla,FOUND
CBW-715,ape,FOUND
CBW-715,snake,FOUND
CBW-715,bee,FOUND
CCB-720,zebra,FOUND
CCB-720,tiger,FOUND
CCB-720,lizard,FOUND
CCB-720,snake,FOUND
CCB-720,australian,FOUND
CCB-720,shark,FOUND
CCB-720,fish,FOUND
CCB-720,rainbow,FOUND
CCB-720,bunny,FOUND
CCB-720,dog,FOUND
CCB-720,cat,FOUND
CCB-720,pets,FOUND
CCB-720,gopher,FOUND
CCB-720,leopard,FOUND
CCC-721,dog,FOUND
CCC-721,cat,FOUND
CCC-721,lion,FOUND
CCC-721,tiger,FOUND
CCC-721,zebra,FOUND
CCC-721,chicken,FOUND
CCC-721,fish,FOUND
CCC-721,african,FOUND
CCC-721,wolf,FOUND
CCC-721,mouse,FOUND
CCC-721,water,FOUND
CCC-721,beaver,FOUND
CCC-721,duck,FOUND
CCC-721,goose,FOUND
CCC-721,bird,FOUND
CCD-722,dog,FOUND
CCD-722,cat,FOUND
CCD-722,horse,FOUND
CCD-722,frog,FOUND
CCD-722,butterfly,FOUND
CCD-722,cricket,FOUND
CCD-722,spider,FOUND
CCD-722,african,FOUND
CCD-722,elephant,FOUND
CCD-722,rhinoceros,FOUND
CCD-722,hippopotamus,FOUND
CCD-722,eagle,FOUND
CCD-722,tiger,FOUND
CCD-722,lion,FOUND
CCD-722,bear,FOUND
CCD-722,polar,FOUND
CCD-722,dolphin,FOUND
CCD-722,penguin,FOUND
CCD-722,lizard,FOUND
CCD-722,snake,FOUND
CCD-722,insect,FOUND
CCD-722,shark,FOUND
CCD-722,primate,FOUND
CCD-722,sloth,FOUND
CCD-722,zebra,FOUND
CCD-722,african,FOUND
CCD-722,deer,FOUND
CCD-722,rabbit,FOUND
CCD-722,kangaroo,FOUND
CCF-724,african,FOUND
CCF-724,elephant,FOUND
CCF-724,monkey,FOUND
CCF-724,oscar,FOUND
CCF-724,ostrich,FOUND
CCF-724,fish,FOUND
CCF-724,shark,FOUND
CCF-724,whale,FOUND
CCF-724,bird,FOUND
CCF-724,pets,FOUND
CCF-724,rat,FOUND
CCF-724,cat,FOUND
CCF-724,dog,FOUND
CCF-724,horse,FOUND
CCF-724,pig,FOUND
CCF-724,cow,FOUND
CCF-724,chicken,FOUND
CCF-724,seal,FOUND
CCH-726,african,FOUND
CCH-726,hippopotamus,FOUND
CCH-726,elephant,FOUND
CCH-726,donkey,FOUND
CCH-726,horse,FOUND
CCH-726,dog,FOUND
CCH-726,cat,FOUND
CCH-726,insect,FOUND
CCH-726,fish,FOUND
CCH-726,american,FOUND
CCH-726,deer,FOUND
CCH-726,frog,FOUND
CCH-726,snake,FOUND
CCH-726,parrot,FOUND
CCH-726,bird,FOUND
CCH-726,zebra,FOUND
