dimension,type,model,group,sum_NLL,mean_beta_semantic,mean_beta_freq,mean_beta_phon
50,alpha_0.5_w2v,forage_static,NH,3563.394122865459,2.5717087984701315,8.100348261040857,
50,alpha_0.5_s2v,forage_dynamic_simdrop,NH,3480.0174307903017,4.059363143896833,7.995943700269303,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.0,NH,3571.565928601429,2.5724614337924683,8.036432715543512,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.1,NH,3538.104743554792,3.4048308350085814,7.878722729903888,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.2,NH,3537.2852452833563,3.412969785708511,7.882853960685719,
50,alpha_0.5_w2v,forage_dynamic_multimodal_alpha=0.30000000000000004,NH,3525.835875841365,3.5686323588226774,7.916303353682424,
50,alpha_0.5_w2v,forage_dynamic_multimodal_alpha=0.4,NH,3513.497934697697,3.717149704236467,7.925421858979889,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.5,NH,3499.025137188903,3.882497658494806,7.95016982290184,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.6000000000000001,NH,3488.0016764404395,3.991529206855964,7.982112254916021,
50,alpha_0.4_w2v,forage_dynamic_multimodal_alpha=0.7000000000000001,NH,3483.3239198461374,4.010233413323014,8.021933511245795,
50,alpha_0.5_w2v,forage_dynamic_multimodal_alpha=0.8,NH,3479.6455342558043,4.065158131308453,8.011110931500202,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=0.9,NH,3478.7229894075176,4.063970362933129,8.004675175196079,
50,alpha_0.5_s2v,forage_dynamic_multimodal_alpha=1.0,NH,3480.017430790118,4.059363159356442,7.995946179746574,
50,alpha_0.6_s2v,forage_dynamic_norms_associative,NH,3525.710954564529,4.770204541026122,7.669659453145308,
50,alpha_0.4_w2v,forage_dynamic_norms_categorical,NH,3561.0466871365725,3.778824145579343,7.666554418511196,
50,alpha_0.3_w2v,forage_dynamic_delta_rise=0.0_fall=0.0,NH,3461.589223707794,5.375851742521646,7.748224919150045,
50,alpha_0.4_w2v,forage_dynamic_delta_rise=0.0_fall=0.25,NH,3451.9495408961725,5.320352131850802,7.757352007605107,
50,alpha_0.4_s2v,forage_dynamic_delta_rise=0.0_fall=0.5,NH,3441.9660604418104,5.178342127351439,7.826835248702861,
50,alpha_0.6_w2v,forage_dynamic_delta_rise=0.0_fall=0.75,NH,3436.656740871161,4.992260919769731,7.896682392336357,
